ISO_CODE,AS,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NR,NU,NZ,PF,PG,PW,SB,TK,TL,TO,TV,VU,WF,WS
AS,0.0,0.1474882575423193,0.276934270143119,0.1396056164216791,0.2309054888110054,0.1640837626310172,0.3422087504607524,0.3207835699650926,0.1422887738772159,0.2157297344449875,0.3985739214848546,1.0,0.1589520415046372,0.2575742821346809,0.2397728361726581,0.2764409000918537,0.1959705895138623,1.0,0.2339332215872013,0.1876721017706681,0.4054183254331731,0.1721267688653424,0.5279809097887374,0.1341350620552969
AU,0.1474882575423193,0.0,0.2215696370973319,0.0960363095821503,0.2616675906747422,0.0549025246537753,0.2543939940652545,0.2696461690623214,0.124156938155981,0.1111100125561842,0.2830395355461987,1.0,0.0151402416504093,0.1121450399528266,0.1513321196785638,0.1876701075123241,0.1275195456181884,1.0,0.0967212039215851,0.1525485525230174,0.4441991941106812,0.1181328471688343,0.5276626059270993,0.1266083688134076
CK,0.276934270143119,0.2215696370973319,0.0,0.2370718698632529,0.3141305404791068,0.2555322021474115,0.3341609142455417,0.1730484717017925,0.1861577092696239,0.2914372557101667,0.3962135287660132,1.0,0.2449994276971332,0.2933239019555502,0.3041360714017382,0.2799879836094351,0.2806277426584691,1.0,0.2965667003659337,0.2440192647999657,0.3836260652447126,0.2227193631898691,0.5666104010837663,0.2262730423945007
FJ,0.1396056164216791,0.0960363095821503,0.2370718698632529,0.0,0.2479110213484313,0.0903807151373283,0.2935011760206436,0.2660554021643684,0.1299719694273167,0.1353322969287582,0.2978035441247958,1.0,0.0813913393959613,0.1570804431011504,0.142464591045782,0.2290011378503776,0.1011122506640269,1.0,0.1131932524401807,0.1071115829289556,0.3514798985303735,0.0775687211881198,0.4821663402095046,0.0453594291347344
FM,0.2309054888110054,0.2616675906747422,0.3141305404791068,0.2479110213484313,0.0,0.2752610722422846,0.3296075113174368,0.2075598189644163,0.2058970184053744,0.2938081807504338,0.4358713500919818,1.0,0.2613247547609785,0.2866321360695593,0.278149877284497,0.338213731815944,0.1919643154928164,1.0,0.2685700851124123,0.2217531644254552,0.5127547589388333,0.1956032161851059,0.6464655908300454,0.2079428232474682
GU,0.1640837626310172,0.0549025246537753,0.2555322021474115,0.0903807151373283,0.2752610722422846,0.0,0.2377864348252448,0.2761606346404498,0.1110735035958304,0.0765129635206024,0.2676682088115955,1.0,0.0503975757853765,0.0826457530340115,0.1638102608878842,0.2169604847100529,0.1271337956872601,1.0,0.1062461908838298,0.1611404628865722,0.359187452604809,0.1189078945773071,0.5582802325953646,0.1153476080837724
KI,0.3422087504607524,0.2543939940652545,0.3341609142455417,0.2935011760206436,0.3296075113174368,0.2377864348252448,0.0,0.363429774806608,0.2543891491492297,0.3685979381540194,0.3736514911280382,1.0,0.295417563260243,0.3614961885471093,0.3664376373930679,0.4373346150123007,0.3211681626374509,1.0,0.3724644337231808,0.3394756998085805,0.5704974985305228,0.297404027824703,0.7549799037026492,0.3384373326637295
MH,0.3207835699650926,0.2696461690623214,0.1730484717017925,0.2660554021643684,0.2075598189644163,0.2761606346404498,0.363429774806608,0.0,0.1971343600032971,0.3123321364697168,0.3688613937409668,1.0,0.278837959072757,0.3005646744320892,0.2245417912460914,0.2800144622279169,0.2092378598094381,1.0,0.2571003981656924,0.2321776568586373,0.4261719921274624,0.2146392110435153,0.565652324761143,0.2468900250271851
MP,0.1422887738772159,0.124156938155981,0.1861577092696239,0.1299719694273167,0.2058970184053744,0.1110735035958304,0.2543891491492297,0.1971343600032971,0.0,0.1491200458435414,0.3040832746983228,1.0,0.1328523151612349,0.1564952055386229,0.1572773496842465,0.2087550332876426,0.1232726457138747,1.0,0.1405628030854296,0.1423008149559187,0.3629957024213042,0.1174832073101576,0.563927674968327,0.1312512947568274
NC,0.2157297344449875,0.1111100125561842,0.2914372557101667,0.1353322969287582,0.2938081807504338,0.0765129635206024,0.3685979381540194,0.3123321364697168,0.1491200458435414,0.0,0.3164118961863303,1.0,0.1041130996252436,0.0487150436017587,0.1882404082555099,0.1996221099009731,0.171084674924189,1.0,0.09161947604105,0.1960680214348938,0.3755234699970932,0.1564816119249246,0.464351633928567,0.1356668655559864
