ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,0.1644666955275139,0.0897847932650273,0.0826883026525724,0.0573377624845941,0.0578138830359973,0.1006825430673588,0.0955524244900154,0.1517289812442169,0.1509531123921993,0.0596958454735614,0.0822197708695602,0.079564984216966,0.1509375286196359,0.3325575070188542,0.0837201541223779,0.1135462892653037,0.1244946281446035,0.0745580643832688,0.0920216064909899,0.2591965779189297,0.1211026419002674,0.0961182517800471,0.1143070973998795,0.0658859045950671,0.0875396209075909,0.1624074611986365,0.1310376270402826,0.0751982037723185,0.1091600808038691,0.1012368447860661,0.0803493400197831,0.1175779538906603,0.0603993861278038,0.080982450879485,0.0950302374377065,0.0978630511962439,0.0939758173452809,0.0991565747824771,0.1053187891191667,0.0820503785733597,0.1592213610395603,0.1061897298726863,0.1012850527227339,0.1447004461177748,0.0656690514109081,0.0937581157436625,0.1022326150931216,0.1073787451518494,0.1099439427733255,0.0737590190739646,0.1734037486786512,0.0554621746412069,0.1400135173048132,0.0608708593121184
BF,0.1644666955275139,0.0,0.137986198586675,0.0701162465800948,0.1494553889711464,0.1002075263369171,0.1208881040419405,0.1043871981125101,0.0838247333522409,0.1878329824799243,0.1510627660951551,0.1302421469937993,0.1236058577960917,0.1491159001817076,0.4103195152844513,0.1540044935492123,0.1362495610879497,0.1522777579086518,0.1372248293386652,0.0882314484816704,0.2557606785268164,0.1662163340637503,0.1380658764506014,0.1630328542048111,0.1367462139526249,0.1636950592913815,0.1615218153165308,0.1729422620611929,0.1473227259768565,0.1174939623080052,0.1257068642074413,0.1620874200759011,0.1656646650461744,0.1153223512095243,0.1406705221471663,0.0673604518197023,0.0902782274334292,0.1566945025783086,0.144648523437791,0.1901970914926319,0.1592373555254298,0.1239328457227909,0.1322960168020589,0.1393999642999989,0.2031127606086672,0.1567879950702541,0.163798611215004,0.0902301029120362,0.1745003867495816,0.1248232825786815,0.1094335932690011,0.179724024722222,0.1338186515444049,0.1555027281865738,0.1369884819291695
BI,0.0897847932650273,0.137986198586675,0.0,0.0687273804080736,0.1145672675820763,0.0643885665975636,0.0578628040811635,0.1070565333447011,0.1544636671983016,0.1354266650507769,0.0717156642070432,0.0443604835583736,0.0875149512807788,0.1762166639947582,0.3245966893202427,0.0512977387336102,0.1188091332867045,0.1558908110585959,0.0346600565062027,0.091377128440611,0.2138950297782718,0.0617918017614191,0.0854618115680273,0.0550228995113339,0.0574210573862468,0.0849135751179668,0.1819179002970511,0.1243460769762752,0.0582839411986571,0.1124648707247276,0.0588711985464308,0.1074579730204645,0.1023334912374135,0.0429858125411202,0.1005818036316525,0.0832755666725673,0.1143007173338088,0.1059702626077936,0.0370932363303991,0.074344315953199,0.0796632681331569,0.1676141884696814,0.0503485028014358,0.0794957704807588,0.1103007618399661,0.0669250078840337,0.0801793260133417,0.0900123271183687,0.1279755600831633,0.0866272000208491,0.0778092325226565,0.1777064866805685,0.0646979025622225,0.1626930634402434,0.0733399788690316
BJ,0.0826883026525724,0.0701162465800948,0.0687273804080736,0.0,0.0912932226025424,0.0320244649994235,0.0616477187866238,0.0323922569923262,0.0446095494150783,0.1251553364645807,0.0809105122715125,0.0712826335132553,0.064096351597532,0.1243907276952951,0.360955459116326,0.0935115562443253,0.0643525483307644,0.0967936590629374,0.0617394488511798,0.032676538938106,0.2460916326229917,0.1147556514676201,0.079698716687811,0.0947347100124429,0.0712422219927284,0.0923436339017776,0.1323351274291268,0.0935037765244659,0.0702512837512243,0.0560475456212351,0.0545960198692235,0.094583191303175,0.1174200094119227,0.064062363326293,0.0964110553744953,0.0351282162156537,0.0504491032714831,0.0841494990433106,0.0713111441399071,0.120795981206952,0.0944365140064829,0.0857313668385035,0.092309899944031,0.0848391840739548,0.1429015823935387,0.0904158411039489,0.0925287154812509,0.0243941373787205,0.0906925905002338,0.0830943863590774,0.0605440838981083,0.150167274695521,0.0636220014319737,0.1122313917568443,0.0689123520917474
BW,0.0573377624845941,0.1494553889711464,0.1145672675820763,0.0912932226025424,0.0,0.0850705763098431,0.1183982594799071,0.0991616128489064,0.1442882329213892,0.1599928370224699,0.0978229249612003,0.0974444711610016,0.0705294174903562,0.1235179082516475,0.3407561587118793,0.0941986865212763,0.1195593827312115,0.1069445495606029,0.1049795309526415,0.0832168363995945,0.3013332958824467,0.1671587677538765,0.0711078204534169,0.1609746230200306,0.0725480496203787,0.0568430847402472,0.1420599997729505,0.1326771983554232,0.0798569176933579,0.1245157471486093,0.1196727598935383,0.060710286077929,0.1097607849125699,0.0761545265851399,0.0598020034638624,0.1057810300407139,0.0720464320934497,0.0904578533181279,0.1087022773349043,0.1193063243291061,0.0724915898017519,0.1655409070714266,0.0902931987692517,0.0844795991709043,0.1985179185963552,0.0509744804500613,0.1568454871023152,0.0984611361496829,0.0961766976752931,0.1068768736652364,0.0613545729997583,0.1570502845533672,0.047237825354311,0.0990646636206332,0.0530082590106018
CD,0.0578138830359973,0.1002075263369171,0.0643885665975636,0.0320244649994235,0.0850705763098431,0.0,0.0522789263889653,0.0413390595217098,0.0857505252579644,0.1199484467124768,0.0675577796010346,0.0585643629777549,0.0714554815857126,0.1555143132680239,0.3589874667252996,0.0669210028387166,0.078089470956189,0.1155008016126789,0.0581850388333323,0.0381146853076566,0.2335460157773147,0.0987983306497706,0.0928594159651171,0.0804605190840269,0.0661708260999635,0.086245764290843,0.1637886157500605,0.0924071252299371,0.0665002312392122,0.0586453780173569,0.0605726316449913,0.095985691320298,0.1065519326016006,0.0517263324816785,0.0865172782751365,0.0443132505715211,0.0715271773042536,0.0739983076077447,0.0646957946802839,0.1169956502341685,0.0743257854898726,0.1128359617854695,0.0810136529758855,0.0784438596933325,0.1357192420556308,0.0757494129782464,0.0699071352961534,0.0386557428397686,0.1043071088693051,0.068777446458221,0.0675507784396584,0.1473416684580091,0.0644976506070295,0.124969564281794,0.0578218764592045
CF,0.1006825430673588,0.1208881040419405,0.0578628040811635,0.0616477187866238,0.1183982594799071,0.0522789263889653,0.0,0.0739056092570907,0.1320802679042917,0.1433542319556289,0.0856761933784375,0.0429988680974464,0.09583799877108,0.182361673046461,0.3738479855157128,0.0759791952126043,0.1111069994455058,0.1491924839658109,0.0577015953101368,0.0756726273065625,0.2351389851487748,0.0894278798840202,0.1150569131981256,0.068781957688489,0.0764797954614781,0.0912840247167882,0.1851065327263897,0.1221123216926164,0.076769570794839,0.095989512339139,0.0735648922319655,0.1301525581689665,0.1261327905511418,0.0577294310927131,0.0923411805049667,0.0670703596072337,0.0997712146256842,0.1081328458167776,0.0582602983734424,0.1129329025637337,0.0806943858961837,0.1617971420594176,0.0710905331396091,0.0767106563494337,0.1305156045546049,0.0873121063581074,0.0784887972828612,0.0562306737471403,0.1374704297480816,0.0818549359226961,0.0961495157343352,0.1195528762129333,0.08138706962649,0.1771981425300808,0.0719642022715051
CG,0.0955524244900154,0.1043871981125101,0.1070565333447011,0.0323922569923262,0.0991616128489064,0.0413390595217098,0.0739056092570907,0.0,0.0652535547996966,0.140751729745347,0.0993781473202237,0.0967374091763354,0.0776677968182822,0.1377246955275803,0.3707028254492424,0.1260594282596329,0.0722927989426976,0.1135237216799551,0.0906237671347522,0.0389860693467514,0.2888676957223685,0.1440901935153753,0.1083726115507904,0.1212200968777882,0.0914722842113608,0.1048954473804586,0.1496465019155344,0.100738705619065,0.0866676727127985,0.0642807809330872,0.0757088193576607,0.107496837526115,0.1510984638513304,0.0864054840050503,0.1100792556655642,0.0550814394178367,0.0619088579981298,0.094315932430792,0.0955962635217064,0.154438760603525,0.1018481916942439,0.1050338826769237,0.1151892071530304,0.0995533505801062,0.1684107055638866,0.1114023124972097,0.1200922116146636,0.0306808139242107,0.0996515006119813,0.1015726844751238,0.0803464419731878,0.1492786376373513,0.0819368493343866,0.1400282698840744,0.0863205419412196
CI,0.1517289812442169,0.0838247333522409,0.1544636671983016,0.0446095494150783,0.1442882329213892,0.0857505252579644,0.1320802679042917,0.0652535547996966,0.0,0.139324429057092,0.1495033156156491,0.1591899662183391,0.078187413758313,0.1167688360947856,0.4107133906355472,0.1774012871249308,0.0810186085792965,0.1142657194355005,0.1451494731054656,0.0541675202390472,0.2919250907670976,0.1940635542224147,0.1177219528712327,0.1772727101243399,0.1480753484212791,0.1606800837377436,0.1267376565711904,0.1073563523552771,0.1333242295150284,0.0775878467942615,0.0943948056474287,0.1345560486435063,0.1656713910005486,0.1363332682353591,0.1649496628118296,0.073381220278444,0.0721379765674058,0.1229015047842452,0.13816494441066,0.1914583968536385,0.1696800781648052,0.0885513215765777,0.1764193416798227,0.1507586497359148,0.195305373583295,0.1696856568708852,0.181666005978014,0.0714082184655866,0.118092656239279,0.1335246795442749,0.0893832068443786,0.2142121197857567,0.1291356955130421,0.1218286367398704,0.1284907040390515
CM,0.1509531123921993,0.1878329824799243,0.1354266650507769,0.1251553364645807,0.1599928370224699,0.1199484467124768,0.1433542319556289,0.140751729745347,0.139324429057092,0.0,0.1390687639998693,0.1447993993061685,0.1225703337541468,0.1881377801786855,0.342620761672566,0.129845561376761,0.122768878923801,0.1570836649279499,0.133631318600378,0.1366828237737825,0.3049042009833891,0.1882424983093026,0.1468330720652421,0.1798904818814539,0.1427304376471722,0.125884317392944,0.19655892316945,0.1490015135012249,0.1280781869069597,0.1461033301112542,0.1339734680439483,0.1598993822025671,0.1688422558416851,0.121293707521989,0.1397917179375628,0.1572257341079472,0.1283100504873908,0.1450393706664813,0.1169726103563387,0.1664574231450407,0.1312952580647595,0.2208733773360737,0.1560685406852775,0.1373549228780973,0.2060562359568306,0.1359982332464961,0.1709481486515145,0.1726407316708932,0.1357534210872977,0.1298744736237449,0.1122412120898437,0.1940380004986758,0.1350224039419093,0.1777093060512711,0.0976328296971139
