ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,0.1291234838134103,0.0846475939611662,0.1415317521667773,0.0830583071358124,0.1162390795458759,0.1248722056368749,0.0768151924487695,0.1127655274552253,0.0981991189960608,0.0871734255662476,0.0886595206432537,0.0950449225814452,0.0792295919360166,0.1062027508653229,0.1612544943352833,0.0860468867032036,0.0918408451455369,0.1526547251658886,0.106490367607303,0.1315750699287519,0.1154842766914923,0.1005368872284435,0.1124700027536408,0.114879379959249,0.0962847759300011,0.2180209354800799,0.1366065623451809,0.0771227905393188,0.1017486767548323,0.2046318309325181,0.141977528691961,0.1044697060769892,0.1300090620149133,0.1201408709349765,0.0805617095381057,0.0933212603856181,0.1057214736598607,0.0980784594086164,0.1209772990935056,0.1229473332673066,0.1111996570969833,0.0906962737086188,0.0910193395917394,0.1114493765950918,0.2871640875643789,0.1282228865936563
AL,0.1291234838134103,0.0,0.0607226808757475,0.0476079943396628,0.0592911194273698,0.0444835338701957,0.060665597734529,0.0555538528929238,0.0488736796845087,0.0702804669763473,0.0602197737002979,0.0652751362341284,0.0467960957489018,0.0634042992134312,0.0673344449766929,0.1420213217655217,0.0732175075699903,0.056737833672019,0.1414899632713692,0.0458334484522372,0.0681913655224865,0.0530238776025218,0.0787060296625422,0.1195741126457587,0.1106683923200798,0.063407061038766,0.2349921452147915,0.0765784845826499,0.070180162052197,0.0567879427741411,0.2440174307815622,0.0721973821937875,0.0524826425068073,0.0629670524779861,0.0855569133254301,0.0720198173587354,0.0651568312644165,0.0602501507986562,0.0669747476914303,0.0534788777651862,0.0539248652809638,0.0615249527073241,0.0604714816649716,0.0628911313498161,0.0588312038805729,0.2905745009393307,0.0518608763645978
AT,0.0846475939611662,0.0607226808757475,0.0,0.0755437356427982,0.040044582908992,0.0494424402956304,0.0497884210356187,0.0112410611483537,0.0622402369640113,0.038426120705169,0.0118678210333376,0.0361651292461884,0.046795206879864,0.0482867133930465,0.0460219098371276,0.1236827360588637,0.0383752256621162,0.0337612371245312,0.1412680572683126,0.0472160070661298,0.0742284380457125,0.0396158817216233,0.0618507451145916,0.082791932874887,0.0697834651927503,0.0434480617007974,0.2162452467558524,0.0855804251221665,0.0227358022524523,0.0374431473504908,0.222120831322793,0.071061020168341,0.05155372640469,0.0683770482355689,0.0724386243908382,0.0319421606542604,0.0411980539381212,0.0458695327166199,0.0582524500434793,0.0649809528781308,0.0562331506033488,0.0489296251056194,0.0385310334113521,0.0422770017552757,0.0344589950288481,0.2836219998476762,0.0595393484480143
BA,0.1415317521667773,0.0476079943396628,0.0755437356427982,0.0,0.0761133667526848,0.0581558373097926,0.0865642906883401,0.0747783829651824,0.0751194535901819,0.0776425465995542,0.0827870543843695,0.0909812876524899,0.0780341994525812,0.0889885084501355,0.0840278239875955,0.1433633421033898,0.0868906780510651,0.0794650500749951,0.1670327204864539,0.062289393147163,0.0627141061914752,0.0747114891127229,0.1036617436568029,0.1446758426751444,0.1300313966350431,0.0861419767075372,0.2432537392718472,0.091060967611549,0.088126156496104,0.0861441015031955,0.2350097806525186,0.099503647642171,0.058160301809979,0.0671573219126354,0.1168627814678782,0.0962887697854757,0.0794742776227754,0.0720855536189996,0.0911148198807075,0.0778514790279915,0.0438310876660539,0.0842581944675889,0.0864453608912125,0.0662087643482561,0.0705484588530147,0.3177249418078317,0.0693610859352081
BE,0.0830583071358124,0.0592911194273698,0.040044582908992,0.0761133667526848,0.0,0.0637123524119676,0.0784224527870305,0.0308777282499898,0.0858911948988702,0.048760507843147,0.0416021529175112,0.05213963732691,0.0635238753796363,0.0445034733788672,0.0583463689444151,0.1575918298591847,0.029804174960078,0.0528733605502376,0.183431077464617,0.0689280179571535,0.0818363660627644,0.0695928144697521,0.0869656696534052,0.1146888610229048,0.0872937995466996,0.0594947927844485,0.2522751926099176,0.0940020051972986,0.0492142223760249,0.0714691503894923,0.2444620391011722,0.1019943362992938,0.0668844794903993,0.086756542066709,0.1104571395426718,0.0295059952451318,0.0394343797527759,0.056020592566672,0.0682507194292855,0.0852057248206877,0.0693497314762277,0.0822692835923422,0.0314818215027332,0.0469924951691634,0.0518582891945869,0.3156661151113057,0.0758961456721254
BG,0.1162390795458759,0.0444835338701957,0.0494424402956304,0.0581558373097926,0.0637123524119676,0.0,0.058188321486521,0.039987811651455,0.0482741756335646,0.0457873882595063,0.0546556103457352,0.0565608489887862,0.0407206483605954,0.0556654619485231,0.0690958049949836,0.1414534541737481,0.0580220105469957,0.0432223579635511,0.1481547927472867,0.0255534250177215,0.0414290685024394,0.0352945234930357,0.0745139825001737,0.1075232152929002,0.1035136367388211,0.0397668918689593,0.235393699383707,0.0609088692135721,0.044096622677042,0.0408978463765384,0.2288971003369558,0.061761028209856,0.0504069865137102,0.040593812835361,0.0661531994159612,0.0657707516175722,0.0625909920339218,0.0354326261680089,0.0569568047145145,0.0386612528865062,0.0294823018670712,0.0490165337925377,0.058267238597415,0.0411036668553588,0.0445949011705554,0.2920129306797469,0.042035002921789
BY,0.1248722056368749,0.060665597734529,0.0497884210356187,0.0865642906883401,0.0784224527870305,0.058188321486521,0.0,0.0421045327415621,0.0741533713223029,0.0670989870141105,0.051576468599948,0.0630359139092228,0.0401209205096166,0.0718618719112641,0.0635041507656613,0.1397712925007417,0.069271525083704,0.0585685015235967,0.1517267129659096,0.0647665853233714,0.0907096245424541,0.0707986800640894,0.0826266210175298,0.1136268878790209,0.0956936467447608,0.0749344564260365,0.2413460855351641,0.0872721644225128,0.0524827567963194,0.0324540672069681,0.2449108322794086,0.0500309161605625,0.0511046918513194,0.0910356044120894,0.0866826166495159,0.0749022546896364,0.0656540928763884,0.0709038230356683,0.0842955585137998,0.0680681046876143,0.0583527076084914,0.0192276547836682,0.0656610652666724,0.0789379279589639,0.0617743679746923,0.3153417394001184,0.0334118295129015
CH,0.0768151924487695,0.0555538528929238,0.0112410611483537,0.0747783829651824,0.0308777282499898,0.039987811651455,0.0421045327415621,0.0,0.0579664564406241,0.0382461347216139,0.0142482908147758,0.0303107084907247,0.0352939683383281,0.0327515933869416,0.0414441111707127,0.1197188985896707,0.0252306206366871,0.02944350588329,0.143099346548111,0.0403789673557235,0.071620238403992,0.0432108557133273,0.05638432201302,0.0835754945057738,0.0615991432983081,0.0339828847209565,0.2215833683840293,0.0735126077010465,0.0177794592814778,0.0298760593167379,0.2246363166545182,0.0631650110624989,0.0420290690584895,0.0572897626746654,0.0631577295689574,0.0254059266216012,0.0291716602088405,0.0362559286818396,0.0466286908223025,0.0504651509142256,0.0449518833275639,0.0400601647129046,0.0295805743173153,0.0393559748497271,0.036846898853352,0.2894141565143612,0.0513260287123709
CY,0.1127655274552253,0.0488736796845087,0.0622402369640113,0.0751194535901819,0.0858911948988702,0.0482741756335646,0.0741533713223029,0.0579664564406241,0.0,0.0778804136369831,0.066802347229452,0.0668841063446706,0.0454161232514613,0.0594371668472561,0.0621056735394951,0.1442081715477186,0.0790277082563074,0.0488188337572933,0.1101288345742081,0.0230170190177028,0.070983842001444,0.0589559264159448,0.0574580983615915,0.0858467768457236,0.1139831291697024,0.0565108957560814,0.2184306944820286,0.0716720222547593,0.0616236984144972,0.0505203945177756,0.2256817291162887,0.0682139534989821,0.0590847708528253,0.0654627569786496,0.0477298563601913,0.0779223588005535,0.0831362890763347,0.0471831890399156,0.0395705811636649,0.0528454692608884,0.0615978214013728,0.0615010225264164,0.0757116980019867,0.0619851943559498,0.0689704757156027,0.2453518103582845,0.0608412913701235
CZ,0.0981991189960608,0.0702804669763473,0.038426120705169,0.0776425465995542,0.048760507843147,0.0457873882595063,0.0670989870141105,0.0382461347216139,0.0778804136369831,0.0,0.0466679360185655,0.049057435389106,0.0573132551929383,0.0631882617015239,0.0545773614488576,0.1551950203988897,0.0549873327676048,0.0407162313050039,0.1576702507878301,0.055112884195972,0.0521087323593675,0.046197427986397,0.0781499231892025,0.0969343269168104,0.091339637986414,0.0582319107050723,0.2430178686436936,0.0723480006902862,0.0483967134986441,0.0555136228576741,0.2341460832450282,0.0807641417535419,0.0590054609126311,0.0636446257967094,0.0885301264124304,0.0480732157495014,0.0465692860133157,0.0537052052806887,0.0724517966223852,0.0678250216854702,0.0555718436456142,0.0540371103978795,0.044439711844187,0.0297287018498179,0.0177567275892354,0.3085199613504806,0.0509660896283606
