ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,0.3070515088413459,0.2152883973854873,0.1930748053455473,0.1346523928394664,0.2259756366257289,0.2969297985045306,0.220765319000614,0.1953606773091928,0.2590394084748089,0.2031912131620226,0.2986389926936552,0.1757549252973211,0.248848168998398,0.6011160566407272,0.254989350752355,0.1920855876123673,0.219806302007503,0.2699205464630899,0.2523916150793897,0.4634816005550266,0.3364132266309785,0.1790385057214882,0.3439069226093106,0.2742217595682327,0.2042378069492015,0.2278870082727075,0.1975428619460424,0.2178867798132289,0.255767451767364,0.2808565044601135,0.1689556304743589,0.1948725187580444,0.1448961873215145,0.200433904247959,0.3047107069752011,0.2531463319074354,0.1911107118805022,0.2841538851377904,0.2351501532473898,0.2561618514340942,0.294607671197225,0.4018822959080359,0.2775111042565145,0.3185357406374981,0.2685334532429062,0.3209328766507896,0.2374572220742828,0.2187350436210468,0.2632908740711168,0.1908367104703441,0.3091002604629588,0.133557265335068,0.1532474850375391,0.1625666188079009
BF,0.3070515088413459,0.0,0.2667228880694384,0.1726480553988049,0.2218147125033394,0.2081652891645384,0.3275424113640187,0.2007927222055852,0.1422679338807092,0.1889596574315735,0.2948299283604628,0.3672339549982409,0.2615156174731166,0.2515807310752995,0.7078165271219665,0.2832703158376681,0.2218808193339515,0.2675695346922151,0.2709458099148323,0.2658151752528026,0.4869821432653587,0.4047813417758119,0.2576720249650195,0.4355987793178624,0.23624641261708,0.2977443964383487,0.2740214639498869,0.2038556336403594,0.1986045622208883,0.2112474196499584,0.3079679429730908,0.2784546831581477,0.2922800956455477,0.285746881905734,0.3041911914677263,0.2445944772028829,0.2882030162983497,0.2818615195249674,0.3437770811449755,0.3448460270822868,0.270444147812794,0.1806934300205943,0.4256673195670095,0.2874066194770273,0.4199008499009994,0.3652762916932954,0.3432682072881828,0.2317591828895475,0.2269336608851518,0.30034625680854,0.260648504662484,0.3975575983693925,0.2897791327928822,0.302721647711065,0.285886812486404
BI,0.2152883973854873,0.2667228880694384,0.0,0.1842935063509077,0.1586816341673235,0.1422554850887117,0.1570257404464233,0.1243597066411977,0.2052602908601095,0.2005657152885485,0.2435965744923293,0.2206175099123341,0.1557080836176532,0.2358197856253093,0.6405585026305917,0.1338307543737593,0.1878675311932252,0.1938224511994735,0.1469458624400509,0.1986840710985127,0.399111814801362,0.338676679229042,0.1686301734537334,0.3113443319066514,0.1930125550257836,0.1767800500917756,0.2313253732772853,0.1638950658903385,0.191993686269837,0.1517105377721294,0.2201112424012248,0.2209582349774164,0.1650169805453556,0.205356942512671,0.2425073422111363,0.2147665708185724,0.2125684617279382,0.2299458741004618,0.1887814263137764,0.2580672061384863,0.1432672259597761,0.2186998758183278,0.3162501610093506,0.1220572100829687,0.3194257237386717,0.2276506989723477,0.2245179944089946,0.15966752023627,0.2085874072016684,0.2209119471947829,0.1559848612411392,0.3465725625064011,0.1751696940697981,0.1847899107235102,0.1453083478499228
BJ,0.1930748053455473,0.1726480553988049,0.1842935063509077,0.0,0.1666855862222251,0.1532365686116736,0.2419308450490331,0.1238214883149422,0.110381604860908,0.1164736091120015,0.1845013597295348,0.2933774402472623,0.1324029569136458,0.1686189920908984,0.6091143620076613,0.2485476150763949,0.1017496152662917,0.1502606406671746,0.1904431619044921,0.1923732322525412,0.4484970984577017,0.3107562963217796,0.1689025465666104,0.3258046709046542,0.2102875172074122,0.2007815667937702,0.1488371096962286,0.146735925882758,0.1489760696870347,0.1636361488377271,0.2221314199327859,0.1743596861808773,0.2010454684747186,0.1850269963524289,0.2218268471569888,0.1967144373016374,0.1793924540310908,0.1566603975930429,0.2839241515256477,0.2379982782030048,0.1989134825532743,0.1829680100549096,0.3413271976060062,0.2127683344574726,0.324752618801278,0.2728429054576106,0.2786951682172197,0.1056042368357267,0.1579702802280126,0.2273824221480991,0.1845338024437344,0.2764066324430871,0.1737411351859602,0.1934045272268691,0.1816153027875279
BW,0.1346523928394664,0.2218147125033394,0.1586816341673235,0.1666855862222251,0.0,0.1740083793105917,0.2498930506677186,0.1857012377057217,0.1767453901259982,0.1888800996347398,0.2290969124014665,0.2485765521321716,0.1669930033417772,0.2011458778713892,0.6164185073639861,0.2100575290121429,0.184349132040574,0.1824894822507583,0.1963758741722866,0.2331565790298306,0.444883247794128,0.3524647743687845,0.1534794171031334,0.3250040249345605,0.2030498144732251,0.1062342799483748,0.1974579249311415,0.1564635934420245,0.1576041780469187,0.1950807733250359,0.2335069517824844,0.1544438642827605,0.1332244434769308,0.183361443390471,0.1542802813336043,0.2575442958306262,0.2281966125169616,0.2007051828693167,0.2361707741430588,0.2243508119498432,0.1841905165967912,0.2267219539889824,0.3383904798543563,0.1878552655245828,0.3407707586280927,0.1892882978849981,0.2769247490403889,0.1929829938612273,0.1795286403917555,0.2250065361086572,0.1588328385354266,0.296012321468279,0.1041603677268918,0.1202878670499647,0.1045878606842363
CD,0.2259756366257289,0.2081652891645384,0.1422554850887117,0.1532365686116736,0.1740083793105917,0.0,0.2125787682821562,0.0813867633695563,0.1318599106286495,0.1618816503036861,0.2611596511380329,0.2774075360428557,0.196517719216769,0.2633266444136801,0.6861735379037629,0.1576569301405472,0.1606311055363269,0.2102200712521759,0.1946977944963541,0.2049579160042618,0.4117331566651034,0.377042418699641,0.1811385541477836,0.374889214198169,0.2156694916779921,0.2421799406141229,0.2608707319250167,0.1865388021228138,0.1997845175737658,0.1521880432672711,0.2509503404580659,0.2391632283845409,0.2267352515121955,0.198702206829054,0.2422577102072003,0.2424421722781208,0.2124376691562324,0.2536278490056699,0.1929645375272661,0.2566711318237955,0.1771518296269001,0.1940127051185405,0.3649828680258175,0.198917519204126,0.4062277936861409,0.2936256661508386,0.2507445211679329,0.1577385258578998,0.2162936702384675,0.2480141335372099,0.1693196843459241,0.3763199896079439,0.2135675508070201,0.1901905772666144,0.202010626853593
CF,0.2969297985045306,0.3275424113640187,0.1570257404464233,0.2419308450490331,0.2498930506677186,0.2125787682821562,0.0,0.1938984349759809,0.2661739928774935,0.2449613443172136,0.3238938394823432,0.2972266891751468,0.2336967453879779,0.296435028067736,0.6698369801250054,0.2368409083670786,0.2476504274149294,0.2504805081570594,0.2229789756358793,0.2646030069469823,0.4402959489280952,0.3666397613068796,0.2461149424009934,0.3507116192420993,0.2730651003274794,0.2777788462583751,0.2939130061419084,0.2488716197322897,0.2669132903297202,0.2144740704953868,0.2960185759847427,0.2774241666510869,0.2435448654161914,0.2911232417290121,0.3127939834968836,0.2839126752280662,0.259946973140104,0.2994157939105406,0.279629137078363,0.3347558623915612,0.2418994090850592,0.2802521903638912,0.3869525886071283,0.2116189043171047,0.3685622691735101,0.3104387448452635,0.2650577480126088,0.2162213978562706,0.2764414696708739,0.2919149765776512,0.2456360582965639,0.3872529300078881,0.2657597508096716,0.2484516700866765,0.2305957313130876
CG,0.220765319000614,0.2007927222055852,0.1243597066411977,0.1238214883149422,0.1857012377057217,0.0813867633695563,0.1938984349759809,0.0,0.1285308881732385,0.1529417314227525,0.2407910167826441,0.2298109245399042,0.1481486743280103,0.2256331156754281,0.6337600260765603,0.1389598986155626,0.1343837451722236,0.1898748878048469,0.1640277032926703,0.1965243928643834,0.3895584942837869,0.3588776483626368,0.1773121181286019,0.3489695670118483,0.2184187687194608,0.2081535740113843,0.2078884820600515,0.1481945362738392,0.1866015781180825,0.1217315696954224,0.202755567035081,0.2198844317143146,0.211984143311147,0.2109851034939422,0.2512338415003203,0.208821231135336,0.1876415271995816,0.2214814437968369,0.1946427813745751,0.2718624996369749,0.1585660024379828,0.1713943607556538,0.3434156502291444,0.1692465861852632,0.3705846636257977,0.2625668273361959,0.2394604844370468,0.1286949944678312,0.1917276209760394,0.2191131982243869,0.1512386031365949,0.3371695052858132,0.2023135193123281,0.1947606267923614,0.1922771963728676
CI,0.1953606773091928,0.1422679338807092,0.2052602908601095,0.110381604860908,0.1767453901259982,0.1318599106286495,0.2661739928774935,0.1285308881732385,0.0,0.1462476704998261,0.2317859802864961,0.2896208144205796,0.1773577771405994,0.2061701049827647,0.6315151270376393,0.2331220631401916,0.1411372633713166,0.2105700269946708,0.2180159617034691,0.2025514917913957,0.4362606885888194,0.3653946250820066,0.1810063837923192,0.3760380331524627,0.2140478272988404,0.2408922522234675,0.2108793024011666,0.1413481470833588,0.1588528863122127,0.1722788297157069,0.2280991201201646,0.2071769741413851,0.2434138642647085,0.205556014436514,0.2250397416487735,0.2142726142324054,0.2226626149967553,0.2042556102594712,0.255595008720748,0.268534627005266,0.2248878909301865,0.1425523625617326,0.3761926714391169,0.2532976444436705,0.3885817851694544,0.2934267629970337,0.2820903012470246,0.1575250046370158,0.1697204675891357,0.2562087773670114,0.1868330347029498,0.3257133184487537,0.1875187160949216,0.1991239401947205,0.2232797931197543
CM,0.2590394084748089,0.1889596574315735,0.2005657152885485,0.1164736091120015,0.1888800996347398,0.1618816503036861,0.2449613443172136,0.1529417314227525,0.1462476704998261,0.0,0.2468826362410835,0.3163686584708545,0.1912447925574412,0.2150246080471801,0.6612704566077252,0.2558352239178059,0.166365295576147,0.1474001272644312,0.2020711806099103,0.226049704426692,0.4586492824231412,0.34695758493735,0.1769386725991657,0.3641761641632297,0.2135547304319042,0.2447551045776826,0.2156711328395949,0.1874128154117457,0.1720986603502504,0.1692954887696092,0.2611676022024521,0.2216197673075239,0.2483889190201904,0.2327554932604276,0.2816268864323925,0.2305903355229523,0.1666084081393479,0.2314297647686298,0.2825524080760447,0.3040609372425916,0.2115492734070875,0.1718421525612028,0.3692228621227489,0.2136636090035453,0.3491629092539621,0.2974440897578996,0.3179976833312172,0.1582350495735256,0.1978779052642808,0.2254885237074658,0.216139240150057,0.3549650662148208,0.2300132911934143,0.2408527030837585,0.2231257217519815
