ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,0.2214297739878329,0.1779339783118623,0.2418159724342796,0.1587908425803165,0.211520694201131,0.2585263262326913,0.1593553018628959,0.1908892776081897,0.1950327435594551,0.1841967726850074,0.1904608276670046,0.1835410653669774,0.1274441559134971,0.1901449186442724,0.2689631322142032,0.1652242896048618,0.1713811014565439,0.2184237805539298,0.1993822991839923,0.2105488848823073,0.1930156776309453,0.1930415957229319,0.2179588477480023,0.2207668073170938,0.180682295928967,0.3030954154287829,0.2331412771080092,0.1443170118393304,0.191387863058418,0.2913901544029497,0.2114889785731962,0.2164836645039329,0.2111554744704686,0.1889301959260817,0.1826842706611495,0.1936927376247155,0.1924995130055571,0.1633612902634588,0.2218307495903068,0.22283515372501,0.2478322957127787,0.1892729716440147,0.1888354254261803,0.1942935372397342,0.3979656771363894,0.2182312731307087
AL,0.2214297739878329,0.0,0.1693066917886566,0.1642713049835144,0.1647901868587686,0.1645087499601972,0.2313102671799598,0.1568616173172041,0.1545483044899018,0.1825645672690015,0.1686566218850094,0.1967631411483107,0.1738261859452718,0.1779784611841078,0.1935901921151029,0.3074894390206337,0.1746316594381798,0.1752441391295141,0.2774686350622679,0.1443710333561774,0.1628536210891678,0.1727188400029293,0.195820342893237,0.2544866516254173,0.2388309643940516,0.156382020827945,0.3447300089455091,0.2154068800191075,0.162176206665578,0.1680760244379118,0.3389720834691611,0.1649048058841717,0.1415062551618582,0.1061307243280543,0.1834135633978626,0.1811462301384927,0.2005097215459637,0.1812504987556394,0.1890882702776867,0.1839683434066339,0.1486697495792747,0.2221231658126958,0.1915898821509686,0.1612018860826279,0.1709231523606247,0.4352136334592256,0.1784623110334288
AT,0.1779339783118623,0.1693066917886566,0.0,0.1621940159002737,0.0953966675426273,0.1421904920965045,0.1987198597196064,0.0681060888579725,0.1379886730502606,0.1054162785092809,0.0551796193691788,0.1183094367969955,0.1184932222319651,0.1225017210959912,0.119831300753374,0.2576762897754975,0.107338089888369,0.1002771116695652,0.2321556758867391,0.1363981999814275,0.1294792707462064,0.1061364923016475,0.1301383451517015,0.2033403524610295,0.1781694078423983,0.1284118696660441,0.2712028321947021,0.1742499410546247,0.0975986624556934,0.1176453077182404,0.3022250054277515,0.1448070676198464,0.1555098916413253,0.1490416367949031,0.1518205667379657,0.1074574774585909,0.1316383267612333,0.1236381596043109,0.151842129945085,0.1543692376105787,0.1475135385659214,0.1852294131572489,0.1177896361920975,0.1034804957171243,0.1018622985692593,0.4216300921908757,0.1447075455874239
BA,0.2418159724342796,0.1642713049835144,0.1621940159002737,0.0,0.1774498689493191,0.1524513993154401,0.2330020499124128,0.1724389072247316,0.1667275887197744,0.1663031240007918,0.1783939089648822,0.199954902908413,0.1849798313256092,0.181224450847859,0.1979754895203457,0.3231293804822214,0.1932308889156818,0.1776213286682622,0.286894253588615,0.1585343728417074,0.0934895593915113,0.159292843450711,0.1953071241098856,0.2605971515211928,0.2583255152116721,0.1862254296848424,0.3538991562872519,0.2096567443420044,0.1803834574800624,0.1738651867487852,0.3594667319406094,0.1698479134207159,0.0808533772403544,0.1099908808676477,0.1975477459067492,0.1888224999505924,0.2111342598022932,0.178662947460665,0.2015787199297793,0.1794711071424602,0.0692108034339401,0.2278728222072358,0.1890982302526399,0.1162060563846074,0.1575501173856094,0.450747254580337,0.1728231081107545
BE,0.1587908425803165,0.1647901868587686,0.0953966675426273,0.1774498689493191,0.0,0.1357816671783951,0.1780088044290197,0.0745331002102586,0.1313767182017871,0.107727954864409,0.0879264278521219,0.1045244584771653,0.0993240455953073,0.1039548390161303,0.1054357370946534,0.2433206004357777,0.0605041784632092,0.0853119395469484,0.2226390031292401,0.1273156246334833,0.1413798556052781,0.1146029742758146,0.1212468048891272,0.1904758868965206,0.1608774481512822,0.1174336650433217,0.3029432185163676,0.1719363623716971,0.067177124206299,0.1049059832564333,0.2790379801535881,0.13311295345597,0.1581633436895739,0.1503913542000936,0.1433904732623303,0.0620183037854693,0.1134256613072998,0.1082716288172329,0.1340684906052056,0.1468202016510839,0.1515020727997481,0.1597950992951446,0.0999162495761702,0.1138486592659995,0.1083190443117227,0.422090375498785,0.1367848940127771
BG,0.211520694201131,0.1645087499601972,0.1421904920965045,0.1524513993154401,0.1357816671783951,0.0,0.2073766852421439,0.141181212955358,0.1304909234398341,0.1249109617798024,0.1395833461024863,0.1592087365708853,0.1360541870588676,0.1455015626325614,0.1560092839231985,0.2990765798746676,0.1447922856722753,0.134071508135956,0.253965361476324,0.104770581624869,0.1315226692684836,0.1129218892330921,0.16179625083622,0.229971085782323,0.2242889527392489,0.1440519165679272,0.332406236712789,0.1703499379332638,0.1487178984052879,0.1292538137280827,0.319617377527932,0.1312118603864107,0.1532344456364422,0.1163749265956985,0.16373817953212,0.1411774233612467,0.1739798245908801,0.1210727051505445,0.1625126329127348,0.1132327864278328,0.1332415634231125,0.1932970976225622,0.1562052919084671,0.1298389027904605,0.1176612018166011,0.4260897354149443,0.1319442667169174
BY,0.2585263262326913,0.2313102671799598,0.1987198597196064,0.2330020499124128,0.1780088044290197,0.2073766852421439,0.0,0.1680594179308322,0.2239830611568634,0.1670571633943126,0.1707906652862215,0.204467013417992,0.1374299316728283,0.1911856327434691,0.1704291600794015,0.316385180774889,0.1613749457573652,0.1807345551500561,0.3433552377689054,0.2131296581036692,0.2307045226744624,0.1977789676589663,0.2397827960893379,0.3065237433970459,0.2384667149399042,0.2304410335325467,0.3955972921219148,0.2534158590923882,0.2014442912725773,0.1412430985624393,0.3721819534172312,0.1269813873053094,0.2185886397721224,0.2358249836906719,0.2760590069931503,0.177231740343511,0.1944838421873272,0.181417585355282,0.2613277790216473,0.2338006654317063,0.2066703148337962,0.063755402358941,0.1751118636832159,0.2103884667219376,0.1933806382112903,0.5260789110287436,0.1123191886866974
CH,0.1593553018628959,0.1568616173172041,0.0681060888579725,0.1724389072247316,0.0745331002102586,0.141181212955358,0.1680594179308322,0.0,0.1385401150281505,0.1029031720447761,0.0619546872818393,0.1049123559827566,0.1010472307244958,0.1046617916109394,0.1040969080115479,0.2372814148846008,0.0703492749361132,0.0855606091480654,0.2292510288256869,0.133087632808446,0.1407185093281282,0.1145328151918017,0.1247518308452706,0.202429084423113,0.1511001034300896,0.1141868809409819,0.2649052793699238,0.1826975072745553,0.0864065080095515,0.104824762585683,0.2831931571350835,0.1354684098574861,0.1549517782433541,0.1478253496403572,0.1560088834575597,0.0895970493483541,0.1104753573593659,0.1130295270502139,0.1385593159631145,0.1555206368530421,0.1481691789940243,0.1483449286908242,0.0971692342968857,0.1119585216682588,0.1093735979237264,0.4266760203808137,0.1354885242894968
CY,0.1908892776081897,0.1545483044899018,0.1379886730502606,0.1667275887197744,0.1313767182017871,0.1304909234398341,0.2239830611568634,0.1385401150281505,0.0,0.1442478247310891,0.1497618900152992,0.152157234076753,0.1414856199177988,0.1462222580508823,0.1583159936987057,0.2870703592253145,0.1497335293156714,0.124339245120293,0.2186320213678869,0.0773831027015522,0.1370947126783714,0.1294436841144063,0.1333091257799674,0.1905984410208612,0.2124652029426017,0.1341391001797501,0.3135669855633878,0.1613020385233164,0.1253851660787759,0.1359025283535295,0.3061911706309607,0.1389021281937857,0.1543944364341287,0.1288980490430821,0.1167296662383877,0.145035326128325,0.1685928983159654,0.1431615804399593,0.1458401600408481,0.1495658901158555,0.1549384370091284,0.2174062963355159,0.1585591173467099,0.1344073813913391,0.1348482290866708,0.4055227630882856,0.1507182427709478
CZ,0.1950327435594551,0.1825645672690015,0.1054162785092809,0.1663031240007918,0.107727954864409,0.1249109617798024,0.1670571633943126,0.1029031720447761,0.1442478247310891,0.0,0.1043903931418223,0.1159493771192015,0.1107921870194943,0.1250539480184286,0.1131460058647557,0.2685755528569913,0.1080010047389413,0.1015730407208078,0.2469851808651119,0.1296838702257211,0.1284425625784998,0.0966980748253649,0.1364143127503593,0.2110152967691583,0.1871747942956518,0.1367433935954075,0.3137045345915854,0.1669302308511218,0.1303443789022134,0.1091592139931627,0.3140716807845825,0.1351086197805884,0.165214397974065,0.157266698019145,0.1686400492066405,0.1130834426958852,0.1293265743732763,0.1077991384281439,0.1613873660722549,0.1442750351787057,0.1500755052810584,0.1652397550536123,0.1163967999942425,0.110275482710783,0.0476749897713104,0.4358839822901063,0.118562727903709
