ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,0.5825176337165221,0.4164547922282993,0.5017780176621257,0.5341233723832695,0.4948145770310899,0.5640691074045505,0.5195586488976902,0.5562395767885312,0.5842466621757969,0.1857297021614783,0.5149128448666407,0.6046064571984886,0.7941400890544659,0.8580661140264383,0.5621599189083062,0.5587308565665099,0.6264836796320155,0.5349877735093247,0.5249216120681521,0.6471787710318659,0.3609346435540619,0.7099247862345507,0.5599048092840488,0.5108885747118673,0.6361472868733822,0.7124448337580742,0.615007768710861,0.5713539173779252,0.5453717292883868,0.5899218037540601,0.5655898162905557,0.5747868251507131,0.1848028743442953,0.566068011976071,0.5010873688190455,0.6791363847790866,0.5925312900397743,0.5787871108059284,0.6125644854908061,0.6044779360968361,0.5715239131189331,0.6447410571753631,0.6169721561278926,0.384578995649105,0.6350679615648935,0.5479276775797742,0.4841839711805973,0.6399716593281007,0.689522427936156,0.5438464441538732,0.5784534187147669,0.5330216395035985,0.5795300209696588,0.6737641755596865
BF,0.5825176337165221,0.0,0.3966353794249246,0.3361464561497767,0.5893875254389639,0.3673127640442044,0.4672183382944763,0.357158105116658,0.2595312451531683,0.3876840604836612,0.5690175172323694,0.4868643589465554,0.5673506811557725,0.7605840959561745,0.8612375622211726,0.5795381045580253,0.3914700946866911,0.594135950509742,0.4844020265609323,0.3112341499079263,0.664318388277897,0.5064427335293484,0.6906437628556958,0.5233042586637919,0.4379934149084802,0.678513580014242,0.6826156186767374,0.5960777685721617,0.5339988461962119,0.2668646561334011,0.4922280389201365,0.5989162738083909,0.6013930305343915,0.5382792512622232,0.6281847638842821,0.2665902653672958,0.6036255316722774,0.5981221698987473,0.6109571204902005,0.7002442076575716,0.5618662754835482,0.4291315503607382,0.6173368400377133,0.5598376287442803,0.7010831260125436,0.6913147882258728,0.4422148142610804,0.3101603986950184,0.5982326136130445,0.6817060476639475,0.5744250008170638,0.6119988191782217,0.6461210241384754,0.5584656774970251,0.6380561015452366
BI,0.4164547922282993,0.3966353794249246,0.0,0.2960923694948641,0.419499113217427,0.2951993548377111,0.3945507856728424,0.3425027485342787,0.3750401606907572,0.3971921222693502,0.433325685452019,0.3809857566598318,0.5225721942381827,0.7235578455214793,0.803379545280887,0.4438866959871959,0.3927369741632937,0.4828986240421511,0.4013224151104174,0.348546925578906,0.6057670766898733,0.3721193087173641,0.5582324463613897,0.4380274059043236,0.3533587198668445,0.5128233322071443,0.6356061095623236,0.5352952802613304,0.4440086058826057,0.3708385314687171,0.4550741683044587,0.4887900916051909,0.408402108508378,0.3812904056239747,0.4855352384581984,0.3002194817143571,0.5141172812703717,0.5586125503241204,0.3378012727710227,0.5344006428999046,0.4370021029487521,0.457393498464642,0.5109012159390229,0.4300264345932102,0.5976396346203223,0.5296973297918873,0.3772067074709178,0.2890778662223264,0.5742841761692878,0.4498445788890116,0.3484081701705357,0.5183320067637301,0.4493407262060648,0.4197452993746851,0.5387219269527223
BJ,0.5017780176621257,0.3361464561497767,0.2960923694948641,0.0,0.5237347430049517,0.3160942143275596,0.440833091499571,0.2716991180654252,0.2506291955735363,0.3247776906470909,0.5112227088351792,0.4545838149252785,0.5726861093250736,0.7707798618215068,0.8348419039801773,0.5584119513154123,0.3345769882973469,0.5123266322839387,0.474233095320193,0.2945019331871549,0.6249567655538365,0.4566658106214858,0.6673902430606924,0.4891339835640783,0.3943399219528863,0.6239173496667672,0.6884593337782383,0.5946689844160351,0.4653493454183377,0.3060188046802017,0.5147609055890434,0.5432952164485298,0.5159187291506526,0.4759450878425515,0.5572024213194718,0.2626818223694573,0.5190962618796635,0.5157833880576816,0.5618822853726018,0.6134491314599264,0.5009776511276285,0.4427033972065182,0.6201458454082102,0.5384763167066242,0.6634990224830315,0.6310793276583636,0.4049487142595849,0.1674838888271109,0.6036578224388687,0.6444913675988198,0.5006064023613915,0.5308605614225803,0.5514830385954305,0.4963012332992418,0.6171886338195556
BW,0.5341233723832695,0.5893875254389639,0.419499113217427,0.5237347430049517,0.0,0.5230799841821543,0.5747981064959508,0.5427766868395958,0.5788808779464638,0.5525569326806252,0.5637728720560269,0.5520184048251652,0.6027543926493535,0.772576622057195,0.7445123409056995,0.4088153702019553,0.5808450610767915,0.3553876982538597,0.4121748411829964,0.5787610827157732,0.6489077656564048,0.6012002219653424,0.4639114330421668,0.606942410055024,0.3891441781770532,0.1897005890872771,0.6862017394017723,0.6552326086528424,0.4054579142396608,0.5731079662052729,0.6232531603377578,0.4962778149291006,0.2264044501444503,0.4271947385203951,0.2963791819814311,0.4984402834602981,0.4082674663345464,0.5976174838011941,0.4095697335048643,0.5154688474393075,0.3089060472814458,0.6046603435731966,0.5711722597985056,0.2872651764681474,0.6891667386991474,0.2783330585260246,0.6131426961192661,0.4743574901140341,0.6277734030701764,0.4548627409264957,0.257481528313622,0.6423887468721432,0.25594016394878,0.1570247255181075,0.2370233167676531
CD,0.4948145770310899,0.3673127640442044,0.2951993548377111,0.3160942143275596,0.5230799841821543,0.0,0.4166715819704413,0.1484463166685565,0.3269221336956467,0.2752553269729786,0.5353168415907007,0.4900479987296555,0.566300040494229,0.7671905927693439,0.8322014416327465,0.5159511596817188,0.354965544319334,0.5362049199644835,0.4819964491998514,0.342320863473052,0.646031357270845,0.4694240076072049,0.6448954595062829,0.5115081998380635,0.4280185245553476,0.5945002932063836,0.6890796787917078,0.5803199020715959,0.4778993629218963,0.3581379300246011,0.5045555227496549,0.5627405941898298,0.5173308048887708,0.4816107917277323,0.5881127423637009,0.3400237557496925,0.5719271668105295,0.5811751376594536,0.4842736482426499,0.676281476825279,0.5060223420109302,0.4701475210976582,0.6070260648018944,0.5137637472046334,0.6668883200595654,0.613527392305849,0.4200599749416737,0.265371283320885,0.6164447102458288,0.5966318893515731,0.4663207391310633,0.5772947105079852,0.5795211595274411,0.4725278684203265,0.5895456305612594
CF,0.5640691074045505,0.4672183382944763,0.3945507856728424,0.440833091499571,0.5747981064959508,0.4166715819704413,0.0,0.4174610003346657,0.4801092840998981,0.4673836573104674,0.5435258971213994,0.4436567214402377,0.5525544419551578,0.6611107285114148,0.8076585799143419,0.5474253117367314,0.4852740266914667,0.5895505171599883,0.4940210385192554,0.4661826683956559,0.6341702099647578,0.4760901213950085,0.6839741089634989,0.5038602917608865,0.4712423386221687,0.6219959226049161,0.6320887701814181,0.552995471630777,0.539098419664738,0.4812797362826161,0.5002382059256602,0.5683467825423458,0.5627799817489605,0.5336065575996096,0.6061463234665401,0.4076939594410625,0.6437962264432658,0.6144533958741145,0.5739598200295818,0.5625130523133604,0.5526628548979972,0.5526362090310659,0.5772925274233245,0.5057467907998807,0.6398786092342312,0.6168654602237642,0.4558945927654243,0.4310642009417447,0.5770661133582033,0.6616377377759048,0.5213382521629476,0.5679852775532989,0.6023718239626298,0.5563998249423924,0.6355397955938471
CG,0.5195586488976902,0.357158105116658,0.3425027485342787,0.2716991180654252,0.5427766868395958,0.1484463166685565,0.4174610003346657,0.0,0.2914943733191912,0.2385834005210939,0.5536186589477523,0.4875829863342145,0.5867611821503831,0.7800536028396701,0.834866648982395,0.5762447502512025,0.3044389442288779,0.5608560361325137,0.4997271898414916,0.3187642429788246,0.6529421355916682,0.493794996597925,0.680942350363009,0.5116718843356162,0.4492230037568874,0.6236080391324956,0.7037283687667906,0.6034045827360703,0.4973194414734736,0.3281620363736989,0.5283052904857767,0.5562629189716568,0.5506291923612967,0.5199565070250424,0.5859569414793648,0.311759969316438,0.5805322931124286,0.5348214010799404,0.5569729584840237,0.6500455690783675,0.5412773121896577,0.4497458860195642,0.6402130964018902,0.5627748689427993,0.6841488747881874,0.6312071424776887,0.4147425540505078,0.2347040200254146,0.6184547466473457,0.6628326657548327,0.5182956726991341,0.5524624058916385,0.5756951762608256,0.5081764262223712,0.6255346740183034
CI,0.5562395767885312,0.2595312451531683,0.3750401606907572,0.2506291955735363,0.5788808779464638,0.3269221336956467,0.4801092840998981,0.2914943733191912,0.0,0.3198746636576741,0.5567217169458332,0.4729031489504748,0.5684457849785819,0.7594977864040621,0.8515746452108298,0.5972049364114992,0.3549174245273188,0.5692639814942231,0.4950728136883435,0.2391870149602544,0.6358640426579139,0.4986346760605032,0.7082131389386479,0.5036360968304644,0.4551988118267673,0.6762750022176265,0.6868096944681803,0.5897720277529679,0.5169141235247223,0.1997903176793004,0.5007455170273892,0.5661516000197433,0.5825420067204932,0.5216967935760787,0.6095739294567037,0.2529640805644875,0.622595309007117,0.5543406835463988,0.6129433903799775,0.67123548240264,0.5757897354703634,0.3832958496912773,0.6195561327237238,0.5939336237377223,0.7001256815013749,0.678831603451034,0.4118135979167047,0.2304419843797206,0.5893612872898477,0.6797119063620057,0.5703135871679301,0.5608749422703716,0.6135720857241288,0.5530905394470211,0.6484645011089349
CM,0.5842466621757969,0.3876840604836612,0.3971921222693502,0.3247776906470909,0.5525569326806252,0.2752553269729786,0.4673836573104674,0.2385834005210939,0.3198746636576741,0.0,0.6181896874777025,0.5635685261058899,0.6414952961944311,0.8037954377774148,0.8480111249657004,0.5722252869953537,0.3866226830367503,0.534422294161384,0.5120038281268868,0.3618338241885447,0.6237708564649505,0.5419492934016081,0.6797732929998354,0.5940484662192935,0.4743592902299833,0.6002878345371745,0.7330700227139524,0.6632867313597484,0.5451222199059594,0.3734355188417588,0.5884916924762156,0.6526753172930821,0.5624952545060107,0.5472971060402869,0.614403478458054,0.3495872895478816,0.5503551638366392,0.6592617781336005,0.5770295154254512,0.7106349015401181,0.500188756405943,0.5197024040758902,0.65815381695867,0.5426097519935534,0.718566287593703,0.6292581110005355,0.467305637450193,0.2705364265281501,0.6849391001562165,0.6397772131532233,0.5226887149750501,0.6505610086106591,0.6190550183719135,0.4957772011136167,0.6019174014217235
