ISO_CODE,AS,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NR,NU,NZ,PF,PG,PW,SB,TK,TL,TO,TV,VU,WF,WS
AS,0.0,0.5915542520283148,0.6823145782304487,0.5998337612139124,0.666328914374122,0.5490178221321038,0.7811592998490162,0.662421625501531,0.5486431827895075,0.686387176394438,0.7418771117151753,1.0,0.5824181721681213,0.6388356273374952,0.6675185267602413,0.7232344471585859,0.6463340029526199,1.0,0.745523976069685,0.5444657981980398,0.8955441133350963,0.6278569591196435,0.8684861866896981,0.5511449208687929
AU,0.5915542520283148,0.0,0.5932543052690789,0.3438051157312861,0.6738271224306248,0.4112956586499825,0.739665634935649,0.6447159353018841,0.5534143661707753,0.5753568813847262,0.6726445461387256,1.0,0.1334695684074278,0.4861060635900117,0.4895036643314775,0.6708332300894105,0.5555552584624731,1.0,0.6105444135357289,0.5346040971074281,0.8287813681673929,0.5701171523669699,0.761489748449715,0.469003563383088
CK,0.6823145782304487,0.5932543052690789,0.0,0.6226800442362865,0.7382101790753427,0.6143155622940599,0.7800407482306408,0.7083061778639509,0.6414841942069058,0.7103921704659861,0.7417709049603813,1.0,0.5772392312491489,0.6595642952787626,0.7121253941643262,0.7764393809853138,0.6965963667162907,1.0,0.7736311778090491,0.6210061566749293,0.8861980573889839,0.6621147881294693,0.853788272709946,0.632397032960443
FJ,0.5998337612139124,0.3438051157312861,0.6226800442362865,0.0,0.6795682821289719,0.4785358968373095,0.6883114458503903,0.6277222646747189,0.6194954916869732,0.6129449164646577,0.628433173644072,1.0,0.3257353605419588,0.5360938174511598,0.3945791984872286,0.6918288715998546,0.5177619114814687,1.0,0.5480624893757058,0.5348747480345661,0.7583238364204105,0.5332701011713838,0.7944451942523749,0.4051010393614062
FM,0.666328914374122,0.6738271224306248,0.7382101790753427,0.6795682821289719,0.0,0.6270043665159876,0.784078313859066,0.6828932326768069,0.6336511755438103,0.7705131106055684,0.7520363150530894,1.0,0.6702450059111906,0.7142262382127247,0.7140924859652693,0.7214651795549621,0.700352343569881,1.0,0.7590713664878046,0.6577161899256667,0.8961096303121704,0.6946775474213598,0.8899323270626951,0.6790678967740376
GU,0.5490178221321038,0.4112956586499825,0.6143155622940599,0.4785358968373095,0.6270043665159876,0.0,0.7644248520626753,0.6310627202676762,0.4508822682078495,0.6109435056293959,0.7145792717966245,1.0,0.4060906866067114,0.5537776338851815,0.5650729032729289,0.6536453633194743,0.6075638130819747,1.0,0.6714479776887259,0.5239130466599003,0.8762616725930691,0.5884720907902548,0.8229124677035999,0.5080000298763345
KI,0.7811592998490162,0.739665634935649,0.7800407482306408,0.6883114458503903,0.784078313859066,0.7644248520626753,0.0,0.7503569727456453,0.7989939988002787,0.815877188138205,0.8041744497788286,1.0,0.7329955419647094,0.7820291736566479,0.7394269775574314,0.7862995895784953,0.7544831023805655,1.0,0.7826423347720236,0.7574560186394814,0.9095180961252884,0.7246163514616051,0.897475491432016,0.7314620282492514
MH,0.662421625501531,0.6447159353018841,0.7083061778639509,0.6277222646747189,0.6828932326768069,0.6310627202676762,0.7503569727456453,0.0,0.6648564067887166,0.7249863919806161,0.7496903506935542,1.0,0.636353457452263,0.6940759048128118,0.6945731000636872,0.7385245495046238,0.6622151290331701,1.0,0.7319076432051356,0.6411120955426144,0.8629160773837441,0.6557133959289586,0.8610079895111767,0.6345188351999868
MP,0.5486431827895075,0.5534143661707753,0.6414841942069058,0.6194954916869732,0.6336511755438103,0.4508822682078495,0.7989939988002787,0.6648564067887166,0.0,0.6425156057893668,0.7514625433157889,1.0,0.5720200819468669,0.6003402787278334,0.6729656578523178,0.7217946454597108,0.6393976464866664,1.0,0.7253365839672665,0.505455374765357,0.9008064753540296,0.5945737970007039,0.8806920019436488,0.5658331351971682
NC,0.686387176394438,0.5753568813847262,0.7103921704659861,0.6129449164646577,0.7705131106055684,0.6109435056293959,0.815877188138205,0.7249863919806161,0.6425156057893668,0.0,0.7781209702013393,1.0,0.5868786202131542,0.348316583287238,0.6432440412632371,0.788303782563128,0.6606680396573087,1.0,0.6886011435159705,0.6462306060260883,0.856491505394942,0.5979237968695177,0.6264579036284639,0.6237861117201082
NR,0.7418771117151753,0.6726445461387256,0.7417709049603813,0.628433173644072,0.7520363150530894,0.7145792717966245,0.8041744497788286,0.7496903506935542,0.7514625433157889,0.7781209702013393,0.0,1.0,0.6360190416486664,0.7156175701844267,0.6921886080924331,0.7743567178528434,0.7144085463548994,1.0,0.7802407802406117,0.715482263074358,0.8789849601114279,0.7079335122760857,0.9081541554671116,0.7070530132036037
NU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NZ,0.5824181721681213,0.1334695684074278,0.5772392312491489,0.3257353605419588,0.6702450059111906,0.4060906866067114,0.7329955419647094,0.636353457452263,0.5720200819468669,0.5868786202131542,0.6360190416486664,1.0,0.0,0.4984566749752938,0.4954557359966276,0.663909939410873,0.5542584530665939,1.0,0.620159710693334,0.5309345680663273,0.8034725973005323,0.5671284906135253,0.7750177783804078,0.4531495102184055
PF,0.6388356273374952,0.4861060635900117,0.6595642952787626,0.5360938174511598,0.7142262382127247,0.5537776338851815,0.7820291736566479,0.6940759048128118,0.6003402787278334,0.348316583287238,0.7156175701844267,1.0,0.4984566749752938,0.0,0.6049635826180646,0.7432532597188051,0.6040235202780125,1.0,0.6279579061121356,0.5899203971282512,0.8342363289754027,0.5516435833793012,0.7192408625337343,0.5493621391719361
PG,0.6675185267602413,0.4895036643314775,0.7121253941643262,0.3945791984872286,0.7140924859652693,0.5650729032729289,0.7394269775574314,0.6945731000636872,0.6729656578523178,0.6432440412632371,0.6921886080924331,1.0,0.4954557359966276,0.6049635826180646,0.0,0.7519047827217638,0.4971208536398256,1.0,0.5219900065426238,0.5956477018150719,0.8197951676743916,0.5665570742154433,0.7963132766409516,0.4590014294770062
