ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,0.1148871103434108,0.0754355845491996,0.0772169909806793,0.1322600740924383,0.0735395566350832,0.0865898723394799,0.0748698029970812,0.1116479709369325,0.0877764373306893,0.0847129426141615,0.0892489649985089,0.128282229438619,0.1897117674941383,0.1670792121000008,0.0890482757992213,0.0747310005519586,0.0923480167852067,0.0855522399948692,0.0873525325669675,0.1414207425995421,0.0960438277878846,0.1116264059724566,0.124837402253742,0.0786421762624305,0.0858711821882147,0.1795916529554018,0.1628517809108975,0.0920998723526476,0.0917584915541612,0.0909946469015076,0.1648970704438181,0.0814148679698144,0.0529745799865875,0.0994583356855943,0.0854014766188485,0.0874963240758303,0.146925105878184,0.0869461206156966,0.1454099531334829,0.1424259005748548,0.0892044028568033,0.1007108390877442,0.1075030598668337,0.0887288572419395,0.0993442455866876,0.1037354849732682,0.0753785919804522,0.203455482915041,0.1082543182987869,0.0911980606581989,0.1179205780972776,0.0839936172181562,0.0842136060114635,0.0855467798156436
BF,0.1148871103434108,0.0,0.0640424408483542,0.0535304391215091,0.1280327332960779,0.0592594591266278,0.0794558121950896,0.0599002477298881,0.0522618773686514,0.0648563268713497,0.1274181369570604,0.0766525427862064,0.1012845967506015,0.1767280436659921,0.1711776956348663,0.0825012684591325,0.0497541125097381,0.0810567256348511,0.0738707201836988,0.048142315946428,0.1392203067850234,0.1003381359315539,0.0838020806610638,0.1145830927092832,0.0681166536305705,0.0760121870485941,0.1320863703158894,0.1253458413203411,0.0786155685542373,0.0499551904987694,0.0576885829755945,0.1446909968388845,0.0849109888626055,0.0810916900969344,0.0744950106310399,0.0451438625311825,0.0695609134304583,0.1356252166423774,0.0783008406445138,0.1244533867261562,0.1419701526261164,0.0590453441049503,0.0717534285834083,0.0976970874277965,0.1160152723396457,0.088976650925545,0.1025371666469202,0.0603080088062358,0.175872640724209,0.0929629943637864,0.0736812897365365,0.1065059956516837,0.071282549169574,0.0698560437034027,0.069871096757809
BI,0.0754355845491996,0.0640424408483542,0.0,0.0266878952323633,0.1280730690634159,0.0187166364688876,0.0246969524879442,0.0203517797580166,0.0751774849712301,0.0494396833905537,0.1106744034744839,0.0390165073961114,0.1072456642496344,0.1938926384629906,0.1105677629191232,0.037633395104755,0.0311710008347932,0.0577218606848127,0.035786355350671,0.0414621647547456,0.0896246429788224,0.0444612470700409,0.082604566484101,0.0618655887064121,0.0247666576644627,0.0502273969102681,0.1749722632741526,0.1351673807017207,0.0486952302788616,0.0425572951778696,0.0372272416397431,0.1730798828519746,0.0397351203543209,0.048910929543257,0.0776440945441037,0.0330199848321269,0.0506339578937886,0.1392531291659967,0.0314087129552638,0.1259376979011528,0.0982117860193543,0.0623622334452805,0.0499327353898345,0.057689428116788,0.0587618425107162,0.0580503782694662,0.0549628838804866,0.0193237554289115,0.204184567986899,0.0636886928010278,0.0572131764217872,0.0780382808866683,0.0569395216926736,0.0567930139011072,0.053067247983737
BJ,0.0772169909806793,0.0535304391215091,0.0266878952323633,0.0,0.1471579101184916,0.0194827469037561,0.0290194767802285,0.025199371752802,0.049487603984422,0.0486775466342458,0.1136704696733502,0.0335051483565225,0.0903422271148136,0.1733215258495225,0.0861751657530174,0.0339674865026685,0.0231829279393305,0.0552383614563718,0.0334671281306999,0.0485364506174762,0.0702052419518458,0.0363956535464088,0.0656452060441853,0.0450905600330949,0.0420870459953615,0.0464811498176692,0.1665145211544584,0.117226064394217,0.0692057182925464,0.0331206590442877,0.0298072899043145,0.1717476233815181,0.031794726291262,0.0524316030205753,0.0783439716126809,0.0264271807552169,0.0376257224805782,0.1316878554172744,0.024169772848177,0.1320530431786091,0.1296838874359511,0.0380452598484554,0.0598539375955163,0.0780752923436002,0.0547009056989513,0.0437844566967473,0.0388426959368269,0.01335855190949,0.1895013884933438,0.0598777058094321,0.0698164660121625,0.0601210260691832,0.0373471106148475,0.0586831873560467,0.0470162670518052
BW,0.1322600740924383,0.1280327332960779,0.1280730690634159,0.1471579101184916,0.0,0.1307837285490534,0.1609127871746618,0.1269070877902114,0.130443925184848,0.105990870582117,0.1304772718222407,0.1637675704323072,0.1455785020843497,0.1842384154615329,0.3089658418655719,0.1520084960908271,0.1157872522850974,0.0705171714861899,0.1420059037985387,0.0962613780249729,0.265997126060829,0.217646842196494,0.1015083167943634,0.2555214840597054,0.0961570678648817,0.0782912226049286,0.1330464601800107,0.1746316378795812,0.0860599989235377,0.1324547657145285,0.155645497404795,0.1033831510846249,0.1293720873223709,0.0992539186357042,0.0645053735487378,0.137293979054928,0.0923864518039299,0.1495887194364322,0.1563315358120396,0.1086959669867639,0.0835129139287516,0.1477041910649226,0.1102213972609285,0.0870331463808856,0.2123987352922407,0.1148522827024404,0.2216345003401524,0.149584141747568,0.1714178812968513,0.1253929079803053,0.059106820423263,0.2064924358033507,0.115888305277032,0.0565826679636252,0.091878354608033
CD,0.0735395566350832,0.0592594591266278,0.0187166364688876,0.0194827469037561,0.1307837285490534,0.0,0.0271698431714367,0.0135010082265377,0.0662205382547379,0.0437801938752613,0.1069608413755084,0.038052191998549,0.1093742743206366,0.1989156213429797,0.0988462291450034,0.0348486727675769,0.0237807094060265,0.0566530017079303,0.0347158022137457,0.0412511963842892,0.0806527403221161,0.0416790302623285,0.0817797096301902,0.0555888939201,0.0324638481895658,0.0437479705893597,0.1742565258447121,0.1383012986333955,0.0541671137586563,0.0376505881260491,0.0354653127421783,0.1795172957382002,0.0337878406116138,0.0442112484312885,0.0733726127639824,0.0333947594759345,0.0480277624218886,0.146950283616318,0.0288780782170356,0.1329795006347117,0.1038605251910378,0.0557812516686661,0.0573672725132018,0.0629069642718693,0.058123490525657,0.0460678805353881,0.0445028026857096,0.0151529127341578,0.2093607169537708,0.0524850823356425,0.0620009067515054,0.0735286416897362,0.0515907386779219,0.053051450556985,0.0451191941113473
CF,0.0865898723394799,0.0794558121950896,0.0246969524879442,0.0290194767802285,0.1609127871746618,0.0271698431714367,0.0,0.0309129764771906,0.0847145319117612,0.0634836090343045,0.1250618190647674,0.0393603985225891,0.1160010368465074,0.1955462269429815,0.0865436894293811,0.0369944677717489,0.0404180541571733,0.0734815398051224,0.0373515924120968,0.0621957749581771,0.0719290694263562,0.0366773764626126,0.0927028483200298,0.0472087528619687,0.0426916666755929,0.0565118215982868,0.1921288741770854,0.1439165383136839,0.0652376196897964,0.0540981258867473,0.0384730380492864,0.1957590469317337,0.043388032003,0.0624888860182738,0.0970648486151368,0.0401469230634741,0.0583102896594109,0.1531573494745685,0.033384313365583,0.1431273026099196,0.1205724328345499,0.0647376973976606,0.0640355903008352,0.0715202699739688,0.0512160089653147,0.0590756988142023,0.0429244683486692,0.0221379936700633,0.2170549030298982,0.0677776253903293,0.0808261982625382,0.0703159328947041,0.0620270669232752,0.0761357622102464,0.059412700669287
CG,0.0748698029970812,0.0599002477298881,0.0203517797580166,0.025199371752802,0.1269070877902114,0.0135010082265377,0.0309129764771906,0.0,0.0682463743013078,0.0468055650138017,0.1078567335906998,0.0392264191187706,0.1087650146706229,0.1930287536816669,0.1145519184857198,0.0460913235835162,0.022863896297925,0.0611048108307966,0.0381389768343808,0.03293894109864,0.0890366583112798,0.048097759329871,0.0892962231005189,0.0636665534863764,0.0347936638666055,0.0511119966791763,0.1689843748850095,0.1336721308310503,0.0522386783751547,0.0349623141141195,0.0392397669591318,0.1714814502408331,0.041822114474741,0.0522269587411398,0.0767485068978846,0.0321571498261461,0.0535440416419268,0.1354053715503458,0.0379963794534151,0.1280899192814524,0.1022500579788729,0.0503469281306162,0.0592959140965934,0.0668755493337986,0.0647182458015442,0.0564181171935681,0.0505946259999248,0.0174855426244905,0.2006733366710049,0.0682327057536935,0.0645651095810521,0.0755395377339068,0.0581165762167199,0.0558750760093158,0.0532239572674515
CI,0.1116479709369325,0.0522618773686514,0.0751774849712301,0.049487603984422,0.130443925184848,0.0662205382547379,0.0847145319117612,0.0682463743013078,0.0,0.0559812234155517,0.1213671418527523,0.0823708165028493,0.0973957350252295,0.1715497713085498,0.1687061735413011,0.0810352696201378,0.0580275551787785,0.0677396677943169,0.0788587265738226,0.0622764091076941,0.1403554772634997,0.1051346245709875,0.0784077779543919,0.1173585546669603,0.0714836183342957,0.0786756168694802,0.1450876076420876,0.1025681232880285,0.0917787183812827,0.0434702037534714,0.0693287595715148,0.1382031170183579,0.0803206678955,0.0768974086905842,0.0815203591536204,0.0625932548811758,0.0612845619517025,0.1277240200991972,0.0769045659586726,0.1229457663588365,0.1523961539332529,0.0376112253346773,0.0805859257593966,0.1086481329510713,0.1179015923241509,0.0882440845833456,0.1104270509129002,0.0675809332363717,0.1534490409722438,0.092642264594286,0.0717888908606487,0.1042678155678831,0.0609930604885163,0.0688691561689293,0.0701774483131112
CM,0.0877764373306893,0.0648563268713497,0.0494396833905537,0.0486775466342458,0.105990870582117,0.0437801938752613,0.0634836090343045,0.0468055650138017,0.0559812234155517,0.0,0.109669474845352,0.0679380396943877,0.1030138054102743,0.1747767746997645,0.1538330385558352,0.0614565104114057,0.038334445628771,0.0531971192016209,0.06266932884268,0.0413101660150925,0.1243260047429001,0.089040485538963,0.0738132485034916,0.1071860317388356,0.0491806844862128,0.060822917544858,0.1417124597373226,0.1299356740059781,0.0661282612760909,0.0584240967001997,0.0584189788715595,0.14644686991719,0.0664632060617352,0.0553550993075339,0.0746543362516213,0.0525649681383955,0.0496953062059978,0.1216109966792453,0.058490296247001,0.1185089043944244,0.1133035433183444,0.0663833860658839,0.061259221818413,0.0742521506845556,0.0962369420475125,0.0733452704276559,0.098888482838495,0.0505989563716295,0.1832221505207687,0.0769048797995243,0.0611001913941865,0.0947374853357289,0.0582067273696268,0.046756266758935,0.0550382185420357
