ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,0.1622730452498719,0.1642304254321577,0.1756247751462653,0.4210173611722542,0.1558253880555962,0.1626506888223872,0.1481828360497533,0.2109018470184273,0.161712493263117,0.1221771764827873,0.1744943018630644,0.1983722992776078,0.2250312950932728,0.2512095649598019,0.2001293018520314,0.1459478300050611,0.2121862814376703,0.1585317984391911,0.1609293733901906,0.2180540114671735,0.2049123843478849,0.2512776838811128,0.2054828588039519,0.1381444870664065,0.1553352478141076,0.3009023412710583,0.1966738905783184,0.1673608740395946,0.1711042231537336,0.1814571568844123,0.3267389359785841,0.1449582546465983,0.1299264880688818,0.2413206818692624,0.1642965679566626,0.2000012041076539,0.3979317477613059,0.1889045844802369,0.2783881359050039,0.2429919383329433,0.1749452870146401,0.1633755222072044,0.250034052640019,0.1628921142857857,0.1560720818859999,0.2108342053567208,0.1586126884458059,0.2937842463186647,0.1921819487165005,0.199299160102551,0.1660721840979741,0.1535990064819848,0.2861848146841939,0.1609297533345575
BF,0.1622730452498719,0.0,0.1003063722355573,0.0653528351615029,0.4119362824444832,0.0871867263821662,0.0930619258321458,0.0650024774320182,0.1437204001276831,0.0955069459985191,0.169398376767443,0.1176931580589214,0.1624911639525349,0.2176567573930168,0.1937804041022456,0.1335758985534509,0.0813367549424669,0.1504050509142671,0.1179608183139867,0.0616927598904912,0.1722505963344834,0.1526350093293885,0.2075198744195574,0.159413723538831,0.1184190607180683,0.1037067094457849,0.291292924152879,0.1285329351592498,0.1235930679317906,0.0618398252591828,0.1108906251855251,0.3545643981102297,0.0843699407787632,0.1157674575312735,0.2424650520431755,0.0733961824209714,0.1472690065113681,0.3993772651868753,0.1258546245979236,0.2818430024169971,0.210422272089278,0.0735298809536563,0.1187921244863158,0.1837064532677947,0.1330194095225642,0.0825119456774076,0.1607864756957653,0.0772280507447252,0.3104518923247854,0.1239006223501401,0.1480160741024533,0.1314965738520009,0.1398403449276154,0.2813180166953521,0.135044248421826
BI,0.1642304254321577,0.1003063722355573,2.634178031930877e-09,0.0828611117767942,0.4595951113402001,0.0718520217786564,0.055808312140552,0.0827258604118728,0.1757331420467477,0.1441690649324469,0.174916492702232,0.0961135183340961,0.2071601821163656,0.252250692161676,0.1489872638625092,0.0794856118080827,0.1159625788395607,0.1698478988726348,0.0773327117776148,0.0914215985624792,0.119322002366723,0.1034994398658843,0.2349159269046814,0.1070540436311522,0.1131177929799613,0.128471635872101,0.3149815670405374,0.1459524527357925,0.1021250606711086,0.1004927459563312,0.0798968880195007,0.3756099014896009,0.0864999394224815,0.1247528501478022,0.2778233886705024,0.0690417719149192,0.2026799490855284,0.4173261542900393,0.077179602588906,0.2884659780674597,0.2197710323105096,0.1211703393096593,0.0892465265819597,0.2015110147888942,0.0940999882337402,0.0759007627103669,0.1201668857270291,0.0547391896961048,0.352207906114758,0.093509707601192,0.1839677327364936,0.0803685265643931,0.1596769048544932,0.3338217385018138,0.1549207930261764
BJ,0.1756247751462653,0.0653528351615029,0.0828611117767942,0.0,0.4487161703992019,0.0752590871096779,0.068517219576632,0.0712857947735967,0.1626855024520137,0.128391784005502,0.1770534106082117,0.0954369025918105,0.1858943653408756,0.2382287247755513,0.1560702058647356,0.0933592250595982,0.1010222902227765,0.1649604042307423,0.0971499481320185,0.0696501457897234,0.1354322164421057,0.1121978071612421,0.2238736169088637,0.1183667950840888,0.121675598995481,0.1269804592710442,0.3170867833974047,0.1386064587323443,0.1234859549557176,0.071486120490612,0.081646374349572,0.3801901080699795,0.0832959520969885,0.1328941572151758,0.2748203672575887,0.0562330240923751,0.1902379494922531,0.4192023708839244,0.0914836375499671,0.2986872741703796,0.2303259993206172,0.0879102926825177,0.0993531461025125,0.1966938594618552,0.1077587422899877,0.0806205103974492,0.1207058428303433,0.0518889886626526,0.3387130816280498,0.0988789889629146,0.1757386901373399,0.0983339732146293,0.1638236689696975,0.3297556201973511,0.1559476356990737
BW,0.4210173611722542,0.4119362824444832,0.4595951113402001,0.4487161703992019,0.0,0.4435114538973587,0.4614508487227199,0.4168950384662221,0.3973658717362892,0.3553251404449995,0.4052579351664165,0.4705707698927047,0.3285471937815375,0.2952959079232006,0.5782207999862123,0.4961708423153882,0.3855174493055726,0.3427267964902929,0.465179480445775,0.4078098831789526,0.554748852679808,0.5344319134833538,0.3844031821735775,0.5363479484184893,0.3947237064861371,0.3615978805926284,0.2787724686110972,0.4073833132606086,0.4108631436740123,0.4183959771958952,0.4748257083763832,0.2663978555073095,0.4403296327352446,0.391354977030146,0.2821812615928175,0.460517670732037,0.3352359066347526,0.3603621451439587,0.4973946751487171,0.3242976026313166,0.3373498684494808,0.4205015486299415,0.4345046701620587,0.3992733345886339,0.4924564297612715,0.442082329799094,0.5436562903407022,0.4610202663971616,0.2519763113436802,0.4554344067721731,0.3419637368820493,0.4893804419076913,0.3633443895897938,0.2509310184932115,0.3854002682665316
CD,0.1558253880555962,0.0871867263821662,0.0718520217786564,0.0752590871096779,0.4435114538973587,0.0,0.0522818694905848,0.0576167049127394,0.1727228437374519,0.136094857929817,0.1842597035674481,0.0916313390306718,0.206782155395555,0.252432982122461,0.1574225903704091,0.082718298654217,0.1090409398126741,0.1582248345566173,0.0708842284156261,0.0869684384630192,0.1315426584902291,0.1118115610795233,0.2531955068439351,0.1199166892914735,0.1083203352143494,0.1108459146450161,0.3268580274784729,0.1673552130941391,0.1124154962687681,0.0823901918754547,0.0922981476557721,0.3729672679649091,0.045464804406907,0.105910393452109,0.2769095583944482,0.0607471907095326,0.1931842987136713,0.4256363661934783,0.0713833879014473,0.3002838280199483,0.2100926991393633,0.1082000714213632,0.1040539790121639,0.1953917896878743,0.1020152152790809,0.0581331743299594,0.1169262645407869,0.0580940421554583,0.3471437203970915,0.0867336934386834,0.1783135911198714,0.1011318066507842,0.1675748890072068,0.3241056378341594,0.1269102537026937
CF,0.1626506888223872,0.0930619258321458,0.055808312140552,0.068517219576632,0.4614508487227199,0.0522818694905848,2.634178031930877e-09,0.0770766777320602,0.1812637660100417,0.1479203039074419,0.1725893338872259,0.0771592507762947,0.2124074925228844,0.2580856255288118,0.1402304918412228,0.066312876937048,0.1216582684089664,0.1721826493358725,0.0620738886111254,0.0861744569683051,0.1098981739894961,0.0908481621077977,0.241118319397098,0.0990076366032004,0.112662878761559,0.1244806594254551,0.3315932545225521,0.1539593369276686,0.1098537006743285,0.0931180184269019,0.0740475181551379,0.3809660584360806,0.0709873112061072,0.1207795459848044,0.2815712450166067,0.0546806705172669,0.2038903527159963,0.4288870047295853,0.0547851305633146,0.3022222596891352,0.2210100695222306,0.111263318859948,0.0901051399646154,0.1955202575763629,0.0795720385159742,0.0594236559515165,0.104390245041465,0.0481621502516957,0.3581905219617127,0.0794168003498548,0.1828945168298467,0.0823719559605536,0.1643972842566132,0.3363931246238006,0.143579022913519
CG,0.1481828360497533,0.0650024774320182,0.0827258604118728,0.0712857947735967,0.4168950384662221,0.0576167049127394,0.0770766777320602,0.0,0.1516186358812792,0.0950590928525477,0.1655439411686053,0.1070775461112381,0.1628047467203722,0.2225007404767756,0.1930825465812902,0.1159377494224116,0.0701944855136007,0.136034007407135,0.0953016656702748,0.0677944080800077,0.1609018494131117,0.1472388717599367,0.2216943492418847,0.1545393681644687,0.1047984483191102,0.0879276324245077,0.2930912721528391,0.1379635515372812,0.1085172737700095,0.0501909984794816,0.1122003217419422,0.3461666784835647,0.0555300811624705,0.0996505084427998,0.2400547233949748,0.0707833548844832,0.161558180952821,0.4005685720901946,0.1091211308432876,0.2725036576104709,0.1938522908758399,0.0817620853449351,0.104268097819429,0.1806984694674768,0.129006124121257,0.0604494844587429,0.1531785310698397,0.0693442055371909,0.3080924884692743,0.1039180574903849,0.143821333520296,0.1251768092913191,0.1417619140446171,0.2888883800051773,0.106645456549612
CI,0.2109018470184273,0.1437204001276831,0.1757331420467477,0.1626855024520137,0.3973658717362892,0.1727228437374519,0.1812637660100417,0.1516186358812792,5.268356063861754e-09,0.1342219895442385,0.2075674770116483,0.194999342661347,0.1727501398337654,0.2171004743855355,0.2681420621686616,0.2112075567200539,0.1417116695713695,0.1646134707966157,0.1918235558814077,0.1383121780054093,0.2497873039130216,0.2321718590609004,0.2040460688768589,0.2379081802947075,0.1717027320412346,0.1625459021025884,0.2796078565465863,0.1646418281872535,0.1712913557674267,0.1427223434763431,0.1970741774533633,0.3328506150478251,0.1686170774836887,0.1652382288027247,0.2449503584920168,0.1654501763475939,0.1530534854915394,0.3748843660707868,0.2070797125524995,0.2759217245756501,0.222578252488661,0.1465337008860733,0.1757246961403273,0.2259501663694285,0.2059606081406783,0.1700833837518553,0.2417270937172546,0.1680277901700849,0.2861584282347041,0.1923918412922444,0.1592187892251633,0.2004869480414951,0.1603706235970623,0.2840763338823086,0.1807667251730834
CM,0.161712493263117,0.0955069459985191,0.1441690649324469,0.128391784005502,0.3553251404449995,0.136094857929817,0.1479203039074419,0.0950590928525477,0.1342219895442385,5.268356063861754e-09,0.1561335165409195,0.1729968542272374,0.0919566631591529,0.1651172737950575,0.2627144186097233,0.1887688927762741,0.0644184827384206,0.1074154479536202,0.1608166366692787,0.0921963105753604,0.2330765957086127,0.2212003053890228,0.1723475733619324,0.2250949198264557,0.127000374885486,0.0832464662437951,0.2237456273348483,0.120432708206456,0.1316209687379305,0.089270272112868,0.1659532495667148,0.2996227808084324,0.1265117997855581,0.110048446320512,0.1819331191025372,0.1357209197012885,0.0962693046453657,0.3454780197290045,0.183947099822886,0.2317138616369135,0.1677401095377846,0.0921062587269706,0.1355337226498867,0.1680308491321119,0.188277652194877,0.1235451557467019,0.2301228791864359,0.1352792082138096,0.2411591657290034,0.1534378753292043,0.0946257934229108,0.1873080467431493,0.1104823633142029,0.2235130730738231,0.1147421099227163
