ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,0.1811449139859081,0.2578565374282198,0.2720661558591083,0.2452460977766648,0.1976912348206816,0.2488523238009005,0.2309746117174094,0.2520489189564736,0.2678744688900429,0.2651626930250243,0.2859574273127261,0.261735260926095,0.1842488857581135,0.2841670347846208,0.3133581839906576,0.258520699616026,0.2812485831978772,0.3137958069999601,0.2266808843187317,0.3498109463897262,0.1731355470636006,0.5594987808782024,0.3157315285189412,0.2974977234929757,0.2045773363008553,0.3051231305674089,0.3692339330116109,0.2540831980170852,0.2117822525683682,0.2861329047137619,0.2276923511233594,0.1888678368144972,0.2609102226639843,0.3565547166211971,0.2248515827047242,0.2633012074169404,0.2506340407645934,0.2741747933443924,0.2104757872855475,0.238663303239382,0.2857450135453496,0.262478771526821,0.2558175938859071,0.3115266083344543,0.3777241980553352,0.3040574524733903
AL,0.1811449139859081,0.0,0.1939529147933093,0.1880355600098001,0.1667541042247253,0.1044627242530923,0.1589579837978995,0.1495918226128509,0.2135355579140726,0.197404750062588,0.1554258403607142,0.2529606016149932,0.163034510865587,0.1419342916737841,0.1918030259168012,0.2327418839419548,0.1644945723491003,0.2316096539491737,0.3087137064297296,0.1365311729799243,0.3248336667871903,0.1534525099447618,0.5570261550422502,0.2918756199202209,0.2391081686430523,0.1194640218418124,0.2698437671593574,0.3602552008481559,0.1979168922169084,0.1237557952409269,0.2502935563562101,0.1618130007596505,0.1170265815616688,0.1526848641119885,0.3375692996187948,0.1454923440330863,0.1800848691097111,0.1665504240646267,0.237097916307965,0.1424917982697462,0.1685668831742633,0.1709437108314523,0.1950900116512889,0.19029939028737,0.2896318855758036,0.3814398387728596,0.256969545203529
AT,0.2578565374282198,0.1939529147933093,0.0,0.190275487610273,0.1871669413482278,0.163824179832455,0.2296870803417449,0.1201648931057275,0.1264085772964704,0.1842625977320846,0.2241446498215005,0.1828618159157722,0.237033023994278,0.2144557528461608,0.2294471018833813,0.2958012470060771,0.1883348588571055,0.1154663060003012,0.2458676153441499,0.1417100352561851,0.2193004497343093,0.1596392589405824,0.4125697739604133,0.2372317182618161,0.1423747979246003,0.1553757433628426,0.2580198217152932,0.2591229382180574,0.1482874499546956,0.1344484981414014,0.2488685297507387,0.1384119973796246,0.1863244536894398,0.1724162890637924,0.2136570523419204,0.1790782502836297,0.1358224130742388,0.178725938715285,0.1291758005169017,0.184200619855363,0.1334068127207804,0.2632168623927757,0.1473560321720385,0.1155308394174011,0.1660521903506753,0.3853410604762708,0.1711141133999363
BA,0.2720661558591083,0.1880355600098001,0.190275487610273,7.450580596923828e-09,0.1578038797987744,0.2102187131028514,0.2694394112020671,0.2158984710440946,0.1926280428555987,0.1359044320121965,0.2853036267955925,0.2619318695021308,0.2941041070054242,0.181902350821531,0.2948668795314395,0.3228759550786337,0.2449775453106945,0.2261331367358319,0.2783065343877115,0.1912576487497055,0.1985713605549059,0.175741105215196,0.4632916554379853,0.2932618926397577,0.2462311264856425,0.1908769948486588,0.3242321686998249,0.2698164966875926,0.206937723515499,0.1918817095397653,0.2892012039761419,0.1454348020075812,0.1587526056563043,0.1547726049840161,0.2879436266379446,0.247300360121123,0.2392002746071692,0.254349945238055,0.1921403404866923,0.2399302138056407,0.1153878966485073,0.2983828197093949,0.2439485017501695,0.1860487730249936,0.2047142995623047,0.3882014409387176,0.1400991994037708
BE,0.2452460977766648,0.1667541042247253,0.1871669413482278,0.1578038797987744,0.0,0.1497963007379706,0.1729041771161275,0.140120650514859,0.1888532313705672,0.1254000506217214,0.1914919793010004,0.1960855286813414,0.1953661024380609,0.1323186478063518,0.1911861882342303,0.2226871363494525,0.1493042536653825,0.2048118342494937,0.2511481311716555,0.1381101655059257,0.2843647194889529,0.1888398245045665,0.51092767572726,0.2803043497700883,0.2001357823766778,0.1613240500226514,0.2724303623178403,0.3348279097465152,0.1556149376135584,0.1441602538118306,0.2283729831608294,0.170064959885239,0.151667331107223,0.1886336942319091,0.3172983769716652,0.1551248467458771,0.1645971158559482,0.1887173579850324,0.1955432135673852,0.1997486132392196,0.148562389407872,0.2088855581801967,0.1671436605085026,0.1463360654657882,0.2468056582473582,0.3634017405882936,0.203553505667719
BG,0.1976912348206816,0.1044627242530923,0.1638241798324549,0.2102187131028514,0.1497963007379706,0.0,0.1342826646979818,0.0968729569024527,0.1864061853415669,0.1864195352066267,0.1205993503219564,0.1887239206244783,0.1239607266638584,0.1585573519723455,0.1363493881286054,0.2113447148232458,0.1248992784021524,0.1873068641557265,0.2764883384809592,0.0975076898614496,0.3186521194151938,0.1535176766185473,0.5308566156770302,0.2476708673733097,0.1892109279219807,0.1113531519111786,0.2422995629822173,0.3533769209485272,0.1517413021166366,0.0952000651235827,0.2110127192998735,0.1724291620806912,0.1334527941371098,0.1592846464229884,0.3137050583410806,0.0913043863719662,0.1274834232881731,0.1169760860311035,0.2098604925863093,0.1158090889262488,0.1651626217491164,0.1539307743148666,0.1399799478640277,0.1432694247298078,0.2657548091466465,0.3466329049565079,0.2523036414691588
BY,0.2488523238009005,0.1589579837978995,0.2296870803417449,0.2694394112020671,0.1729041771161275,0.1342826646979818,5.268356063861754e-09,0.1411939748100474,0.2525449728317702,0.2299653523528919,0.0978918511428471,0.2245538855772578,0.0839056062916158,0.1812711586443262,0.1127068892445639,0.1722099850345687,0.1277732900227988,0.2615188801791863,0.3297688331754035,0.1652917946747459,0.3853879944851951,0.2327742476937429,0.6017592765447922,0.3319891435580457,0.2377879344959524,0.1627482267077548,0.2495820000871371,0.4026693100164664,0.1977864989477957,0.1563309854028827,0.2492326473887423,0.2170166357340983,0.168359002604594,0.2352835488901525,0.3865976422158182,0.1048685652192887,0.1423502330178961,0.1645729267262064,0.2553309815685249,0.1770946460607433,0.2308510921264533,0.0849956054109564,0.1583348211554487,0.21252675640516,0.3347495621751201,0.3925202647961679,0.303800036394242
CH,0.2309746117174094,0.1495918226128509,0.1201648931057275,0.2158984710440946,0.140120650514859,0.0968729569024527,0.1411939748100474,0.0,0.1747863864079225,0.1834895122232706,0.1303673724431579,0.1455301924167203,0.137761543951858,0.1853397727751253,0.1258943103834458,0.2222595087393309,0.0901273307312003,0.1585240064455557,0.2636551057866083,0.1143222558770389,0.2983493900678832,0.1622150502511808,0.4995688888743733,0.2540741651464843,0.1384706975098795,0.1182327479248433,0.2385511234901672,0.3271327230615059,0.1222975579319659,0.0936423144880777,0.2102333061547962,0.1709658198607695,0.1615032652938555,0.1802826752602085,0.293524327518064,0.0873997111155219,0.0757709609497042,0.1428991626976671,0.1737199767516679,0.1605767161543374,0.1542978241660377,0.1672119285753505,0.0872615547153343,0.1185296670122426,0.2286172332714362,0.3729299215871248,0.2217394296936501
CY,0.2520489189564736,0.2135355579140726,0.1264085772964704,0.1926280428555987,0.1888532313705672,0.186406185341567,0.2525449728317702,0.1747863864079225,0.0,0.1841478489423567,0.2630148810526287,0.2083717267802715,0.2649180023356861,0.2096554623317854,0.2720395048430903,0.3164858058806579,0.2333146297142968,0.1256664437157331,0.2216868885634684,0.144550429228061,0.2217072037523455,0.1879880070770886,0.3899095817007443,0.2262660849642579,0.1817791456845751,0.181631357495843,0.2956905584212341,0.2776666516680099,0.1775288244691518,0.1578100798601693,0.2697403616999691,0.1169360903308963,0.2060582825277164,0.1677429039721666,0.1908166701999578,0.211941308506058,0.1826481587030126,0.1847640777558181,0.1577676630501173,0.1821370158088812,0.1619839885700458,0.3023004397713443,0.2027487616560125,0.1295630911157556,0.1817620154158644,0.3776369216469732,0.1784419630877087
CZ,0.2678744688900429,0.197404750062588,0.1842625977320846,0.1359044320121965,0.1254000506217214,0.1864195352066268,0.2299653523528919,0.1834895122232706,0.1841478489423567,7.450580596923828e-09,0.247890300499152,0.2072985658078496,0.2572250709081772,0.1642988893020879,0.2510918747227184,0.2565689250452941,0.2185428919594723,0.1910206201926223,0.2643828270957585,0.1730844750281294,0.2242757809326449,0.1909070012264816,0.4623410019025767,0.273199190024717,0.2006890818040676,0.1936077730425069,0.2758901993756465,0.2721738270596697,0.1864969029202224,0.1661388668709552,0.2549902487895396,0.1613328275989481,0.1625709872288276,0.1794923023494536,0.2899131285244541,0.202651900123008,0.2000207694946703,0.2196008787853583,0.1876854649245615,0.2297750477772728,0.1232051595628251,0.2619100263405445,0.1997051975657347,0.1593263471304036,0.210254474736636,0.3614913127602309,0.1670084873312504
DE,0.2651626930250243,0.1554258403607142,0.2241446498215005,0.2853036267955925,0.1914919793010004,0.1205993503219564,0.0978918511428471,0.1303673724431579,0.2630148810526287,0.247890300499152,0.0,0.2332079870067968,0.0687921123746133,0.2076605533862863,0.092577550076162,0.1639138828581386,0.1083411828857788,0.2580824843124925,0.3388796822665749,0.1589058441090482,0.4009909032478343,0.2416234840592332,0.6096563345395649,0.3129100678454196,0.2353294479293345,0.1627046344312576,0.2431210396528287,0.4270012697670579,0.1995065672628576,0.1634572962033856,0.2394124043040225,0.2442403768485053,0.1958956075606719,0.2401146378036719,0.3877098541677849,0.1032093714354834,0.1435789714710604,0.1494801524321168,0.2709903024439496,0.1787779834746006,0.2445215226637623,0.0766131408172779,0.160885304737695,0.2121868546424467,0.342889571430255,0.4010668249145228,0.3269885644189909
DK,0.2859574273127261,0.2529606016149932,0.1828618159157722,0.2619318695021308,0.1960855286813414,0.1887239206244783,0.2245538855772578,0.1455301924167203,0.2083717267802715,0.2072985658078496,0.2332079870067968,0.0,0.2290015921394162,0.2519614159121324,0.1908621107629731,0.2680263332938488,0.1872988443469284,0.1721690461099901,0.26626266801655,0.1857301707225278,0.2899213493393858,0.2063074240117646,0.4663403945170235,0.2295031164935911,0.1494657489365752,0.2081179329458579,0.2899063904133418,0.3061730114578924,0.1312671944222407,0.1763776138159459,0.2398834386564393,0.2316278531785635,0.2251714215862287,0.2306436498944603,0.2884839475548682,0.1684054825666134,0.150644359891949,0.2277443927070939,0.1841228764845832,0.2485856609610335,0.1961079671654767,0.2542435438055972,0.1299109299447502,0.1620336208332768,0.2269491270193905,0.370488002007567,0.222661786886485
EE,0.261735260926095,0.163034510865587,0.237033023994278,0.2941041070054241,0.1953661024380609,0.1239607266638584,0.0839056062916158,0.137761543951858,0.2649180023356861,0.2572250709081773,0.0687921123746133,0.2290015921394163,5.268356063861754e-09,0.2154951615480252,0.0771258737114742,0.1785368293122987,0.1131245002458671,0.2566658408617295,0.3351308662649989,0.1681358131550196,0.4070047161891528,0.2447616694862839,0.6075880347047617,0.3226856432913301,0.229745710527096,0.1687682817681432,0.2506446437526544,0.4338710873377442,0.2089931874193258,0.1548379098605484,0.2474198096167863,0.2451928326413831,0.201685930877533,0.2376980152815531,0.3878655910142873,0.0987552033950648,0.1398964058201904,0.1551307941952505,0.2759259557854734,0.1789070398343471,0.2491043931978591,0.0757919363519315,0.1585792155037416,0.2099157585620181,0.3484613716225371,0.3936970868862651,0.3309803196069429
ES,0.1842488857581135,0.1419342916737841,0.2144557528461608,0.181902350821531,0.1323186478063518,0.1585573519723455,0.1812711586443262,0.1853397727751253,0.2096554623317854,0.1642988893020879,0.2076605533862863,0.2519614159121324,0.2154951615480252,0.0,0.2276379324518256,0.2418056571559538,0.1997377963691022,0.2509114626050279,0.2748970642345881,0.1556608357223163,0.3005962875223699,0.1795174761946321,0.5485308138283574,0.2998216487263835,0.259305592275818,0.1528231319915875,0.2665875558854784,0.3332699790589088,0.194833076007577,0.1625993076265601,0.2547478681008956,0.1686599305913897,0.1161455596146083,0.2022751519553447,0.3355072989963776,0.1856431046318976,0.2038680009289761,0.1897854832128615,0.2350298976210445,0.1851926204435247,0.1702423395969576,0.2238242651258925,0.2138565748689201,0.200641720461535,0.2855887830624417,0.3560852125513569,0.2512672233525677
FI,0.2841670347846208,0.1918030259168012,0.2294471018833813,0.2948668795314395,0.1911861882342303,0.1363493881286054,0.1127068892445639,0.1258943103834458,0.2720395048430903,0.2510918747227184,0.092577550076162,0.1908621107629731,0.0771258737114742,0.2276379324518256,0.0,0.1808955939257458,0.1001382978707918,0.2477486346305018,0.3218449533474555,0.1735283138587293,0.3976382251664458,0.2435962251854408,0.5960326062669422,0.3043801472139207,0.2145427105789265,0.1792246722170249,0.2489028461366058,0.4200974727566495,0.1807146460559245,0.1600445403513893,0.2305000234588789,0.2591121012523585,0.2116090858249734,0.243712613461421,0.3834229573457436,0.1036112494469077,0.1265144248012278,0.1723315867494158,0.2660413462180729,0.2068094365587883,0.2418140478408557,0.0985604200776862,0.1368191245847891,0.2007333533488407,0.3334635502576242,0.386351841323427,0.3193920805940611
FO,0.3133581839906576,0.2327418839419548,0.2958012470060771,0.3228759550786337,0.2226871363494525,0.2113447148232458,0.1722099850345687,0.2222595087393309,0.3164858058806579,0.2565689250452941,0.1639138828581386,0.2680263332938488,0.1785368293122987,0.2418056571559538,0.1808955939257458,0.0,0.1952287247167062,0.3084267581324993,0.3477440222735038,0.2339191099593565,0.4339633276562163,0.297664497533764,0.6433654493860241,0.3576105323170362,0.2847267112412115,0.2513635776049643,0.2695377098608597,0.4580696224062109,0.258059981584709,0.2324265098426813,0.2813394937348001,0.299059743623731,0.2366808332391393,0.3101999026801971,0.4268715251110306,0.1965247638863864,0.2197699387949056,0.2363787537930783,0.3217928879165362,0.2591040642665082,0.2880700622039718,0.1651861019323552,0.2226844553552431,0.2708796372463361,0.3882369186953834,0.417196340075012,0.3594875314156744
FR,0.258520699616026,0.1644945723491003,0.1883348588571056,0.2449775453106945,0.1493042536653826,0.1248992784021524,0.1277732900227988,0.0901273307312003,0.2333146297142969,0.2185428919594723,0.1083411828857788,0.1872988443469284,0.1131245002458671,0.1997377963691022,0.1001382978707918,0.1952287247167062,5.268356063861754e-09,0.2232843528256317,0.2926331134909855,0.1501935589513928,0.3540043429382468,0.2069897043250924,0.5672383195975099,0.2955734476129654,0.1951947861494581,0.1455541936657866,0.2444185154509623,0.3862634607988985,0.1651324370685976,0.1344884044538032,0.2185547759806526,0.2237015766814109,0.1821729525010702,0.2151540229482521,0.3517420168094113,0.1117324726685475,0.1126440629708331,0.1673798986584644,0.2290161547610681,0.194192429734909,0.1999749727942587,0.1312446255174306,0.1263326703418339,0.1721466540032356,0.2841831557347429,0.3797645130122938,0.2735192516806753
GB,0.2812485831978772,0.2316096539491737,0.1154663060003012,0.2261331367358319,0.2048118342494937,0.1873068641557265,0.2615188801791863,0.1585240064455557,0.1256664437157331,0.1910206201926223,0.2580824843124925,0.1721690461099901,0.2566658408617294,0.2509114626050279,0.2477486346305018,0.3084267581324993,0.2232843528256317,0.0,0.2264829701527852,0.1593853624120736,0.2333113768202556,0.1889836487885645,0.3634570400978725,0.203386881640733,0.1245100671950633,0.2103266271518947,0.2861838883647802,0.2792753095992839,0.181000975546959,0.1497203967520155,0.2616489228377135,0.1696152963793674,0.2352689929830821,0.1818366324494796,0.1768306658554049,0.1966944194266662,0.1671245136083784,0.1903143304677975,0.1698789873405683,0.1969246966880422,0.1667805650742964,0.2937254826117382,0.1736470449164776,0.1123720742727483,0.1763524081883381,0.3764147391967876,0.1872907250418131
GI,0.3137958069999601,0.3087137064297296,0.2458676153441499,0.2783065343877115,0.2511481311716555,0.2764883384809592,0.3297688331754035,0.2636551057866083,0.2216868885634684,0.2643828270957585,0.3388796822665749,0.26626266801655,0.3351308662649989,0.2748970642345881,0.3218449533474555,0.3477440222735038,0.2926331134909854,0.2264829701527852,1.8250120749944284e-08,0.2449378666350631,0.2948246791667438,0.2690665774407453,0.4285158422723684,0.2789432194564682,0.2655582374539911,0.2767380082134448,0.3182105526471508,0.3503622899438647,0.2496854191075865,0.2537413851745606,0.280511512466495,0.2632025871153316,0.2885675622739075,0.2836395509790437,0.2518378712275879,0.2948269606459979,0.2733421406831276,0.2865251954678104,0.2520844717984093,0.2813432918218207,0.2504403615914669,0.3689734425991238,0.276002092818063,0.2177266007603547,0.2539811548824269,0.3903243540356407,0.262788348417553
GR,0.2266808843187317,0.1365311729799243,0.1417100352561851,0.1912576487497055,0.1381101655059257,0.0975076898614496,0.1652917946747459,0.1143222558770389,0.144550429228061,0.1730844750281294,0.1589058441090482,0.1857301707225278,0.1681358131550196,0.1556608357223163,0.1735283138587293,0.2339191099593565,0.1501935589513928,0.1593853624120736,0.2449378666350631,7.450580596923828e-09,0.2839647729647456,0.1600379803110492,0.4899622512179197,0.2272047991738855,0.1839992700036307,0.1162109437224289,0.2614318004766708,0.3322197913405235,0.1358510618281323,0.1010999252655568,0.2249228302980817,0.1472344895761506,0.1514441794335861,0.1501844580123483,0.2676444210427126,0.1265160072246406,0.1280313915910671,0.1144350427802037,0.1882800393260614,0.1235476350143547,0.1473963688105829,0.1983826265697682,0.1469815100658113,0.1241054842640744,0.2428616376404672,0.3597944021725589,0.2231586774392197
HR,0.3498109463897261,0.3248336667871903,0.2193004497343093,0.1985713605549059,0.2843647194889529,0.3186521194151938,0.3853879944851951,0.2983493900678832,0.2217072037523455,0.2242757809326449,0.4009909032478343,0.2899213493393858,0.4070047161891528,0.30059628752237,0.3976382251664458,0.4339633276562163,0.3540043429382468,0.2333113768202555,0.2948246791667438,0.2839647729647456,1.0536712127723509e-08,0.2479466852086772,0.3339708151300197,0.3203198197488658,0.2680698618826649,0.2924641817425029,0.3916506279955719,0.1776528444234494,0.2772354240045962,0.2787766153745013,0.3622118326995867,0.22545917185158,0.2801382190343388,0.259929340210303,0.2344373783745068,0.345275578229987,0.3052197692028579,0.3443165580853304,0.2151684108839838,0.3309473325943649,0.1900844506147077,0.4245208572009877,0.299276740715907,0.2387683497287787,0.161681374664323,0.4333872209897702,0.1456271015942422
HU,0.1731355470636006,0.1534525099447618,0.1596392589405824,0.175741105215196,0.1888398245045665,0.1535176766185473,0.2327742476937429,0.1622150502511808,0.1879880070770886,0.1909070012264816,0.2416234840592332,0.2063074240117646,0.2447616694862839,0.1795174761946321,0.2435962251854408,0.297664497533764,0.2069897043250924,0.1889836487885645,0.2690665774407453,0.1600379803110492,0.2479466852086772,0.0,0.4734134634959771,0.2566141783877708,0.210785310633633,0.1533861764779031,0.2821882870519934,0.27368199968807,0.1832505605834327,0.1364684015860504,0.2487521840079335,0.1554287791758969,0.1401045675669865,0.1711885942430185,0.2797491084677833,0.1867495263847577,0.1946141010647798,0.2186518380286629,0.1996439679964211,0.1759584434522554,0.1296650937868875,0.2608061155751396,0.1949307301888037,0.1640023302137649,0.2018068034576692,0.3567596294239706,0.1925006311321046
IE,0.5594987808782024,0.5570261550422502,0.4125697739604133,0.4632916554379853,0.51092767572726,0.5308566156770302,0.6017592765447922,0.4995688888743733,0.3899095817007444,0.4623410019025767,0.6096563345395649,0.4663403945170236,0.6075880347047617,0.5485308138283574,0.5960326062669422,0.6433654493860241,0.5672383195975099,0.3634570400978725,0.4285158422723685,0.4899622512179197,0.3339708151300197,0.4734134634959771,0.0,0.4360546765936851,0.4173039790599608,0.5195425284703514,0.5593306682903556,0.3724774376842075,0.476846570824706,0.4869058931383349,0.5445057502297752,0.4374484486843297,0.5377080534158768,0.4644131387273442,0.2866235639131368,0.5426033762909654,0.5034525211938139,0.5227756988836311,0.4047777465684182,0.5144616067479778,0.4439025491989597,0.6428749010878038,0.5011102069542359,0.4260114541418442,0.3499200711010208,0.5786027616293755,0.3772327027295991
IM,0.3157315285189412,0.2918756199202209,0.2372317182618161,0.2932618926397577,0.2803043497700883,0.2476708673733097,0.3319891435580457,0.2540741651464843,0.2262660849642579,0.273199190024717,0.3129100678454196,0.2295031164935911,0.3226856432913301,0.2998216487263835,0.3043801472139207,0.3576105323170362,0.2955734476129654,0.203386881640733,0.2789432194564682,0.2272047991738855,0.3203198197488658,0.2566141783877708,0.4360546765936851,1.0536712127723509e-08,0.2599757939330717,0.276288241979142,0.3366906319853087,0.3458250973145175,0.2089430189216822,0.2579115135875019,0.2985534969451779,0.2698485030626568,0.2876045464802435,0.2372783119474159,0.2602668207998462,0.2607651811317796,0.2710346662251086,0.239333328060271,0.2609489428512668,0.2710396210282481,0.2660859698278176,0.3517364055828558,0.2752928891553085,0.2252623970296855,0.274955744572233,0.3639981313933134,0.2935232626258275
IS,0.2974977234929757,0.2391081686430523,0.1423747979246003,0.2462311264856425,0.2001357823766778,0.1892109279219807,0.2377879344959524,0.1384706975098795,0.1817791456845751,0.2006890818040676,0.2353294479293345,0.1494657489365752,0.229745710527096,0.259305592275818,0.2145427105789265,0.2847267112412115,0.195194786149458,0.1245100671950633,0.2655582374539911,0.1839992700036307,0.2680698618826648,0.210785310633633,0.4173039790599608,0.2599757939330717,0.0,0.2029038717675797,0.2897554994602443,0.3045149289345074,0.1749981341792522,0.1520735858757052,0.2579854238179975,0.1987223666659961,0.2345194096461869,0.2139099214386673,0.2472187238525758,0.1811216728508443,0.1386765344251785,0.210599635450658,0.1735134550505084,0.2308392540412137,0.1757254593734545,0.2645453685956364,0.1310002851381258,0.1376044194422711,0.2080718383293844,0.3818258807595269,0.2031211273081001
