ISO_CODE,AE,AF,AM,AZ,BD,BH,BN,BT,CN,GE,HK,ID,IL,IN,IQ,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MV,MY,NP,OM,PH,PK,PS,QA,SA,SG,TH,TJ,TM,TR,TW,UZ,VN,YE
AE,0.0,3.3099211190651223,3.0787818551825588,3.138327078954056,2.9572435622689777,1.6903657674260373,3.1901265675216197,3.116492848643633,3.464460843382573,3.1144213218969328,4.2525065670006095,3.05641891341439,3.524457517238777,2.8229943410578064,4.03891206881537,4.5831063360059545,3.280561866693555,2.923127041401289,3.270107086764304,3.4279668400957948,1.8756133016528236,2.969969080583497,3.2155071172600853,2.7874621609291963,2.9106185822071944,2.945746885280989,3.2751682465647973,4.302340243070674,3.3847196305486595,4.309802010482209,3.0394917605660963,2.01800660178273,2.9084510293254047,2.63005185290235,4.723636643582057,1.9605458398259616,2.0062184240780936,2.7927960923086848,4.7539349731402085,3.0086025329999706,4.032792073908836,3.0547129215792177,4.775956152146899,2.924888164823431,5.088231583680319,3.0126727012837047
AF,3.3099211190651223,0.0,3.462256335493648,3.4767848092610625,3.2375153229045197,3.207836261476594,3.8195712707674874,3.186880413964143,3.6495652153226583,3.501814845970891,4.72978298198617,3.405918235576043,4.000908655262682,3.283456585390488,4.072982959332134,5.189210938149391,3.599280333763666,3.2283558508858023,3.644831443000693,3.918414024247828,3.1872100441003064,3.403063144226516,3.675412765972474,3.5712006172300623,3.443015758582876,3.2839866181196844,3.6771939178423954,4.769819470092262,3.842230187517205,4.774035755924323,3.233463576834068,3.113415692867567,3.4912524322139067,3.0421021381767286,4.985318560061956,3.0620981141130765,3.017949425700424,3.54620317704384,5.172124798266107,3.13428684969447,4.1793777866203605,3.401637935133214,5.137224545502186,3.2156173213931285,5.308391583601637,3.123420410195254
AM,3.0787818551825588,3.462256335493648,1.996533182197121e-06,2.4549465823727266,2.9059606771391016,2.907774212372062,3.53673544179325,2.925839742399861,2.851839769226725,2.154569762579732,4.590890306737228,2.846841854138311,3.7058217802951714,2.8294479913818984,4.410284899854608,5.328897464332017,2.7576239298502654,2.3788823605479017,3.1283668299259197,3.3026766484257037,2.7665081696653098,2.4764433860141226,3.133619917417744,3.1529838946720905,2.832447642083505,2.614100347491619,2.655298647543288,4.579189122525367,3.6539226362368926,4.834739397391014,3.01875997332573,2.6089085529303007,2.8594347785010017,3.0529329663691027,5.156091812028167,2.760375791444012,2.67571737874447,3.072521757545832,5.130408889128837,2.312533939185685,3.5203208120002483,2.7964548616843445,5.085188730679844,2.3445222986944807,5.342160278702308,2.9642318243885115
AZ,3.138327078954056,3.4767848092610625,2.4549465823727266,0.0,2.915595808233253,2.946211986416875,3.626503907665613,2.948041016352365,2.625950637414985,2.376840757932088,4.761541562808945,2.750964731643728,3.921720049292974,2.769135036372966,4.443234370664289,5.407849605193517,2.6298100027197444,2.3697068805407784,3.290863279637354,3.403041025878868,2.875524383807229,2.452255476918285,3.19268147810404,3.311323515799333,3.0286129446376457,2.800966093505244,2.797513269741439,4.783778677744015,3.947509774646958,4.958022425448504,3.199236619534529,2.4986822115157907,2.955326043780308,3.076078356557945,5.255337192637425,2.819443425193315,2.610063475189001,3.2628682552034403,5.287273560891419,2.309294394468992,3.242536243493216,2.4358142988989573,5.284407693883373,2.26091318388645,5.571311647776396,2.762705766260448
BD,2.9572435622689777,3.2375153229045197,2.9059606771391016,2.915595808233253,1.4453358236529995e-06,2.739400800979115,3.5927874276100584,2.667246079214987,2.611455609494546,2.838808697057784,4.817513144004163,2.662638488998018,4.155436897503479,2.316172696976467,4.579179112072859,5.54867188085268,2.6951516053588613,2.7815960407500677,3.2198095218424228,3.4857582078904823,2.7634973088424504,2.871807550609656,3.253103449959807,3.55146132821672,2.716155139644089,2.6010865750274514,2.976282398238935,4.843245387260562,3.674400015397952,4.877415747147265,2.6760175661935643,2.1455081953661934,2.835370728194791,2.571181740043964,5.352415365495525,2.5757317081750086,2.398848753925356,3.220779481986749,5.203969155627737,2.5701619878894117,3.326078750619297,2.995805436909659,5.284594306468168,2.685267915557839,5.526579610788324,2.7434924711994504
BH,1.6903657674260373,3.207836261476594,2.907774212372062,2.946211986416875,2.739400800979115,0.0,3.0890212740224605,2.8951333596825197,3.3073811706418925,2.939360252246221,4.2418953287311885,2.841301557196188,3.4068934804147104,2.6228816290920003,3.9219090488048343,4.5013169638936805,3.1153142949942723,2.735516801589359,3.1631203448426115,3.312805611005217,1.6160575681312168,2.7860195636171943,3.092461397346169,2.6626733758816616,2.810335701435653,2.8162029097816883,3.1461347366109487,4.282449743753857,3.2964247258967965,4.289869540956501,2.931887842825699,1.8270870867866824,2.843902991945702,2.5981006629893137,4.671675435095053,1.7533551458667096,1.8112039205312829,2.731132567778752,4.741302899268825,2.8461749069203037,3.8905173287615886,2.8639910269046163,4.758732694232661,2.742787780971176,5.086384651390822,2.788478495417261
BN,3.1901265675216197,3.8195712707674874,3.53673544179325,3.626503907665613,3.5927874276100584,3.0890212740224605,0.0,3.5386666251831485,4.03228200552761,3.612288678217836,3.842538855137701,3.1225939720135627,3.583068745273788,3.631309093931206,4.364381696098458,4.811425587206714,3.769997735283996,3.350867883178509,3.454398240699956,3.548480330341138,3.12347781002337,3.406579808758102,3.275425196306554,3.3348120055411514,3.3970984411303355,3.2888404584155904,3.672291110875409,3.8605909070155366,3.445613037214384,2.9808407582667567,3.6160325444983337,3.3305144396110267,3.249767988338536,3.451390998459402,4.911141064574083,3.0794862851276417,3.2352471197193267,2.517282623969474,4.318277036580479,3.6018163249068618,4.540726552444722,3.493497661141416,4.356327192559435,3.3887594012406197,4.776761968627278,3.7382749526630095
BT,3.116492848643633,3.186880413964143,2.925839742399861,2.948041016352365,2.667246079214987,2.8951333596825197,3.5386666251831485,0.0,2.683484225618441,2.857706690280768,4.578961586920467,2.6338685081738107,3.951896666977897,2.3614799723134543,4.577989482476386,5.582436057898379,2.698465764340554,2.6009058548349064,3.234480681054158,3.3734005199774337,2.933512898153336,2.765485241076844,3.1706609165271007,3.534862884986304,2.8993531759889697,2.6952275916406347,2.9873200343476984,4.594266077058256,3.73070910010754,4.797698785190398,2.3810744352792352,2.5254745719175986,2.7815763452945643,2.8814049929613508,5.368368416617848,2.7777704215687544,2.6522629237784474,3.054752134677182,5.140569646811386,2.4797843123089107,3.3747849527712583,2.974785545908619,5.012981932595856,2.598673745900088,5.371059464254439,2.7551510686164837
CN,3.464460843382573,3.6495652153226583,2.851839769226725,2.625950637414985,2.611455609494546,3.3073811706418925,4.03228200552761,2.683484225618441,1.4672915488590203e-06,2.548650064615797,5.19653934107566,2.3107886891642115,4.541078693911399,2.225915417077392,5.014616732593792,6.171990771925374,1.2668446308047876,2.469392378276343,3.409294210021238,3.41655892908413,3.1425238933685526,2.5104540733515623,3.262320261827241,3.931809416944633,3.0829041308554146,2.668085372905282,2.740997690782522,5.216626065060336,4.526491359878849,5.534127309802145,3.2240800318305585,2.1728012311118454,2.7161297584789343,3.105062103482449,5.864558653118299,3.008416883213979,2.466595888654967,3.5692314261267364,5.712141240702248,1.8205118528662696,1.9537978455934235,2.861026513256067,5.681871948784585,2.2215892707105773,6.000194446067581,2.229497726374447
GE,3.1144213218969328,3.501814845970891,2.154569762579732,2.376840757932088,2.838808697057784,2.939360252246221,3.612288678217836,2.857706690280768,2.548650064615797,0.0,4.678141015533685,2.77753795585819,3.830724745728231,2.715763596315324,4.533201769254698,5.437020732393649,2.554466144419952,2.508541095871978,3.1075904341457865,3.318339486988911,2.837452769574173,2.580262326093534,3.1513284802184094,3.276968450125041,2.8857256752908027,2.6050049994192936,2.519407307196613,4.681561506577343,3.723870808130103,4.966108049497808,3.076655696384058,2.5206944844145296,2.737809552810528,3.0285534886735825,5.286615861523967,2.7714763976585703,2.623689362977758,3.14099606058097,5.222571890300539,2.314615710010512,3.2774515265756885,2.730788867008597,5.163751070089336,2.3940900213872105,5.483216378836106,2.8566668656379446
