ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,2.0018643884356814e-06,3.873513403017395,3.3515231504667056,4.116219569343251,3.12784528991186,3.775920769921973,3.969059219307674,3.132567162455989,3.785000282576845,3.4414129195584726,3.3483724421741936,3.46815762025874,3.3510115788159625,2.826950169886313,3.3960492520397043,4.192953973160108,3.2022320472045656,3.2548518336525154,4.7411856929096965,3.7065818991360446,3.999786821050327,3.548566987579388,3.8386318628096014,4.369491009202307,3.685750960440428,3.550241049943346,5.323261376775351,4.409188170241445,3.0450096315140125,3.405097950706699,4.89272325417499,3.568697193390787,3.8519957363196826,4.02367946524827,4.176269710022607,3.333519764937288,3.4358799573713417,3.4252153182825027,3.559674003526537,3.793922309877995,3.8095776727181687,3.8910869179810494,3.391278268290774,3.536097147067645,3.523118025906057,8.9985030508007,3.633915012596725
AL,3.873513403017395,0.0,3.3001667993868526,3.412044963203144,3.220440840318133,3.3505700030078325,3.8886081456784254,3.1504950112126915,3.424100199790173,3.375508708626848,3.2684077192071728,3.5547009777796394,3.322529007056325,3.350471678033528,3.467757431317616,4.513509027117674,3.323781815883911,3.324549493248259,5.264493637429971,3.171894532045205,3.539521259765426,3.382048525731066,3.87766214410306,4.70473918175259,3.8648499212466336,3.320265783007306,5.659347001376144,4.2557185823927535,3.253261470354953,3.250073223884748,5.279316690587379,3.221581001653562,3.1323579360781606,2.892205380019845,4.121182936800179,3.361263903981365,3.530272526223614,3.3669595730665973,3.8311735950920376,3.481922799762577,3.136999590026834,3.810359300409473,3.4498993549906967,3.2896329745485597,3.3337593490948008,9.258920596122437,3.3423416850884085
AT,3.3515231504667056,3.3001667993868526,6.307962682401158e-07,3.3103742933520985,2.2927480782422704,3.0184814309625603,3.3280879514436617,1.958879723042132,3.2176619206613863,2.405317915954772,1.835033890125617,2.6184414547735706,2.555947803480923,2.6128382033122195,2.559705249592636,3.9639818879833566,2.443165912653124,2.364404176718576,4.887820661533442,3.007396490076833,3.1602595101612425,2.5473288992333925,3.1728656707436773,4.231104585712175,3.1551591994753627,2.9481744707288264,5.044546807837978,3.851843625501071,2.4082313133305555,2.531013507286377,4.910152048777621,2.7981269888912186,3.1921634642112138,3.388382079794681,3.8422608935744487,2.4248806374682563,2.684967457764506,2.603189902512161,3.424798804562496,3.0556667955836008,2.9957060187410707,3.222208782052276,2.535452266584717,2.5471243792013016,2.4528988683431567,9.207198867879768,2.810262794701564
BA,4.116219569343251,3.412044963203144,3.3103742933520985,0.0,3.432142458811036,3.2808457049139923,4.045816330392422,3.391752670977364,3.586777492087677,3.334509036517248,3.462399139054837,3.663612719925896,3.5285784203182757,3.4702664175487947,3.617105455181415,4.708070706203491,3.5856206812884723,3.437226475000668,5.361200094706558,3.3740642422867992,2.714925305580926,3.3146720575366477,3.9085731015613976,4.786672074495316,4.107627448587767,3.6744904368213223,5.765715684610486,4.225206296891836,3.502873826487546,3.405365381744984,5.483807748743577,3.368466660139477,2.4059862264063443,2.9547065789083784,4.271219506615346,3.530165739858268,3.7153434355879633,3.442509032024572,3.988028410708468,3.5090645645933334,2.206028371366993,3.9876079064825385,3.531433927924014,2.85019711067138,3.275670648369553,9.364359421086217,3.391247484163884
BE,3.12784528991186,3.220440840318133,2.2927480782422704,3.432142458811036,0.0,2.9335183882091243,2.86489815790458,1.884761000409476,3.1985937322056555,2.2832801681548824,2.0198368670493667,2.400523236924402,2.138859996334356,2.3035994087006504,2.2042077334203283,3.747402364283386,1.6915643649637873,2.0846380585675304,4.878511391710581,2.9152935954014296,3.3358525511269583,2.6174052644133163,3.146274546049429,4.171247618894324,2.87372206083576,2.8496191003202407,5.286682904879313,3.8878498257681766,1.996830830336159,2.2301956031305745,4.710424742147252,2.5216638273818712,3.194724952787208,3.445737931008372,3.872170788531053,1.717257127504611,2.359497499884798,2.303476503351896,3.3014151298699264,2.922545373144895,2.9780297492986594,2.7294521733175885,2.19125606111362,2.6560089431670293,2.481909317193027,9.27539488137626,2.586579265131536
BG,3.775920769921973,3.3505700030078325,3.0184814309625603,3.2808457049139923,2.9335183882091243,0.0,3.737663983324264,2.9898454950540048,3.1492295056555624,2.8256934984314133,3.002552491565784,3.191987419848436,2.9925083342076744,3.030792314069969,3.1479751355022905,4.43900640442392,3.059468988663753,2.9152668808665108,5.060995784936196,2.696843324975541,3.18755582258515,2.728761990877282,3.5286775039519824,4.483299625125016,3.734754899039251,3.1805045526510565,5.559732386189146,3.8084262959948503,3.106071646955658,2.877887162410225,5.1243413957201,2.8930639828586857,3.252036454719707,3.021586660069129,3.917473560900387,2.9910924466101982,3.288361019369767,2.7827542804704,3.555472436234881,2.727001399640649,2.9611266392670945,3.624980595009986,3.127043050737417,2.944322452941653,2.7631710283794924,9.195921071200363,2.894038015301233
BY,3.969059219307674,3.8886081456784254,3.3280879514436617,4.045816330392422,2.86489815790458,3.7376639833242633,0.0,2.73772000522029,4.262756221206712,2.793870387724722,2.5733789197043544,3.369101801927483,2.280598799378502,3.1022804925680068,2.5527505433683,4.139280673902517,2.466055852856468,3.0312656258387296,5.9305173364718495,3.867380246813086,4.351580153603808,3.52398686242988,4.406067384338542,5.2273053267232905,3.388216847529113,4.009271042860319,5.953324223207631,4.818413256502658,3.447506064107667,2.5491132586920107,5.35263188476041,2.488383996292274,3.873398022165037,4.411453500991426,5.2145346333216125,2.778380442884308,3.0044793560598357,2.923392744261002,4.550670475547385,3.690608653705928,3.565164159629718,1.258523231639943,2.8162798026611777,3.668724582913506,3.3814386812713395,10.039554375769464,2.477464359472449
CH,3.132567162455989,3.1504950112126915,1.958879723042132,3.391752670977364,1.884761000409476,2.9898454950540048,2.73772000522029,9.757700886574328e-07,3.2846383926909817,2.211949252053657,1.6737440890050252,2.402762990215023,2.1179384955284437,2.300218518986102,2.155747939863436,3.6879179147199017,1.7792566921511832,2.0791561053316023,4.947463427018373,2.981417670669206,3.347254344211564,2.6205409301701894,3.202999051068285,4.284081556534727,2.769443730263596,2.8304620478015368,5.029011662641824,3.995879361131928,2.249366040274766,2.204981897157738,4.739780164577043,2.5185710369021903,3.1689980399762545,3.438880071901011,4.0119327452594025,2.039949889673501,2.310736896579223,2.335054632094584,3.3636566491525053,2.9987408800733197,2.9440922551076683,2.589243938467681,2.1404790096388187,2.6431830385008794,2.493607698771635,9.318167907202556,2.5530720170221928
CY,3.785000282576845,3.424100199790173,3.2176619206613863,3.586777492087677,3.1985937322056555,3.1492295056555624,4.262756221206712,3.2846383926909817,0.0,3.323010373242289,3.441449210876146,3.364557791034536,3.4046322421176063,3.3152680879860243,3.5190044185009177,4.588509039197983,3.4599775636727244,3.094461809936009,4.758350862401269,2.4491727579445763,3.339679835216958,3.12406960257046,3.296014496229848,4.1633540557196325,3.914381077372136,3.2155639191097065,5.510063934837942,3.764299703328248,3.076554984635064,3.265589353748224,5.1591487353537655,3.284456068083107,3.431903672354614,3.2492617091684446,3.3476977114230144,3.3484368085060754,3.5379888450279204,3.3039311356799974,3.46026996982575,3.3440618150839985,3.4023791689825758,4.190626063485792,3.4593438242428483,3.185701321184932,3.182207455460753,9.015680133015175,3.376409294853912
CZ,3.4414129195584726,3.375508708626848,2.405317915954772,3.334509036517248,2.2832801681548824,2.8256934984314133,2.793870387724722,2.211949252053657,3.323010373242289,1.6603932711105489e-06,2.1927008275233253,2.5231736685962503,2.250053559089221,2.523495672506686,2.2781934110074227,3.928758199482742,2.224516309671368,2.271939057424281,5.062823305427129,2.9395972101384222,3.2126669953231395,2.4209255633874918,3.2964287289023164,4.338427034339145,3.096387185084072,3.044026649683899,5.360179071202235,3.845827772921384,2.722407245126912,2.272799633756341,4.952666971169778,2.538426790672399,3.258435221844483,3.509551017768211,4.096718028347651,2.31451672899574,2.517706165847392,2.296947037702289,3.555918224147719,2.898134144630224,2.964402828294906,2.7592034220945254,2.3631678243663945,2.618309804876508,1.7002769040500718,9.3581376325594,2.40657449195626
