ISO_CODE,AS,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NR,NU,NZ,PF,PG,PW,SB,TK,TL,TO,TV,VU,WF,WS
AS,0.0,3.649092673349259,5.843419525704988,3.3062260822805234,3.24840929695004,3.345536384726431,3.42815356648015,3.333481287781762,3.351232657464279,3.982965034389428,8.07043903040465,4.094136424103541,3.456567022509613,3.9591121504772406,3.1412351996040844,7.232015189647981,3.103929182943868,4.746702416246683,3.356052307666204,2.8904761408440134,6.903183567457182,2.9274483474667385,7.149523348228587,2.789210850290687
AU,3.649092673349259,0.0,5.863925000458217,2.7747664242764154,3.99723177337801,2.8689532166578924,4.1693417620135405,4.031825883053285,3.4404680468313784,3.2467097531965,8.005114462404352,4.9807104248285565,1.9077538752235788,3.304920231700417,3.6157203151737294,7.258825823923065,3.777484395330375,5.5729234999231645,3.376988003678036,3.574852205353334,7.07157254571199,3.4502064742333487,7.119296282793528,3.2159393587869287
CK,5.843419525704988,5.863925000458217,2.865985698740794e-06,5.892551380973814,6.231511551700172,5.942278188723757,6.4093966477740025,6.085115131621723,5.801752963094913,6.190622303344305,8.671985013511247,7.15939726155522,5.84973432242755,6.128407332964437,6.289056665275015,8.056970833210661,6.258144611095933,7.551198945359654,6.1153693516147705,6.006056953981081,8.421677962498904,6.043952709163421,8.55510541087061,5.918773703466496
FJ,3.3062260822805234,2.7747664242764154,5.892551380973814,2.9574957442415423e-06,3.520960390991018,2.961158983761607,3.6003827845908134,3.628323198500064,3.3818821703643045,3.319948168992893,7.845643897458253,4.562954836099999,2.648636311258827,3.3442899730411364,2.877985383963343,7.234544529948016,3.105194656128131,5.16725815460079,2.8871922964545598,2.968598315812087,6.731669053760939,2.8327015442044114,6.9970714971352725,2.475404036384494
FM,3.24840929695004,3.9972317733780094,6.231511551700172,3.5209603909910183,2.0647654623614283e-07,3.5350685244614817,2.5631543817050377,2.796864071479403,3.5488285237448904,4.214990368965443,8.28164100008682,2.918375177435018,3.711811436938573,4.267073062672867,2.483640680141632,7.404711142625074,2.3800372362782034,3.5184627812349443,3.084394607128321,2.4688553306216736,6.698598650381651,2.4021502494907057,7.133962007451753,2.683103115580133
GU,3.345536384726431,2.8689532166578924,5.942278188723757,2.961158983761607,3.5350685244614817,0.0,3.7910641512710352,3.664840291842467,2.8637282193828484,3.389116586251561,8.107702141547376,4.47931236918016,2.7649551525331084,3.455998697328244,3.3197210363084184,7.178734713866054,3.430108904899132,5.110209320633586,3.352331795324736,3.2792860157995745,6.913330815519921,3.1391370365022437,7.121966196232608,3.0296816917938174
KI,3.42815356648015,4.1693417620135405,6.4093966477740025,3.6003827845908134,2.5631543817050377,3.7910641512710352,7.817075877549649e-07,2.825547727486511,3.8432975948808905,4.336932428216098,8.360638660751693,2.4117361209723103,3.8316613740055145,4.415239414003134,2.212055449739132,7.618344152761274,2.078130246319835,3.226108408753285,3.0740592881688937,2.3285478069211285,6.644481473862438,2.189449456407596,7.157377583142747,2.6435356950358964
MH,3.333481287781762,4.031825883053285,6.085115131621723,3.628323198500064,2.796864071479403,3.664840291842467,2.825547727486511,1.6942823414268369e-06,3.611933136970344,4.2795009424606105,8.209060157888992,3.292177102711181,3.759627493052433,4.340133112676772,2.801077229540053,7.342642386424903,2.676842700223982,3.9688126125929215,3.2951450171951477,2.681894297927746,6.711357697615972,2.634079423442818,7.184924243161007,2.895555571642959
MP,3.351232657464279,3.4404680468313784,5.801752963094913,3.3818821703643045,3.54882852374489,2.8637282193828484,3.8432975948808905,3.611933136970344,0.0,3.8701352995068095,8.050648506636369,4.575945280996752,3.3154676530320097,3.9104650970446455,3.519735390787697,7.117432685744795,3.52252007731467,5.185233228672464,3.5190448979787714,3.2636974429189904,6.994135566311189,3.2728240549078773,7.240282565272092,3.2126071806896683
NC,3.982965034389428,3.2467097531965,6.190622303344305,3.319948168992893,4.214990368965443,3.389116586251561,4.336932428216098,4.2795009424606105,3.8701352995068095,0.0,8.242042854240577,5.068681228143657,3.212257510291317,2.624255621756244,3.877891855589696,7.49923219558988,3.970975915639422,5.629523016431844,3.700847542636205,3.8545703556041326,7.15810386220105,3.56343060287734,6.675634710141699,3.531690516691143
