ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,1.460009659995543e-07,1.760710394455285,1.997129850650588,2.0026504146011352,1.3195886278044633,1.7651133638150995,2.008686877719891,2.4303193259060265,1.884688586859214,1.580581935715876,1.5861472494628002,1.6385322654899752,2.0732158191000725,1.8281945974909848,2.445257837708975,1.9869708734461853,1.3412306758271304,1.7671153240172122,2.036334742334416,1.362940854168981,1.7642245467693018,2.0862048136007028,1.6985855511025758,1.897733911133424,1.4083681144913318,1.9079179435904656,1.6306933305102105,1.3561776607031972,1.634350266303528,1.553108488315968,1.2706259079794888,1.7590048552278983,3.3108454822135767,1.8821112220078384,1.9835877705423772,1.7956617822478835,1.8857510390222956,3.4650531459771456,2.5434070181606145,2.220369501065716,1.6635928705759373,2.0866864899990745,1.6651102083438538,1.4556235219918017,1.6821279486223528,1.523838994362548,2.1151265089384346,1.344986127987356,1.6799312453867246,1.9044861153534136,1.8051817097651703
AI,1.760710394455285,0.0,2.191193753825221,2.1221385084389763,1.7444911001122805,1.9738373336075368,2.2027460337632685,2.4120421461341657,2.088006231583176,1.899164257437937,1.922284215895024,1.916524257891564,2.268936429256676,2.04980938721877,2.5865261936334303,2.121618969605805,1.683511988118287,1.9850509540217416,2.251939814181726,1.8069107912241087,1.8690573699457989,2.245315044957628,1.7060489130772751,2.133773429223443,1.80673465482878,2.134374146861929,1.8985892163052387,1.7816845226383544,1.8764277529098103,1.850219312729588,1.6885915039857218,1.8130914694747051,3.511394905012952,2.107950632695595,2.1945902314508183,2.0442663705844235,2.105175102159268,3.45916923113911,2.66042079594694,2.3954551263895527,1.9375913683459265,2.26802482714975,1.3848569412958789,1.686104823614345,2.0504419939653205,1.8047264160770304,2.322477481903296,1.7456268623590594,1.9312132548471097,1.9862016111904888,1.9479244950991133
AR,1.997129850650588,2.191193753825221,2.731427964541817e-07,2.0482867730216245,1.8256327373736916,1.9564251698543047,1.4329014198408605,2.582645624057397,1.6050629542317432,1.8583051668955544,1.7439887967168632,1.7174954166166545,1.450842460011235,1.4665667805132143,1.9939060873418413,2.0929860017232382,1.9363575695999569,1.5691414176226202,1.5922917416071865,1.983320871830096,1.933551504934191,2.0501206690268674,2.015933162698206,1.5567898521747974,1.8270278314009296,1.639003230881568,1.7686888350837149,1.828223128584033,2.2707122541842817,1.9449015111381327,1.876098233375652,2.0255082231141053,3.703647025452879,1.4485177447969122,1.6417580665583946,1.5378079164324667,1.4544878871907905,3.387792833759764,2.337532666567553,1.430357273936952,1.85193458090914,1.7275523629814546,2.12293115423716,1.8102974760603912,2.1208118130985625,1.5432037957490747,1.316589840501732,1.9167179060515815,1.3671301175762542,2.270850096343576,2.1867799551219185
AW,2.0026504146011352,2.1221385084389763,2.0482867730216245,1.3978528260658472e-07,1.9158122844132544,2.0685916362386454,2.0894938622803925,1.8213661694711551,2.062897801361068,1.994662740699688,1.921706260133225,2.0424525839205554,2.115875759506706,1.9320346750973407,2.312017223387517,1.1123587778221935,2.017166865015215,1.919757285086008,2.084791969640095,2.019315323334894,2.098923270255188,2.307112554566051,2.069447038846689,2.038663377550395,1.9822552638878,2.025553564570717,2.034857865400556,1.9797418209963624,2.1380465868972043,1.9298832143123472,1.944111635663604,2.1032637317717544,3.66461708288304,1.9891488722065775,2.039381371057672,1.9531418734531023,2.026190096845178,3.5356167583059976,2.4380202242701645,2.1974847024212463,1.7361876296068668,2.1487931513084684,1.7527064151283818,1.893078879943268,2.098970967730901,1.9042797889970755,2.1343550831274194,2.00373432204266,1.868873841939708,2.242499646159653,2.1478138384809364
BB,1.3195886278044633,1.7444911001122805,1.8256327373736916,1.9158122844132544,0.0,1.603356652826673,1.849282903343921,2.40083405082679,1.684662659631258,1.3373929242166651,1.3820366863617644,1.3791529700447631,1.91538115834952,1.6271130988738254,2.356659946539088,1.8842435443114829,1.2860683960577917,1.627789904793073,1.871957725219083,1.1500544593567044,1.577917696544818,1.9166202693787888,1.5870193594961606,1.7429512925871,1.11700474723401,1.7443759997391164,1.3885469800133183,1.1843082657461184,1.6990467446866444,1.4500060133915762,1.0242301675228571,1.6068696762367305,3.4168540899242337,1.7225171610860062,1.8257692310671745,1.6063283381026894,1.711365824417772,3.3800245125072617,2.4813467589467453,2.0846350696593032,1.4675289112909975,1.9369535765725128,1.6516246033538764,1.272072953261566,1.446407832749833,1.260292054534924,1.97164857241736,1.0848392688672817,1.4641425835283737,1.8884427436010265,1.768437273403648
BM,1.7651133638150995,1.9738373336075368,1.9564251698543047,2.0685916362386454,1.603356652826673,1.788139343261719e-07,1.979919299708944,2.526379146199612,1.8015883017609904,1.65417351749715,1.730065865090049,1.5327601900357462,2.0338567007447814,1.8257738841952165,2.4353406683431045,2.085649956163738,1.7611701639907746,1.8628395414716628,2.0097432664191888,1.702719861198164,1.8885790086698375,1.9555046374900984,1.904979593224668,1.9087796396155228,1.6574733903179462,1.925723699794397,1.7214118581715363,1.5848200591264834,1.9956739648103503,1.6256806351544255,1.6504923431663965,1.9079839084317651,3.540528452442897,1.8713627885651596,2.010306477472906,1.8125526743008613,1.8673225623210272,3.392654479024167,2.5666589456500764,2.1662710991856926,1.788169995099996,2.081603676580453,1.9081279515444312,1.5658255728880055,1.947650205311385,1.4166566636526934,2.093149110546252,1.6938934089518476,1.7165124136157828,2.093016495273483,1.9528963386904004
BO,2.008686877719891,2.2027460337632685,1.4329014198408605,2.0894938622803925,1.849282903343921,1.979919299708944,1.5769906706002898e-07,2.6453244973750665,1.6611454530467062,1.879951564347011,1.7719424879517252,1.742071118729605,1.6046386881327026,1.523596347771282,2.105906883210367,2.1345917334556512,1.9591779591085885,1.5962125840986978,1.6122244690100642,1.989042408977236,1.9457077365824496,2.0859253309054715,2.0360682211938768,1.6179651891114832,1.826711837995849,1.670321967413002,1.7649164694844288,1.8205197763494048,2.2934982359424847,1.9667943833375936,1.888124685329868,2.062098128373583,3.755873497841128,1.4866531235107074,1.687934233850083,1.5832336139982348,1.4186367367695576,3.4456952943631745,2.423671007671012,1.6415322114562088,1.8629936835779397,1.7943330488074394,2.1293105448056497,1.8300301159390395,2.118897817343365,1.5539137136455734,1.6535697953434436,1.9271851150653347,1.3593808356375998,2.311428966474457,2.200856774007402
BQ,2.4303193259060265,2.4120421461341657,2.582645624057397,1.8213661694711551,2.40083405082679,2.526379146199612,2.6453244973750665,1.460009659995543e-07,2.565742799406392,2.5094417722134974,2.4559768375819973,2.550594909904978,2.6616636147909376,2.497630333642096,2.7894609968704542,1.7331578153172174,2.4283956068490093,2.459909009571027,2.614164148245462,2.48684669750884,2.562862826910998,2.7705954398834307,2.5371356326438783,2.5817856080619217,2.470859050988655,2.55991401555154,2.556403835327276,2.485400293308496,2.527639677535148,2.411027840659104,2.405143637691173,2.5638516577699626,3.869508984237872,2.542475005938165,2.5942107210106773,2.516160405856151,2.568600010890557,3.863167114580828,2.864631539900828,2.709256131789626,2.2282931242605755,2.656295181817736,2.0527482710645963,2.3366848972264087,2.5878870160170093,2.4568048777640312,2.6812702633268928,2.4717616376920244,2.4741244532824647,2.598202521696494,2.515012528724812
BR,1.884688586859214,2.088006231583176,1.6050629542317432,2.062897801361068,1.684662659631258,1.8015883017609904,1.6611454530467062,2.565742799406392,0.0,1.7049754540033832,1.7283145286983963,1.5354037967528302,1.7687849867058325,1.5738421816035852,2.272895645273612,2.0318606084821806,1.8390330148219425,1.6934093975463762,1.7589686307869687,1.8520908790113988,1.6969182495762405,1.9568784180316157,1.869938726571278,1.6762466701264196,1.65503486112077,1.7393557301317748,1.5748703689125627,1.643633793086965,2.187965336679132,1.827833120465132,1.7164410303964046,1.8725726303940209,3.725868811718475,1.613189601157744,1.806342219788351,1.5958274989151848,1.5414287748714686,3.317866043154841,2.5149491814511813,1.76311123782568,1.6911046211709104,1.886661718711776,2.0350437020827163,1.7121554436788362,2.0237154073543464,1.3586520017698618,1.7292933382169366,1.7878688530284326,1.4361920476426129,2.2362711567509703,2.105709587270051
BS,1.580581935715876,1.899164257437937,1.8583051668955544,1.994662740699688,1.3373929242166651,1.65417351749715,1.879951564347011,2.5094417722134974,1.7049754540033832,0.0,1.5670911917614772,1.4110722081816407,1.939239051456641,1.6601016387982157,2.415123503169655,1.957830191631288,1.5568519824922344,1.688085172134766,1.9126552449242005,1.5350632438903389,1.6971244666842382,1.936599032966346,1.7255524074392528,1.793524464252972,1.411082293375398,1.7976556012861953,1.4299571041472217,1.3124816795243095,1.918756427253845,1.4885257687784803,1.421542189350841,1.7403350159354232,3.52517685954902,1.7698451549568168,1.8971749624298588,1.6592742702730512,1.7388986566814366,3.4004534240522983,2.530606405450603,2.120065630487233,1.619977550144584,1.990097370533416,1.796700943952941,1.2081243318142,1.755029544097314,1.2553615898570734,2.0124069361256987,1.4374465804563112,1.5169238731438424,2.0323740990552044,1.8564335482555867
