ISO_CODE,AE,AF,AM,AZ,BD,BH,BN,BT,CN,GE,HK,ID,IL,IN,IQ,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MV,MY,NP,OM,PH,PK,PS,QA,SA,SG,TH,TJ,TM,TR,TW,UZ,VN,YE
AE,0.0,1.784855707721444,1.9161539019720315,2.0233016206644265,1.7815653646456242,1.0750896787869235,1.920807209661624,1.7670261261463711,1.7067957480583429,2.007010652499643,2.2604281110377573,1.8560423305019007,2.121785889145224,1.6491504090175493,2.4456363191362143,2.264323448149291,1.7635287476976615,1.844831488977602,2.0057966530292077,1.7450031550255425,1.171559920611998,1.86310868165976,1.973943696754576,1.6916255411081451,1.826115990436815,1.7365738896046707,1.8942146835025664,2.2615841234253797,1.7089180940976625,2.332722697353576,1.8334975606439392,1.1218288356773476,1.7899329565122415,1.6955245707759503,2.732267584553121,1.18598767092238,1.1447350508229428,1.6828169611219053,2.07091393035824,1.642999413835008,1.848047423630781,1.8912127112748047,2.213675842192094,1.7849260336554391,2.4248198287420366,1.572608341569915
AF,1.784855707721444,2.1900144899933146e-07,1.8967891124587748,1.9620721126477392,1.792837959553079,1.7861119248444604,2.002717360594916,1.717179235499304,1.6583014916311494,2.0000973989691837,2.2726017099220357,1.8244616469640065,2.1426173531360475,1.669054409185906,2.5133851488714103,2.578304707398666,1.7455490524137285,1.778751637155871,2.0116189147429404,1.720373119937863,1.7399961450869752,1.8193798968932733,1.9772788456978097,1.9561991785574449,1.8918349727542685,1.7304133926936374,1.8669988751521265,2.2805570798116057,1.8129090396322092,2.3835741672304493,1.844386042093586,1.6424344529485722,1.8972084070963664,1.6302071921409045,2.8724995820708408,1.6032086526218328,1.6138555896826694,1.746278756465322,2.0977347859356312,1.5393246498360629,1.7914866853844718,1.769236981452345,2.204202598865143,1.6849164647263144,2.4427893321386867,1.7575352901755883
AM,1.9161539019720315,1.8967891124587748,2.7476383618393204e-07,1.5736463135059051,1.6443043725305289,1.8399222541192424,1.8528056304816,1.588366409297002,1.199851377625607,1.4230421914702442,2.219245753992408,1.4904910809248069,2.089525040883499,1.431284314755883,2.669744478713524,2.7373457195539688,1.2774267766943843,1.4121756167312651,1.7925488281482378,1.34664591144641,1.6951462604393868,1.4288113306345966,1.7228880954683785,1.8645899019760248,1.6363916375457952,1.4207474308737773,1.5018310722504018,2.228341254744397,1.7039429381344178,2.346415646450996,1.756781213933466,1.5043968148121607,1.5757841730889297,1.7689334625309363,2.985175899552149,1.5570587204616095,1.5442372770078316,1.5205627471913727,1.9451845820465816,1.217256114363905,1.325498185358925,1.553366174970569,2.14055512018234,1.3569877413919014,2.38456011559992,1.6485888394445003
AZ,2.0233016206644265,1.9620721126477392,1.5736463135059051,9.8843121241194e-08,1.827218418670396,1.9464206338931889,2.021761873089984,1.7915625130151611,1.43801540469198,1.5731065390860282,2.374710950680378,1.688602815919113,2.22261796705218,1.645444517529216,2.6344593459050523,2.7698067902483943,1.5216266546101398,1.575336991845335,1.9609543031803112,1.584602012675279,1.8252394590932224,1.5904918899220812,1.9091325510411623,1.9846074098126705,1.832309218237856,1.6289712464275614,1.6878705138621384,2.391008264431508,1.879025687606802,2.478372208842986,1.9358445146683545,1.6580159472912754,1.7736742548173074,1.90234798046454,3.0136573292139874,1.7055116397246146,1.6792368017992445,1.7311465147885576,2.118810688871033,1.3926714784737633,1.4808268070851,1.4588511971945164,2.3117115526760834,1.4756678029353754,2.532147718479253,1.7791175374193882
BD,1.7815653646456242,1.792837959553079,1.6443043725305289,1.827218418670396,0.0,1.6821789304363544,1.773753761295468,1.3574189734214388,1.1898703433285074,1.7397463725344295,2.1948562424480818,1.4952871298858803,2.1999422495420946,1.230437085808595,2.715301071380151,2.790454036242329,1.3171324109193827,1.60979985127584,1.7486780272312197,1.3982432963300286,1.62756793251462,1.6381000423879877,1.697584375990706,1.9728772821506275,1.5650421706783832,1.3673804812188397,1.5413103755610968,2.192331629529164,1.500454641138493,2.272766973334491,1.557180080744898,1.3267605883976912,1.5715153169141516,1.5813900312535325,3.054953384564174,1.4349596371485651,1.461628786460028,1.4587944587314066,1.9369539824968505,1.3948654300428602,1.4142446177072314,1.6835365290190298,2.135262782588767,1.5536210531406298,2.4037644214424576,1.664949045668199
BH,1.0750896787869235,1.7861119248444604,1.8399222541192424,1.9464206338931889,1.6821789304363544,2.493441183966624e-07,1.876950769857369,1.703439967231937,1.599077227984004,1.901397287619132,2.262687580662913,1.7638264476049863,2.066864792362004,1.5645372193374874,2.421654513453244,2.233411728325424,1.6576377597417655,1.7806514805878215,1.981212691872397,1.6576580025605885,1.026199187323526,1.7986141395133008,1.928771643612038,1.61996722553726,1.7641503244850367,1.6727960617795203,1.82649089823486,2.2672417976368315,1.6501373782497326,2.3372103979823526,1.7977420066550842,1.0746566542358456,1.7536719178095863,1.693439047645129,2.7045576187945097,1.0968057002587703,1.022980208642169,1.6453958347487465,2.056596429729894,1.5856616447471914,1.7275013525640617,1.7875911941719482,2.206147583437657,1.7252136745659836,2.4405154666291717,1.4562747418625184
BN,1.920807209661624,2.002717360594916,1.8528056304816,2.021761873089984,1.773753761295468,1.876950769857369,2.7637536810325694e-07,1.6631050713579865,1.5338756858000469,1.9498143165046424,2.049260178402581,1.4002508110305512,2.1909517061195536,1.6562921838290063,2.7503736189454844,2.7548140032806745,1.5683087293294369,1.7692527499905495,1.765844408231358,1.510969891353265,1.8067814402797628,1.7889559634635557,1.7446886769921588,2.0457041245315453,1.778654912133378,1.532041895715866,1.7636747092847365,2.0223447600470688,1.7138514246132537,1.5039330373024609,1.8392892221606636,1.7004574039946454,1.6099348461636276,1.8902893042102389,3.0398087122510304,1.667332812836644,1.7051505298029817,1.2468273215992116,1.8370642546237077,1.6125445612721876,1.7213209866028385,1.886882558893108,2.009541112775021,1.727015217659761,2.281695201811049,1.871045312344992
BT,1.7670261261463711,1.717179235499304,1.588366409297002,1.7915625130151611,1.3574189734214388,1.703439967231937,1.6631050713579865,2.811545470969857e-07,1.147244923682705,1.696136408399113,1.9869213360750573,1.4038975935146851,2.077045214784477,1.1228534108425576,2.641529501121564,2.7126039575030485,1.247483857311661,1.514398550083624,1.6088938955481935,1.256682433593088,1.602924549884142,1.5425012430070493,1.5483289828116853,1.913040542633242,1.4953052002400595,1.2491228200607642,1.4563264956907382,1.960134407775797,1.4695030145480337,2.1389534631738,1.2509323651637494,1.4058092543399625,1.4653063335676229,1.5897533043939884,2.9893480000180945,1.40497089627739,1.46779337153775,1.306874125627917,1.7455594075501812,1.3087491262117938,1.4001062887968627,1.6542516337530957,1.915924297152956,1.4678835174114944,2.226871390976441,1.6114059495694166
CN,1.7067957480583429,1.6583014916311494,1.199851377625607,1.43801540469198,1.1898703433285074,1.599077227984004,1.5338756858000469,1.147244923682705,0.0,1.2997455557006814,1.953284494353384,0.9824907510370932,1.9943754772602007,0.8926764135370925,2.584447221170288,2.688466674836808,0.585816719288827,1.1902351300759824,1.3812148734341785,0.8639498961832028,1.4191543175462586,1.2109710571882293,1.3167100690945963,1.721368540406489,1.2432610759596294,0.8538539099542894,1.02371069367574,1.9466792352793445,1.4082129628514242,2.134921712796121,1.3909644693334096,1.1019655994726258,1.0900717069345494,1.3974653494440972,2.936641419809046,1.2484760972905873,1.1751490604543984,1.1182199423788306,1.6767905408941934,0.8497027079088273,0.7061857720627945,1.2435586535950596,1.883155685702002,1.0973840469499423,2.206674219337454,1.2996314801074786
GE,2.007010652499643,2.0000973989691837,1.4230421914702442,1.5731065390860282,1.7397463725344295,1.901397287619132,1.9498143165046424,1.696136408399113,1.2997455557006814,2.904771073105623e-07,2.2957013834614126,1.5932008634604704,2.189542174280696,1.533423427650615,2.7408184510497264,2.783905196021911,1.377351327333981,1.569937609788407,1.8676364153438223,1.4711828629053316,1.7789512973870862,1.5631032437642676,1.8154036666392677,1.9501398379629824,1.7315902574573545,1.5133254110777037,1.5766703382647622,2.2995021326882967,1.7959273732505143,2.4376707967457545,1.857700435822817,1.575717716291288,1.6573216683762653,1.852584459741376,3.048812881839884,1.6447190241766731,1.6306141786208228,1.6278394378864292,2.050684795541314,1.3758974750560973,1.4243161255878478,1.5926004098782187,2.2375571327827823,1.501835279338292,2.490779698332245,1.7505532318491943
HK,2.2604281110377573,2.2726017099220357,2.219245753992408,2.374710950680378,2.1948562424480818,2.262687580662913,2.049260178402581,1.9869213360750573,1.953284494353384,2.2957013834614126,5.446573162823041e-07,2.045542653340492,2.353244035027307,2.0907595925591105,2.874856294090704,2.8566544888344216,1.9355754299647656,2.1006937243482797,2.021595258974379,1.8111333424988096,2.1769675890091658,2.092642649059204,1.9839277018518495,2.2757734081284307,2.1680673105237687,1.8815031620251443,2.07816230104001,0.9010439757848316,2.070922175391739,2.2382524448703665,2.099200122472155,2.144911836353909,2.018010513354554,2.265119312472527,3.1678427657540893,2.062727267123099,2.13887163712584,1.6093539198745128,1.8878481795885167,2.026187417761711,2.18252608657861,2.2594106757565338,1.552945772841177,2.0884644691440304,2.2652959359135183,2.244147732090759
ID,1.8560423305019007,1.8244616469640065,1.4904910809248069,1.688602815919113,1.4952871298858803,1.7638264476049863,1.4002508110305512,1.4038975935146851,0.9824907510370932,1.5932008634604704,2.045542653340492,0.0,2.0549045904305028,1.2752611877047928,2.6587470337558687,2.7307759797490143,1.071152394683048,1.433636952517079,1.5665528186009936,1.1674905169065326,1.6159183039578229,1.4671811584214192,1.4930460516310708,1.8651119457929397,1.500141505946473,1.1779596148286344,1.386145511559845,2.0533857624644747,1.560735647001074,2.029587481081132,1.614099040155573,1.4011102202888908,1.355031259724497,1.6463792437962164,2.9580082482481127,1.460353069130977,1.4314566548782237,1.1931138175335092,1.7489149239998312,1.212993916431122,1.2111024473027945,1.511847372060905,1.975146242308052,1.3737590426906623,2.272151624728945,1.5585736575632854
IL,2.121785889145224,2.1426173531360475,2.089525040883499,2.22261796705218,2.1999422495420946,2.066864792362004,2.1909517061195536,2.077045214784477,1.9943754772602007,2.189542174280696,2.353244035027307,2.0549045904305028,4.1935584781975413e-07,2.051621755899646,2.5783101530867647,2.402634233780838,1.9986330108807744,2.017806503119504,2.265452527961479,1.925315087556868,1.9497681381870389,2.028437440023004,2.170661593972636,1.9308912246038128,2.168784836187565,2.0206127678653063,2.144906473890276,2.377064540506847,2.0667222376360006,2.5077717014568486,2.1865500260900155,1.962184976424152,2.117776826574842,2.233622185017881,2.1500585897159685,1.8689850537762207,1.9159331992473767,1.9347000859998065,2.1936302102973984,1.908330442225108,2.0847693216002514,2.012361849941081,2.2812840879792637,1.9803638497945315,2.54809650251644,1.9547585437520352
