ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,60.5295058287981,61.382549605292944,61.72587419473048,61.27163954441955,61.99506985927892,61.31790710685837,63.60626456064732,62.19267562905379,60.47903836093181,61.983947413365925,62.47915968397535,61.48644675145356,62.41123544147113,61.60919383346717,62.53230857291453,62.5020869298941,62.44972930517988,61.74080920988899,59.95889009213243,61.15331596820771,60.89244192971169,61.457057841938095,60.65532370235535,60.064275829365,62.51164235155669,61.03816678662741,60.63472290158723,60.247505669196336,61.26381070411246,62.01286181305412,61.28939848214278,62.11561109418834,61.33310630274161,60.643448272792114,59.698239249007855,62.12016384974016,61.85648111304224,61.87988401642847,60.37944794532633,61.2530419479105,61.70925142660165,63.4412630462876,62.00684534334812,61.34469983939384,61.56697916619991,59.05363181232487,61.9144060591168
AL,47.20415956866274,45.69967925411094,47.25660657182605,46.08845829221464,47.630764361119006,46.37357249979523,49.00019797172834,47.79176809506512,45.54221101331156,47.43737597455222,48.00597315405571,47.128278781633945,47.92346924767023,47.45992539637011,48.14477563669336,48.35902894720059,48.11317666796649,47.32727295816273,45.93511538852817,46.11742200068826,45.87941943353293,46.70715411132092,46.10398278707253,45.88578734604141,48.2154051564021,46.50168804845788,46.616508153640765,45.458995997842045,46.90729505554518,47.40017079020133,47.21021234793243,47.2101324001908,46.23195547262444,45.23408540688296,45.0419880218352,47.7361560669552,47.4483749393151,47.35610126184001,45.969767560527394,46.545144158251134,46.69350327225777,48.886786557307744,47.58257192132785,46.55070291558869,46.91600686900741,44.966607374026886,47.05393711186917
AT,41.97217142530675,41.68129383903252,41.47980725089828,41.38503458666848,42.23520150426244,41.40726532583605,43.82633778836785,42.3268257946489,40.79387800913612,42.11904519154972,42.45893588975931,41.71934644954156,42.61967245588386,42.03928404621007,42.6848676060187,42.92515209506553,42.66626672576179,41.87046046207756,40.76595131017135,41.28888240524475,41.025638976438366,41.52188338529012,40.89115149934164,40.79387185942956,42.8043740009886,41.32073727548644,41.24263024989448,40.52298579987669,41.73850053262733,42.19649052428496,41.99380183231881,42.31970030395813,41.49811333517755,40.809404435410976,40.220200863390815,42.28668439113688,42.08765309569081,42.01539691984505,40.87146201376119,41.40866654283907,41.87732106988186,43.65035469997659,42.17169877501252,41.41578146751168,41.67829890792741,40.04908889213596,42.06717803346839
BA,48.80421897894341,47.79942776336875,48.67131679061612,46.48504729826757,49.094112616342,47.51663745278472,50.4903594654768,49.27987600183553,46.98860988322982,48.78600000818824,49.505194291556016,48.56748293568454,49.43225535470148,48.87557375602162,49.560438844289216,50.00272700928816,49.60669912799314,48.73602211655728,47.34764985510867,47.51604996631977,46.81730916344408,47.95332105094935,47.42602940405425,47.32497770796872,49.82856524940624,47.96837286679504,48.131984471124966,46.67282754429687,48.50711645963067,48.80612562411062,48.79172830054684,48.53672250508533,47.23383452821211,46.44360630484147,46.44558923980728,49.18119551064122,48.971583457835415,48.708076534557726,47.39331043824204,47.84198587418584,47.74652438183237,50.41108862647712,49.02723127631885,47.71112981441918,48.24978073667899,46.501003392132326,48.24800443876324
BE,36.50667296457712,36.320757503047446,36.50050737898439,36.0731362871163,36.53520577663424,36.03842624361289,38.27889011277494,36.880853992155,35.518572878102496,36.701334293130486,37.12866280457784,36.26823107059629,37.15066018085231,36.5883244945307,37.23813852606217,37.432977823708576,37.04746973056022,36.42343201552988,35.4044639747639,35.94597460437991,35.76071312406386,36.202143946832926,35.53036145575721,35.398057548952124,37.30152085624831,35.91508583761087,36.062543707286046,35.225350775245616,36.25126465446871,36.738110992441946,36.445111868820085,36.90676830219275,36.15106362270773,35.5121882788391,34.89676046261469,36.72050239230815,36.61498177563053,36.56769149875686,35.495897457236694,35.98503659637342,36.46949931250658,38.10043603615608,36.68891619348,36.08997723666889,36.28032253739504,34.836007141027004,36.65968969232371
BG,46.63111508304867,45.86517051261575,46.4741760714501,45.29726599445112,46.84003111450499,44.75093768558082,48.37740311362209,47.03922943410522,44.97562319213623,46.44770576706412,47.15002908585117,46.223060699781534,47.12049650046117,46.57596402176667,47.31665058010864,47.80521935471424,47.28503049272766,46.44281398754672,45.26037788839346,45.26151095649529,45.03150136587386,45.65687842678893,45.29324892831353,45.23880493276594,47.64656200834588,45.67804916283288,46.06925667635158,44.49139333019521,46.36595186858308,46.5525918358784,46.59334642071154,46.49365659606753,45.63049975906708,44.49811957361919,44.38183547624897,46.78733167302558,46.63861579702489,46.260586968880105,45.1618418336575,45.28244236394059,45.92637826858501,48.19038998933098,46.70779364777621,45.65537862931933,45.91397482394928,44.37279960643765,46.1433808583628
BY,18.763082752193505,18.335406199904742,18.73685874933778,18.11459822249911,18.924105199022925,18.22101332897797,19.14132043728552,18.942513270579944,17.964004034372177,18.770559691034187,19.09737585140782,18.644079459450435,18.951889366654186,18.808275390373552,19.10479532379796,19.26382058904477,19.11780946698035,18.76552580084931,18.231469159159563,18.22158744074629,18.04924002832211,18.413537179562997,18.223332795974137,18.22618946645581,19.19370044207415,18.470349149696588,18.521601692883717,17.829852377515266,18.590935510585453,18.68598113038081,18.7510352553369,18.414992599705023,18.15575760766751,17.85512309478327,17.89753293333315,18.927133363946588,18.796128615427097,18.77703931933851,18.26990721199311,18.44745791905657,18.3541778092579,19.19223162659776,18.80555726458444,18.37859849137083,18.540193706127905,17.931100272042123,18.254186719521165
CH,33.926858385945835,33.70434088858737,33.81471132096468,33.48147932420367,34.10343364374883,33.46020421480696,35.519877835925804,33.79769300625195,33.00013364189644,34.062759115778675,34.41303738363359,33.67526251788865,34.51965035280529,33.956848774224014,34.57486870106152,34.71184838285791,34.43057883713044,33.78266748553482,32.91393356986242,33.403457298155075,33.19213601210249,33.634356833821364,32.984731625339094,32.96447081853591,34.56967966150377,33.35777702628499,33.181394026420776,32.79333342909823,33.70994635867914,34.12075324923414,33.86784100608525,34.27466350818421,33.56424545383226,32.98682057388202,32.52602088843686,34.139041327461726,33.96923673196968,34.001313384676344,33.00556599540643,33.48356088092623,33.87333857948448,35.36188140277508,34.03102459813154,33.50171951368047,33.71949373229645,32.38856942229074,34.036668120553244
CY,61.50342131024031,60.74498399925029,61.57196372786835,60.480413398014434,62.03135272211279,60.68679816525444,63.83156879213449,62.29033383431289,59.03269971166458,61.86170653773316,62.55967270885038,61.36690283635364,62.41919677344533,61.78349969008814,62.63042957670934,62.96759779519083,62.6506996171623,61.56000202049273,59.69496623917684,60.19381924704325,60.10612045448126,60.972553180534646,59.99113143738791,59.61801968696202,62.79852889926765,60.67814498352744,60.68177833849428,59.35667506693244,61.165395531019534,61.81748190245796,61.484297809341065,61.69553819051649,60.59177591729845,59.61079950465656,58.61792158072249,62.12358994057041,61.862516198249054,61.68552630086469,59.97717440562366,60.72797845667883,61.16409485953729,63.657001429099736,61.99827681235213,60.82863492256728,61.26855408356008,58.69898921176438,61.44648592284159
CZ,37.94293808563464,37.57475668345114,37.831738633242175,37.21241124593304,38.14872186010098,37.09348846314252,39.57273217175672,38.28756703115534,36.79631426069336,37.57283861426034,38.443163769366166,37.60308021123748,38.4446000249526,37.89318236654211,38.51544285073919,38.9129328780934,38.51896409428073,37.80830805727757,36.89650356473118,37.144705786844064,36.87401979273192,37.28945384284935,36.89810809157856,36.87741482507733,38.76439306487905,37.22196803038052,37.47649759973828,36.30884262778685,37.79671699036038,37.9695338585857,37.9529480624507,38.10284364670181,37.43076132201516,36.667514924864776,36.29225081863697,38.11274276119091,37.91467407592656,37.76408067856297,36.80481982316935,37.06997134579052,37.68982745832461,39.40011273814789,37.97918185461169,37.238041764704015,37.24539471016693,36.13803299974597,37.7611267102026
