ISO_CODE,AE,AF,AM,AZ,BD,BH,BN,BT,CN,GE,HK,ID,IL,IN,IQ,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MV,MY,NP,OM,PH,PK,PS,QA,SA,SG,TH,TJ,TM,TR,TW,UZ,VN,YE
AE,2.6810895138301136,2.6590434128648908,2.698117768253792,2.6958948520828354,2.6927667244765,2.692291138767144,2.679631328418658,2.677540298378724,2.739248157767743,2.672828121070694,2.648623218192234,2.741814285581384,2.6555426123452603,2.71395387915982,2.6674621894147585,2.638457064428146,2.754354797994298,2.725740234740403,2.668283065542889,2.7307370691870045,2.699839993289879,2.7414813520167547,2.728345867443729,2.6671505510164133,2.68077312690224,2.691233995229136,2.682321805188044,2.646104015699112,2.5754518698360407,2.654588768056387,2.663623401654342,2.7220789704266832,2.6837395465739164,2.655714687543727,2.643197274740403,2.6848637749198967,2.7104337277060546,2.66249602045501,2.683149462812685,2.736404524471273,2.744408171444577,2.693963619125364,2.651583303228019,2.7264247282928213,2.6148231811532443,2.719265158644469
AF,4.3574789944908,4.254735687592079,4.377568730389904,4.368893693997357,4.364707287192608,4.367936169476717,4.345361647908257,4.346525990003049,4.425829673447109,4.347626707039599,4.311315687939167,4.421106217055804,4.317430100118595,4.39560343605696,4.301020608485144,4.277076409043144,4.444958208668187,4.399592166457796,4.3386919496801095,4.407923429610455,4.376604382423482,4.424977778176423,4.408755497964776,4.324247207733101,4.355208381962956,4.3686257521228935,4.3566795290401,4.310456530129365,4.217908577534557,4.308343827349389,4.324931087955712,4.40345468438695,4.364583957894221,4.320126859446983,4.273272405690499,4.355951423531256,4.384668915550558,4.3345064185115785,4.347226886550777,4.413588314174876,4.427708561778665,4.366784284596342,4.322873947515509,4.405038946561016,4.262439344625105,4.375452057313258
AM,2.3604270753699232,2.341442455880127,2.358681356527756,2.364019390403411,2.3689241141188964,2.368421762998313,2.35702248749998,2.355045292421032,2.406675911852201,2.345665355621313,2.327032062413405,2.4114693219217807,2.3334709822588504,2.387041216515766,2.346644377238166,2.3229064369268317,2.420065780685279,2.390200927408313,2.344261348706313,2.401755149524881,2.376023251384146,2.406410233714265,2.396724978057646,2.3458167534414214,2.3572913983118218,2.3641162978701558,2.35216646790998,2.321301666566646,2.2710931704436077,2.335232260029074,2.34322661031083,2.3934888600991027,2.360843788699661,2.33621133083748,2.3271163756350988,2.3622285961598,2.3855786804693024,2.339416866144747,2.3582121824249125,2.401827433276296,2.410209247698392,2.368107029968028,2.3247074164116017,2.391094678511755,2.297470045674577,2.392909499627757
AZ,2.5458877866499248,2.5204510469385397,2.5517030178543694,2.5300671324781585,2.5553799228608995,2.553538652051722,2.540634066351169,2.5411439945107928,2.5934622094181927,2.5284195059594863,2.510612542601701,2.5959043084366007,2.517500474553373,2.5726500819098246,2.5252381824631067,2.494132024342114,2.6060309430259574,2.576783997148976,2.5316733800394866,2.568873825046152,2.561048232870545,2.5936917223159237,2.5826323224816043,2.5275581689980497,2.5429406214991324,2.552016974485345,2.5399363599334865,2.5100305588190746,2.4508060419999573,2.514453426409472,2.5292389963528987,2.580034408008626,2.548274337350096,2.5191588612286253,2.5074634279104626,2.544661728742185,2.5692555686879714,2.5261977003383977,2.540488524207381,2.585984327315747,2.5909300460783884,2.543217631227698,2.508964139356707,2.5768368393823096,2.4698383446230814,2.572997834852057
BD,3.1265780315926257,3.100083012682827,3.1404261141188905,3.1391982954099347,3.0965281846078976,3.1345894323939745,3.12398958657968,3.1178195118451493,3.176503586644685,3.119215748381788,3.0983163641474247,3.1775832110322573,3.1029114187774307,3.1500382389978574,3.115882409656677,3.0902456375086347,3.190559461769338,3.1633603344947527,3.1067683794789374,3.169680772362211,3.144105944051519,3.1790955007259583,3.1656061862334943,3.1127019043415505,3.1201106319400385,3.1293105805649915,3.12477781166274,3.095346802895391,3.024007664915758,3.100251357754999,3.1010708169822894,3.1600636083121847,3.128705146349549,3.099211116033465,3.0909896025076886,3.1277897455209263,3.1503008015225022,3.10725235023861,3.1235892764549504,3.1732499504212024,3.18484335587299,3.1360807148319934,3.1054789793341664,3.1661539866887063,3.0674942460076418,3.1566518631780536
BH,2.752588779216628,2.729798228300295,2.766410096331668,2.7638433579341197,2.761075765727334,2.7583211312080023,2.7461833106617664,2.748743995647372,2.8036630227613344,2.7444458539424,2.721534658761112,2.803718628318454,2.7264314680901625,2.7809184891810004,2.735535549395942,2.7083739537694447,2.81707625303428,2.790460137868336,2.7390166454180016,2.795052469752412,2.768165636020333,2.8052931888404773,2.792594555820001,2.7381862749289203,2.750262282972105,2.761227317126895,2.752852497482501,2.7190488905375028,2.656628060261766,2.722834865273913,2.7360016105290623,2.787268175299475,2.75439573126875,2.727910147027795,2.71352837832143,2.7543072599814287,2.7770383113057497,2.734520958797675,2.7519014017107195,2.7995298439263183,2.8084252991428604,2.7628022030268182,2.7238422535171063,2.791513043190219,2.6908233982366903,2.783172717035716
BN,4.006708968868107,3.974003706731798,4.0217908208332975,4.017718772233529,4.017255919913005,4.01296331066173,3.966509176799271,4.001241478343619,4.064801287189181,4.001861527116435,3.9595578722837343,4.053453094401594,3.9722492418718818,4.037653171868908,3.978473541528511,3.944985243297352,4.078930374254907,4.043270959156827,3.987586922654475,4.054141529361036,4.023248959000945,4.060364403053186,4.04819459544467,3.9873107298640345,4.002109443019057,4.014801036509717,4.007717773566141,3.959096859801437,3.890893122560519,3.943979476004057,3.988766613725456,4.046463224677983,4.0085027855728015,3.9758270274420062,3.946030937731058,4.008203420275176,4.032958632617428,3.978298238213372,3.991372391380907,4.054794888281698,4.059814707703046,4.016705218731984,3.9615293219761263,4.046162972148303,3.930420382987644,4.034965499579797
BT,3.4733574125123967,3.443907522510813,3.488553099438573,3.486968174077376,3.479825318862697,3.484263469331556,3.46998095202784,3.434026993067845,3.53107390231489,3.465588648938925,3.436722459478536,3.536708937714532,3.454900230395988,3.501832025066099,3.4612236092755184,3.433057512640816,3.547985202021556,3.5158252653727837,3.457355123085592,3.5250605565026083,3.4928678109227853,3.533887430592708,3.5185510673862925,3.453900637694856,3.465529359782525,3.478280909694575,3.4732872440512925,3.4272569718815555,3.3497251428173147,3.448486245053411,3.4304754380534326,3.5149084624916678,3.4680086648621287,3.44546746007072,3.4320265373477223,3.474160712736819,3.505863103495701,3.450087590025069,3.475562971106134,3.526328899764519,3.5380263436089985,3.488109077317562,3.4528847472801725,3.520506468993111,3.40690667249476,3.512619190243085
CN,1.3172277982171936,1.3053737322706511,1.32234624518552,1.3214489153005535,1.3206719199780097,1.3213450227612982,1.3157032871891805,1.3132364286306668,1.3393761260341877,1.3118012282578315,1.296834822397002,1.3420542463952678,1.3055113810858257,1.3302807119541156,1.3106272169994944,1.2984311493075575,1.3468195160127518,1.3340742433460762,1.3099245368197423,1.3361055112864944,1.3248625583444098,1.3414611184655207,1.335011180472498,1.310183964326992,1.3157810005833568,1.319894083099421,1.315531663961631,1.2961935188816316,1.2709820911891807,1.3040543345788782,1.306940167455,1.33380116523979,1.3168904641344452,1.3047656078272794,1.299761253207108,1.3183940542307986,1.3293496075431108,1.306554102323996,1.315966133440305,1.3386772345245264,1.3423196535872668,1.321602900083238,1.2993720933012285,1.334808664402501,1.2842999201489362,1.3320979884309176
GE,2.89049776152018,2.8668607658631764,2.901025688954667,2.8960962118418827,2.903074081715147,2.9018178539424007,2.892453527116471,2.887441175254736,2.9514912282578667,2.8453511345616,2.8535516504311857,2.962073419542287,2.861643968628258,2.9285818532229264,2.8826852105380008,2.85376295582326,2.970560473352064,2.938373158732,2.8720164132838404,2.9507855168473656,2.912679531650268,2.956963365074858,2.94166269463328,2.873374134865839,2.886298337248632,2.8984274557523797,2.878939686446401,2.845871766684,2.769981756438824,2.866204716084904,2.8719299453203333,2.935923149112211,2.889928256513624,2.857635358700965,2.8565680527737145,2.894023679764857,2.9238514109467757,2.868001199740279,2.894035135250208,2.9513424061052627,2.957422226666667,2.898080998881991,2.8505274707169685,2.937029529386957,2.810218585311317,2.9381983781053345
HK,5.330083821604641,5.294340709725668,5.346183358709682,5.3420802114470165,5.345965660443706,5.342697621724032,5.313940835246691,5.322365948757268,5.40031578535996,5.317342613394106,5.156511412259218,5.4016328219533545,5.272216717468418,5.370522065192755,5.28778887278204,5.2473079376443685,5.420600051930944,5.375050222957984,5.308793781202701,5.377552140489567,5.352947235053602,5.396887441671829,5.378563711717663,5.302399170510219,5.327441961887808,5.338210102716596,5.327070367384125,5.196765426938384,5.192097593704752,5.259125235245916,5.294045346320599,5.383934375560193,5.330481402271666,5.294921380057176,5.2620128765645084,5.335311055197512,5.368630144530851,5.27864576502778,5.302258815819618,5.393109899389823,5.39879252430331,5.340789709228907,5.190100778486178,5.37913127952351,5.180459628917535,5.368759050584968
ID,1.5629625721846874,1.543818922033198,1.5703083014089525,1.5670596604728135,1.5649201905194354,1.564569274472272,1.5475237405554472,1.562040110184162,1.5852228925491207,1.5655520656961042,1.5413205051442516,1.5706783628588945,1.5425520574631173,1.5737295932399094,1.541627029055304,1.5285257996602373,1.5901520748654792,1.5743197351943057,1.5544902503022102,1.5789689306470849,1.567869246816309,1.5807048989195804,1.5770103654784338,1.5521852706077162,1.5631074515214376,1.5655536164137611,1.5657308981220683,1.543022670607299,1.5161794087646558,1.5296583236199597,1.5546727775440372,1.5762092708648348,1.56526754200761,1.5499927875489845,1.5242613607655926,1.562676469586895,1.5697908023165563,1.5515022835730408,1.555914133660683,1.5784872287562874,1.583861317239166,1.565844702308367,1.5453182126310998,1.576986443101544,1.5321837284830635,1.5640939508546865
IL,4.156512994730186,4.119964900877615,4.172132057527647,4.168477922371211,4.170070494046234,4.167104210025604,4.146141983807359,4.160053498647242,4.228502123021302,4.1449447105637,4.091726496440938,4.222374153244742,4.062906924518093,4.197119245236618,4.106179883068527,4.06960996867466,4.2453400018585,4.203367191363132,4.136850508575485,4.212987710026116,4.177859479810765,4.22554139491647,4.210411580300088,4.126392079326593,4.155377425678512,4.1687235134488985,4.156471212561975,4.094762974305201,4.025711641901761,4.105343249639854,4.136156757939963,4.206012366758703,4.161546347512754,4.121222245906956,4.0539510285978855,4.15994005351269,4.189829568477539,4.1233965547060745,4.143556289879097,4.2198975166553065,4.226442792626687,4.165593013941626,4.086112789029984,4.204352912179306,4.04821629010656,4.185274592251803
IN,1.9540059788685304,1.9372199541397628,1.9647840091083455,1.962709247051445,1.956279031590442,1.9606729484402248,1.9506276311281687,1.946067010641136,1.992353171213376,1.950964312482152,1.92911356148906,1.9926334063453168,1.9362009625604013,1.9664262093111675,1.943779173336831,1.9243580539640253,2.00149190206051,1.980782432204034,1.939678282325617,1.98159375089895,1.9675408216385128,1.9918381650563348,1.9819436162977944,1.9443571198104928,1.9495888411875064,1.9566663850553592,1.9538251835006568,1.9277627006540587,1.8809408127925047,1.9327258999739765,1.9338970524911467,1.981122309136617,1.9553702383704692,1.9357704243917488,1.9304693547657783,1.9559425550390492,1.972955986222498,1.9388904750195204,1.9474567680233656,1.9894251055273344,1.9959357613756272,1.9597384064673935,1.933057865356144,1.9834491096778888,1.9088490477072824,1.978992293018751
IQ,4.764150947511268,4.6992737849557455,4.781023828218546,4.771934005992528,4.778759860637063,4.771926667042969,4.748084659175573,4.762095253238357,4.829336334646556,4.761704328185026,4.703017027466143,4.817167500548512,4.70189825878011,4.800415831724632,4.630936501318809,4.647261388347473,4.843816832612921,4.794729327319771,4.748256604371111,4.7974070502996735,4.777319575348026,4.819234448955569,4.800896138449191,4.726332558145817,4.766014122948967,4.774568352822162,4.76874718289982,4.708836458874379,4.645051280829207,4.704848433335552,4.7433405182444695,4.804032776355974,4.772349366394982,4.737407167986539,4.657948732328917,4.760537530421625,4.785582385217558,4.7395455774986,4.736176619304877,4.81265123685941,4.816912342476157,4.772852682037826,4.714608322701163,4.80067758267989,4.644091108060175,4.763000436699352
JO,5.302616556729443,5.242800319718532,5.324756622111996,5.308298582076319,5.320593822693803,5.312235805621254,5.282067095149197,5.301399890808439,5.384611001159405,5.300252807675069,5.230006826533258,5.3715370053582285,5.232799078591027,5.34846544655661,5.21473212255226,5.1217222289204685,5.402885585509573,5.345687068313231,5.285191828649836,5.350758770325047,5.320753558615452,5.373804719806749,5.360935025471069,5.261279447187346,5.3056993803606485,5.316647098683194,5.307682347065698,5.236642699733293,5.137364152747781,5.232463860564395,5.275151501450961,5.355584513783295,5.31296335198404,5.265410337853531,5.176536550087657,5.3041149413693365,5.334600500173835,5.268966332292894,5.289581318038295,5.363598797538946,5.374387815678973,5.317592026872984,5.247585744884908,5.352840865758815,5.163269088115656,5.317722353235234
JP,0.8915881184437843,0.8837559474917649,0.8949897940186333,0.8932713289083534,0.8939814751026974,0.89401193303428,0.8890860542549412,0.8894014083373685,0.9060731960127868,0.8901241533520639,0.8763727689680222,0.906237108711661,0.8816029399230579,0.8986731228012849,0.8843613949658966,0.8759594136577628,0.908001960626006,0.9002154454588668,0.8855704608591519,0.8987998473105743,0.8962268381644667,0.9048199096117716,0.90056984116688,0.8866153840785084,0.8904432354558598,0.8927873895459031,0.89073087137384,0.8762393176174001,0.8637880158320002,0.8808783390131149,0.8851047288481001,0.9022206168900002,0.8921839366490124,0.8855344839229096,0.8795066120316859,0.8922528541843289,0.8987142296102998,0.8844638266931911,0.8854414398895263,0.9039261780496848,0.905665359144762,0.8937906516689929,0.87650749075156,0.9014018096030872,0.8667401834341325,0.8997113507775049
KG,2.292659541856532,2.2680758919480164,2.2948109274083106,2.293710369698017,2.296468334494756,2.297081804534977,2.2831126258235077,2.286927458355241,2.323013910012756,2.2876228253986444,2.260508926661706,2.320090755707131,2.2693161160943323,2.307649639611453,2.264959876339389,2.2484468831280644,2.3299014321255105,2.292485326824977,2.279971358316421,2.312297845110958,2.3001010240644217,2.3110765311007717,2.310046378681977,2.2792890569328605,2.2912053809792177,2.294006934370855,2.288839196377477,2.258632335274977,2.227839820735272,2.2617376554353403,2.2775226374109154,2.313582299306118,2.294615309357159,2.277615801709046,2.25894029748093,2.292441178306525,2.3058578417231024,2.2742500701701327,2.279087264334611,2.3100427714648903,2.3150394516666446,2.295698140487666,2.2604973404610305,2.303709039313384,2.238186874065783,2.304026533308708
KH,2.9690700393256795,2.9410433418369912,2.982739015372972,2.982467419255188,2.9737440461456024,2.979505978751304,2.9612962559878167,2.9623249827347093,3.0327318701530825,2.955133746617145,2.9281201515730824,3.0341289374816967,2.9366670999733477,3.0004131563996967,2.9523548200573915,2.92181931013133,3.0491241141924563,3.013839024983083,2.922401445771314,3.026664346429729,2.9907296762150817,3.033052685699083,3.0107903369297846,2.949620064544764,2.960538028400884,2.9697599872394447,2.958203010880705,2.9204855767963056,2.8418726710631104,2.932167836053577,2.9431982209430414,3.0135331855557608,2.96995881935221,2.938842469488077,2.925970762861496,2.970223569275733,2.999805907545763,2.942794977213088,2.9543088203305152,3.0297276603620773,3.040213710387274,2.9799616404871143,2.934455240198961,3.0170698804146108,2.885069756613881,3.009852781822703
KR,2.2190367096364634,2.1977874884340043,2.227745482858208,2.207180530928518,2.2241691056955437,2.2230544697523844,2.215363529361045,2.217543082818393,2.2464255112865024,2.2214155168473373,2.184391177526618,2.24612028449324,2.2003169680906467,2.2298412916396977,2.1890179326526207,2.174898918473209,2.2498661673105467,2.2336781784442863,2.2141770130963967,2.1717570796006105,2.227223115476797,2.2436524036940337,2.234724157387172,2.205090349402516,2.2178937597143173,2.223722305889713,2.222154306131237,2.192518567365708,2.1721202033889004,2.1950223154419737,2.2115932770392743,2.2390359548492604,2.224811105014213,2.206140171954824,2.197225061946233,2.2127882423866105,2.228727277335826,2.208652015743789,2.1975950047775745,2.239780081472728,2.237862697949552,2.221588656317578,2.178966238401447,2.2351892689709443,2.1453372599614724,2.2282383528484035
KW,2.407136633739333,2.385465441247029,2.42101058471747,2.418351938752912,2.417591277384848,2.4151646360203025,2.403467959000952,2.404347337238567,2.454179558344414,2.402306531650237,2.378783272090649,2.4540176006624588,2.384185737875292,2.4347853623792566,2.387927457700969,2.3638907067636112,2.466290158164436,2.4404783573977475,2.397239342881748,2.446220115476793,2.4143837539354145,2.453186217477272,2.444268860467703,2.39289974069024,2.4084644496180987,2.416842638911233,2.4089100124073037,2.376157092383303,2.322741634905853,2.3825109358088823,2.392972759953963,2.438927814159969,2.410756914376665,2.3882185899719395,2.365975080847589,2.4063946150465183,2.427027982433261,2.3924838440015974,2.409154157138496,2.4483221879385666,2.456008397126955,2.41765196688075,2.383931163809005,2.442046909777868,2.350850445299309,2.4322668702301287
KZ,1.6734885162757338,1.6585493608094952,1.6761080908571138,1.6757059520078144,1.677291357868813,1.677002712649971,1.6652939268627158,1.6700774807180163,1.6954886422750506,1.6713008888843524,1.6474340025184016,1.691563776575257,1.656578176790524,1.6837932296066045,1.654552855118039,1.6416523917644334,1.6995937534212668,1.676164388243622,1.6642728761752728,1.6873599275035571,1.6778967412867969,1.6826408430131228,1.685838730881876,1.6646775714729445,1.6733267821938729,1.6744863345095953,1.6720944145983043,1.6461618250678285,1.6301924738277025,1.651061824210903,1.6630195184168857,1.6884614017997206,1.6764437562491237,1.6648793924580525,1.649948626805414,1.6730535162375568,1.6820533718129471,1.6606281206030715,1.6619625035980663,1.6864735892606226,1.6881371901813766,1.6762272543691594,1.6477984116805728,1.6815508019000744,1.6359631618632224,1.6811977606330777
