ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,1.576940160509884,1.5995904999999977,1.5950656452133178,1.5456907067972336,1.5720664532258048,1.520499459470635,1.6168842535181434,1.6130535010080629,1.5819495173697251,1.567653373281906,1.594290476036864,1.546348858906029,1.555643792473944,1.6454300684703416,1.517077296803517,1.5687011329301053,1.6190252664277167,1.615953681217007,1.5970727087507313,1.583907098054273,1.6235416847507318,1.6354605128205113,1.5953108236290303,1.606876705550153,1.5765098653432568,1.6099467759953898,1.6681592062419337,1.5726349176539576,1.55272647558849,1.5527677916392346,1.5934208541449857,1.5856130356630804,1.355443461981565,1.5889620126311683,1.603935236872118,1.611839115483869,1.624770492333799,1.5694515916808136,1.471768660857384,1.5518047693975316,1.5706479278103598,1.5831163411469515,1.5828917650392302,1.6035807879330926,1.4940947964869629,1.5181146087666406,1.5477589232064497,1.613915745263695,1.6535612164776656,1.552172720766127,1.5454205255839806
AI,2.0026579486803517,1.977784014462808,2.003863203958943,1.9592945495129848,1.987962636363635,1.9340860944055929,2.024497618551135,2.0175091676136354,2.0008175174825165,1.9872058488142283,2.0067545417748907,1.9565359980237145,1.971356522367132,2.05692123064516,1.9443219049586768,1.9853150818181808,2.026253599326598,2.0267590387107424,2.0145499792066106,2.0019862445887435,2.0282675776859493,2.03158528088578,1.9999158861363624,2.0226215784433363,1.992462460372959,2.0274495622207778,2.0826145515454533,1.9931702475619824,1.9816780638820628,1.959581425788496,2.0109598181818176,1.9902307825757568,1.779686363636363,2.00598970098576,2.017133899301947,2.028960437894736,2.036805164679841,1.9586637799043052,1.8922307828708125,1.9710925490775395,1.9889906455922857,2.0043894598863634,1.9933416314496304,2.000176296296295,1.9159195452677449,1.9310050661157008,1.964041193527272,2.0285157756132746,2.0620773495944045,1.9531262556818167,1.9569296175548585
AR,1.569908129084285,1.5756382391495578,1.5170491922552916,1.514805758868661,1.563737262780441,1.517271465418525,1.561492266905118,1.585091795354836,1.5561161334470166,1.556893488441372,1.5593245718261106,1.5223922607538376,1.4888324698259603,1.597222164793438,1.4851357757034085,1.542535302253761,1.5979285412186357,1.5836119243417044,1.5516863315665632,1.5782263088069612,1.5991317756002907,1.6060846524400307,1.5632035820806425,1.572403082078503,1.5542781069071103,1.5774161999323475,1.652435170657964,1.5553658768858918,1.5483815632083666,1.5403325542402868,1.5839654277804345,1.5582656934408572,1.3658947764976934,1.538736449334415,1.5584967953858957,1.5835434085430875,1.5840857348421349,1.5133142920203704,1.434434835606398,1.4849394115179102,1.5468937752376322,1.5504581342327577,1.565209275929378,1.582194170967739,1.4874299083066254,1.4983343857130471,1.479865052705481,1.601257022576034,1.6049726818849528,1.535171052419352,1.5339707107697411
AW,2.19792861002304,2.20846500405844,2.192201178223501,2.12310780580357,2.175577772767856,2.1087482271062257,2.2246889684068067,2.2231808203124976,2.191839282856729,2.172648841226707,2.2038839878401344,2.1333024500776383,2.147985555940933,2.2639233294038004,2.103669733858224,2.16388115252976,2.240494312830686,2.227403952977271,2.201507316472401,2.200611017006801,2.239975191883115,2.245595645604395,2.199165796071427,2.2173351600611526,2.1827416884157484,2.2229911085204077,2.308387616767856,2.179690796607142,2.1660403083976814,2.1487535524781323,2.2120309137864806,2.186760896527776,1.9337668494897944,2.189721260907916,2.209554118112244,2.2262118397650363,2.240721485970495,2.170153181390976,2.038711515958646,2.1395582084033595,2.1788089648268385,2.188840523368053,2.194158921332045,2.20951589748677,2.0782291556751447,2.102525814935064,2.1359450269857123,2.238718563208615,2.274612851200548,2.150877094866069,2.1418927426108354
BB,1.6205168564516133,1.6333455909090913,1.637345182135282,1.5717902727678574,1.5946661766406252,1.541124393910256,1.6603548182500003,1.65381012890625,1.6260563340673078,1.5961021506521744,1.633078982767858,1.5689768752717392,1.5969676983615382,1.6925313523786292,1.5571934421553029,1.599180768072917,1.6607139173611107,1.6571777965886367,1.6416056390960223,1.6191791288690482,1.6578848319886363,1.671028613141026,1.624727592875,1.647630048539384,1.608621648012821,1.6534361096160717,1.7136409444906249,1.6030405120681817,1.5921700599662167,1.57769848494898,1.627759601142473,1.6142604064930557,1.3724577924107142,1.631304849307229,1.6470847756696427,1.654237428907895,1.668885537417392,1.598298519736842,1.4990050082105264,1.5941938028161766,1.6055209066287883,1.6252356125,1.6214934268581087,1.6356553590277785,1.511168672063356,1.5395747028125006,1.5854373446175,1.6531105250992062,1.7003306724250002,1.5785898339843754,1.5747566644396551
BM,2.444227747311825,2.4547469335664305,2.466157269388749,2.38023861172161,2.41640227852564,2.3305979460880977,2.4985388825641,2.4827541474358954,2.445495657317552,2.4168238685618717,2.4635053915750893,2.3703749732441453,2.413222546333331,2.5380490756906515,2.354697737031855,2.4189723034188013,2.4970004045584027,2.493682420652678,2.4696174866177136,2.445408825396824,2.494007341258739,2.506886268902036,2.449364613974357,2.47910997913593,2.434507544247204,2.4876529580659312,2.568492976576921,2.4255133769463844,2.410774144144142,2.3848173914181023,2.459673349600218,2.436813933760681,2.1171884890109864,2.455453867099163,2.4767739591666644,2.487148777840754,2.5070551177970986,2.417220499325234,2.281283018070174,2.408086210324281,2.4300537310023285,2.448467923269229,2.4453012162162144,2.4599631965811946,2.3079198977168924,2.33318656282051,2.3988382809333317,2.4904079450549435,2.54839168869625,2.3900239198717923,2.381926225464189
BO,1.325004656743951,1.3295505730965913,1.2947701862599592,1.280571468406808,1.3200248182499996,1.2829309979487176,1.3034372649822268,1.332799858398437,1.316011674883888,1.3148584167608692,1.3157269322723213,1.296592760406495,1.2646266753188349,1.3502887035484932,1.250480332244129,1.299165111944011,1.348939901018519,1.3192989625631817,1.3084746532735656,1.326043164179067,1.345126995757102,1.360266227099359,1.3216361810187498,1.3294672775560143,1.3102053541233971,1.3295980661283484,1.3984272196262493,1.3157330007359374,1.310857777027027,1.3031724721747444,1.3337384983198928,1.315837363699653,1.1666976978794643,1.3024341741735015,1.3159766852102115,1.3344026792993429,1.3376994501521744,1.2774394901315786,1.2087613709597045,1.2586253688737137,1.3030076338967809,1.3067359379654946,1.3166580818496616,1.3391424478935186,1.2551948718752142,1.2759995741540462,1.2576774784924372,1.34955892234623,1.3563434797716705,1.2922924316406244,1.2950814594773703
BQ,1.8328539042338707,1.8342421221590912,1.8300497147096777,1.7907433203125005,1.82516012890625,1.7788262628205131,1.844479858398437,1.8063268164062496,1.8257916658639424,1.8234772573369569,1.8365330157738096,1.7979822190217392,1.8005458985576923,1.8733938940362895,1.7690868143939396,1.8150312833333333,1.8582885,1.8510943180795452,1.8323079732954544,1.830338673611112,1.8630275806818184,1.858211041666667,1.838129139375,1.846262025659246,1.8288460567307692,1.8478985855535717,1.90086082003125,1.8281443576704544,1.8144331199324328,1.806909554846939,1.8446479737903223,1.831573925,1.64588953125,1.82722818373494,1.8371968948214283,1.852232369506579,1.8590160828369569,1.8344679440789475,1.7309724308223686,1.7916356819852943,1.817249400568182,1.8245156317881943,1.8279406689189188,1.8390922870370368,1.763030624486302,1.7765799423295456,1.7967351972000003,1.8585842142857143,1.8791647418269235,1.79638299609375,1.7976290883620691
BR,1.7186998667493774,1.734500418181815,1.7180239989557016,1.6763517290105747,1.7143562802211514,1.6585177188560134,1.744641621037731,1.742741612017786,1.6815203311500448,1.708101844916285,1.7237382757545765,1.6740001943483993,1.6834852490754937,1.77033226239186,1.6301683629559227,1.703645333203779,1.7555310757834728,1.74316556782311,1.716448359927193,1.7320776733821714,1.7516009679020954,1.768301680078893,1.7181709580384592,1.731641314802124,1.7149357336822066,1.7365104916995315,1.805450170549605,1.7102703718818155,1.694888388357586,1.6915698680847706,1.741530548693132,1.7128810410512796,1.50556118241758,1.711526762020035,1.7245794842492814,1.7404853377590823,1.757020244548802,1.6848466566801592,1.594603771098366,1.6663882827762604,1.7084591802516294,1.7074762939460657,1.7193348805821185,1.7406811162393132,1.6335296074202506,1.6452497698829904,1.675797515747429,1.7527572505982885,1.778037774219407,1.6899631769230743,1.6881941762840829
BS,1.651179319985972,1.6676643468379415,1.665576951274471,1.603936884704966,1.6311776941304323,1.5766215274247468,1.6902639602391272,1.687202800815215,1.6548774422407,1.6236456892816609,1.66387460828157,1.6043542203969725,1.6248594244511676,1.7227832376779768,1.5820901307351751,1.6299021714492727,1.6924666737520102,1.6866759166268743,1.6696963714055306,1.6480204197377473,1.6904732924110648,1.7062317047937547,1.6559162041304318,1.6743709987027968,1.635658218807132,1.681374733731675,1.7461674097586932,1.632838279399207,1.6198404002350149,1.6115158270629963,1.6580878416082256,1.6465880175362295,1.407447128881985,1.6594309137139838,1.6740857818058974,1.6836751247917596,1.698271701074288,1.6289632723112102,1.5245647350961071,1.617369226511506,1.6345382107378104,1.6520132334637652,1.652576123736778,1.6678921275362295,1.5403663211018437,1.573729847905135,1.6117505355617368,1.6852055384403006,1.731291147587957,1.61203404293478,1.6062891818590683
