ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,2.351633889279064,2.3583499166309343,2.3645164468696245,2.397700391220112,2.1816107813755847,2.3962514534870363,2.384858490253229,2.368530869908712,2.364573757123507,2.350054737181678,2.26407710548284,2.376436136867045,2.3005794713889784,2.2434508953775976,2.4820034713240235,2.41535004546531,2.339498331709397,2.344208805171212,2.383406738828354,2.339238494348196,2.457817569514634,2.4404055784780048,2.3231933452026983,2.4415301713545743,2.360211577605801,2.3694262484274016,2.2257883643697145,2.299063266912884,2.3468928494957297,2.372583670762482,2.391255233303553,2.2010318259699826,2.422899803531638,2.35588970778266,2.2976730431041483,2.382397449489888,2.3509381593026424,2.2125047711859938,2.429052090555376,2.2954972099458697,2.325338864216689,2.358056865260138,2.333363408903553,2.354620543382125,2.410016903325105,2.3837671582440296,2.440907399156575,2.3936653431330464,2.20300704145129,2.405192718998622,2.3369231577530614,2.384453146931045,2.3517060583075877,2.314476153503752,2.390194919266147
BF,2.6691366265876524,2.606468324907653,2.6609764639671614,2.6873934581661976,2.479372959580061,2.6943746461544524,2.678235230165279,2.6575933340933044,2.636545047863188,2.643308930723476,2.5648044565818084,2.67385484791806,2.5900026835102348,2.5112549305119485,2.7920925829021823,2.7193442624450657,2.627895650381074,2.6344466412440983,2.683955026691909,2.621251090529732,2.7581962900543804,2.7434973285936186,2.6144389353577933,2.745076961601722,2.6606189708510946,2.671773003473435,2.4912667469108483,2.588439469193172,2.646895349176999,2.6621378072607222,2.6861588793336044,2.4962398567420774,2.724763056866381,2.6526452523095867,2.591284208114468,2.66678712110671,2.6339203791091323,2.501206960275664,2.73101552429395,2.5968318258493936,2.6254317781698244,2.635745920805862,2.621810335304704,2.6481324549898893,2.7125703937129826,2.689172680690226,2.746545738850029,2.682738623414784,2.4932470382601983,2.700311567458383,2.6277959092291785,2.6753888922950333,2.652989045105872,2.598010101337813,2.6932980468793093
BI,2.1104907325839286,2.096164039724748,2.091731535700001,2.139571956652273,1.942985159275282,2.140974448535417,2.121710168500001,2.1138951958412706,2.108376941609783,2.0898419608398444,2.0090501477100005,2.113697159819445,2.044748168130357,1.993202838885,2.2267421739634154,2.155550663421875,2.0834722481931824,2.0937241794675927,2.120810180437501,2.0819564254125007,2.1985101506410265,2.179179826000001,2.063359723476056,2.1804468341964296,2.1019012601574083,2.1123321114032265,1.9738084527225,2.0394719916064066,2.086567543258333,2.1165706270609377,2.1285888886631947,1.9512562471766668,2.1653729533579558,2.09584147395125,2.044747061066668,2.124097112657609,2.0972055233772497,1.9574242774375004,2.166718852688777,2.0295451074242425,2.067429493720339,2.1029165634023443,2.063963882914584,2.0935394251500004,2.1493722492672425,2.1275613776250006,2.1841953302884627,2.1356206270967744,1.951111463187324,2.145972912514286,2.080570652400862,2.128808438982559,2.096487362369265,2.0625470931625007,2.1357201539473687
BJ,1.7103655860253113,1.6892719430146783,1.7062628657431678,1.7266159493727136,1.572805022244113,1.7317995903488497,1.720644102818168,1.7037164203665085,1.6931021525654009,1.6934148641641904,1.6335879468508951,1.7173479047828146,1.6550711692189035,1.605353719910478,1.804655188292669,1.7508221417395695,1.680995237020647,1.6884154208324778,1.722771544931804,1.6793128031974605,1.7829116182983549,1.769442960545441,1.6732447646221371,1.7693598256168692,1.706537086661602,1.7138073317624496,1.5896752140245316,1.6490762434322015,1.6943686383766097,1.7084268421653277,1.7250770328068044,1.5824622860751378,1.755912275028912,1.7028520597358947,1.6588066541833193,1.7159970713142154,1.691061915508986,1.584924864869304,1.758484221309819,1.6571890954958537,1.680039581790433,1.692411280827827,1.6819309851211983,1.69882169498635,1.7454290124294531,1.7276097087828142,1.7702401552587277,1.723457798205264,1.575226133183085,1.7388804192785572,1.685012071811898,1.7220209692494577,1.7001744360058688,1.6637680653711984,1.7306873221856318
BW,5.379573044617959,5.366548512865718,5.394973136803351,5.458102090681288,4.957217181997201,5.460362637974701,5.434379488028583,5.395556409703923,5.382969814355867,5.3592957273504025,5.19677484833706,5.416044334837685,5.246699746806669,5.112069474595762,5.634010961085208,5.495348293418052,5.335824581487894,5.335482414763403,5.4352997959550375,5.328854718831441,5.590035703399579,5.554703292558322,5.287164626859451,5.5569950574638645,5.379215126163111,5.385145693200416,5.078750335879757,5.249032519180457,5.3506189951733365,5.408283469224699,5.447796743052416,5.027415579432192,5.506702374596507,5.373610262367958,5.234210583870768,5.426965632772332,5.346787934332789,5.063532563497173,5.523668937479917,5.248172238951292,5.299036428051782,5.374850160599349,5.313123911663838,5.358301483398856,5.496673747539694,5.421631569063651,5.55873527110629,5.445953110681388,5.037615591408113,5.470489799840003,5.322478702237486,5.421900815769513,5.355691657501104,5.259505495397612,5.437443562196314
CD,1.600030322534659,1.5873668052453571,1.5987790318687365,1.6229132645912747,1.4661792437799492,1.6210889011779368,1.612394533272714,1.5980892466236638,1.5925361903748958,1.585885327294909,1.52490188896332,1.6086780122291529,1.5503824185213957,1.5081331858161355,1.6961692327337266,1.6407597777378342,1.5767590288137487,1.584842690073597,1.615209261968737,1.5737169935661903,1.673965591282038,1.6603895730704996,1.5691774982018056,1.660457338738082,1.598947111631931,1.6059923065900406,1.4934152477191531,1.5428437559621213,1.5871000020646686,1.6018604923150908,1.6186055428605193,1.477861258832209,1.6472834750312373,1.59427638458582,1.5507249048909586,1.610102952784407,1.587608766340778,1.4771426844730768,1.6502502434787276,1.5502901110669058,1.570118447870043,1.5899708292459498,1.5735161609301949,1.591099833622903,1.63718936445401,1.6186587950462823,1.6607328002980637,1.6179513613467604,1.4742111890096696,1.6299855693054426,1.5795729983537226,1.6145199751211108,1.5935112455945946,1.559987358636098,1.6221806000508636
CF,2.292411866876613,2.2750018968319456,2.283289259409081,2.315532284636354,2.143970601409591,2.3161690408484747,2.292549694958668,2.288584597893208,2.285055131049397,2.2739382519033997,2.204565687818172,2.2933533117676665,2.234451315249341,2.188916440507361,2.396259625277151,2.3331758625113537,2.265400239352607,2.2746633795690143,2.302995194621202,2.262625041732313,2.3702095365967257,2.35378826083915,2.255001510387954,2.3536878150649243,2.286142967138037,2.293318461524916,2.1709742224045354,2.2274481232818086,2.272772822350639,2.293562940272717,2.308667902386353,2.1572010383393843,2.3416747436570144,2.280153657359081,2.23080134669696,2.3004510995849703,2.2764660074963534,2.15614516032196,2.3424164890908985,2.228078182369136,2.252872167195676,2.2829900995823764,2.253597275378778,2.2752670644999897,2.3275059150470114,2.308562567777768,2.3556992669230663,2.3084930417888465,2.1529719592739984,2.321492685142847,2.267621596943564,2.298040626427051,2.2810906245187077,2.2515421238484743,2.312832348842095
CG,2.267457695305537,2.245733449533412,2.2668477355237915,2.289978050958135,2.096520971858373,2.2932372029728656,2.279958046666649,2.251365408442915,2.2475920056980496,2.2472950907921447,2.174581811231727,2.278047145035255,2.199567185993557,2.13866656996326,2.3834615595044344,2.3195703631742544,2.230259493698876,2.2412998274920457,2.285108787116384,2.227791881986754,2.3595708125355945,2.3417269797069418,2.2253141628432638,2.3412978230612067,2.264015062319205,2.2716601984690032,2.120868261267045,2.190667669502859,2.248433025609959,2.2642211923739897,2.2867124110670014,2.11024301564866,2.3259199252056093,2.2598696414420454,2.2042980272856965,2.275390270138008,2.243362117087125,2.1122752282770985,2.3278245280304324,2.207509560557943,2.2290184673661373,2.246659394235597,2.234657160256595,2.2536163592698237,2.312381192638187,2.2899020914109163,2.342457141575073,2.2824815406041807,2.0999047379472207,2.3032766973820684,2.2376190922457395,2.2796239430047813,2.2558718924823347,2.213895899516736,2.293070087398477
CI,2.5228689124030064,2.484053493185968,2.5206978111749767,2.538732113039701,2.343302706392992,2.5470524766067717,2.5357969097055117,2.506960335580723,2.4771180500853287,2.4899046332099646,2.425881757033021,2.5348452198079494,2.4381842539965928,2.3638967439070284,2.6418773932608475,2.575919903672804,2.473588533676196,2.483837256521033,2.540641602470388,2.47228429102703,2.613270975880691,2.5986872493946263,2.4684669881686854,2.598731089937865,2.519372257020106,2.527212887420034,2.343093045209544,2.430190739413307,2.5012504632350705,2.511206860831908,2.536342789185364,2.350778504311862,2.5780141946259656,2.513753058500304,2.457999614280413,2.524077391392227,2.488073457058218,2.3533562640525143,2.583190956219143,2.45707132642949,2.4863083213945982,2.48596756714794,2.4907013927615718,2.5077021728988904,2.56531185013866,2.5463905919842773,2.6004669276371013,2.535173731427047,2.33633825355402,2.556104189776065,2.4816442182385825,2.5375808903614527,2.509027594446564,2.44885972062558,2.546853651125607
CM,2.7802193353959828,2.76268681898106,2.7740322733398437,2.810914267573296,2.591498062322332,2.812271056461588,2.796549473494318,2.7785328636096223,2.761774076144769,2.7104046107663087,2.6712550822912493,2.7906672547152778,2.700939954004613,2.6352403421684465,2.9048907095503043,2.831445928125325,2.7370427623565337,2.748334979043808,2.797656345473958,2.745284124089583,2.880281893405448,2.862334978723557,2.7288088639139976,2.863337967272321,2.7754502420040508,2.7780769282842743,2.614087615142344,2.692237389205997,2.7556227473500003,2.781571949835546,2.8020435018203127,2.603451593169584,2.8409053271832385,2.767234700149843,2.702305636251043,2.797360833035326,2.7553182530908904,2.604725976331381,2.8434387458201527,2.701068263764204,2.7306327747605925,2.7713302795649417,2.7401492805744785,2.7608375889718744,2.828341646535561,2.799972982619791,2.863760290985576,2.811342815356351,2.584680060898944,2.81601309265372,2.740962712241272,2.7923435684156983,2.7665771052284747,2.7159631123354173,2.801263972747039
