ISO_CODE,AE,AF,AM,AZ,BD,BH,BN,BT,CN,GE,HK,ID,IL,IN,IQ,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MV,MY,NP,OM,PH,PK,PS,QA,SA,SG,TH,TJ,TM,TR,TW,UZ,VN,YE
AE,3.760484419205907,3.768368087757047,3.871819140477689,3.901406909477567,3.961957604000621,3.804785108165367,3.722873005410416,3.804567850818127,4.054854923644543,3.882073508269591,3.498395221774276,3.9274186887370233,3.641315511016139,3.951758418868273,3.623842467278562,3.5166738554684502,4.003199165194279,3.782909126521322,3.832286410604632,3.795847479153662,3.834995685576266,3.811761265226671,3.698412416989592,3.727538736644493,3.8754684413206895,3.877403476340493,3.8331733243444672,3.5602462598982885,3.6879368144213225,3.553996939124941,3.8107327482340336,3.937303295185424,3.844926083966722,3.907528897009048,3.661733765977261,3.811920680224131,3.900015196927465,3.672804919377501,3.5219470676048843,3.929092259795952,4.05943193525947,3.8560068337790794,3.489983960616046,3.869378509946114,3.483857892559125,3.9302939898109424
AF,4.720483996547533,4.578972922956203,4.814953115303656,4.84500955921088,4.903089893266507,4.746606997930567,4.641204740519876,4.749297937375365,5.002269337827429,4.829950313275037,4.366568467922854,4.853645214276322,4.562907179885225,4.894118207350628,4.461706134776414,4.419627354939031,4.949280330573342,4.715096227742136,4.776272923676841,4.69598341142285,4.770483060925175,4.749053766767068,4.609787388541624,4.664548628029629,4.827821944748844,4.830433590935892,4.792165149092039,4.451091775731596,4.620406721378871,4.417217057168418,4.760013690460639,4.881812321914839,4.772881541184049,4.849482624281941,4.5621991507686745,4.7579547489615335,4.835881756057479,4.618023794371798,4.369182738946685,4.865580962012363,5.00976951407561,4.792483248293962,4.359875320100582,4.80028969697728,4.332765905745927,4.851147457599419
AM,2.689810245346618,2.6808283113820965,2.7185122895833205,2.7650080398078307,2.828794161819183,2.715452859240821,2.673982861066165,2.6890225991118304,2.897401736314155,2.741882405350322,2.520796502827612,2.819620512115251,2.5750137230243157,2.814705278908914,2.605696375296116,2.5214358465857907,2.866304978547954,2.684155603559711,2.724290538847656,2.716095457985136,2.737184202684433,2.705331802707528,2.650916523175654,2.64738393262679,2.7576286717630003,2.762707134757357,2.700207063796655,2.555219427183321,2.603804367889694,2.560133581527778,2.70333151728228,2.814811385700427,2.7480898022045714,2.78422690068636,2.611284208047013,2.715666416235108,2.7839243941030607,2.6220346441009577,2.535060210267221,2.7920301595877075,2.903957345833323,2.7366590712495333,2.525981061591085,2.749550366522633,2.505545258822747,2.807107776284909
AZ,2.3786910535621715,2.370177794504994,2.4243010790235067,2.444349457883367,2.500236062524997,2.400513298059389,2.3588883559584546,2.3773935578405347,2.5664328911919374,2.4333504186517416,2.2111208914062948,2.4921441762325114,2.277017759127586,2.49245060889585,2.2884625248611523,2.223736484987232,2.535611873643365,2.374770970410762,2.416285749610016,2.4002043878628148,2.420159486833506,2.3921839761501174,2.3418075244820944,2.339834585439881,2.442648509872732,2.445179235147191,2.396968158331448,2.247664243419094,2.303902359688559,2.252562384016959,2.394252872565295,2.490665658049822,2.430656467295911,2.4638764881650106,2.303583405242834,2.400883094987582,2.459414080561557,2.31595225492378,2.232480283407812,2.4746195853188624,2.5760922124089407,2.4229887278952043,2.20954449907521,2.4324515871796444,2.2094317338803124,2.480579415815943
BD,2.122873042202883,2.1118894226782814,2.171718495152516,2.183867356642654,2.192153517492534,2.138155009779754,2.1009814547694,2.1285383172851637,2.270263977160054,2.176332912540907,1.9880860452680125,2.2043233039838035,2.055649753958337,2.209351303612457,2.0397424699187607,2.001801253643081,2.245608311422881,2.131066959192488,2.148763831089329,2.136951234294188,2.1582027457328987,2.1487495034699555,2.0909855078376016,2.0968349394984838,2.167702457026456,2.1737802940415705,2.1493892588417878,2.0176142435175706,2.0649573272306743,2.012136338440208,2.137733040293659,2.2071100745537944,2.158971100782899,2.1862432584537985,2.0519082990590585,2.141945328320393,2.1810284680840124,2.072516180196601,2.000590093550586,2.2041750166638483,2.2740733840444327,2.165412648537552,1.9918748434658569,2.1756677329584666,1.984432841168966,2.194249892132988
BH,3.588741546367641,3.5784475273423526,3.681418192574167,3.7071855921770607,3.761196009779767,3.6097853674550016,3.5415119854911783,3.6112137729157903,3.847013279362001,3.6893994257648,3.3312752119364823,3.724016341202032,3.465139467816292,3.749975115036733,3.4452264093891176,3.3566034662759265,3.7982346826568,3.595543763078335,3.6453004358948,3.5997401558605886,3.642981917567667,3.623136695070001,3.5110259380656004,3.543869870434865,3.6836295379985966,3.688714402663,3.647221583655501,3.3891068325950013,3.5106543834411785,3.3768090696788264,3.627006848949793,3.7344992489605273,3.651082058341015,3.71028628331056,3.4809010496500004,3.623966303821429,3.7027465336048735,3.50235040012814,3.3491940002456206,3.729872825284212,3.853696359333336,3.662447009383002,3.326249366669789,3.674668077842392,3.3216288087035526,3.728161001618573
BN,5.201120090671491,5.167335916990461,5.334238841458311,5.359851297134926,5.418313101828213,5.235802632549978,5.075698834013818,5.2471008076470405,5.5170472707891935,5.338796237945861,4.798329877599107,5.32680781809602,5.031143076408421,5.401443416002908,4.978934356063126,4.887921628413921,5.442275445435508,5.199145555539195,5.271878664358018,5.157682735900152,5.265792137323508,5.239523087771685,5.051938931111745,5.140479767114447,5.324331416623817,5.324351257226139,5.288964969936744,4.886289469544097,5.1209867259515365,4.844477291538086,5.253617678603226,5.382360136162518,5.259827862019225,5.353540037690809,5.051321819462164,5.251442669591365,5.344132976450161,5.071022605846765,4.814690247721331,5.37433457886995,5.5194286533613255,5.2907814514465015,4.767661049331557,5.306680219696272,4.747749658356367,5.3624860996652455
BT,3.293384131125653,3.2859983088924016,3.359847774550426,3.3889256940634525,3.456439159390426,3.31607361502104,3.257670002693485,3.2254542288988803,3.5416505920394603,3.36920394712525,3.0525732160531063,3.4386714720210603,3.143011059508051,3.4307338018330182,3.205941207973517,3.1164974264546657,3.4974715418451447,3.2758183883201624,3.350070850871917,3.3158082277023078,3.3486275538956014,3.296960031093972,3.2495669963157754,3.244945795073245,3.3667678706777338,3.377038864034336,3.317379476419723,3.1015479205131444,3.186100567933422,3.1137652333474706,3.282629460365119,3.437689497024916,3.357832760235088,3.4024324164143054,3.1947384753853263,3.3137136225582577,3.400968869318572,3.1960771117778326,3.094723953715988,3.416963785650956,3.5538711715538702,3.347694311198671,3.049296959478519,3.3608143276001003,3.053710979564416,3.429406590318283
CN,1.0807526951801347,1.076051200572534,1.105308402980818,1.115046518642926,1.1352463104933848,1.0889546126953176,1.0646979570637105,1.0787320832675285,1.1630823771798733,1.1074082508970513,0.99419049709875,1.1255822549914514,1.0345447945529418,1.129922003690166,1.0411604233857883,1.0137760684943056,1.147065893567158,1.0783816128966512,1.0968216955714951,1.0811259132415536,1.0988010114429847,1.0875116711822066,1.0567872175430508,1.0647951558224171,1.1082151503263002,1.109704421804932,1.0923966070489846,1.0117775943866507,1.0502667151950826,1.0135080833476662,1.0864848105277278,1.1287867379285812,1.0988282090629702,1.1177619672674357,1.0462450515683182,1.0902456823570086,1.1164845013157765,1.048943295856496,1.0040694914871446,1.1237614923227917,1.167184077285699,1.0999801643502651,0.9909590060862656,1.1060899943478104,0.9890832412157434,1.1260764073220482
GE,2.374272946471865,2.3700338426868237,2.4160907386836667,2.448265712769412,2.50761691254092,2.3976424257648,2.3527485908870585,2.372587105019999,2.573709917563734,2.416993229341281,2.200774324668223,2.4967304742169114,2.2603835838099364,2.4950134976677143,2.2985555116600933,2.219339735802519,2.5397836919138714,2.3725837525293327,2.410511144366401,2.399271333708094,2.4212490511353337,2.3900628001485718,2.33764926798912,2.333451367029081,2.441079626119158,2.4476615748188637,2.388034023269201,2.24260558388,2.290858770382353,2.245751643749548,2.3890459415226664,2.493558217659368,2.4276689427530886,2.4626725530366467,2.3017503911325714,2.3991611354781424,2.463663305363401,2.3051351213545126,2.2244854046980325,2.476784323138949,2.5824405558666674,2.423441185319201,2.2005409721362312,2.434692428432609,2.2187301659002965,2.488632848513906
HK,10.060318178495042,9.976375515853134,10.264728354679454,10.295759704042464,10.389093563786524,10.109241730454974,9.882005749058798,10.125679892466351,10.530215682283927,10.270497843186714,9.12261347527367,10.257564365215162,9.745609224350543,10.367258722888518,9.614342893778309,9.477352746380843,10.396147365497775,10.020884324517874,10.153175998592769,9.876495472779606,10.156390041857255,10.073579211288688,9.739047528860493,9.955879396492266,10.250446125128436,10.22207884845822,10.185968308573033,9.321658930330068,9.931260588279931,9.43288528093102,10.134810637685684,10.33131280739715,10.116244752934382,10.295145116073218,9.775765300956854,10.149338829945878,10.28009310943788,9.80840097341888,9.226390750281142,10.309171310633506,10.514427675326251,10.184356002338408,9.139851734390028,10.186179321001989,9.181994229517375,10.28910529122599
ID,2.4912395192469723,2.465350135995784,2.565450237756272,2.578680862657857,2.607228696291491,2.503880733509706,2.412381563344893,2.5136760222234846,2.66350531396581,2.5683518665245875,2.259462239004342,2.530511516446939,2.3860376244441897,2.596847525271942,2.35063987325364,2.3064779103220387,2.612736745004776,2.484163675363149,2.5192234920214043,2.4391200447902315,2.5163022332581377,2.5095832332267998,2.378756848462251,2.444371956233604,2.559412382399689,2.5569407571726046,2.5410559851226298,2.305362919371022,2.451356457362857,2.2651584217290037,2.521728262950344,2.5841587457338853,2.5111255508018253,2.5717754109954862,2.3939385903039008,2.517360572499914,2.562173705677184,2.4119455320278185,2.256660638001708,2.581065374639416,2.6674010326739745,2.53520981444089,2.2338510828549407,2.54688118267551,2.1984627669505388,2.568240510218279
IL,5.821150755669999,5.790626515748599,5.936857862809248,5.979568859696845,6.0745695604099375,5.8610182742678765,5.732731235801208,5.834030023854392,6.18848226767121,5.94801939026152,5.363521512283638,6.002052038588102,5.56773929609446,6.047258726407755,5.581506172760069,5.458140143251501,6.102896303740264,5.793206882227663,5.888771632479458,5.779378291400819,5.8957531679582,5.8301091818793145,5.666879339108232,5.734061198086638,5.95644025828277,5.948894959456324,5.889126930726103,5.4531319644423135,5.692263904521322,5.45850313467794,5.85350300207835,6.03339718928461,5.899004635022698,5.993735588590675,5.640346725337071,5.870845939947785,5.985711155516112,5.6644665589092416,5.381799005297597,6.002002323119669,6.188733162826396,5.915066570027786,5.341641777043379,5.917333116990683,5.319512815384891,6.006353376225551
IN,1.8809692422557136,1.871213121947583,1.9259249974274268,1.944377288198688,1.977646688797637,1.8952295002219008,1.8524071541292744,1.871128344912936,2.033235055542016,1.9320248828528808,1.7345465895551937,1.9622375181494336,1.7966343051413354,1.966231716975228,1.816277626601278,1.765231240759663,2.0047272744006888,1.875404144766075,1.914205607625556,1.8875329625406485,1.912788989099834,1.8916214217785168,1.845414981658113,1.852179356769393,1.9278115345421305,1.9339862427032732,1.9027143632292167,1.7652830750246309,1.8242578028894925,1.762441273507902,1.887525529734166,1.9677574853546376,1.9173341611122263,1.948617137608088,1.8162457760613235,1.8959485624933528,1.945376451325298,1.8247256518120565,1.755648393900757,1.959469471261035,2.0411080297437216,1.9173735002920909,1.733325586649711,1.9268114583224345,1.730472901913329,1.961707565472427
