ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,6.8024994818594005,7.022952248058598,6.934619748220541,6.899693034880942,7.026130668782686,6.929543349272477,7.216738458908496,6.981052180275679,6.813544610394255,6.965356553492054,7.089993103984365,6.943140072556382,7.081974104584213,6.966281023948404,7.044056280287347,6.998598768518511,7.085613912780101,6.937460819215437,6.620486014492745,6.8745104437748825,6.833163219837083,6.887721416507927,6.6916176195238,6.71371105059523,6.971907145329664,6.905024889622879,6.831518884126977,6.858701139970227,6.893526704617593,7.018755512068957,6.864490561011897,7.029881433768551,6.944319066233756,6.820144617142847,6.791892725595229,6.994788778821539,7.03789619848544,6.972366438967252,6.795742781674337,6.986973736780845,6.957125794170265,7.227304389686498,7.026577408735109,6.837438693049533,6.891992428638085,6.555414327731086,7.023067361785706
AL,4.07574023340657,4.114996667399971,4.0927942454370205,4.021106731601419,4.168443039193798,4.061594803110017,4.3134804683266825,4.132528104439853,3.9660384136765674,4.115946909300126,4.2198580813679785,4.100058618365967,4.204463222983902,4.123062501004942,4.176242046695731,4.147015471581173,4.221883875799136,4.0890802536931465,3.843000547525061,4.020834219479695,3.982407687510097,4.030755428275548,3.8934242226101383,3.9330712853525416,4.133341012869799,4.063131305998336,4.034907203948696,4.006351867051417,4.068535305041933,4.152248391508376,4.0759633119230525,4.148832761739431,4.085526554689952,3.968810749641933,3.967028231205104,4.149854749995312,4.176080975964076,4.112691138500503,3.973131477461513,4.113515848980587,4.086759753163379,4.326992578187347,4.165792745110311,4.009838851530667,4.040370198194744,3.804168019095001,4.140301297137527
AT,4.359660850977417,4.465047362845924,4.372080921585567,4.3468205661540855,4.482671181063466,4.376342238522929,4.6503344332873775,4.428290528188203,4.276607083122214,4.415662091026341,4.528280856142162,4.399062507137371,4.532459657113092,4.433329783521509,4.490430837891354,4.4578545823026055,4.536367565521337,4.390250818741805,4.129500739668168,4.328781740926482,4.28944498099471,4.33006020535833,4.171658990451479,4.199402298333308,4.429722549147747,4.362430369731748,4.328329490649097,4.318084296267244,4.351249308325333,4.4642334054657935,4.3726317796052365,4.469871561104952,4.399386984231234,4.273903613054041,4.257919531564303,4.450339861508693,4.488960213654872,4.422035156153971,4.268263074825058,4.437604287633568,4.4026876701255695,4.665020363132782,4.47828402476091,4.301340421976581,4.333711135591238,4.077846604612977,4.4650461466350695
BA,5.631914433690473,5.7005401450629805,5.654000862206744,5.5181538132988255,5.748685792055371,5.6144320965763885,5.931081415364465,5.705787446026152,5.506518012239245,5.677934675803309,5.815009052396388,5.670232098534538,5.8003924942593255,5.69823626323185,5.758319686254309,5.713115198593747,5.81318698048954,5.654662174550838,5.358197857418476,5.566050887280113,5.500880229515459,5.582292246117871,5.417339196532142,5.4669913101171845,5.707605012999999,5.622958111124233,5.578917685874997,5.547015033804296,5.626312724946969,5.736015368188935,5.615224990742185,5.730914117356853,5.63878298504924,5.491798140581249,5.51294270544618,5.730338981463512,5.756770786162673,5.676691789119804,5.5138468858682455,5.685625097911287,5.629745313091477,5.946478708865103,5.750643691219921,5.542444840816918,5.586852711712497,5.319283678455879,5.714279664377671
BE,3.444053713718953,3.533578098782095,3.4755531232428547,3.4343874381821022,3.5321347992173093,3.466551475110809,3.699204567914991,3.5121005599400386,3.389274644688597,3.49737981268735,3.598905196748432,3.486258072269764,3.5977513371712977,3.5055647554316263,3.560912121167187,3.54472871443268,3.5914118005273825,3.4804757927192123,3.284680281279825,3.431050754982301,3.3901564383000453,3.4366357267802283,3.303649467318986,3.3317103861120607,3.512820514222073,3.455841817711908,3.4431653343380004,3.4147621661090377,3.4518870620567363,3.548506476195373,3.470325758996451,3.5522555324764222,3.486332289372997,3.383830152150292,3.383276819548093,3.5206673841342866,3.5537401114286498,3.5026710742353493,3.37377368081776,3.5206239948697045,3.4880053534220807,3.712518299856932,3.542417955608202,3.3983010176686306,3.432584903564253,3.239789003380253,3.54157667414823
BG,4.973848150859764,5.053111619349334,4.995605937353338,4.926515499354143,5.092933231761831,4.9375404991807645,5.258545630774009,5.040009357807286,4.854614413200991,5.014931624909452,5.1478857597402,5.0056991893082365,5.12966002739384,5.033297432425393,5.100606322319326,5.065338246172816,5.145745613245556,4.98987483721997,4.718657852669058,4.904714079215381,4.853749119610355,4.918158763871956,4.766871687434202,4.8062134434722,5.045473780114293,4.952529033417736,4.935558121129606,4.890422730673935,4.957263833225564,5.063149729188035,4.970985307118031,5.06199496837871,4.992833724566473,4.84098451574518,4.840793363978373,5.065520370307049,5.098176813458233,5.011007259358467,4.855595439907011,5.017980054015452,4.980370165246189,5.271014626516017,5.086368956235565,4.890294698825453,4.931865451565977,4.668559899934618,5.052420270327981
BY,2.1335176456393623,2.177471669709576,2.142072517261366,2.115639203285797,2.1980607097095883,2.131020015917585,2.2716796159007524,2.1663156488595328,2.0772362449450106,2.159063380109698,2.222538134927792,2.149467509491407,2.2134094651131795,2.1671308788097665,2.196493166900021,2.178662322752792,2.2249452099180584,2.143982707252544,1.995967933561292,2.107999770536244,2.0862265959585864,2.113670123201441,2.0236071066612977,2.043636708169458,2.166087558094191,2.1312924289791773,2.112578907565526,2.0961688535828475,2.1244129085733565,2.17558874587755,2.1356017962780727,2.1739363190986896,2.140709297664266,2.0802213903258253,2.067988612709096,2.1820061244389786,2.197591823424452,2.16142959028081,2.078445076579177,2.163148870170585,2.1434034024225226,2.2838350294878094,2.1925225710879386,2.1003170197310004,2.1141708295262744,1.9833749810971413,2.169751241842985
CH,3.7093572304009776,3.808045169217182,3.731554475556624,3.701871097341917,3.822482565129071,3.724009606345296,3.977841512253967,3.77133639840974,3.635199434623632,3.765260131845538,3.869402762704045,3.74701709446888,3.867497767490156,3.773593884877332,3.831713654786273,3.801879024056992,3.870490157301052,3.739745718698935,3.505041433729952,3.681652905352414,3.6480791804895873,3.689170097376797,3.5377748652502587,3.567995526074536,3.7739198241943055,3.71117676556444,3.6893774420526064,3.668229156028757,3.703547187243994,3.8062165781236894,3.727716858552607,3.8111291498576434,3.7452641534593054,3.628073052673898,3.6144930611235138,3.7939208590500817,3.826991814005968,3.7661871187913727,3.62256705467281,3.7779555108681535,3.747333504974697,3.991053788734338,3.818535167895616,3.6588573636134782,3.691766451603133,3.4626897566872823,3.8065680015665055
CY,6.593042306246772,6.692748124181112,6.631063676217853,6.553794309282226,6.750849295604845,6.589807307466219,6.939954754066662,6.68639208035085,6.410685190199993,6.66726415421418,6.808860355942108,6.641142041776996,6.7832494155175445,6.6689724075062,6.74187021317572,6.706326125537606,6.811260425816069,6.619001420171018,6.247554911781177,6.511822295483649,6.480168203116552,6.549204944324062,6.332646417493442,6.374750835416638,6.688252886840335,6.583651649950679,6.533443337849434,6.506390933710319,6.589834265803165,6.707949813087352,6.589460881720403,6.7046436174517,6.6247923542880125,6.461177702732129,6.420759879826735,6.712558795996931,6.755899877781033,6.6482081769486925,6.439770754331223,6.6580992682554,6.627278358729852,6.953071031139847,6.740207150270298,6.514718748729199,6.565819141379756,6.162436938140391,6.701400231232423
CZ,4.310537842007444,4.408340212467546,4.335802276784854,4.2908945655091655,4.424638056266475,4.315808111837554,4.587465481894224,4.382136370235628,4.232947746877055,4.334747667361143,4.479158797724187,4.347158392141458,4.472983068343841,4.380897634506632,4.431995190423165,4.4140600018572735,4.4792789669286055,4.335366195668788,4.095533888644476,4.277239206550526,4.218734067128148,4.277583841394848,4.134055810597452,4.158879561568601,4.381347019452463,4.313543793874642,4.2926569178954,4.252850661623993,4.309317758973235,4.411705615476424,4.323222253149484,4.413069111780493,4.34446331980865,4.21591585013402,4.215699897767403,4.3975268551951405,4.429049743092022,4.366297391801627,4.223969809285837,4.378550457106877,4.342988653552024,4.597653018428257,4.419076109599913,4.237359864571968,4.266406182329935,4.06008833852362,4.399061162851096
