ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,5.738929144808491,5.769398379354199,5.9042850124178,5.848570376840852,5.600210294138386,5.8780457679935445,5.889109806785656,5.828761663672847,5.742800301175254,5.777208644845032,5.666230716999944,5.848191472488038,5.666415995796014,5.445906034208805,5.958624974364054,5.907585271958203,5.768637105098428,5.76933720898407,5.90864824258526,5.855362207292006,5.928938784670272,5.926793121640053,5.7075026331321865,5.938826471885147,5.827481343298223,5.848506004733815,5.43724197140039,5.644173887055322,5.764825529239909,5.844317568903515,5.865068628038136,5.356441665305658,5.900477773376567,5.700891027132265,5.663405161555897,5.863972383643577,5.778404590211586,5.455899155507384,5.8759226836049,5.571555711222887,5.816288462010235,5.793959052638671,5.838267402039527,5.870115214882086,5.860538314864475,5.8498379538928,5.935602637236206,5.883978258452132,5.406330491944662,5.802591444580045,5.696364819164598,5.852819638982501,5.694217304023914,5.765124189101728,5.821843553422875
BF,6.9055381520815,6.7095338422477,7.021559087219666,6.937295625337896,6.677000256818721,6.976228132339197,7.000284492635417,6.911306713180987,6.785433147220436,6.824026799619919,6.758890754254515,6.961010719152608,6.754402482750524,6.430984961366857,7.09761233932,7.022160865048791,6.851251081606948,6.859347496422342,7.019097506074604,6.954295408138579,7.048923463325533,7.052011190085441,6.798270305426205,7.0687596904617305,6.903676413451149,6.965239535786872,6.460430682549212,6.685016370669288,6.827919516414592,6.924774905703884,6.969917284882125,6.4228287912955935,7.024221731232752,6.817155467045929,6.762082720523541,6.946655180278845,6.866130362000626,6.51938303257152,6.990598476953175,6.667585196541141,6.905622466456055,6.829635707649906,6.937436979018488,6.972066031444415,6.984441405520695,6.969609745779992,7.056126531895853,6.986318948334932,6.385878768743035,6.896403656835949,6.7817071513482805,6.972105361005372,6.816168762413042,6.88919840860098,6.942064006010604
BI,2.847907512417857,2.8290418144924243,2.886684743587501,2.872220973997728,2.760531591241573,2.8806193879187507,2.881558839363637,2.853439855765873,2.8243699187179345,2.8307498343390622,2.79462636111,2.8647054442916677,2.782759145024762,2.6774864366280404,2.927251770182928,2.8936967892859373,2.834529808090909,2.831761175646759,2.8940246975555555,2.871229691876389,2.906953361025642,2.9102311658846154,2.8043447763137324,2.9143218858392865,2.853737899787037,2.870467410217742,2.6791473319600003,2.768964429173906,2.829572662711905,2.8605233912031256,2.8753415022777773,2.65880198473,2.8958394699886365,2.8130875947537506,2.793661537033333,2.8718330983315217,2.8339718425677503,2.6992415989791665,2.8780014732959183,2.747768597613637,2.844318457271187,2.83648522498125,2.85699243303125,2.869745014675,2.8787774812500007,2.869574711888889,2.909796780634616,2.884081952475807,2.659624424054225,2.8457625477077384,2.7945867480275863,2.8788736929651164,2.806833307400882,2.837631936591667,2.858576385421052
BJ,4.408716513204498,4.36130198897424,4.488744610361314,4.424639466275157,4.282361682525998,4.46411930462836,4.474163693875985,4.421300061555507,4.35491346815015,4.368299912750802,4.313648939083588,4.450133781338336,4.306706548569822,4.116996014956119,4.531484118780438,4.493339522023436,4.374527723274056,4.378911512982107,4.48732721813884,4.447624889469648,4.507895842727224,4.505714243825126,4.346571624868069,4.515263268973977,4.424850991169985,4.450714353146579,4.1118689665794985,4.2869953440166,4.375534160077441,4.434022439433473,4.455072675701971,4.098306017281165,4.489355316123918,4.354653313528133,4.32386536727874,4.446844787804299,4.384498054913406,4.150377194329496,4.470999704487891,4.252028739132182,4.417538588134003,4.387892106966998,4.431779846542376,4.458261001768133,4.460836312789921,4.452810610919143,4.5111976301747765,4.462058519848925,4.097826497943231,4.410945057153414,4.339424148799324,4.449201620475638,4.349929286830648,4.399019862125204,4.434880418319569
BW,9.61327672672266,9.553926916675694,9.82997552382579,9.735281978746627,9.195586593890871,9.781437752689085,9.802315925658784,9.695426557586892,9.546949915082264,9.580647167612304,9.44172626400444,9.724076844912556,9.416477527597753,8.971393209321842,9.941275514634093,9.83819423299667,9.599177750801786,9.584702473339313,9.83350424640444,9.749464637956873,9.88145904961101,9.88538126095068,9.47907384180229,9.900163983467042,9.67670032057631,9.710623220844454,8.979157368172418,9.351191094623193,9.564108935365384,9.713921606127052,9.757319143220922,8.855992492365491,9.821977728370731,9.507520886116238,9.382952599737774,9.754770735566629,9.607162523877362,9.062796666690025,9.777464842657594,9.244685025042507,9.65544489306603,9.61242794400732,9.695255232748073,9.753225331477474,9.773426171871314,9.717248518376977,9.890077375652496,9.79444722669259,8.911143700251095,9.644721660948049,9.454267755078211,9.746652734073637,9.45338559492982,9.580640213588586,9.674956103524488
CD,3.0788578513268807,3.040900442945232,3.1378089712520296,3.1047852515980527,2.9691834034381483,3.1052681015921317,3.125843082768886,3.078420288556164,3.0324637404917945,3.0479285324414827,3.0131777382349463,3.10633665146754,3.003546304793617,2.870527606797705,3.1821624304166134,3.137838769051943,3.0551479377714106,3.059374464318773,3.1401471548668445,3.1078685966946225,3.154082436623878,3.159903822003152,3.02389109110781,3.166247299639828,3.087961855596397,3.1138404553977965,2.873422509016613,2.9818402535338,3.05501932759697,3.093418666666873,3.1159882494033027,2.8427185628182805,3.1435033793635827,3.0309606789245294,3.007358559286057,3.111248208765345,3.0592077569033007,2.895820121354113,3.1162705667456945,2.947960197784038,3.07769375445263,3.0580181606196075,3.096963852036404,3.1137788621166136,3.1278224421120155,3.1133706835161505,3.1582549735512293,3.1234529983588177,2.838735377708222,3.078863177163835,3.011684926355837,3.12086388583328,3.032673128398745,3.064857713196705,3.0983011182845948
CF,4.81084957951296,4.785884492635417,4.859676112090882,4.835757330239641,4.710989265801811,4.846770772162852,4.825631329834683,4.814303512453074,4.779375809966377,4.783835083017018,4.749730843672699,4.829647238383811,4.73315954029954,4.60548712383904,4.901936761197311,4.864730938746184,4.791032096983444,4.787235872168322,4.863110673535325,4.835686886020174,4.877255763170134,4.879983680489483,4.75856363133672,4.885639375389583,4.817007667188525,4.838716077302025,4.6081809392886095,4.719133762731223,4.787978436121185,4.822111514517018,4.841921341161588,4.5807831344727,4.865558653057824,4.771304040949972,4.745995890636337,4.83695394616598,4.788426142614063,4.634767706950731,4.8462992388868,4.695031828650111,4.808156439337415,4.794096134803949,4.821268355931792,4.835869528454518,4.843744370846366,4.836181763686842,4.879912624755217,4.849697482697919,4.586658174765659,4.806706776616855,4.749697537106556,4.843000399682848,4.764452933963609,4.795361518904013,4.82269175620093
CG,4.558217020815703,4.504622297596544,4.639272712908673,4.59060928233472,4.411815482145476,4.607063562365685,4.62201909686863,4.543445317757564,4.494105094061365,4.514171537867999,4.460992735117404,4.588657249620755,4.438228483394501,4.246744275970387,4.697844643282947,4.639194254412641,4.520065044653623,4.5272106590081735,4.641080189810349,4.598223611722165,4.661176009320252,4.670068222954766,4.4819579064426005,4.678496278106518,4.572567558027575,4.602349938156625,4.241583065543596,4.410311546719488,4.522920718999944,4.574111790905697,4.603113957281689,4.219103000823225,4.647485399808745,4.49658835532534,4.463400305920579,4.5986583498170575,4.5258307367767685,4.2870807899867165,4.6115319634110215,4.385011666402059,4.553832563136882,4.524817124632384,4.579495519111054,4.603234867865022,4.621038789107771,4.601784830299767,4.668591147472471,4.61743569604961,4.210400397604014,4.552760472037736,4.4604053093119305,4.610492216168272,4.491919861261382,4.541036669936451,4.584578321423503
CI,6.75729280117522,6.663785874493104,6.895239918717845,6.809259831786473,6.548375982497957,6.846144157158425,6.872128537239042,6.779142236918474,6.621884423325808,6.699210289744952,6.620037830650345,6.825659339475756,6.60629680795048,6.296767629377191,6.967388803515287,6.8974110033883616,6.712626717211373,6.728149637399026,6.893964464266215,6.824872196414766,6.922405688539486,6.9283726806203125,6.65667388393999,6.942876101124133,6.784978370894839,6.837144657817582,6.30962665341866,6.547552257852329,6.704054004329104,6.801641856664449,6.836425323416275,6.262298682234694,6.899627763646156,6.673893656561106,6.614580449905708,6.825379274718247,6.7314400614079775,6.35858661746504,6.855869879943567,6.512360233899779,6.7794435971554,6.7066862330228725,6.807306800618208,6.849507584923823,6.861045997942189,6.83645479502165,6.930451943963121,6.856721382315827,6.241232320514301,6.769896497696183,6.6403165513790725,6.838153883576755,6.663034625433248,6.742101981921286,6.81184117754705
CM,6.630942082345088,6.5416204643926745,6.74086077183906,6.661887213887215,6.421314172528088,6.700849886608202,6.715828747789771,6.638449618225196,6.538451227245039,6.505646774651074,6.489656173462498,6.682774514411456,6.475895988748736,6.185374761767222,6.813254028582313,6.746912255030077,6.577941141673295,6.562392192556134,6.737976786854165,6.680581204637498,6.770656085008009,6.770326867906248,6.515136574963556,6.785084244368302,6.637539888908563,6.68767561181653,6.193967159858673,6.43774638785578,6.56608936420238,6.652642538546875,6.693414885662759,6.158288464487501,6.746395767219459,6.544099232246249,6.504834997206248,6.679476422999318,6.5678653634567175,6.257211840377603,6.709941473499359,6.403962644715907,6.62861631216896,6.573907708208692,6.656504427429166,6.690096603604685,6.699870836794179,6.687130506269094,6.778771932762016,6.705381813141631,6.1502731067173855,6.613865748368824,6.514193503229094,6.695064440247091,6.54024027245,6.610770638583853,6.662941832405265
