ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,41.46984282142851,42.19575423311349,42.35083139660395,42.167147822008864,42.61106216526152,42.20966510423274,43.6770569353932,42.764782789141535,41.69505009726056,42.68139978922497,43.08629086466362,42.46164170813904,42.93543043340434,42.46223375906343,42.90415545959764,42.74620146097877,42.97814096190051,42.54203745937045,41.41380446687364,42.122136986519415,41.895216573571375,42.229292075513726,41.75064860201525,41.12402471478168,42.85473462756404,41.91406101965201,41.72661640793645,41.07175682623505,42.066830972943656,42.68831636357411,42.06351804166661,42.79446250913972,42.19783207546892,41.862255471926346,41.12701057288355,42.908689456096624,42.75089987822084,42.77331459270381,41.6440608831451,42.38676551185854,42.43077249994222,43.72304164534715,42.760354457622704,42.23225474033183,42.325561898199936,40.50340592717082,42.60882461656704
AL,26.455065038974222,25.82934880547026,26.455354418106754,26.08193336480084,26.78919859347061,26.221409416031054,27.83605310664377,26.939441580468085,25.772164824042058,26.86956393930304,27.21286262019251,26.74274450994521,27.012534891399405,26.646300734405727,27.07160599484231,27.052557054487043,27.162712754803103,26.80183279831362,25.83779608933097,26.090782268812035,25.85672969923225,26.419926639408366,25.957494201308656,25.65761304153833,27.120383717366728,25.962986338232003,26.30043881697422,25.26402576330275,26.369726567508017,26.659032515185544,26.5204688165864,26.78291685561112,26.121375354832036,25.72923588775091,25.35452390502764,27.039820347489304,27.02229291063641,26.962301076309146,25.7784016397428,26.356269255266035,26.40161687805069,27.906431010223137,26.99915120245624,26.27393477171548,26.35551348892325,25.04181801158358,26.68267585827176
AT,26.075618902869536,25.9208311185116,25.8083405112322,25.85889424878868,26.297783476141632,25.88534145887406,27.40118531060838,26.399675836888505,25.49434204907853,26.301324543799343,26.6385688785453,26.14092569234245,26.60780355313262,26.24514201107382,26.607228660187708,26.592029900811266,26.672863676517466,26.2296097010258,25.39331569511428,25.838558809163835,25.59643496854848,25.942285294399404,25.476206558258323,25.149446023645694,26.63619343043711,25.648722906250494,25.732149499315653,24.95195670097964,25.89075404857961,26.3181584123217,26.108665601710392,26.47527473568945,25.922135339735107,25.570490052332644,25.01907397582077,26.55266897303354,26.47363674040264,26.48990426020644,25.42960964438628,26.058362620269985,26.11568973000592,27.454062060258504,26.475967040439663,25.874959149577744,25.8906594041786,24.69535393962835,26.302308350248687
BA,29.884363387485102,29.539838124416335,29.851322307999347,29.18916766816288,30.19436189405476,29.55290374868715,31.269431529301254,30.34340803570214,29.19671055068615,30.154446685127567,30.63480337452949,30.073759221474344,30.45760731983208,30.08266054728667,30.4809553871,30.459971347517342,30.574492806698327,30.17063646345701,29.16448477266303,29.498189277104206,29.11644636917039,29.71547657513618,29.339516558309604,28.915119748085925,30.562670486079316,29.461720887059197,29.599979570458316,28.627993543069135,29.7690851197822,30.116586791716948,29.902759207968728,30.21879497117741,29.482511548583325,29.10458387789601,28.788722000857643,30.44296522654211,30.394640852680038,30.320510853040904,29.1872534659875,29.708716471917853,29.703862774839013,31.32391851408724,30.38278805229844,29.636545759186237,29.697235172632,28.373434828602928,30.03105601502199
BE,22.900036243061543,22.81886186540992,22.861970047676085,22.766120406378537,23.05385930612588,22.786362583325275,24.10627642731034,23.26158249776456,22.408696756133573,23.19281564502197,23.51068272622577,23.020099433257368,23.399184209706803,23.075755789173893,23.398192795350692,23.41185235552801,23.42074875336279,23.08487143535821,22.33869794977327,22.71631432477247,22.50984458648939,22.84124798432757,22.397848439527564,22.10107010353564,23.421603551897995,22.534271444189365,22.73432500637543,21.9675585887612,22.731481432982772,23.17086305347678,22.920238984709357,23.31630479238346,22.79652913694948,22.48456190778576,21.97224330016104,23.316658140779985,23.296723190535914,23.29364673244516,22.33518389214976,22.916134574499694,22.96312955848414,24.15387581611365,23.27403179577896,22.77417629733332,22.837371701025425,21.70903496614732,23.166966461732446
BG,30.658760739153298,30.411194245090893,30.609649587529034,30.284783818131466,30.9464841404458,29.89921564066222,32.03822466827078,31.09865103034453,29.90836617812174,30.924344980111417,31.38156529128335,30.830903581137523,31.18161565589208,30.83993341508826,31.234157602727272,31.236885955138757,31.3151472413765,30.8597456334629,29.854671648139963,30.203282377795425,30.001073716638462,30.4073268146911,30.064218942076067,29.709752598906118,31.31214199550521,30.13170961417534,30.36453740916653,29.371378877189454,30.54245720175155,30.858058563508173,30.614023616145705,30.982574304940727,30.40121697407899,29.910044788672096,29.490435566120247,31.219932298067047,31.146151552307582,30.987030400050497,29.893532650523667,30.401425883090063,30.619276090734644,32.08550981766274,31.093302076081294,30.458729886860983,30.502424987977427,28.99298741663386,30.78124007268619
BY,10.183189305644628,10.08287467103447,10.18253017459422,10.05834833407644,10.323434719761728,10.095261403601643,10.68096249591582,10.356216367556373,9.920034751081204,10.305974403543848,10.523698424553896,10.271982899834018,10.433048242297396,10.238913477224331,10.439950221591529,10.422158018508014,10.461869955075672,10.261876758631304,9.885172267513331,10.070188777829928,9.947891867953178,10.138930931605062,9.909120763722209,9.832869413998026,10.41745107595063,9.99840873338282,10.130047784419371,9.718188020690906,10.135966846387367,10.27903323851985,10.211039371839789,10.31241093859117,10.078240468998876,9.96305970655148,9.757378931872555,10.441613277937586,10.370458534552643,10.352927600690066,9.890773941134004,10.191879378191022,10.152879000469763,10.736345124320868,10.348739981131915,10.14089287091126,10.14619126010192,9.684017558757336,10.173630717746065
CH,20.448583716459765,20.363931701925576,20.35868925794114,20.30999339754411,20.656409347282743,20.33335632274219,21.533884924623163,20.67731215931981,19.99352725339376,20.64958757713872,20.97573469810025,20.5035651162642,20.93273669624181,20.585965404689507,20.91965272052709,20.860128476154845,20.93331393605217,20.568030830631773,19.86002984176188,20.27187206966164,20.07511293866759,20.34929755968426,19.927811473335677,19.69540686918846,20.87023093995027,20.102050706179817,20.20220418957882,19.635376713522728,20.315767974970363,20.7208079227358,20.462331726595263,20.828836881626348,20.36251006657324,20.07605490310249,19.620691917511564,20.87001943854343,20.759847555019164,20.78107659144758,19.90248007158123,20.48328257326257,20.500736431576417,21.57746938458849,20.75638730010932,20.33119082530927,20.37262607941597,19.390839159566436,20.64743091002891
CY,37.28722091139258,37.105024832313326,37.36172535694495,37.07166579934191,37.71189349246554,37.051441357333175,39.006073194961786,37.90189714020754,36.12108895763309,37.76786913426254,38.25047937708065,37.58783166045825,38.019667631164985,37.55310935749107,38.04612063760681,38.03215576218623,38.15926706048761,37.6595285438372,36.437107285086334,36.861843781079806,36.6874041369308,37.197395753858736,36.62648326448179,36.15005157430541,38.1275945942637,36.75331802890973,37.03802583677403,35.82401365159796,37.19368718752998,37.65450073704719,37.31099885147835,37.78990916057795,37.11094156606044,36.62252376106144,35.83335028053749,38.03606436554693,37.95538123805719,37.88458401629863,36.46002201143117,37.293662043979,37.39791665599659,39.07205464016409,37.91591595776328,37.14735839537511,37.25322122214522,35.41611544048055,37.63456511649847
CZ,24.070234803230477,23.99908814744781,23.96537205153927,23.82606613365683,24.29267658122744,23.86408435919637,25.188677047297933,24.354621663826013,23.56453333413605,24.0769650248666,24.62259152478028,24.090115681449078,24.566961413128915,24.22156428469763,24.539125885596675,24.53292795269048,24.59003617642558,24.19808691233752,23.4702877555753,23.866909934355142,23.571891401499546,23.883046716034976,23.551743777265397,23.250030962887926,24.574003570339965,23.73677641608728,23.76731890277109,23.09244233150953,23.946034725197123,24.322454358928404,24.090751680967987,24.439350704578388,23.961221764439543,23.65608073774067,23.211744991658357,24.51426061709417,24.378180518938738,24.367884727151647,23.503721954391796,24.04314651767342,24.08566616283016,25.233639062522265,24.381218698905613,23.89986449206581,23.84801599425452,22.80949791074957,24.20861191162388
