ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,30.59665056418742,31.75423020286295,32.25625793790681,31.936636851815575,29.97404428281227,31.722120064847,31.91869048517825,31.63613915106544,31.865439219608295,31.527548954321325,30.466526870728245,31.902426326612773,31.29836026878263,31.263013932856893,33.23575326233417,32.67967319840882,31.575193946080844,32.18719082303175,32.06387829917428,32.22216193190007,32.50627961435865,32.47873602578264,31.567916197846603,32.38366383296906,31.69030328323313,31.80062715343746,31.18274874741377,31.14119711256822,31.503839311059192,31.546613573915742,32.185205501209,30.430430999446816,31.92155521441363,31.18717749951181,31.23294183322944,31.906820629280723,31.935927855753476,31.172211464085983,32.13146554565346,30.91141817247262,31.32462159542643,31.63890033411708,31.656990070160983,31.53531605802288,31.888591369661004,31.80213908772983,32.234681846392526,31.92215260755151,30.429620378165065,31.979495896327563,31.27305384407492,31.783299990659973,31.470142748084623,31.18126793488162,31.82440973275117
BF,18.60768328367124,18.419240314720827,19.25496601934837,18.828294937421376,17.72995774991817,18.644495256949803,18.844745927410354,18.64175009802297,18.71099523024802,18.452259230374253,18.18194187895342,18.84869699722772,18.395089217805943,18.444108516162785,20.076326132889758,19.671964408630565,18.54639050061819,19.301702919370253,19.086360903063856,19.118591917768125,19.405826375265363,19.42835202938606,18.59575290480896,19.227908764631923,18.79691665073501,18.922638132166718,18.26397116759357,18.31119336739225,18.631010849427973,18.414616746885613,19.05508745235398,17.86879093008608,19.029712015273077,18.57175082782665,18.488973175978,18.68772257801482,19.01982968195872,18.5423790127461,19.123972390420416,18.20248899911222,18.530440920193342,18.54843653954976,18.68218901835763,18.54116835488877,19.062087515604208,18.92542378682929,19.089647845920634,18.88505110360204,17.877930142215565,18.96484422586785,18.456116673338443,18.844735045184287,18.659881540489067,18.38763755774343,18.88823756934385
BI,21.98717543790714,22.13243043854041,22.18833233795626,22.37867734844773,21.026850228264053,22.17719862243333,22.357980522500004,22.151591869865083,22.28548041599185,21.97646528461094,21.560066075980007,22.36573202445833,21.900416465755,21.931496730279463,23.61940355384147,22.73179985420885,22.099462559337127,22.31597840663009,22.55044986569445,22.260241073393058,22.91114983352565,22.942378165461548,22.08556537960634,22.757278760339293,22.20813241694908,22.37228820690323,21.78871297243875,21.79083999241,22.10298639549405,21.988829479393758,22.584228309670145,21.313488800316662,22.47177313817046,21.991377659395003,21.939853210187504,22.27068723542392,22.467098129638504,22.04826341854688,22.58923132233164,21.645743665530308,21.926830356822038,22.11835055659141,22.14403883911667,22.03047737565,22.533608684181043,22.38111126669445,22.665265620961545,22.40277069256452,21.347447379785915,22.41018616038572,21.86712381676207,22.37790340383721,22.124322488535885,21.817237670413896,22.3744058251
BJ,15.647777306361125,15.685982311158618,16.35890030299294,15.851834559137773,14.88887713944715,15.724988420208469,15.899917375024549,15.732689951820822,15.823273750724262,15.569493310628165,15.27458127362521,15.891967765333089,15.532942507829716,15.577581982707814,16.92881819155186,16.681313486667936,15.657227639448788,16.38276485860952,16.093906553512383,16.279955110261877,16.370049441654764,16.39880565197878,15.6867040779205,16.20371848236339,15.824042973696724,15.929837860369256,15.463408424629073,15.448358685627824,15.714037201117938,15.5632145992668,16.101724002230817,15.045958601776723,16.02218196880554,15.621575130484752,15.581474049707332,15.794952985924656,16.027538757048255,15.629854695564148,16.12308425994966,15.322922184324824,15.61970319047125,15.658112769847769,15.758980149286876,15.642052114108845,16.06199405742922,15.912887210110863,16.110973430062693,15.919423334144916,15.07357874553958,15.988654108834172,15.567375095561513,15.882024238741826,15.695398629969649,15.472340824904808,15.90964463278062
BW,46.70911512550891,47.61157551180651,48.03100357096034,47.91280752759824,44.20395436449281,47.61999788414574,47.86958442444298,47.47547885142289,47.74183550191857,47.2660956230074,46.27167397049406,47.837613595043365,46.86963253122386,46.64708934583064,49.64766036900488,48.62893185434588,47.39367032722983,47.71644564652651,47.96506577353276,47.93706995568381,48.74121594958193,48.71849800694868,47.16071364416742,48.59936563391619,47.38687930413408,47.441105067339294,46.58932451424434,46.66627643335354,47.16486851787019,47.332337396291095,48.19262269867945,45.42992748247609,47.723834728536445,47.06104999592438,46.604173790642,47.835497912613256,47.59398555175905,46.667229885172894,48.06908202469584,46.20332637720431,46.67940023911604,47.50940265681884,47.33146095511484,47.099487567583935,48.07525957080556,47.53923499453151,48.40754864227279,47.89778542794458,45.64190817538075,47.76103307820513,46.6575872551132,47.729771670211335,47.03303582503344,46.58854726075872,47.50519960034621
CD,16.48578256484707,16.55470467614159,17.209943622433087,16.77751046566301,15.648589541449187,16.49241037825634,16.761205480268696,16.521719992578454,16.729525922612794,16.407676420208475,16.14574965353142,16.7798007782104,16.404446690648477,16.49176695361242,17.941907884745692,17.528012708282308,16.485403275196724,17.267179367360626,16.957282565225448,17.160335327289566,17.238172388001892,17.295959101929242,16.546688861512074,17.077028900499755,16.706409313898675,16.746754912260506,16.352241350238916,16.305184670924383,16.534054727637447,16.39039156094923,16.985640002248598,15.93538802320531,16.890955994831195,16.464358112760166,16.43940228976503,16.693784843782364,16.932757752133874,16.616680904320067,17.03062109064686,16.199483359437885,16.41300246012758,16.510533541650794,16.656293520476837,16.509174602926837,16.931735145473894,16.745261535643273,16.971330515900398,16.76624451934115,15.900747179372168,16.891758919067904,16.411256843499753,16.812414150135414,16.572502338907665,16.30268211555299,16.76705159740194
CF,25.475462757905717,25.548065119329525,26.183835295227137,25.745549193206475,24.691285854473826,25.55431525299608,25.54917193504119,25.526333130923387,25.695329885088803,25.427485463215778,25.07879774741805,25.673122773080674,25.316766304451388,25.3843108188554,26.75693070509964,26.4698595733635,25.45543921997232,26.25144567724397,25.8834056792928,26.14932878098977,26.155136491142056,26.176858459860004,25.54160724444929,25.988742039610248,25.62836374454532,25.71969758096761,25.28193123760214,25.23321623398055,25.521531256783412,25.420580468181683,25.88569022161603,24.875020825478657,25.86416096146681,25.42128322440441,25.385010502621085,25.65981125920936,25.87692759464078,25.48883500081427,25.94164664693864,25.102270636501245,25.39075032505379,25.520152860843616,25.54157753575744,25.46371018731805,25.83487993965504,25.70125064464633,25.91447018118868,25.71731902988256,24.87292467853508,25.84984840886783,25.418983416651905,25.683849081078087,25.53204399114265,25.321401066651383,25.75204341379891
CG,20.070857166938488,20.223015033087734,20.855392385737808,20.456267513148344,19.17512602459933,20.192775508451437,20.40427887406897,20.076697271398046,20.38468960359909,20.0584781205761,19.71803356951082,20.418816419549977,20.016963318932596,20.10501042157929,21.66799586546622,21.220487682294028,20.07533259589197,20.932827575274843,20.613244291900067,20.801550362721937,20.918676811843422,20.97774244802169,20.24168626743544,20.749814655691324,20.34362331449707,20.40743546346617,19.9680255630886,19.908731533113503,20.157224592410905,20.044732120776494,20.6460187097065,19.46599157748331,20.581192100324383,20.09607697451717,20.05225069796797,20.37821681224954,20.57987820054448,20.08489440502617,20.712594098490158,19.782565228282547,20.04382639271696,20.170254861752195,20.309972579908443,20.20995611596003,20.593585379857405,20.40983537691329,20.658569962234143,20.39608466472321,19.450647740586348,20.621666690767288,20.0673513824168,20.42438485232529,20.214141600212788,19.96879246072105,20.47346061028209
CI,17.052018784825627,17.044121714657063,17.741142481208858,17.298712861396062,16.193344224439286,17.15244298783005,17.325137177578668,17.136551152943373,17.111130799658827,16.94079790121205,16.612466160383097,17.298327557348653,16.851915823680113,16.88543305132224,18.44693272133048,18.114358894657634,17.012629287432752,17.71886180369752,17.53190226164817,17.59453076779672,17.860015849470077,17.863842708439417,17.060589204379223,17.695573207735645,17.22820922630477,17.37607844953468,16.76464728031869,16.796021253220633,17.101369987956247,16.942162163625976,17.52792984121278,16.300614345686576,17.476358766215526,17.011965993261686,16.95374346222788,17.19940410873828,17.457210880031916,16.95314671814953,17.568033001426418,16.656649140226893,16.998886054867707,17.050554554339154,17.13230000166936,17.02230524546701,17.510982738597818,17.368382974841403,17.595164719303966,17.36100450831413,16.369241531256602,17.400038813440347,16.93765549461581,17.294256172638647,17.109621306840538,16.863058231810122,17.344075927502132
CM,17.663149579321647,17.73440677456629,18.381148409610937,17.99395348108295,16.666625405311095,17.779614545208723,18.006313815488635,17.759360729703374,17.88981896099504,17.49201528860078,17.21768952275125,18.014180780968747,17.52173832545192,17.568234438908597,19.287726631295733,18.778262261318098,17.68082052952178,18.383971852986576,18.18744543625608,18.314921805405906,18.555722293966344,18.581611272081727,17.686836482152334,18.380664099716512,17.861482479074652,17.96350461633266,17.404449723829064,17.41691269267391,17.709315405398808,17.59392936636875,18.226721138398435,16.957451604140417,18.11588801515412,17.608759646244838,17.56137266050104,17.901795986519023,18.094467291867296,17.697786670017578,18.25490110665625,17.277926111486742,17.536961046707628,17.69922266700996,17.80341816068932,17.65263814285312,18.163978207473058,17.972735312125,18.31379053003125,18.01177747031855,16.973117333207615,18.074793920120985,17.51252363841433,18.017319904843745,17.723711947197284,17.434198667455206,17.973344401382565
