ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,70.54771090702936,71.7877979663552,71.73740645182946,72.09409988235106,72.00187430425878,71.92445070377633,74.66631628456383,72.05415526747481,71.4252170580388,72.67693243839392,72.3023629228027,71.96955008790088,72.67811950586344,71.91701361138777,72.47597940600974,71.61529778108455,72.34064476266164,72.04639452305041,69.99387818426491,71.64960219326396,71.4034665900876,71.91200385904332,70.9327132145747,71.0782338546626,71.73405714285704,71.5306621351535,71.04517775238085,71.61346339379453,71.66555738643567,72.60767799707159,71.41454564880942,72.7904294830004,71.73271762063482,71.42378778703453,70.70235116660044,72.29167610988443,72.13968659677236,72.40773770946565,71.11005866505364,72.6990902283332,71.78543052494938,73.91690697005942,72.17605488232503,71.53989485447319,71.8192578815713,69.7233662745097,72.77777486277262
AL,37.80145862569554,36.72191093405753,37.82157541734531,37.980873758096685,38.11069482421581,37.91906244316259,40.723941297065245,38.14597935133418,37.39898799073984,38.76901129753893,38.40272288241737,38.09163891595867,38.7712171964944,38.22522283839244,38.63871919783908,38.050438853354265,38.491142849439335,38.14956024327052,36.6687205504678,37.62005253846921,37.37069427946596,37.99261203190483,37.043830435419885,37.41025910719509,37.95425418672738,37.57422223663693,37.557687818871365,37.63405401002889,37.81207303503452,38.67051471718701,37.89854555216304,38.80134901504919,37.62931834812777,37.15192142071774,36.746554809065806,38.40118997165775,38.272582641514944,38.44782818773143,37.30445396597028,38.654895373137,37.68422220851355,39.96408041630424,38.347786302094505,37.561756319921074,37.83094319888971,36.36351259656066,38.81899592257774
AT,36.46425866987423,36.53476697604975,36.10049638058814,36.70321585258688,36.70266440058939,36.599134078376665,39.38563915508264,36.70298661443654,36.1053703063606,37.33804307992944,36.84693490594966,36.65183022560669,37.40075969245948,36.79194179014739,37.18122880389609,36.65918828832558,37.1122958119914,36.71038238698127,35.262816465892,36.31847656347448,35.96133813883597,36.51736468716838,35.56424886557501,36.00428713601381,36.53857305384165,36.26994649070495,35.99564713715745,36.26591222140414,36.413323955269085,37.29304610926573,36.51838329863442,37.47411563804369,36.37885503275314,36.1078840649438,35.45484142737235,36.97399094597665,36.85493203163653,37.11903873235211,35.95851264880744,37.36899011968975,36.416884183540375,38.61986923844943,36.88558920702347,36.19684217026138,36.42309773499839,35.23586182355993,37.42124475258685
BA,34.516508810922616,34.389622027327874,34.39877256311365,33.974354742299234,34.773469562318404,34.50088630671806,37.15975355007794,34.833808223772536,34.10281606507325,35.24220724997451,35.04100800971,34.74507697294539,35.42956015699439,34.88601951949018,35.24394634630711,34.74108201756944,35.175004748813144,34.739520533252126,33.46256555046195,34.30210463942659,33.63501967613421,34.54078996533016,33.73497834260558,34.11734487838542,34.632347138110575,34.335275378717284,34.32410370583333,34.26621704303555,34.50976371626704,35.323184490379305,34.59662962574218,35.439658143300406,33.874450882801135,33.76425218384886,33.52867237167361,35.02539141745808,34.93297411136597,35.11334953802578,34.029767581884485,35.24660640819553,34.00593618662026,36.610459182111306,34.99707036485596,34.07171810002272,34.391525440975244,33.37066481220589,35.42692695448818
BE,33.78860446522412,33.88376432584082,33.76254234350996,34.1377907947122,33.846713096007626,33.98015166053191,36.58071632730122,34.087688745593496,33.5125940049852,34.67367710692009,34.30849146362054,33.96947533059046,34.67178309272068,34.14308519537424,34.49253628034498,33.95176052252291,34.30334156330035,34.070779500590746,32.68403404395535,33.71368256234172,33.44897664154103,33.92589364962607,32.9996600991521,33.35620335576235,33.84082957189759,33.64144803166683,33.56684416676939,33.68589207177566,33.72802689428838,34.57549669117395,33.792982973027605,34.766159738716226,33.80011218521411,33.52238728957805,32.87551125844506,34.252699174345025,34.16422032756555,34.403417018460814,33.32968553583004,34.702516528416886,33.827631340315094,35.81011804831719,34.18654339257168,33.61441589311837,33.82813744787171,32.65097873027285,34.737409267058794
BG,36.213244354569696,36.19419543461561,36.16107551112524,36.367271028939854,36.48221515035991,35.81853331664634,39.000250264324805,36.54555078340783,35.71470231099899,36.98797920789932,36.7421186264665,36.41913149440309,37.06729943637313,36.55365312754728,36.884255851590574,36.3988991273607,36.858130453747,36.49823961722091,34.96043867086916,35.890689713804264,35.66979255885411,36.16885081378573,35.4114920668727,35.68860972385955,36.29293078375599,36.008445393508296,35.92526578594404,35.93657472519402,36.20596340802905,36.95687151742232,36.224402609200986,37.08407681188518,36.05295032998276,35.7110321285458,35.148411775505764,36.73463230835612,36.66598964595861,36.78810397586952,35.68199988892641,36.9118967094302,36.08888459427576,38.23735980327375,36.68077792669719,35.94427411204673,36.14571506387169,34.925415367450576,37.07284771996235
BY,11.766716926618288,11.810681279779384,11.759187579092329,11.837745263560873,11.894386808390346,11.81185725558592,12.798135853397078,11.91301811144744,11.654466437980933,12.044296161199602,12.00050097049978,11.809820184202913,12.109193593972613,11.874081048906753,12.04976693918033,11.841518868383048,12.026825767431006,11.861627301045626,11.37473797870032,11.700049266174856,11.582574453202025,11.7658160912245,11.451439512326024,11.592650322331238,11.793572886339447,11.704667153082198,11.73288733340802,11.653699417092474,11.790967713390996,12.033501946095605,11.834888821769445,12.074275449261588,11.739728747541488,11.658760391251054,11.444510467534112,11.969867174469304,11.916477358801275,12.019647506302588,11.637287187817464,12.347743716570632,11.763295630052896,12.59642064215446,11.911370634855468,11.696864486875274,11.774604736370565,11.428360917250275,12.027440775424903
CH,31.10563906446695,31.18380248898596,31.027618193383876,31.462883092193103,31.35244238162029,31.30824092960661,33.8641012663851,31.319052875563592,30.85460857201452,32.00612391187775,31.571340602286178,31.31358450090784,31.97797841145671,31.454148103926745,31.795630845019392,31.29812772879339,31.673340288281043,31.425648948230684,30.09303904014827,31.04682425117493,30.796928769892872,31.26086567806702,30.37372228657865,30.766091724719924,31.1793292464388,30.94203174742364,30.792676536157423,31.01561609012041,31.09829468083924,31.885526801476235,31.16243908878242,32.06590745461271,31.12061896115423,30.85389242409378,30.23940166636575,31.60019431153285,31.48266337354652,31.738259211397004,30.67741321725144,32.03262134775076,31.154297783777277,33.09745644629062,31.506957354789897,30.94454174510107,31.176989428822885,30.066554246624925,32.038487010511986
CY,44.72524547585705,44.68535574921777,44.67854650613411,44.98043555431997,45.02589226183813,44.725937078023904,47.85409421374472,45.10315319284068,43.884691735422,45.65602616852673,45.35106912093193,44.9374492634134,45.724517922199695,45.12546967732024,45.54375168031495,44.98675166305197,45.4599984241608,44.94811711395567,43.22351488218735,44.29924532577068,44.15908081717032,44.77255545646537,43.6560948941511,44.05136474430943,44.83123603222853,44.46350680251357,44.37971885455137,44.363371644615,44.699206627819535,45.59128695368869,44.74744857076552,45.78553514237655,44.61438394707335,44.224440321444185,43.36457400396594,45.34545251030026,45.23150323338382,45.446886387466016,44.1120474839975,45.59900067441602,44.70235154618384,47.10308088686715,45.281866925436745,44.4734183729765,44.72226686203165,43.23741870613477,45.7693331754563
CZ,29.2779426904944,29.35636089029908,29.212201113985145,29.420808573503457,29.487957198055238,29.30019580920645,31.544905771245624,29.555650366986125,28.957008002808937,29.61766162137924,29.65967661476452,29.340105658806557,29.98385076050817,29.48773498574311,29.799264251790078,29.355941993545287,29.752912119815807,29.42785606751932,28.1850242248333,29.033724660534755,28.7498159211662,29.196495237279965,28.44960944380689,28.783863981510983,29.25503841183212,29.0499733973642,29.05847306414333,29.05553598235578,29.297687513292463,29.91615231829117,29.35729601506081,30.062951499000803,29.197724315246717,28.962595080626805,28.4745905751978,29.70218040721424,29.605259352502912,29.792289087792145,28.889448597958072,30.08495043773371,29.21448171435016,31.052445702150933,29.6137126682658,29.042816359411106,29.10972210530949,28.28904161044937,29.99963731647265
