ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,140.17320120216067,144.2411378185403,145.89972566487023,146.24504036014784,137.39194303828214,145.36887484705193,146.18340757702802,145.1039210211473,144.6655036551937,144.37296124747155,140.3204395188845,145.9485569357012,142.53807244372555,141.00467539298936,150.92250002256847,147.18483186088207,144.6088616562553,144.06552355493227,146.39179382810693,144.371718949549,148.62485512960504,148.14520936808944,143.56303583077886,148.51356920777687,144.93002958717608,145.33985799573497,140.09550543835664,142.0793299222019,143.70607849450118,144.57784271869411,146.5136562415861,138.5119015213431,146.27220400837217,142.5239400428963,141.91078227672858,145.2516506858878,144.37637437751644,141.07385781381726,146.96714364289093,142.17791296845118,142.84960898434628,144.56604196507746,144.16882571497203,143.72934462342914,146.4057391492414,145.9543857589512,147.56672933236968,146.61790672697805,138.31355983202383,145.3205078376794,142.62506453748566,146.06851430903535,144.70577639061383,142.49135330940658,145.1470183333657
BF,128.92775378174443,124.69718023049327,130.1341280938782,129.6501808571666,122.56646097594884,129.46220183894516,130.3483938930022,129.29492444625407,127.38846202339624,127.573684345912,127.04049050001156,130.39300898603202,126.6653688830383,124.94642143321288,135.48271953431825,131.6105903850508,128.51891635406588,127.86110371534345,130.73314045086366,127.40358057556452,133.2117594473447,133.14795429896603,127.38597984296447,132.9956220449778,129.41143206026135,129.83020234051753,123.28048404869767,126.23257398137235,127.8685483645632,127.53156009683468,130.47634366580894,122.9810610099348,130.92863340047927,128.47129287520403,126.6047397070567,128.0409486550895,128.20703750224737,125.52652401709751,131.2286618854107,126.62117101182989,127.13363046025796,127.79796379436434,128.28348700442032,127.5246441294136,132.06796700973476,130.53476985066163,131.84501523771507,130.52421958765504,122.6100854506636,129.06414855880604,126.67601119364,130.62404787209246,129.4442656331929,126.74794950456118,129.37248565622806
BI,107.31683102201428,106.8646174878182,106.94115117612505,108.79847002205456,102.11675449583151,107.95477241046562,108.57862184325003,107.95054908872224,107.44900893524024,107.02747775868752,105.81049852263004,108.62159584919446,106.08423773321977,105.21207466558536,113.10655972847564,109.19575563664064,107.6529541289091,106.58974896007314,108.97014122320142,106.53674932155002,111.1832366244872,110.98258980525006,106.491950957056,110.82201683658931,107.65275289559725,108.210313193371,104.21352767701752,105.75672352142564,106.84368441511192,107.2416208432375,109.04832693027085,103.30471782611336,108.9318884912216,106.97024452697752,105.84930757971668,107.45670064243478,107.15455656223114,105.67668984115105,109.09789425680106,105.9847057498485,105.75961892383896,107.4813465393336,106.7524062387875,106.03119048205002,109.97955220478453,108.90293142386112,110.03444084571156,109.24753043542742,103.23011627803838,107.46536519232798,105.52660813600691,109.11189980293604,108.02758169650414,105.67550417370695,107.89121002960002
BJ,87.08624571729091,85.80477025110555,88.22257002205356,87.3674615583899,82.66887117674979,87.63163444113994,88.2529688935858,87.44764177072918,86.47171226668222,86.306913961176,85.76900831183174,88.29391230616062,85.85412438456977,84.7913644870792,92.02585120423404,89.37379326183765,86.9738978549219,86.71339401299902,88.57328936690557,86.57321709072933,90.3676310260363,90.30253323892909,86.25792929542861,90.11222421707691,87.52258718351081,87.88877258357968,83.94972347577902,85.51007777055555,86.65630210503363,86.56653892222174,88.53296022841697,83.25218366460145,88.59310273944322,86.88553700503354,85.77245763828842,86.8081042688409,86.68956373191315,85.05531523540054,88.87563697229957,85.62513991300177,85.94125297127636,86.62817643220667,86.91365847929295,86.26274980676264,89.39935118372942,88.3135569716859,89.3407446063137,88.29300223327907,83.05701302983039,87.40260000204186,85.68296575052754,88.51072644376222,87.55721908285278,85.65281699689396,87.59782462874256
BW,248.3795534516048,248.8674554260674,251.68725955201003,252.81527623292936,231.22186656481887,251.5017099251107,252.741089293104,251.1898541907657,249.83557963046587,249.17832115607644,246.148205996682,252.57159808473665,246.4443121723873,242.94240205567957,260.38044605201304,253.35557340752567,250.249823498264,246.70465524095556,252.5213560784882,249.1133278628297,257.2844010381723,257.0657495590308,246.4484531549246,257.1165614182974,250.08068272014657,248.7683386080742,241.03278227252355,245.79476764600068,247.50165288244187,249.99954636225937,253.09381524227885,238.19895591425208,251.93235308475624,247.6734029448932,242.98201502693703,250.88150153226312,247.9608659067732,243.94827560554188,253.38117416630016,245.1054123856134,244.4493255310634,250.2312864558356,248.3131429126992,246.5613262105719,254.9812020446133,250.7869633038503,255.74460141240164,253.5331178334185,239.24068206439705,249.35317750711656,244.73469930796043,252.99153630134455,248.8576797409649,244.17543739673607,248.8439162091792
CD,92.57384812086168,91.9805591495508,93.74264032713133,93.99540235780664,87.71907278559783,92.2025994023526,93.9118343129233,92.56321882915512,92.55185836337276,92.17254011034277,91.45912768235736,94.05063778908006,91.61352528092556,90.68264725307378,98.25859737378973,95.07505108378152,92.69041190216824,92.54695220009484,94.37194606091802,92.34323924224488,96.30140067984946,96.24889594174904,92.00636541606686,96.05733255948417,93.21214592654226,93.45550514146676,89.74678099021456,91.1981605029938,92.17491600773056,92.41515699818522,94.38292844172068,88.91233314162628,94.34989224075188,92.30762412429796,91.33749619912196,92.87549252297732,92.63322542553335,91.06316924972992,94.64969481014104,91.57131127100917,91.30840542344043,92.53541646689602,92.51766759118514,91.7794791304053,95.35791435965425,94.1417369395384,95.15242768048302,94.37128091582836,88.59052129510606,93.05600727139596,91.17127068807577,94.43391531953878,93.39164240557912,91.15535181581664,93.25960938700251
CF,127.50077202508056,126.9791423778506,128.47888093415847,128.72912798449522,123.07084332783391,128.02422548716606,127.814258148925,127.78158788015809,127.47831841995789,127.06689715544256,126.08171170581755,128.45832642363575,126.1974238416124,125.31228240042913,132.40743593303705,129.61083630876456,127.47658936701042,127.43064697448426,128.8508596148226,127.3027009814388,130.68299401258676,130.56517137678256,126.90274075128497,130.39651130532403,127.8063800107738,128.20568311322518,124.45464952143348,125.90297248042096,127.0308104575968,127.36690666009028,128.85848759950696,123.82976182528424,129.08845244303657,127.21105828465846,126.23079314825696,127.63979917047368,127.41148861511212,125.80794879545395,129.2857024564001,126.1080290644622,126.10658267439072,127.5012155866386,127.06139466095397,126.55006735777212,129.66541300203698,128.7461128505549,129.65930179783152,128.97279304249204,123.54131446393666,128.00018783585222,126.31312427900563,128.83490929735666,128.13004993563626,126.26376738548424,128.09837192144437
CG,106.38003669575052,105.88442415765311,107.80955940618132,107.8825520881893,101.47835945204623,106.63436122994854,107.74033910670876,105.63288295162891,106.3249994811582,105.90102033344525,105.08081274172578,107.86264980528978,105.26796334480336,104.25309515351032,112.35352496000652,109.12335705207155,106.17628415906808,106.49568062047852,108.22733763454026,106.1046826211126,110.27629175832196,110.21291934614044,106.0453859406695,110.01842225546363,107.1098075014156,107.48415490479653,103.18811678115358,104.86181899290406,106.0440318988068,106.28575479385395,108.2261007986474,102.402085264147,108.510304684335,106.32427743653056,105.15913217335331,106.81373400794912,106.57229955282564,104.43636119579908,108.75713451999232,105.22240141452502,105.22966330767971,106.31556294165554,106.49225794300146,105.97456478198292,109.274200665735,108.06707017434624,109.125393507337,108.11375284869568,101.9860267778211,107.4033630201458,105.28693522140384,108.21298983536244,107.3340820458596,105.25173078832596,107.46251483232628
CI,116.23916618624926,114.27550859124771,117.60556610915177,117.20416944059475,110.4216317481988,116.9205476206186,117.73461650296096,116.62254633761064,113.89717861947216,114.92472264382064,114.41137390041328,117.71110887598644,114.18473294472358,112.53192691715776,122.51558154532194,119.01943036249452,115.8056029440746,115.33903768912002,118.10825175794054,115.03341051903644,120.4287573003274,120.3196053455821,114.841407637481,120.18929981328424,116.80993131734068,117.2118159303898,111.41496709013448,113.648246290941,115.4441399345105,115.27799944608708,117.93113079597045,110.54684002589272,118.28802311799107,115.78122518295709,114.25982660699523,115.9357127442022,115.55547810586816,113.08999734658728,118.59588678553578,114.21807480640166,114.8422156506249,115.22724689836043,115.94788269385612,115.32484837584306,119.28300817560194,117.92626937040792,119.32130396076276,117.9744450784638,110.13311056628568,116.541825725981,114.26574731491846,117.87306972534223,116.6807966966756,114.38978681471576,116.86701438297928
CM,113.3354512921156,111.84955842735192,114.57286244618744,114.42819864867695,107.1532007873978,113.93005688117708,114.71202275203404,113.58739470348608,112.3135501574091,110.70173076741943,111.45484376742245,114.91013962061108,111.51771352547294,110.00880174848442,119.75407073249995,115.9592099573403,112.9068724674138,112.29171624974629,115.10448767525604,112.3151121942814,117.60197796310092,117.51267919323556,111.93562093678388,117.3571699540736,113.77629923592588,114.10237806452317,108.8371330198474,111.04710210972664,112.4672009704232,112.70993872259294,115.13625973121958,108.10748529039375,115.28938432562497,112.8120645744506,111.43956966194216,113.19102705693,112.48554423497734,110.54461772515688,115.53202896797956,111.28630673258994,111.29361776234846,112.5672902116901,112.85163085082576,111.9860095058281,116.3078219441002,114.77578827614752,116.39629935136054,115.11304103107707,107.80612543128782,113.47665371191266,111.14469169882044,115.2430626843568,113.83321096372782,111.22610940755447,113.7895179628839
CV,185.64643887602853,187.67987389395157,189.71939252263,190.25380231183271,180.48659494050332,189.58015376569165,190.09034661490907,189.13069642426663,188.16371072650173,187.81835307992247,180.934467338016,189.80955856015555,185.53259435255103,183.5542400488678,195.6753915577561,191.38272117404748,188.2145236731515,187.7254505256578,190.36702972453327,187.78913347413555,193.23280450041025,192.49374293132303,187.0686729808704,192.9196469122857,188.63085012713333,189.3313831130064,182.32540509852,185.0382786560512,187.24392800673525,188.20454229977,190.4765039022667,180.5622958282453,190.62698667887275,186.379595846598,185.34800030788,189.0117478172,188.1057146496516,183.43140008141663,191.15168354864488,184.8407383555152,186.34798740178303,188.21250209411755,187.6191129240933,187.35557276914,190.4154365520689,190.1015841277111,192.1773633457846,190.7745576577032,180.6345801367414,189.2712992959277,186.18924499796276,189.7710959833023,188.42391040210728,186.18570626224,189.23018891270317
DJ,123.1769956261776,122.93483171330432,124.4329291825268,124.68114563949398,118.81242636189046,124.07410320574674,124.36940066605968,123.81497282116308,123.36588503540726,123.1760882664435,121.71199789348792,123.02286450120278,121.42545634853396,120.40223671072908,128.27215114064944,125.18656850013797,123.3628923090058,123.3782757254754,124.63526378263794,123.18514398925524,126.54238917521272,126.42990877196486,122.6245845944482,126.16599165444352,123.66151270349698,124.13694075435389,119.51413300097684,121.19524776673272,122.86596947844352,123.24169325318306,124.51076327506848,118.96537240623609,124.90653379158996,123.01553811614905,121.87942219131386,123.50191458362224,123.30207337672375,121.06617396923518,125.13582330804894,121.57517041994856,122.15141902515911,123.22233434021952,121.96703561555924,122.41055658647127,125.54002891695306,124.60060351993732,125.48283151824693,124.92809656362807,118.42042280713989,123.90719300741571,122.08243652843584,124.3621568852704,123.80906418302096,122.11391138882004,123.99059007054294
DZ,167.44852432467803,166.88920480078656,169.57758425702812,169.9233709083791,160.36715364001708,169.31900388806827,169.79051127451226,168.90229955115254,167.5215222946204,167.4656753617813,165.11704687635938,169.10746953900994,161.09896976512448,160.407325787709,175.28067437097442,170.84156681453257,167.87964577262858,167.12214327989295,170.05530032055583,167.32309641238595,173.06392671245425,172.7744367433842,166.31921849921585,172.61719132677737,168.47432852956695,168.9582199144511,158.31463043321128,162.47397942716236,166.91799766373467,167.6709011626355,169.15320318269085,159.98518251481505,170.38921217520726,167.1427921700233,165.1858498861218,168.32278453348798,167.34231257241373,163.2949935199272,170.8065375018858,164.82845545817997,166.0301765672197,167.72018647719034,166.64328895320605,166.45744844297334,171.37767189896928,169.83238300888536,171.6201714103567,170.52025078138135,156.7643991892206,168.5374593042737,165.65900112741534,169.66018634201433,168.20547953302662,165.7715952425102,168.75744012642826
EG,222.51059164202408,221.76572171904348,225.300885557476,225.45607537897084,213.46070789139165,224.9835902282988,225.5008342014113,224.4828957279418,222.46418063513687,222.55222795287509,219.7341569407584,224.67971426928736,217.0027901557912,208.44414908776693,231.64882236276927,226.5593327262387,223.1379247626987,221.66272534923,225.8073861850654,222.6614935049448,229.30047160993772,229.0041025885532,220.59338436469105,228.94538782247707,223.875669404904,224.21931469576617,210.093450032362,216.7512600948409,221.84425442436583,223.20492380660573,224.7170629092971,212.3391558507492,225.960217960802,222.080280837823,219.33345034990973,223.8753566708839,222.1900582242547,216.88003554253265,226.5980656428661,218.64925010697743,220.93568140132328,222.9074672958734,221.55654138985585,221.45926266158995,227.22304642542608,225.22067154636144,227.8281348350357,226.35065358690272,209.73414736123303,223.6893722702091,220.0426226715089,225.1918877833602,222.93251782497092,220.2359316818768,223.9396723499327
ER,42.96260903824909,42.83621258679472,43.72956338701214,43.22475486277157,41.43294465437101,43.09373311566053,43.13018050066514,43.11751830108396,42.98202802994694,42.83168970353653,42.38950121629264,43.08382146585361,42.41033150570263,42.183015129415246,43.48870345806064,43.59701209547759,42.9942956706947,43.15626896183374,43.22278475121946,43.427146094539246,43.76368735397117,43.86527183677294,42.615018712998925,43.67328706411145,42.960809604607,42.99932022470491,41.85795495218287,42.39052922844356,42.6426316832636,42.83622604155482,43.29761606029805,41.59464920373979,43.30166587621946,42.70752886970727,42.448824814512136,42.9813134662778,42.76188391010483,42.38348424583329,43.30965540746634,42.27927318551362,42.23407124452248,42.87452849808683,42.49838485695117,42.28563859073166,43.46036046173249,43.08019420745253,43.52700057898681,43.33058506581428,41.6774295654036,42.86212456626592,42.42436705127834,43.23701946710148,42.97588879788231,42.40290449840104,42.91748550991009
ET,79.05977867635862,78.79892123732326,79.65359709497314,80.40753472017116,74.24290980967967,79.74502462544831,80.1684186761886,79.72218819294494,79.32071464691549,78.87166672817281,77.93166863238002,79.83307662513806,77.80606174905674,76.92836329268053,83.43184989527356,79.09989834952582,79.46652427373908,78.11637560108757,80.05336627769711,78.81294761557419,82.08678673585922,82.077706247387,78.06646530301713,81.89744762652596,79.2693258059089,79.34228977557848,76.10793687264548,77.67960721847969,78.47358196287577,79.05546185230125,80.34485455013228,75.60684466001501,80.0757367585953,78.63101122712187,77.57868003856655,79.35980370997562,78.56912305589249,77.99066078495578,80.3699470070349,77.82626162809264,76.9916127747739,79.22792706819408,77.76962756598893,77.38819964743044,81.2149052617772,79.8938454845999,81.22096989889661,80.60488956171626,75.51186397078047,78.87367635986803,77.19960214236266,80.6237424187613,79.51505744431749,77.43879568350498,79.03720970696608
