ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,255.0508384586364,257.97605174193507,259.634539694562,255.0110139703337,260.07382345181406,257.6631214358971,262.1119316008237,254.72610532056407,259.9417924319778,260.34464180806407,259.8085652442392,261.93942246857256,259.5792541329761,264.7619097288904,253.9393794185969,257.35608750282216,261.28427766965314,262.42728868343363,261.3726308971551,259.8193943607267,263.2942916373896,259.0787810876754,261.1388691063705,262.2579163178233,261.0604144368895,262.9144198767738,267.98633158346735,262.10476356888523,252.39683617654703,257.33458743186264,260.4070641538323,261.0845631702504,243.4317696313359,260.58213406170984,262.2311587095733,264.53195172679926,263.8324177192086,252.53367218590785,249.45458612477896,258.0079065186191,256.56621972111395,260.9810587216484,256.5530791556229,262.1877637395455,253.0657091091468,260.7631788770026,259.0276093569673,261.28748509626166,268.5560357222143,254.4122043306447,256.0592454521686
AI,418.0809901583575,405.8145965516524,418.6605116390614,413.0322231542205,419.9683280457384,415.4894555023307,421.295300160156,410.3438158494316,419.0293478398796,420.12620072924886,419.3640790906924,420.8859724036796,418.5347432671851,424.2223164095042,412.5484930581128,416.0457998678028,420.0862918181816,421.73009096979314,420.61872313891297,419.4559546284269,421.6105932830577,416.7850581713285,419.0792252240908,421.6498678654419,421.0753950342655,422.35978891429846,427.7278113999544,422.4702143454956,410.9014237321865,415.9879605686454,420.2406791446724,419.143846868434,402.25843683441553,419.70664032054736,421.56467751647705,424.0194649563395,423.20833120062025,405.9903739234448,407.2164915145692,416.89270271614953,415.9918322691458,420.2406378280932,413.4370756277639,419.8590500791244,412.8364508698629,419.6386205861904,417.8402539500361,420.9692311565655,427.9698106927096,410.8976556903407,413.1399708636363
AR,221.23739472681916,220.15842825489597,212.14383712168316,214.55438675030337,222.07268084883992,218.9438012509556,218.63218225051625,215.1984651416156,216.72753378845348,221.8807576859853,220.23866543943527,221.8064466590542,215.1395789017679,222.07246440000017,208.6278407405449,217.2960614669344,224.20947710200457,220.49218117538217,217.73137111733868,222.76557705763457,223.3604586090297,219.17612999853128,221.5446710097862,219.56837992413188,222.5160795136544,220.61812894532864,228.6949074774968,224.34629126549797,215.5958084569228,219.01975562685516,223.2124471413857,221.41183844693467,209.9704854583281,217.1005161001046,219.8188047985456,222.87247228269808,220.9658496094537,210.57104183158603,205.35644995761444,212.52512788462644,216.36542265403116,218.01741709024628,218.9759280431634,224.2472683045147,214.27157639438093,220.66123642016925,213.20067280824665,224.0882933110375,227.13742213741975,217.324285110916,218.37164121706869
AW,403.3639621270156,401.2802328944799,401.30447987472826,388.3504592168361,404.58290041540135,399.7329244826002,404.6605181751864,392.6241625546869,402.3002512857474,404.5369680190213,403.291390366411,405.647201094182,401.3416874933732,408.3987064275122,392.6069435234086,395.86270681726137,406.9148616230152,405.5815944700223,403.6587527072317,405.0941314552149,407.5576280180189,401.608556663003,404.7321211082136,405.17841108911887,405.8753474282046,406.07918088128014,414.3227253518924,408.0060663093988,394.974078821428,400.0014211989791,405.6988033506139,404.501544606051,386.49194920918313,402.7893756764591,405.14382511642174,408.35052603860856,407.25283337421934,391.1612499906008,386.4127005305635,398.8327323766697,397.9932304949671,403.17482708212754,398.9035024744202,406.669177425264,395.01968303661886,404.0613765274256,400.11280692409946,407.0877130813486,413.4567744095435,397.36811248772256,398.4766875757383
BB,206.25403232278228,206.0435985002842,206.650034687551,202.4101611296876,204.90539511218745,204.6780264043269,209.1130234497119,202.542226432422,206.90962265890212,207.2905483395109,206.76803679919644,208.61018494336983,206.50162631225484,211.4559783143329,201.0423955704735,204.1672953353126,208.9720145912038,209.2098202946784,208.3572972023568,207.25849482797625,210.3368427227273,206.6105227762821,208.17085386981256,209.29057773695467,207.99001888838143,209.8073373958017,214.89289300325004,209.2399154910398,200.82805868547305,204.57258681428573,207.74161309173397,208.00329749531252,194.1976967075894,207.75296444648683,209.37731990224108,211.2325900747237,210.877703207209,200.05633465131584,196.8398424802632,205.10792622248903,203.577011120644,208.0858505666112,204.50629173513516,209.8246996502316,199.85901330941783,207.6431535040597,206.00431711525505,208.71135616507937,215.5387594497928,203.00555299257817,204.1084330622845
BM,407.912054024813,405.6334496748243,407.5898788076146,401.6289089148344,408.7467501222748,397.2024250387898,410.5756721288013,401.03769234455046,407.7147216262275,408.8542262649936,408.343945844688,408.9280152510595,407.2339443090348,413.6717162870944,400.6376199416387,404.5733663262813,410.79195864957165,411.20131536360304,409.8001637571088,409.0176141050053,412.00541471072177,405.78389008546935,409.5809025096146,410.9995273626266,410.29918599092616,411.7228498359992,417.9600748981402,411.9099136173652,400.3070928205119,403.7528997352163,409.9933670176448,409.3967487049849,392.4492093956035,408.7941173919183,411.1029125234518,413.2836069255593,412.67549239093125,397.2756323144391,395.0999000480693,405.7057490489058,404.8990965596729,409.4357900098354,404.5699869106021,410.3770134368462,400.7161061968732,407.6650318748906,406.3915224910352,411.0720497867309,418.0414151499638,401.74658603846063,402.700890173297
BO,195.2929776592919,194.37140780220176,190.21037327672732,189.48861607697268,196.1138606372119,193.5077855983534,190.57932507284443,190.04702558028325,191.8618572528773,195.9573151425476,194.2844881264904,196.20369297006576,190.61014239663857,196.19217794096872,184.43416189981224,191.8062398916615,197.97689667053243,194.48038739254264,191.882859358229,196.5614004715501,197.22660413081115,193.68440465383816,195.7829674342313,193.5203185033143,196.2741157350841,194.36306109175715,201.52314143539616,197.8444857926682,190.45240567191303,193.49678724878197,197.00485689137776,195.6994562983733,185.06392917098225,191.74043866098168,193.59479003765423,196.6640044631756,194.87177425101825,186.51694938490957,181.5792534566982,187.77056318044328,191.05533073819757,191.99621209699748,193.2098997069215,197.88395888890048,189.20979809481472,195.1229088799001,189.5903629841256,197.7121702307639,199.9691263490257,191.90140075835944,192.83178055626615
BQ,536.4924016915322,532.0051738039774,535.3619064803266,526.0375107689732,538.128313932422,532.5550561266025,538.6322758927831,507.6689047539062,536.0829464771004,538.4882688711958,537.0616919857142,539.6362973040027,535.4464324364039,542.1639017928487,526.754030178466,529.5407135052084,538.9409823194444,539.3452806465568,537.6628572951932,538.1235519861111,541.0245930551137,534.3882101682693,538.5136878706251,539.2101185861986,539.7954675195513,540.0209619863572,547.995104074,541.8000977625,527.2381645270272,533.2053204872449,539.0905637325269,538.4386739361111,517.4404358928572,536.8007910336077,539.1349335209599,542.4187400871712,540.991144857155,522.0924109375,520.5536381255592,532.7976733328861,531.6969590602273,537.3077569205208,530.8079805101352,538.3281509675926,528.9339048047946,537.9397921436286,534.281304831725,540.2775035049604,547.2651057344134,527.771596734375,530.3731185603448
BR,222.6886041952524,221.6712211867316,217.87149051947105,216.6941148923401,223.47622555120856,220.21260080058596,221.42762295768372,217.0634618694069,214.3326507277972,223.18819582534044,222.08244104081717,223.0626122682954,218.40863289445383,224.6497596408795,212.0256345127464,218.97864701368104,225.63321045953631,222.99122311367324,220.62841762792587,224.09551516727785,224.45684730118057,220.69780950032697,223.0387563353461,222.2182014456274,223.76640916537863,223.1550732689788,229.90387527277997,225.47958213566295,217.2072922853665,220.55717280301903,224.48023391809704,222.82800353789855,211.09214131687787,219.87805041200048,222.39660983482912,225.07166196371605,223.55607646655716,212.09668789208573,208.54777241772337,215.84732643704805,217.8094214900719,220.66818066272268,220.4926720229239,225.7443567448415,215.8218937761993,221.88922802795375,217.13023686720723,225.45797242067445,229.30621674320489,219.00436393835452,219.81174321318417
BS,204.15983872250948,203.8364592272717,204.0930995681736,199.9992167767847,204.92553638298813,202.42049059052292,206.5914659985248,200.5371694146729,204.2565809765113,202.3728717228156,204.6110593272661,205.9935115399291,203.9769139009372,209.12457400183644,198.7922324448976,201.96991913644828,207.14861268212456,206.90543486641013,205.88653965465485,205.49494491856348,207.9295980158488,203.9858403761417,205.88447570154244,206.7130863562409,205.79301624887304,207.28381591886608,212.2588474425229,206.96360223944967,198.7746208135125,202.18960368873016,205.8974917414202,205.71978891408116,191.762794605589,205.2383878054457,206.83628172974596,208.8014864358983,208.27814923861345,197.46963422425523,194.2598143639464,202.65153439803612,201.15204488957747,205.56678422295315,202.3734937551106,206.85074009726145,197.9334200600884,204.79426382715968,203.51545690517813,206.78046950455385,212.94865359953047,200.49542905869455,201.53085100479652
