ISO_CODE,AS,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NR,NU,NZ,PF,PG,PW,SB,TK,TL,TO,TV,VU,WF,WS
AS,276.1148161715973,278.50960858714626,275.9428812062933,279.4956951212304,286.4666993945865,279.9195952862176,288.0526387909696,285.1041983177254,279.5524664301616,279.46664862211503,275.844345327635,292.26138461538426,280.1290865901745,278.88585224389107,286.362748960779,276.146104807692,287.04108260316707,298.6459999999996,282.86660692119125,285.01319851889303,284.3424660222669,285.441215180473,281.4824723745816,282.7377637765381
AU,240.58904171214664,229.6679567890035,233.8792004063012,235.69608089350373,246.9958357105857,236.25502158634276,248.6845125887229,245.49224641656247,237.67178332977144,234.6214923714848,233.13556790519684,254.10043312500005,233.7912080950428,234.32610347401763,245.7820732411467,234.15664599827204,247.17487546648755,260.72543312500005,240.75337423499155,245.04184337476207,243.33535034509876,244.92448749555453,239.0831069734511,241.8353350437494
CK,512.4384266608389,508.2953127358463,478.1209399421486,510.6420451689088,519.8573206363634,511.22945808409065,521.9675376600788,517.3132972648219,510.01808960287065,509.9473802534088,500.1308489057237,528.7597272727271,510.51568923366375,509.07809056577526,520.4560211532295,501.7033070721923,521.0569160160426,535.1415454545453,515.1847691411763,518.1229670382772,515.2286588038276,518.6717550547784,511.7703792292488,515.6146908818179
FJ,207.43190112123088,201.55285376850367,202.08270571436375,199.88164916371613,213.240718447852,204.5590391950667,214.50941794713057,211.98203368217403,205.5071692711054,202.8971908079876,199.906935834815,220.14220600000016,203.5143154503407,202.49222494181188,211.42198910237371,202.0159197300001,212.8965308390825,226.58220600000016,207.254522549706,211.0935798348773,209.02469796000017,211.01985678225657,206.25565458521757,207.76324726058007
FM,155.11114383903114,153.5608470300299,152.00621962626246,153.9489568922961,154.9108641015087,154.29188935895044,159.181646732689,157.17962007407388,153.9544244005846,154.13796148194425,151.29138727023303,161.85911111111093,154.76417705849587,153.8727701821349,158.23355137236825,151.13020269607827,158.77642922701503,167.29044444444426,155.7120546087144,157.6036418674462,156.67135246588674,157.76164736467217,155.09158347020917,156.16768254444423
GU,252.80191195288404,247.0579051280089,247.61622929621157,249.50514986173283,258.5297615811723,245.4140773659716,260.45339298333283,257.3544656826081,249.1283448557013,248.3684879376557,247.23655819444383,265.00331666666614,249.0684362279061,248.1113201623524,258.03013248113984,246.85298793259744,259.19750689705825,271.5283166666661,253.94491653879032,257.3034196757305,255.50335475219248,257.1741178644225,252.3766205018111,254.52818970016608
KI,98.35868226923068,96.9111229419836,95.7780356837944,96.87925542539122,100.84324576650552,97.87711979492744,98.54426801323244,99.90775720982975,97.69030212929052,97.30688249293468,94.5962393236714,103.15639130434772,97.86372090209476,97.163484935294,100.2434119874713,95.3824144309462,100.75095473708429,108.95204347826078,98.32773128883196,99.91458746300523,98.95780902745985,99.9208303879598,97.90640491493374,98.70980333826078
MH,195.565067882943,193.8736828567797,191.2786213754939,194.50669724739112,198.99604519484683,194.93301858115925,200.06258329678624,193.44235253308116,194.3543197242561,194.58591051114115,190.8668895571657,203.19382608695636,195.1167612062317,194.36114841508933,199.2462894574369,190.84648452685408,199.7008408010228,209.1503478260868,196.55825668081823,198.3262538344773,196.93085837528588,198.5196284347824,195.63040147448,196.93423919043465
MP,352.39057169331915,348.43045546792865,346.36064941148254,350.4090685342625,358.1480852192976,349.08413345219225,360.222363914187,356.73155542219604,344.59746162742334,349.6839923672691,346.34519830409283,365.0104210526308,350.3116970382689,349.354811730959,358.28371364123893,345.9843823335906,359.0883436238384,371.48410526315706,354.08727723178475,356.82200821745084,355.634835858725,357.1723022736161,352.7958514931343,354.668713001052
NC,257.7376173721154,250.8130279964848,251.72280354886365,253.23195355798748,263.7644857875,253.7571400209896,265.27180776467395,262.3960096959239,255.11685585411192,245.22543935746083,250.93478342939812,270.4169687500001,253.00525392376892,248.1827224859559,262.6388882609211,251.80512068566176,263.7990152460294,276.91696875,257.77399561014704,261.9554246395834,259.8255157582237,261.19605306562505,251.8974756807065,258.77513011362504
