ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,28.31957553954209,28.44404882844569,28.934200267790796,28.56987112644004,28.68118330766124,28.58413140446645,28.92024510982353,28.27538052016124,28.94100910495008,28.737345452033605,28.782088514976905,28.872891245564464,28.89683909660044,28.95353666829912,28.799944211119207,28.71995515739242,28.53464104838704,28.89021042667444,28.894589497582057,28.57005223195079,28.82998666099701,28.629176549214176,28.82346800459672,28.923196980121467,28.749346016211693,28.9143898485299,28.96536136418543,28.70860385609965,28.38030609721006,28.63983160467408,28.638391367325653,28.83677362634403,27.197648894009163,28.8879510501694,28.902559176566765,28.945661852495707,28.940809946181574,28.51939629456701,28.67058150016124,28.862745013851946,28.714593435239443,28.887792117558195,28.39656920749777,28.513990145758605,28.6649764022315,28.803613271622453,28.89899488952898,28.63328360163845,28.948083887311363,28.189231290322528,28.37038080533921
AI,49.691352347507305,48.03508876652887,50.065300283173,49.55557786444802,49.85977945681816,49.59372879137527,50.05483396389202,49.01983526704543,50.103640168869205,49.90017086640314,49.91764015735928,50.02300679561856,50.02886524081816,50.11755167096332,49.86580175114323,49.8130762617424,49.5962921279461,50.0095590429256,50.0173326519793,49.704692194805176,49.88779587148758,49.645688960372944,49.85917982272724,50.07213048775215,49.94079335885779,50.06631313212984,50.15510450854543,49.92169701946278,49.37829259336608,49.69688049165119,49.79403076686214,49.88836977499998,48.12652430194802,50.021374891234366,50.04190227764608,50.1269726176794,50.091605906839895,49.0293309688995,49.70779145990428,49.957606142459866,49.89835765757574,50.01042060103533,49.33229034766582,49.43663111616159,49.82368934663759,49.95323520640308,50.01441813832725,49.78663024891773,50.10791498285663,48.97810365909089,49.27307682758618
AR,12.979535880693843,12.863332377014435,12.734275309956375,12.827973267280878,13.003022998533648,12.933837566546506,12.87472041666618,12.727482612253809,12.959541545366134,13.02193201925938,12.960084548167975,13.014413681515244,12.866939598987496,12.935683329743007,12.773428314505512,12.91416386920918,12.95931548964374,12.91684515299816,12.855046029608252,12.979809341743756,12.962182992195377,12.881180702815325,12.944651320049935,12.87568384502599,13.006317224617227,12.894383308107535,13.035000145505258,13.020277071833764,12.919141905002393,12.964531962813467,12.995179973188812,12.95622762299207,12.81336328085231,12.872955246596767,12.891536973735858,12.966158630206088,12.912470483464284,12.688747425178043,12.72216354182115,12.78082139849171,12.948608661086777,12.85922341216644,12.903303297039008,12.944781061313993,12.964753055215503,12.994413834286345,12.80929108624767,13.00079453119486,12.944800873817243,12.85874907057437,12.894373785062069
AW,44.46150419095615,44.19990740990252,44.67427071889395,43.60340142952798,44.5915174728794,44.35755194459699,44.64613909972928,43.729814867187415,44.738378496834684,44.64063174068316,44.59821441147952,44.708970340321365,44.63944653710158,44.69303070635477,44.43296573123911,44.32277794553564,44.4558111309523,44.63232204117525,44.59071219276292,44.463731385204,44.60397472402589,44.329979283424834,44.60905433946421,44.66225293900189,44.63918865879113,44.64948728088768,44.8148252166785,44.66496773506487,44.23833381467174,44.40134100145766,44.52311107008441,44.61947448492056,43.56620480867338,44.616804744179575,44.628224069119824,44.73196961672925,44.68442748290521,43.97506624999992,44.27947116134391,44.55279880785183,44.54690314962114,44.607405505664616,44.17364785424703,44.31800563492056,44.54588258003907,44.63360236088987,44.624624389307066,44.54512783503394,44.68867824831861,43.98320186941956,44.13494049445805
BB,20.132410122177426,20.06370275227273,20.40891420014677,20.15111122287947,20.11607731714844,20.14300386907052,20.40295153574707,19.938720858203133,20.4088820610001,20.25049170576088,20.29665505303572,20.34893730788397,20.377991116639908,20.42732173856089,20.29973635392235,20.246921480885423,20.12558972569445,20.39066401456023,20.385561527761364,20.115681776488103,20.325079971931824,20.186323406250004,20.3078193215625,20.39703477444264,20.248439410608977,20.391746465448215,20.4308984464875,20.20858437342614,20.00876573733109,20.18607221913265,20.16598462426076,20.31738154454862,19.03238767633929,20.377967834353843,20.39332121909375,20.42021500753619,20.417016813361137,19.9755684950658,20.214766390111844,20.35838172905699,20.27185941772728,20.37586455490452,20.038224718581088,20.12618531805556,20.16352778788528,20.29927962660287,20.38354246313,20.168714828769847,20.43194838817885,19.883053453125008,20.001802323491383
BM,43.65495357154662,43.41724743939383,43.95932412072364,43.53674104716107,43.76259922163451,42.93165560420768,43.96197724176272,43.237030017628086,43.96491759443284,43.803085903790304,43.832418484004776,43.87062991986278,43.91195419529181,43.99961196561941,43.814911747132754,43.74001525021357,43.6063700816713,43.944457366862366,43.93133642039616,43.62869112739102,43.85972419160828,43.5590581459565,43.86778135743578,43.950645078710814,43.8279313955949,43.95417405802187,44.03127242905117,43.84044104081576,43.44454220582109,43.55938262742009,43.70714551337183,43.8751018980056,42.57331268315007,43.92223256654021,43.95021900722517,43.99141710056669,43.97799683550045,43.25275330634267,43.6600952794061,43.89338555812206,43.81292750093229,43.92172946625345,43.442982713790606,43.51630607787263,43.73290098995424,43.805039129882765,43.91396660819476,43.72085717663807,44.00163379155414,43.1815717003204,43.263982557913245
BO,13.009134111839709,12.896419446846584,12.91827380577931,12.843395037229346,13.040613723247066,12.980044076698714,12.83465999183096,12.72774035947265,13.004387740647514,13.061525970809097,12.980441641424102,13.059728212648093,12.911708537550563,12.953455241797595,12.776824262178971,12.946984557158846,12.99782545739004,12.932222774209032,12.85001989936419,13.018479011403764,13.000545069933231,12.914611725921468,13.008687519957023,12.901993443520096,13.042066475071708,12.90445146540754,13.071242819382418,13.059639052569027,12.927786694345432,12.986833976406244,13.02748953372143,13.014762168886278,12.819664286662938,12.8924139076945,12.894495508544695,12.987501771391692,12.932785438257678,12.737731235402952,12.731861583756826,12.817641480320493,12.980186132608424,12.865017203262322,12.92170270143158,12.956444536724533,13.004825823272256,13.03791580970658,12.88606570601756,13.035689378906245,12.956634123106898,12.867233097070304,12.91827083329202
BQ,65.14470108467742,64.6418523125,65.55146756386694,64.7075023671875,65.35681460820312,65.0355284150641,65.50817192197265,61.75700463671874,65.5760791573697,65.41460415896739,65.39209200089286,65.57750192838587,65.49200412148078,65.5788456464879,65.16266870282197,65.09783465729166,65.0525292962963,65.4215807311591,65.43481261329546,65.15527256051587,65.42448614318182,65.01226633653846,65.45749905656251,65.51705606782535,65.44729051330128,65.50726669882143,65.73133115884374,65.44976701068181,64.74597626013514,65.11975328698979,65.27694281518818,65.4711729142361,63.357878125,65.46413811108208,65.46351484348214,65.62837141075659,65.53957934204892,64.67910199013158,64.9548628525658,65.33828544439339,65.36034209166667,65.42353683831598,64.7002810777027,64.81139065972222,65.30166297979453,65.4562524305949,65.4657750762,65.26244091666666,65.57421372220674,64.30262905859375,64.6452182262931
BR,14.114170731004512,14.02949827586204,14.087367558517526,14.019907058373017,14.130816872538356,14.0672570534071,14.08866036468578,13.879920218907976,13.870701767181275,14.146786116387991,14.115921476371742,14.140909172028431,14.089223119251251,14.131362380169488,14.012419994191903,14.085187980405635,14.098243980254216,14.123007503741878,14.082449653712908,14.1077567432799,14.082610412024556,14.027676800206311,14.117248171993491,14.089080443811987,14.129346393281576,14.10126568455067,14.17311334107876,14.144118315607502,14.073641677227869,14.105482296259929,14.123739088694755,14.123530056670145,13.914666279216837,14.086599252732054,14.102685999697254,14.140938916008055,14.116595204478084,13.836039424491704,13.98889711781328,14.018271341578666,14.086235733773789,14.070016114251809,14.06269826139606,14.088809404476155,14.093391088371307,14.123145913680291,14.06783056770064,14.128321316552793,14.138722922599316,14.00689351283682,14.039437207729776
BS,18.58150351654963,18.497025411857543,18.82075447087235,18.59315674068307,18.64342295576071,18.57642180122615,18.816795033308946,18.389441658967232,18.817782554849572,18.56042910894124,18.704475089813503,18.764814748174707,18.7911275044246,18.83853067412509,18.73223480615136,18.67653476764476,18.557946902093235,18.796933453203007,18.80289701659273,18.578939356728625,18.758447292569013,18.639010791304187,18.74360710554332,18.811602984115986,18.68429175010017,18.80818097536382,18.84159850819332,18.65834064073502,18.461045405170232,18.614422547471,18.61786254474037,18.756088806376653,17.581921791925303,18.791948864451705,18.81161896539736,18.829372773883136,18.82742537765032,18.554944670480385,18.636969113400305,18.78304227043335,18.70062760333317,18.79213375040443,18.493450881198434,18.536428486634296,18.612656744943266,18.703130219426946,18.80025998198245,18.631812232021925,18.838807206682787,18.33398814999984,18.430758456221724
BZ,20.11217038901672,20.00041851233748,20.244830809304734,20.036663221003224,20.175510112559344,20.091678190964416,20.22163451344773,19.85285331041649,20.27284172435711,20.190398899337296,20.103195826054243,20.250122505717,20.21194019499103,20.25945689426556,20.108769203159994,20.13845193325379,20.093852883597705,20.215665624372978,20.195183862695057,20.11827319183655,20.220408387489,20.07883375872998,20.222671133666488,20.22212435368932,20.191454283638407,20.216129647371247,20.30818684972363,20.1909727218916,20.000049276576394,20.12283662516989,20.139815899334177,20.23371208576702,19.44027833163248,20.199759232109518,20.207245341537227,20.265852587689043,20.24941812864371,19.949006243107597,20.02895857727801,20.16596331387517,20.168211519018577,20.186344043998503,20.009499132818352,20.059289220105644,20.132899507318808,20.206103877937352,20.21885530063982,20.152307359712594,20.26060487128297,19.883402427083155,19.977954272742025
CA,12.843512223123842,12.74632425411632,12.939699046171569,12.787958253364629,12.868331470927163,12.770428730341973,12.941460188191288,12.678802341429067,12.938368523533365,12.891277661218052,12.89066160923657,12.816848352519306,12.901318669431436,12.962348493137226,12.852407757035913,12.858286735483052,12.824834974943355,12.936749977625317,12.923271468231995,12.82600885531718,12.9197756330179,12.77662604622157,12.912831564679715,12.929184949436056,12.882947694912872,12.930799352523383,12.98223115156863,12.897517911941025,12.754674903000897,12.816245393044971,12.861454916910892,12.919838219075324,12.375345541769908,12.910564079846196,12.933214900250308,12.9525313698837,12.950535593823911,12.544041623043196,12.760319662929856,12.898688243407046,12.871726692626334,12.910932971346677,12.76168089902675,12.80800437669054,12.826101146509007,12.817027235733883,12.914912620833352,12.86487707936618,12.964313625145376,12.661272715518743,12.709280640182628
CL,13.612313776501034,13.497036401657136,13.537078665985035,13.463288152486058,13.642238982024312,13.556606708112222,13.538294215434975,13.33815823686518,13.631536173097402,13.662444119809155,13.59733300085181,13.64617237177265,13.419352133041023,13.592755689732169,13.405715499908627,13.559352281795306,13.592088071506916,13.556729904460283,13.500298820308878,13.611784811693322,13.623987415763429,13.515860887246342,13.617699252519408,13.541229581647162,13.645970971901567,13.543381823599375,13.70088637256587,13.663795553624269,13.525829900068402,13.593359914652858,13.6321958845945,13.626202048156204,13.334330612637158,13.531114341826784,13.542842720467572,13.608599383902469,13.566063164324492,13.327613343845949,13.316251954514128,13.452892853432507,13.600354081366696,13.503749637623493,13.521215643766949,13.567324076304638,13.600223290869025,13.624140740453154,13.503425142941207,13.64128099815242,13.598795391357374,13.454391898966142,13.504614377254436
CO,10.065531539266708,9.982243022869298,10.002342587807544,9.913392512806247,10.088089795012298,10.040784669506827,9.976561110749005,9.821519952939315,10.070195625082633,10.106367480576656,10.041369891193344,10.10372238654544,9.989275880799166,9.934346780730069,9.87282332992657,10.008727949807591,10.048624322668852,9.999969766460817,9.94072019264961,10.068360055798054,10.060577367748769,9.986404339936934,10.066374920302538,9.98544784966802,10.088624229617745,9.98273502251642,10.11173748142768,10.100181597141262,9.99724187682543,10.052454696363853,10.079124856260634,10.071085111718077,9.910538008340811,9.98174552434069,9.975910130349105,10.043801835224292,10.010003146352894,9.855006791969238,9.846084670011578,9.9188920500591,10.038960049421304,9.954246919059546,9.993985689552543,10.023971509388089,10.05733882049467,10.084801415250617,9.978777003651098,10.083991110410958,10.01578519982583,9.96904402760867,9.994592690415814
CR,22.798531063513877,22.617085084476283,22.726679553997133,22.539919519117667,22.84709639180084,22.74267643244725,22.686522112557466,22.291934990700454,22.83784522053213,22.886663594030004,22.777274181514848,22.8803736318712,22.688827672402702,22.75941531135365,22.17639855521448,22.71819656688354,22.77332019797949,22.734201665317052,22.63271424662466,22.802538319869825,22.803415027153967,22.641289571981048,22.80655098581788,22.68514357518762,22.860013313186958,22.67787650524108,22.921621862201064,22.878575414049283,22.663975871523043,22.761580916047937,22.825132495721437,22.81452777900138,22.399368078787575,22.65367151230675,22.666796130154893,22.790858750146747,22.74244661165422,22.2741202845292,22.39613057475218,22.55662949226833,22.77879954858923,22.61224515526199,22.649087610425585,22.700419573961536,22.782988863548063,22.840142149130365,22.662225458891463,22.83482679172168,22.78136594109222,22.558941591666365,22.63356154429437
CW,27.151579888575185,26.99739747386355,27.300452987488896,26.862769612202293,27.227319397551994,27.100817814316155,27.28972028632544,26.66013882395825,27.34365108553396,27.26400143431152,27.239994790396743,27.31929048910644,27.275502333077483,27.32835781002277,27.15123444567164,26.88657044486101,27.141629777160407,27.27350722690143,27.25294957197568,27.15216265502637,27.260383365909007,27.091383352777694,27.247845899624917,27.283553848904027,27.26035515532044,27.279228230207067,27.39243584587908,27.272895540598405,27.003919380180097,27.14147755408155,27.19304829543002,27.26076471773139,26.45493985714277,27.269276852634952,27.270837922014803,27.338178873570094,27.316136973772014,26.925878100877107,27.035307909991143,27.21758839430629,27.18627005651507,27.256617266388805,26.959098004729643,27.08268400895053,27.191360754817268,27.27292237514011,27.26711763409992,27.20782158293642,27.31323951913582,26.87400447083324,26.969583514942443
DM,29.506936149940227,29.321283710437672,29.886274978293876,29.53647316798938,29.646658012731443,29.50784301614432,29.881231556927045,29.1555038333333,29.89737745575296,29.6860839391304,29.73606611111107,29.82650909893716,29.848908493159502,29.90892455325444,29.747028447138007,29.682300147530828,28.91612222908089,29.86132191580468,29.854095079006694,29.504932360376216,29.77681506498313,29.55909366286796,29.76454427296293,29.86822230251645,29.708969186229787,29.86839430313224,29.92035821633329,29.678658641885487,29.300098150150117,29.59774735449732,29.58184533612103,29.775937693827125,28.1442264285714,29.85223453786029,29.864315959589916,29.91044333444441,29.89917583050882,29.43879972709549,29.64528565779723,29.82041660808276,29.71281308653195,29.8416667619547,29.334593037037,29.41118976406032,29.61107801283609,29.75416703737269,29.84601040986663,29.579232192827718,29.91138877192589,29.073028807870337,29.295542550446964
DO,13.015211945735834,12.887257042925384,12.99651105915651,12.86569049572054,13.064438719105445,12.998636718843583,12.968335291254252,12.677261685704307,13.07484739674883,13.077776907748378,13.01058526939457,13.091130519127338,12.966256743621097,13.012976414554624,12.860616331983788,12.966884014780064,13.014028333312892,12.776259482979627,12.918471602145862,13.034961625021406,13.043398296052652,12.980980519976454,13.046339445307945,12.980952175366214,13.06586325760722,12.96451097491467,13.119009296081398,13.084860783974309,12.921902453965366,13.0041813106454,13.056485074772,13.053514837998756,12.73474993019457,12.966670248715598,12.953046002977882,13.038158757857468,13.007730226351526,12.823299034593065,12.699559582220816,12.898943493524472,13.020046516350728,12.942675587611683,12.908742092653329,12.94290496455195,13.032502882071494,13.05249364400566,12.971690274239254,13.06370723961881,13.002444780886004,12.845096173715673,12.87865270619412
EC,14.327688289370773,14.203127924706418,14.24280920849391,14.132177920035518,14.367433505033894,14.2936130451047,14.194229689136716,13.998590840567989,14.342386819447167,14.391837743865414,14.29820078044396,14.385749282461326,14.217922932196997,14.26182411347073,14.067226186018695,14.254423632581624,14.314898769242228,14.226568874873172,14.083377496778114,14.33933084357556,14.32722153525848,14.22458844830983,14.334469942053897,14.213924091192856,14.366030304217286,14.208078438655932,14.406724882153892,14.386627938292778,14.232410765071055,14.306954669565668,14.35175609198221,14.34005980606041,14.10795500136344,14.201093418383312,14.199471127760454,14.302674563057122,14.246760959383415,14.04225789655483,13.993138748471337,14.119422999532688,14.299011703040575,14.167628616119348,14.228664552274989,14.268342399131122,14.324123192560451,14.35844364631483,14.198011107979225,14.358852479294177,14.267385443867944,14.16503772676117,14.220230230131468
GD,31.54348489964152,31.43082134343429,31.907906396531438,31.545530988378637,31.63788762966264,31.53130162800158,31.903022677078308,31.259384663690422,31.90802778491618,31.708213959903325,31.761623985487475,31.82882054544852,31.86974279948345,31.929797852521187,31.77738413516588,31.69397059153433,31.50606992651376,31.88339277365073,31.879664719477567,31.323046430838936,31.79251417950932,31.56246341595436,31.78435704325391,31.89034507576641,31.71776682161166,31.88608574380946,31.93345315463486,31.674785295656505,31.34723471600166,31.58987678036923,31.588769070489786,31.79762009523804,30.196795430838957,31.87209688867769,31.88753089933667,31.92143120191305,31.918561466402977,31.406030154553,31.66673202691723,31.851831155793583,31.735057732515568,31.865046560687773,31.39028291634485,31.489315145208643,31.62756256805821,31.762942534258958,31.872917231269785,31.593913314184874,31.93344381735037,31.18101973313487,31.33266044553908
