ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,7.568917239211641,7.713696884393483,7.755612451527583,7.776470595699254,7.358746675114673,7.746393031460618,7.77880723538302,7.744751745785051,7.713666910035542,7.7032148794180975,7.540038573052763,7.795368242761809,7.653023201249566,7.586814673051103,8.01060140658527,7.794750746697152,7.734160420660078,7.635917334879733,7.823463899177482,7.723245428839787,7.931265405842395,7.9441025996235295,7.652881114777118,7.918369073857046,7.688972741109032,7.738229451710733,7.52406503238553,7.650499205565551,7.684433474989701,7.73012180169142,7.826209235923517,7.409370272720858,7.794721384433346,7.62990849952044,7.621755516649905,7.786898464450214,7.673631558258762,7.562073466490233,7.8377455707754144,7.544996834567004,7.592461412634892,7.733741888962404,7.704075137111214,7.64280985108919,7.813586755800396,7.754624566456254,7.861325927848805,7.808603471634122,7.486795021178879,7.775155945892165,7.615769685840667,7.83785937336369,7.73552206146354,7.591371749782445,7.73431917283186
BF,7.4360376780443325,7.2479250262799315,7.443764347217131,7.448693311100053,7.048322990982824,7.430373732930517,7.473168740358087,7.427708251208876,7.329752637570228,7.373136029527107,7.30933811529289,7.4827809018462,7.312946314943348,7.265020116791089,7.723014979305208,7.490238442416838,7.402946342842018,7.320604889650728,7.512950784971902,7.370956300666627,7.634799882413841,7.655664055353496,7.312320991686544,7.611673249942241,7.376477383277178,7.42786294532417,7.13777966951183,7.291431157628307,7.367257051353496,7.374303578953874,7.487463699013709,7.068861496069996,7.503599621505929,7.372798918919657,7.284754085126224,7.437053551187927,7.349688220510568,7.243542737552571,7.531515731459453,7.209384200198921,7.292896460998077,7.394677762666626,7.364762005497436,7.329682419252485,7.5540154395680545,7.44377083754766,7.5650340739548945,7.493429450900905,7.133386652234276,7.457873713087021,7.290332014836603,7.52755492329101,7.421133385023074,7.270212570824877,7.415717266167956
BI,6.35178102295625,6.31759212499495,6.331129839650003,6.383064307325001,6.045701849867978,6.348060627988541,6.370518769545456,6.346713839932542,6.337299597147283,6.325892171829687,6.26231741291,6.401351880097223,6.2992979677816665,6.274328472105406,6.603082026402442,6.399288995098959,6.350215511685606,6.264927253802779,6.430024872534724,6.335642673855556,6.530965939679489,6.5469845932115405,6.2883940610045785,6.506348532946431,6.291753138925927,6.363771066201615,6.200732954051875,6.285574805879062,6.300374465507143,6.337807963376563,6.427552580131944,6.115309194563334,6.411743658909092,6.302501777942501,6.269080288625001,6.39054704813587,6.29893857744525,6.232132404125001,6.437214737678572,6.197141092121213,6.204847879194916,6.370674001640625,6.309216845060417,6.249204692000001,6.444147626853451,6.37179011402778,6.467555394653846,6.408380276358872,6.174781510433804,6.387242576066669,6.246243762349139,6.4543059183430245,6.372321218339708,6.232284694979168,6.364068308107894
BJ,5.001382803491486,4.951264725241435,5.011807943688564,4.997221775713149,4.730840277909019,4.996321916459776,5.022816947446209,5.000104284559812,4.950461691925818,4.972529526419813,4.9153125720072,5.041140833302958,4.923240696143089,4.889637863534523,5.219891282926755,5.041357799550874,4.987411580289183,4.910031512867941,5.0733555388509375,4.992259726502959,5.1532667316316285,5.18263882237755,4.912870585927842,5.132185621357071,4.962628949185112,5.006073719128961,4.83619971180561,4.907137295484759,4.975801796351876,4.973099890490269,5.064838610862302,4.763748707792656,5.048492829357365,4.955185855407654,4.9185532851772,5.029155928503879,4.929538828705429,4.86940459367417,5.0746948307476085,4.856306508223069,4.901944150066184,4.986467344482315,4.9702871560362905,4.926580169495383,5.08514411119115,5.000552610671645,5.094199860636291,5.04769902421107,4.798935982925665,5.029136667952526,4.912777496699301,5.078265171765255,4.994324990662442,4.884001248967099,5.003411876333899
BW,14.488388842048863,14.455624364266166,14.579175445373505,14.63557023705098,13.63139231769338,14.57569444558137,14.647389839499397,14.564502202284553,14.46626819205975,14.450705779224624,14.297019336354964,14.66822390657918,14.38544067251002,14.250115844322169,15.044743383885905,14.647312121780804,14.531488491126906,14.284402442125376,14.671225484762704,14.459504122986178,14.922197395419094,14.922020101875448,14.329840975198833,14.913639026926068,14.430596894902113,14.449127549481604,14.069387422889514,14.371912815445691,14.380244704361598,14.527113563472517,14.68913672139036,13.873640830097289,14.62044749898612,14.407868498592602,14.238426573336984,14.617879069013096,14.38684996683232,14.23589176709729,14.710756951339048,14.125039171875972,14.142775156210153,14.56407039166704,14.43579239851957,14.29573136965721,14.774512865304054,14.512819624019883,14.822826313578126,14.681836518184031,14.050237522907963,14.542726736159883,14.236589513677549,14.748253032976129,14.517302476219866,14.212727232659708,14.469274344527404
CD,5.22315368622254,5.184793594041589,5.228652711321796,5.248170363429469,4.922812933409098,5.1981342329584255,5.247658129958257,5.211866257188414,5.198942278328907,5.1921079932370295,5.130185964193256,5.27434586760872,5.176039499305974,5.156087640327229,5.465272307266184,5.2700052723911535,5.214619311644493,5.136875415141975,5.303077321773071,5.209205632338348,5.395354661923001,5.418905937762744,5.160803211566881,5.373811683937423,5.175667095530788,5.229346136396428,5.072635562804089,5.163902023573957,5.181488800213613,5.205203690671276,5.299747090125502,4.9995142773327,5.278651133871135,5.169763329453046,5.136408453281173,5.265150812490865,5.169016003929399,5.117632890739507,5.308571175656385,5.081526412714569,5.086714306813482,5.236092345719192,5.192999307477005,5.130049683524923,5.317789973699636,5.230232966548533,5.329604490208258,5.277555656089304,5.057017682761484,5.246880169746548,5.126469197205524,5.323195220823567,5.239410309955068,5.100150928039272,5.227708736492026
CF,8.362734897720737,8.33475560904495,8.358277860454502,8.381832401991693,8.10167533490292,8.354825137534046,8.335801304462766,8.356176007604576,8.346342844110628,8.340735845593708,8.280374421963593,8.397545626313088,8.308338308995626,8.273637502712733,8.570991133702838,8.39428796965526,8.358093338498577,8.283645444910732,8.427474546919147,8.358826127989856,8.505399059440514,8.533327759510446,8.299167125015321,8.484581279610346,8.311980892239013,8.36786035161286,8.226570140343139,8.295242470013594,8.319116327432859,8.349010238965866,8.424642292209551,8.153205025284805,8.411900151301609,8.317208721822684,8.293387340757533,8.395178479920906,8.305775748452684,8.250845051344655,8.435081499740214,8.221513848484806,8.236080393127844,8.369722220051091,8.324506260780261,8.265561243499956,8.430498407053248,8.369078249848442,8.448666377971985,8.40747460709673,8.194827103441698,8.38832977817961,8.276511971561087,8.440263783086635,8.374817530704771,8.256869333489856,8.368256357617183
CG,6.10789412673744,6.068509838510412,6.113687649456258,6.138334457719969,5.798002416302746,6.098247983378878,6.135390726219247,6.077491053212306,6.084587120515093,6.079024632740982,6.014222251771339,6.158895312636595,6.057964074011249,6.029152519433888,6.36646825087099,6.167112107288601,6.096355137799334,6.025896641021369,6.1903956183861535,6.081135756953174,6.288613256247366,6.309458023394292,6.054333696210732,6.266584574138231,6.061608360634831,6.121898623092588,5.946207732975309,6.039637656421637,6.061679551265972,6.084550072030664,6.18749923255282,5.867384459178747,6.171693505111742,6.063506708589593,6.02399009757663,6.146660636331863,6.059378282865069,5.981911390654672,6.202699216251934,5.956218701803662,5.966785950712851,6.111940955996438,6.078482391851762,6.01843311134118,6.209094171948459,6.126700884902909,6.220141269438249,6.163484298066987,5.923917766633044,6.150298394840045,6.012833045418629,6.208913147397475,6.130899545004673,5.986855634269752,6.121250696430988
CI,6.725138742333657,6.618883676217494,6.752602858016731,6.737021316431703,6.348097857423674,6.7336534558651,6.77388701407103,6.732916571860823,6.547682353721855,6.65442715938657,6.593842412173796,6.784000420886357,6.601110529131322,6.550311566435711,7.0127939338493,6.781861146306767,6.708239131894481,6.594630799900729,6.812906449638168,6.684881132849157,6.929274253327642,6.954279266469784,6.59830042592193,6.90826187253094,6.675291775081205,6.725367744023026,6.456205183589503,6.548734069487097,6.680493222230216,6.659166699280046,6.796184378597105,6.351506597431768,6.791061871160952,6.66068651293097,6.589907949008219,6.754129875247995,6.63165396653009,6.524591340579141,6.823152570814879,6.501390858718593,6.604430561213591,6.658584930701784,6.671613963493361,6.640618078932493,6.849833264969898,6.736494918875487,6.868430720708913,6.796430522299322,6.385319854354934,6.751123251348847,6.581727938690515,6.818026630578751,6.700653131216877,6.563056033089618,6.709990276918189
CM,6.878756263346762,6.8263366198049225,6.905264984329684,6.9231587025562495,6.496604996219101,6.890888722403776,6.932349567184658,6.891423635717261,6.818496711017119,6.764427951331737,6.765189545233748,6.951469982380208,6.799373281768289,6.746481296470567,7.177517142339936,6.94263277915677,6.869320915259942,6.762806056494444,6.978131613756074,6.844024947903296,7.093254029487177,7.118944476740382,6.781136426555457,7.079916788299105,6.832229001185183,6.88841178112399,6.64251399353875,6.783002321565625,6.831962248601489,6.868460710586133,6.968379061694444,6.561271837869168,6.959299942105112,6.818447899176718,6.769393385923436,6.9278664627302975,6.804112122977219,6.705467452576823,6.985611450245535,6.685410116467803,6.730570479771713,6.886770144495116,6.832461508090363,6.777836681651561,7.007092293512929,6.903333124828124,7.038745702915864,6.960914497364917,6.634897603652377,6.916693117187799,6.7556522692977365,6.991337789636625,6.884711708193787,6.719776563959201,6.876961289752961
