ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,16.70958721930278,16.859429040322546,17.041056766021303,16.775384194700433,16.985779302721742,16.750959689826274,17.143483520677893,16.68802023689513,17.06616786436734,16.971216251192114,16.915142614285685,17.105459556059582,16.986438030914364,17.289264212634727,16.692557577844546,16.77116446827954,17.053830695937844,17.10889035037534,17.062008285247774,17.002616232462845,17.227201517155393,16.896216303970196,17.06415049645158,17.097016827026046,16.995883986352325,17.15321485298154,17.313499651669325,17.040598702947186,16.52490095815167,16.76695583805132,16.964312681755086,17.06389443611108,16.16106606566817,17.042462003151158,17.08838925888822,17.271126365407444,17.211792650425636,16.73008303480472,16.50108200614598,16.958025443728626,16.826046424828906,17.06790706251789,16.769311668700926,17.00953878614095,16.581989454838684,17.036831624587435,16.995514480703196,17.01451949641574,17.509877611718334,16.58956406552416,16.739014393770823
AI,28.639849861436936,27.81816720661154,28.772200855008784,28.448662641233746,28.76284195312499,28.43541929020978,28.90081016553976,28.236450366477257,28.775210371338797,28.75849701561264,28.68618964329002,28.835673698256905,28.743781876374108,29.03257494435775,28.417986380730014,28.51761092916665,28.756945151515136,28.849214522280977,28.799270321892543,28.73921094877344,28.903677686363626,28.552843516317004,28.73285950545453,28.870666922285164,28.78337178461537,28.914749336649336,29.074320359795443,28.84741858235536,28.241384110565093,28.50118287569572,28.713874894428145,28.743536892424228,27.94209987012986,28.789786155025176,28.835457847775963,29.027264648397114,28.98417663672923,27.933202655502377,28.196070611674628,28.69260967088234,28.56937239283745,28.82520529671716,28.42172703808352,28.635283168350156,28.372264465504344,28.75446119775928,28.710079676254527,28.78339353463202,29.260261287909078,28.20253836079544,28.362595962382443
AR,11.694309153118002,11.645032420991098,11.435371025524434,11.452794428386415,11.688728760374897,11.521971105894025,11.698403522762796,11.430936000953528,11.570569177638404,11.67502805707255,11.579463786700666,11.705775123291916,11.520977063719236,11.825257021622845,11.194401743056368,11.4767502279835,11.822789955833828,11.666580894956445,11.573296187750188,11.756337903035227,11.873563512384646,11.57660735112562,11.73870070666538,11.652382316947024,11.70331426295374,11.728602041396073,11.970691849264524,11.770860255911629,11.3545144550339,11.515721374674024,11.69803075883167,11.74663010724918,11.344037181889297,11.571355623709088,11.658403146193304,11.857783474966414,11.76935585180097,11.319514465500747,11.04754495337689,11.466546261724288,11.448180314153364,11.621314878246285,11.539336821047849,11.771235002734665,11.32803600288527,11.651016958654855,11.446401349441851,11.771464950362416,12.118404964185723,11.46482756438296,11.539645697925373
AW,26.67743488594466,26.57029251136359,26.701592732533957,26.008635031249952,26.73791165825889,26.392511078754545,26.861087860502195,26.16271628348209,26.73962565445038,26.71740760100928,26.62062411522105,26.812921896171545,26.67099453578431,27.045978665345583,26.2698141975162,26.29323725119044,26.847233867063448,26.8291227787662,26.761624690818145,26.786132577664358,26.983516077435016,26.52269594368128,26.81807236249996,26.82770256516141,26.77584574862633,26.894624427602004,27.149693574946397,26.863235612012947,26.227363959459417,26.422530538629704,26.718944491167395,26.819762414781707,26.12343066964281,26.721235783006637,26.81834727584818,27.034033262227403,26.949838491466583,26.188866358082663,26.010870262265,26.61704709299366,26.463556608495637,26.779565762147783,26.43199567857139,26.78438306613753,26.26385296191288,26.728419320528616,26.62654052181425,26.809625634637143,27.3226881918681,26.286028408482096,26.42016078633
BB,12.224191601108874,12.22083343039773,12.273888671665322,12.07427326540179,12.178626219257811,12.055505014262822,12.400997636299806,12.046142539843752,12.293568769623512,12.240164502201091,12.197552263809524,12.332314563892393,12.244248732983175,12.519864125678833,11.97945582810038,12.066159258437503,12.361003074768522,12.360220306161365,12.304916683796025,12.297660773908731,12.483887596079551,12.18352394471154,12.332490398125003,12.365361458165244,12.273337211089745,12.411231726196428,12.563710514853128,12.317755451704546,11.934918071959462,12.063874628061226,12.244128983131723,12.334871971076392,11.856156314732146,12.310340999709412,12.362222741017858,12.506200758282898,12.466279922049727,11.999272763157895,11.797047473769736,12.217251955292282,12.079878678939398,12.340670450352434,12.111452942736488,12.340330884027782,11.869860667851029,12.281490107426194,12.2395163854775,12.32549198978175,12.761942827170191,12.000158775000004,12.103813744181036
BM,29.17978144334154,29.08382022261066,29.297540472312598,28.919282141025576,29.245914469390964,28.470425179487137,29.441790427183435,28.81103408974352,29.314645202930315,29.218266264325464,29.187410914041457,29.305698632722358,29.235191130057142,29.60932099820921,28.88117283246304,28.983059960897386,29.354134471984736,29.41151113586008,29.340202041960318,29.277032815628747,29.52470259696963,29.020521974358907,29.36475786499993,29.40373986489281,29.305733888494345,29.47812008310617,29.67475103638456,29.370412752703903,28.758437751905685,28.89278227943479,29.24508665591392,29.37232335313384,28.60479724358968,29.31138350775836,29.40291559945965,29.57183638821856,29.51931058093416,28.78315746288792,28.610254928313037,29.19795792835589,29.045401572261014,29.36318138959396,28.98155211018705,29.262691782526048,28.79025225774494,29.226756358075228,29.22279697740507,29.33797931583225,29.874890134936827,28.768726173076857,28.875447614500374
BO,10.46991706906502,10.4468228928125,10.371584684053223,10.285470717645088,10.489018886299805,10.339402222055286,10.36197074246309,10.254422401826169,10.403634299075703,10.489721347922552,10.385032052577378,10.534643005659492,10.352599719256238,10.60101821229803,10.04776610610038,10.300502694010412,10.59514409867477,10.461031330841278,10.371907578637073,10.54717602047619,10.64256570556534,10.394554122415864,10.543929818462496,10.434292495875148,10.488345841308092,10.496678480759329,10.7170000768975,10.542795919290622,10.197005581976349,10.344895307295914,10.502159726871636,10.55468827864149,10.07800275284598,10.36794539755249,10.42404393365279,10.625319697287498,10.543432395025803,10.185799920559209,9.908079474665296,10.27096340665184,10.275530959289773,10.391948070184156,10.340261138306586,10.5632828865625,10.169035619959756,10.47288929019183,10.329492288075746,10.552573112492556,10.832161593340048,10.275715078007808,10.362195442079738
BQ,35.982838785282254,35.75084809375001,36.07250216224395,35.555484140625,36.10254878984375,35.67703088461539,36.222807401826174,34.154602796875,36.10647625299615,36.082578529076095,35.97528834017857,36.17637735384783,36.04228025828365,36.3893245251633,35.59552396191288,35.640907832812495,36.13688200925926,36.18837998907955,36.09773114956819,36.10508060714285,36.308596699431824,35.761490057692306,36.1512057975,36.17096411711473,36.13115418108974,36.24878391832143,36.5363333928125,36.23596616090909,35.47954446283784,35.745259996173466,36.07683762365592,36.17071544479167,35.162937723214284,36.07617887736296,36.18475138642857,36.38783401661184,36.294523261192936,35.414984753289474,35.320736015361845,35.9710534172978,35.78905766912879,36.13998373717014,35.72440041047298,35.96052972685186,35.58745873193493,36.06657845235711,35.9980433236,36.16618253273809,36.68208179606731,35.40022753125,35.636108232758616
BR,13.05165168198514,12.980273367842214,12.902800608159504,12.823058780823944,13.04064028885418,12.871307267032844,13.06268456830638,12.797141522226829,12.717335004790517,13.01492549072472,12.939090648188476,13.057481714728931,12.91776584453151,13.192803942576782,12.583804743217058,12.846375428064905,13.151088498716428,13.044677123513832,12.956101554313902,13.096761067105154,13.185973345464728,12.914380019810949,13.08423049987075,13.035772998449902,13.046290646011622,13.106179572388193,13.290877894719898,13.111763167140806,12.723872941232337,12.885953783695191,13.038090143176165,13.092052263249476,12.59298841126364,12.95965874487667,13.027308733849912,13.219127288137662,13.138509351188546,12.61652582767804,12.442425518760947,12.834704476918551,12.778450854309254,12.995743745908712,12.892368375712376,13.11247778922526,12.678076352938673,12.985037420604591,12.852015631062129,13.113773143981463,13.455273824496317,12.80515907505183,12.890266311551096
BS,12.781840234361768,12.788700177667902,12.8323996531455,12.6259808929347,12.812376186983617,12.600068493979853,12.973911782705084,12.59838396385861,12.84006565627658,12.711156726238103,12.741564982857064,12.892649788230736,12.79947203050193,13.096767569256723,12.50619372326738,12.610893825181078,12.936800914975764,12.918679364146168,12.87803632887344,12.8793001709454,13.053928417470274,12.72587360089178,12.913600222260788,12.918963010668774,12.83846524489401,12.968720370255824,13.13300751872166,12.881472978229173,12.486101055699097,12.636038387843753,12.825669049088278,12.913143730797024,12.332864344720411,12.862823709941152,12.911253084479734,13.076032583597176,13.029482796778373,12.549201559496485,12.311896801851182,12.77331362390018,12.61962326919623,12.887710729164173,12.668378665217311,12.878957943800238,12.412874440964783,12.822737316953123,12.784923186008616,12.899304515665897,13.326159737840056,12.542446038315134,12.651805670464686
