ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,27.48738410173121,22.8394239285713,19.857910551947985,44.35221782905296,19.685256309523517,27.003839772726742,19.980810515872893,22.482873524844404,21.768951919642664,22.6909022142856,24.61630488095205,24.731452738095083,36.48448166988437,28.971959538327056,21.110495833333303,21.124637391774744,27.526295251322413,23.095219642856744,21.96301099206346,29.380244551281532,25.548812390109497,27.793406745472268,25.31519464285666,23.32759522486737,27.718693329492694,44.3313077857144,28.49505499107097,25.56866869047597,21.84746991071414,20.79286444444432,47.37918897618999,22.11293905844127,19.822634285714432,32.28074583333304,23.15132399068293,25.37019528571417,38.37211321428533,22.700159132652814,41.78301347402557,33.50524304479389,21.58015410714269,27.9212244047614,33.33869607142829,26.74387370689596,25.38194837301554,24.61299804945015,19.93873254608273,42.44105918007978,25.8824339285712,27.41599277093564,28.990869260796853,22.75620303781518,27.54781821428543,24.20087708646596
BF,27.48738410173121,0.0,25.099015000000016,19.745818888888955,46.51628795823408,21.862629949494654,29.370165656565625,21.15681789321798,18.95355072244175,20.851866265782707,31.78987094949497,28.034701010101028,27.308188835497543,38.16162297597637,33.43363665927595,25.17051040404059,20.968268686868544,28.828175589225417,25.9502252525251,19.49282010101015,33.49453986014006,30.91317513597528,28.50281916062001,29.066592352092474,26.33860959595956,30.07084408602162,42.98235021212122,29.727185586489465,26.682044487734437,18.66720937500009,23.41637638888892,47.31104735353502,25.87363308080802,26.813132863636262,35.41438565656562,20.139262779973443,26.87659081010094,39.31425101010073,26.34427414965986,44.66625555555525,35.750911128231614,19.5804807954545,29.665696515151176,34.41157090909113,33.37877885754108,29.194605555555647,27.3158523698525,21.38682000651677,41.61457838099216,27.4459604473304,29.59013735980484,32.5717739252997,27.5989566684495,29.765968636363542,26.51619682084011
BI,22.8394239285713,25.099015000000016,0.0,15.704356363636505,47.29907174157355,15.145887499999816,20.272887272727267,15.87639357142873,21.232386521739148,18.79154093750005,26.403625999999928,18.72058222222239,27.20850633333315,41.06814127027051,23.794263292682977,16.31477833333313,18.68840878787896,27.5222087037033,15.989355555555615,17.874063888889133,25.203364358974262,21.065961923077047,27.97623485915456,19.461046428571517,16.940734074074317,23.665810322580647,47.73109800000022,31.40751881249947,24.88093404761888,18.196721875000136,16.463031944444438,51.10504966666608,16.461698636363657,22.38100150000013,34.16972833333304,16.055275000000012,23.80068769999986,41.08564583333345,14.679330306122727,43.113014545454575,29.948785932203293,19.74094562500003,23.319926666666472,27.738020000000148,24.81815344827573,22.29123000000002,19.16127307692324,14.292024032258167,47.316176408449735,21.98428928571436,26.703595344827477,26.973242558139333,23.539057411764936,28.063673888888705,21.48540868421047
BJ,19.857910551947985,19.745818888888955,15.704356363636505,0.0,47.620172022471856,12.616309545454358,20.508319090909037,12.762036724386588,14.446441600790608,14.513222528409257,26.07130454545451,19.008023535353534,24.925026999999847,38.89111549140073,20.94360999999991,16.570449659090638,14.05861303030296,26.30489215488183,17.351168989899005,16.390612525252607,21.491364965034943,18.96523965034968,25.76154508322638,16.87031259740254,18.56388276094274,23.557332991202237,46.34186295454585,28.6567081647724,23.28438917748917,14.706932784090988,14.82833325757567,49.74857218181806,16.252214090908936,20.766340500000293,32.910590606060815,15.280655889327962,22.195128327272663,38.0538050757574,15.450249443413703,41.44750878787868,32.36833224961498,14.324369431818406,25.717068636363337,31.065670000000484,22.00957137931029,21.34955777777775,17.119656433566384,9.979684780058667,44.98431599231663,20.86196571428576,26.46242905956099,23.89137346723044,20.54875582352943,27.12325883838376,20.53489373205747
BW,44.35221782905296,46.51628795823408,47.29907174157355,47.620172022471856,0.0,46.29547788389525,52.411156486210736,46.83429552345292,46.40468372496368,44.46140806530905,47.72212943820232,51.6202196004996,44.06219408828267,46.50983283844532,57.72197297889841,45.29362949906419,46.976430439223606,34.934972392842106,46.14947365792812,44.2627119725344,58.09495424949601,56.01793898012143,38.91194665611609,55.39456243980779,45.17588516437811,39.68532305183071,49.5790650000002,46.2601069712076,38.88157913857689,45.23461492275256,47.61374817415776,45.03308674157326,45.04890605209407,39.74462111797736,36.2170583895133,46.49680598436725,39.717533917977576,51.20925557116102,46.74000479247902,55.57678157984369,37.10133519329691,47.27067122191016,42.72648962546796,40.17719831460696,56.47229147617236,42.84844588015009,53.86891633535027,48.26067640449443,48.26981618293969,40.10764097378274,34.57885397132874,55.24233242748913,41.31330439193657,33.86581526217208,37.988193104672185
CD,19.685256309523517,21.862629949494654,15.145887499999816,12.616309545454358,46.29547788389525,0.0,19.57597037878735,11.925612936507717,16.156987210144838,14.77438302083333,26.94222683333299,19.352118055555145,25.35021049999984,39.55781374774784,21.71684817073118,14.755834166666345,15.061849090908748,25.374136759258903,16.530267222221827,16.253815833333203,22.782319294871208,20.09069128205088,25.395147558685064,18.2236513095233,18.367798148147795,22.396475376343663,46.1690496666671,28.99553656249964,22.480684999999852,14.449132291666544,15.1329538888886,50.703860166666594,15.321260378787516,19.277547333333352,33.44676749999989,15.641236159419991,21.73686679999984,40.04880499999987,14.62844161564607,42.71703310606068,30.401276214688856,15.360018541666651,24.30300833333284,29.52454999999961,23.078154770114367,20.944137222221705,16.83170487179448,11.982555483870822,45.742183180750445,19.59861928571403,25.10028844827561,25.38694717054209,21.972460754901977,25.73804138888849,19.509988728069835
CF,27.003839772726742,29.370165656565625,20.272887272727267,20.508319090909037,52.411156486210736,19.57597037878735,0.0,19.820228282828367,24.847732984189303,23.059166051136167,29.895192727272324,20.56437575757569,30.81232175324652,44.14899395823129,27.30407006651848,21.41096696969699,22.363624242424,32.691209057238545,21.205729797979533,23.108131616161543,28.05384475524433,21.935594405594426,32.40671928297033,20.89110259740248,23.05903956228944,28.316737536656543,50.90952790909157,35.01656697159025,29.7531228138526,22.96376119318193,21.189102398989743,54.45895442424177,21.755102272727022,27.298103954545173,38.86840181818153,21.80937332015767,28.68735057272704,45.216375757575264,21.156535992578743,42.51449393939332,36.59081895223434,23.8969419886361,29.55467560605996,32.51044818181841,26.73925924764844,25.280022727272435,21.16535244755238,18.351504985337147,50.15052752880789,27.71728320346308,32.572977178682955,27.971317970401294,27.84610893582913,33.43787742424201,26.919947655502384
CG,19.980810515872893,21.15681789321798,15.87639357142873,12.762036724386588,46.83429552345292,11.925612936507717,19.820228282828367,0.0,16.667725848861256,15.200178189484038,25.548878222222577,18.447061904761973,24.640191126983872,39.09385228356966,23.305967557104363,16.787150853174364,12.769016450216256,26.225429312169,16.78681507936504,15.353085555555706,24.2155570207573,20.730868131868327,27.049837795662576,18.940596825396785,18.21173888888886,23.81362165898637,45.52730782539705,28.260215348213944,22.84287253968257,14.93118276785708,14.858635515872802,49.123154920634654,17.29835645743123,21.106807103174884,32.715456666666846,15.19785904071744,22.74880111904748,38.54973869047624,16.409230158730065,42.058029870130056,30.592042050040696,15.605378085317373,24.966110555555364,30.208496507937134,23.953672085386145,21.52128174603191,17.813982905982844,11.126270967741757,44.05422513301925,22.212379365079347,26.650593530377456,24.810263196751837,22.1213950056024,27.177164841269835,21.249281052631577
CI,22.482873524844404,18.95355072244175,21.232386521739148,14.446441600790608,46.40468372496368,16.156987210144838,24.847732984189303,16.667725848861256,0.0,14.6458424320653,28.20834369565191,23.701556159419763,23.807110973084683,36.46849777673346,27.296689443265624,21.299834818840463,16.473065171277973,25.692424339774306,22.24867263284991,17.66739958937194,27.619650250835505,24.938336973243725,25.78578062155514,23.17711071428528,23.19034297101437,27.0023055469842,43.64409532608745,26.482888894021396,24.13716228778464,16.124953668478437,19.28280131642492,47.274991434782976,21.82185703557285,22.701031804347945,33.9266496376808,19.054055869565047,22.46777906521724,36.759962898550526,21.176279170363603,41.868525724637855,34.40925104274106,14.016374891304434,28.552153840579265,33.44482847826064,27.641423170914,25.065683357487472,22.8261935618725,16.280701129032142,40.98519149724402,23.615379016563,26.857447578710367,27.23653524266879,22.521984797954037,28.160724396134988,23.64550934782585
CM,21.768951919642664,20.851866265782707,18.79154093750005,14.513222528409257,44.46140806530905,14.77438302083333,23.059166051136167,15.200178189484038,14.6458424320653,0.0,26.618745437499797,22.67346038194422,23.928935866071203,37.56402717060827,25.493713559450995,16.638359270833316,16.651159498105972,22.45192413194416,18.543130868055485,15.624742673611305,26.700403565704747,24.834512379807435,23.542864537851862,23.039415133928408,20.29284417824062,23.478600151209484,44.26737281250012,27.42602562499959,21.563776145833224,14.793301562500172,17.76619517361109,48.12695793749976,18.738759232954475,19.707886312500182,32.48281927083279,16.609249144021824,18.760848987499987,38.83237739583311,17.13991095025513,41.73628641098491,29.62840264300804,15.018031562500155,23.963988645833037,28.738166562499824,26.9497145150858,21.47249697916644,22.47389348557672,15.358864385080643,42.57348345510482,19.80141078869037,22.762618976293037,28.041448074127487,22.46313627573533,24.571658784722025,20.064642187499835
