ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,54.82784498168538,49.53692251879711,57.50256877976084,47.22940439302358,55.14363773809525,55.01321947565548,47.95562899749389,59.57988955452878,50.45890574229552,50.75900711458372,51.53014624060173,51.81705621890578,45.38524177976228,51.12758661740446,61.61798809523712,50.21859307142829,54.32128441695637,89.72857763975219,54.59582336796547,59.1133961654125,52.76221446115181,60.176199523808535,74.28359226190388,56.69770073259913,53.04387760214989,102.6165904761916,68.7913702380943,50.21610606060543,51.459390640394695,89.60903571428642,51.88144485406904,56.42489826839762,60.058395194804014,70.162588888889,50.43529582972645,52.02706587301543,52.34452480952293,54.71864675115071,54.85376129251665,52.4457605627713,53.61797435714387,51.43012832589328,53.07655382395316,51.53255510476136,160.40842296918666,51.10363064069284
AL,54.82784498168538,0.0,33.72809103238834,31.715558317308084,33.62074947995646,33.78521134615379,37.64479146067445,33.3678634412953,37.94361933829581,33.72154589743542,34.111496896634414,37.9299837246961,34.71119455797985,35.43868984294884,35.17308278514583,62.42359000000055,36.356529608597405,39.68187261350835,91.60429812709084,33.47265570629323,37.52909801619447,34.91216676113375,45.9768563186809,77.49857019230807,43.02081692307734,36.76161750124053,99.12377333333352,50.66919874999948,37.73336727272704,32.72353213085801,86.80383653846184,30.811452241522105,33.0476802797202,30.29088594405612,53.42240034188093,35.643191756022105,36.72070876068364,35.84688455769178,41.20375487593045,34.17189191522784,29.535209300699403,36.84772493589718,35.29211337740406,33.78331939393976,33.52336895384612,151.26935493212602,33.347520069930205
AT,49.53692251879711,33.72809103238834,0.0,33.85915858552608,21.88586558561867,30.923198055555368,32.34659599940813,19.366893947368467,39.254264173740616,24.897059220846074,18.55805331743402,27.41906447368403,27.482303468185005,26.21258351973703,25.75440242286732,55.778316111111536,27.200797153250647,29.233403460847157,89.535867585811,32.42503791865999,35.980784999999784,28.372631315789302,38.894258533834176,73.65202741228075,35.836994554655554,31.322526845500903,91.40710131578828,48.71345210526316,29.597035255183023,26.674826415607733,83.46472763157814,29.2209029683074,33.83752772727215,38.87165734449741,54.92114464912324,24.46041036948461,27.1177886842102,28.16206669736805,36.773538200339445,31.155878029001254,28.23043267145108,30.7637296315786,25.211529087170863,27.942790475810337,25.632994473684004,152.87381806501304,28.36767422488023
BA,57.50256877976084,31.715558317308084,33.85915858552608,0.0,33.96460078345053,30.564911875,38.89950131320241,34.59207174342098,39.49005799059108,31.519038174019272,35.12326834374992,36.59703101973672,35.572598498134425,35.649504166666866,34.95752122844803,63.9298763194434,37.96108294852958,39.28038353353624,92.1639676902175,33.8269961249996,29.461404375000345,32.078134747807326,44.66809580357061,77.45714229166616,45.127401298076336,38.44744387499984,99.58321562500063,47.35158937499945,39.974021041666376,32.11316059626436,88.68024562500027,30.76153003360238,26.29799884469702,30.410894829545708,54.77105090277749,35.25208918560636,36.76201645833346,34.594409999999684,41.5808886088706,32.08561567602073,22.587606268939407,38.28038887500024,34.64354421875014,29.793732796717546,30.774475125,153.708246139708,30.636148920454715
BE,47.22940439302358,33.62074947995646,21.88586558561867,33.96460078345053,0.0,29.925430136932352,27.996115551511032,17.15243388435871,40.04119670604199,23.67729953603951,20.555447219630057,24.740580607857456,24.46895619718273,22.50440734565725,23.02281503642516,53.003756463222544,18.149508201739792,26.580991373067445,88.74853394366083,31.841176476312068,36.67069863602643,28.386980504076856,38.7202946579472,73.26633130281586,32.043217237269445,29.48476831213076,94.59627384976436,49.22676522887256,25.94753622279095,24.872797628298297,78.82545359154781,26.80556181886971,33.68644556124587,39.70322560819415,54.91525237871633,16.844372206572697,24.05986867762103,24.95496944366192,35.44839661744635,29.5425669301521,26.857651941954654,26.274074122065397,21.71035170994699,28.75319477735084,24.86089517746464,152.8446826594866,26.97695929321359
BG,55.14363773809525,33.78521134615379,30.923198055555368,30.564911875,29.925430136932352,0.0,36.35147359862643,30.82270948830383,39.55265029569831,27.76232178104557,31.37820577430535,33.79568817251431,31.37980493781058,32.33679231944475,32.109884932949704,61.10223694444422,33.98603367973849,35.823676058265534,91.4631552536248,28.39887063131304,33.17581986842104,27.36410366959032,42.59042170634863,75.31578222222257,42.18486673076888,34.468975399641536,98.96965861111288,45.02912305555538,36.95986103535315,28.756029664750297,86.48719305555706,29.965616926522664,34.15727856060562,32.62688224747484,53.50336972222224,30.982736641414174,34.04684861111085,28.93565538888885,37.7356281451611,23.860332114512385,26.642070277777385,34.85155677777743,32.15964314236085,29.072195227272744,27.654643366666345,152.59624086601443,29.131733792929086
BY,55.01321947565548,37.64479146067445,32.34659599940813,38.89950131320241,27.996115551511032,36.35147359862643,0.0,25.101825984624192,50.08369159115471,28.268003469926743,25.088085647822908,33.26819494973364,23.56964620157642,30.13542036376434,23.41243143355274,53.37065486891394,25.40112608493062,35.940226386132935,99.62960048852084,40.67456714402433,45.13238871082172,36.976019012418575,51.199136372390974,83.59397439138571,33.12926464995675,41.03645792714736,101.89508314606812,57.07867542134765,39.10436203609089,25.439820056825468,86.47569044943904,23.426495517699404,38.85146241062278,47.618097293155664,67.93827852684204,26.600557352173787,29.083731111110552,30.36076868117942,48.55825333997748,37.84410296950272,31.236002400409,9.115847196629131,26.06613684515469,37.09637223924617,32.056272615730016,161.17845763384105,23.883219961184984
CH,47.95562899749389,33.3678634412953,19.366893947368467,34.59207174342098,17.15243388435871,30.82270948830383,25.101825984624192,0.0,41.843614629315205,23.51172526315784,17.01317852796046,25.40417578947359,23.668822419481405,22.850868633772045,21.48686544464596,52.2256387719302,19.38172548452008,26.78988164184825,91.06588812356864,33.23881911961703,38.46244947368409,29.83684807017523,40.34694699248103,75.18318039473664,30.392067732793265,31.44942919354836,92.471735964911,51.56947019736855,28.03358430621987,24.7602013309133,81.23478078947309,26.61442774759435,34.2553221531096,40.40504889952148,57.67528257309992,20.118614109516265,23.42243093567229,26.08781298026283,38.25523773344652,31.483173329753217,27.35889837320553,23.686188508771668,20.96306660361828,29.148472036150903,25.988495705263027,155.14394080495106,27.144673320573983
CY,59.57988955452878,37.94361933829581,39.254264173740616,39.49005799059108,40.04119670604199,39.55265029569831,50.08369159115471,41.843614629315205,0.0,40.28181891840487,43.52217026041642,41.67003891341222,42.54035769539318,41.61446036155898,43.89487854282451,69.17377831540908,46.0791320376339,41.387124740361735,87.76208672276513,32.05711694428092,41.03107349745297,39.07384443123899,41.31569218893949,72.66457298386797,51.22864400330658,39.75295813978448,99.59797956988942,48.60411264784872,40.17583186705716,39.305598591026325,89.73995026881413,39.50953225806334,39.72747565982319,37.77216784946231,44.34882473118257,42.16461940371461,43.88614720430049,42.97546029301002,39.70964844085968,39.34065912222965,38.407897663733735,48.8075164462366,42.70076966901853,37.14311968067739,39.39866809892389,150.44874263124555,39.94494804105546
CZ,50.45890574229552,33.72154589743542,24.897059220846074,31.519038174019272,23.67729953603951,27.76232178104557,28.268003469926743,23.51172526315784,40.28181891840487,0.0,24.166176380514443,27.260279793601395,24.9843827714365,25.543045943627558,23.82714724814035,55.70639934640349,26.40366342156865,30.20058594117627,90.86881173912862,30.9237026167554,34.18401632610925,24.74037715170255,40.62726686274464,74.6086793627432,36.3694049924578,32.287336344718554,95.79743470587997,45.95195225490099,33.867665151514785,23.189706430019857,82.68041147058588,25.46588685009438,33.11353481283357,37.74325376114054,56.31842483660127,24.03474390968513,26.29814836601301,24.05846782352924,37.43346208412374,27.65783840736273,25.789805989304547,26.995679254901603,23.59201159620077,26.32228263220408,16.314643607843205,153.05463509803923,23.224233565062192
