ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,2.1916879292929226,1.6233964285714244,1.4981414935064865,3.73784018459068,1.2668312499999903,1.9273018181818031,1.5705916666666553,1.9677931055900544,2.074186651785712,2.565202714285717,1.7122325396825235,2.101111523809519,4.040228521235517,2.3408270905923163,1.4984617261904674,1.9680184415584303,1.9883532275132192,1.490289126984119,1.654100079365072,2.4170583699633506,1.9706224725274577,2.243304889336008,1.9784949999999848,1.4664666402116298,1.625243917050678,4.516174428571436,2.85363236607143,1.5647038095238044,1.527928749999993,1.4802679365079274,4.206107619047621,1.766737207792195,1.301718714285712,2.0601416666666554,1.5504453726707998,1.7864023857142808,3.73371946428571,1.6765192857142757,3.6109466883116808,1.7517634987893342,2.0077325446428542,1.7554924999999937,2.0131828571428523,2.1558940640393924,1.5587884920634756,1.9224404945054776,1.5183881797234924,3.8480958953722255,1.5524242857142792,1.6752591625615714,2.315035049833873,1.49904299999999,2.1132897619047557,1.3402684586466085
BF,2.1916879292929226,0.0,1.9456411111111087,1.494011010101007,4.101463897400965,1.6765738257575686,2.2397262626262533,1.698187734487724,1.40987397452788,1.84022271780303,3.240218707070712,2.0658398989898865,2.334705920634914,3.93309553808353,2.6299672825819096,2.0258699116161605,1.9070277777777704,2.1937802861952784,2.0534851010100934,1.5346643434343377,2.5582941724941666,2.311239393939388,2.520176534357657,2.376099278499271,2.0640393939393844,2.155745356793736,4.277141742424246,3.00855617866162,2.1385025252525165,1.579870997474744,1.867003787878783,4.458564242424249,2.026888131313121,1.8592379393939356,2.720876111111103,1.4672111989459766,1.6205858020201993,4.000263446969693,2.0417088435374087,4.293136363636366,2.2629343091936227,1.8819353945707051,2.0100201262626247,2.3003761111111105,2.637428526645763,2.2694191919191806,2.31519875679875,1.6327919680677674,4.203560919049638,1.9135551803751725,1.953338321142452,2.6621214000469764,2.209566884729639,2.343204141414136,1.89303013290802
BI,1.6233964285714244,1.9456411111111087,0.0,1.3022640909090926,4.077366516853925,1.301389583333334,1.6811159090909027,1.5728076190476208,1.9486956521739056,1.9581209375000004,2.7295920000000065,1.362149444444434,2.266579809523802,4.318151108108098,2.071521341463415,1.2855375000000049,1.9085951515151505,2.2585585185185137,1.1594144444444414,1.5525799999999983,2.0833469230769226,1.7009376923076909,2.168551971830979,1.6597778571428552,1.3033512962962952,1.4549525806451575,4.675456000000001,2.984377062500001,1.423413095238092,1.523957499999999,1.2969411111111142,4.5096126666666665,1.5144681818181829,1.2491059999999992,2.213899999999996,1.35511739130435,1.8898245999999976,3.9175504166666606,1.2461742857142908,3.5856804545454435,1.5903983898305047,2.0643121875,1.2184091666666663,1.6987850000000009,2.07655637931034,1.5575699999999943,1.6981134615384612,1.390792580645163,4.286145845070408,1.4060366666666655,1.765449655172412,2.2065560465116203,1.6512956470588167,2.3172927777777748,1.4252126315789475
BJ,1.4981414935064865,1.494011010101007,1.3022640909090926,0.0,4.251379029622058,0.7249467045454485,1.5548445454545372,1.0866909235209163,1.262494426877461,1.6948703124999998,3.082214727272736,1.4351521212121103,2.331330515151508,4.357192756756747,1.745055321507749,1.082193143939387,1.5930799999999934,2.0046346632996546,1.2371141919191868,1.3868853535353471,1.7423769930069803,1.4989259440559346,2.244340909090901,1.403147922077911,1.3705989562289478,1.510214633431075,4.754711772727287,2.9408378352272755,1.6509316883116796,1.0221142045454537,1.0512949999999974,4.697694121212129,1.2439286363636264,1.391775454545455,2.425731666666661,0.962302885375491,1.497344318181817,4.077150719696967,1.050450742115022,3.988637878787872,1.989012927580882,1.5618286647727269,1.676686742424237,1.9713104545454567,1.86961777429466,1.5143120202020084,1.347906363636354,0.7394422873900252,4.326769282970536,1.170140519480512,1.771473009404381,1.9783346088794844,1.6735555347593485,2.1734470707070623,1.1476195693779856
BW,3.73784018459068,4.101463897400965,4.077366516853925,4.251379029622058,0.0,4.289441455992505,4.634227272727261,4.018814892099149,3.981416595017086,3.903463304073021,3.5694214382022427,4.299158739076143,3.312443410914921,3.8788521390828903,5.393351657988475,4.445124405430702,3.760287351038465,3.6065863649604606,4.2206766853932525,3.5857262297128507,5.301606165370194,4.95482549697492,3.337683237854086,4.9813804173354574,3.779130753225125,3.745053968829277,4.232727443820217,3.969722451544936,3.6022684911717437,4.041965182584254,4.268312484394499,3.020575535580527,4.468150995914185,3.7759316404494223,3.093142078651676,4.213944015632627,3.657434021348301,3.4484916900749,4.579337353817927,4.586042458290765,3.374402989906673,4.224426997893247,3.575780365168529,3.994925786516843,4.9577444788841385,4.067456554307102,5.034300777873798,4.221514661109091,3.5211142744105013,4.201742161583725,3.356354939945754,4.555405644107642,3.532693042300062,3.340839413233447,3.89194143110585
CD,1.2668312499999903,1.6765738257575686,1.301389583333334,0.7249467045454485,4.289441455992505,0.0,1.4647169318181683,1.097478194444433,1.4750999456521607,1.7197057291666646,3.054349416666673,1.3555098611110947,2.3670482738095178,4.485017745495488,1.6617668800812877,0.8588654166666578,1.7440193560605952,2.0320038425925837,1.1470673611111035,1.3870954166666554,1.6908877243589593,1.4022321474358854,2.3090575880281583,1.30497351190475,1.283964398148137,1.4469714112903107,4.912913250000006,2.9099504375000045,1.5646964880952312,1.0084183333333332,1.0204326388888842,4.754221083333343,1.1154161742424131,1.2493474166666667,2.382528749999992,0.9929266485507168,1.620673516666666,4.057652499999997,0.9818572534013528,3.974000643939393,1.8492907132768253,1.6425986458333324,1.6180370833333293,1.9147237499999992,1.7965366810344674,1.3601215277777632,1.2389552243589617,0.8003433736559076,4.398003609154914,1.0077417261904678,1.772798778735622,1.9375936724806089,1.616822279411754,2.2608476388888814,0.9770412499999926
CF,1.9273018181818031,2.2397262626262533,1.6811159090909027,1.5548445454545372,4.634227272727261,1.4647169318181683,0.0,1.6825324675324576,2.114118102766783,2.351934687499996,3.1797760000000026,1.486338888888879,2.801397753246742,4.75365631941031,2.346091130820388,1.642899962121201,2.34688636363635,2.6513344276094157,1.5929012626262529,1.9818425252525116,2.267072960372949,1.767316083916074,2.8438885275287973,1.709646753246744,1.8349976430976305,1.9017055718475009,5.192735045454548,3.3711268920454525,2.0120515584415464,1.7586295454545395,1.61863661616161,4.984479757575757,1.863611363636352,1.786982818181814,2.8788110606060515,1.640543873517781,2.2488611999999946,4.476621780303017,1.6052755102040748,3.8279878787878703,2.304914946070868,2.3033212215909047,2.0809068939393853,2.092142272727269,2.071866457680241,1.8556717171717056,1.756754545454536,1.430067888563043,4.755086402048638,1.682198571428557,2.4059382445140933,2.0664154334037987,2.137934818181803,2.922242121212106,1.7091826794258302
CG,1.5705916666666553,1.698187734487724,1.5728076190476208,1.0866909235209163,4.018814892099149,1.097478194444433,1.6825324675324576,0.0,1.4462394685990212,1.6659468501984058,2.9464538412698507,1.6110198412698278,2.1905339206349104,4.096779208923199,2.208385791715043,1.527836071428562,1.4947185425685343,1.9200536243386088,1.4366630952380888,1.3092174603174496,2.2775461538461363,1.9164481074480937,2.2378069528280693,1.8075349206349065,1.5105862433862316,1.5494105478750535,4.570478174603179,2.733912925595238,1.6361655555555434,1.1608571626984017,1.2814555555555474,4.304603428571428,1.6797654040403935,1.5011162380952303,2.397201825396822,1.194836576949615,1.4462593047618997,3.7706985119047536,1.501092743764164,3.987450216450207,1.8931912832929685,1.647733377976185,1.849153373015867,1.9941034126984136,2.136973289545688,1.6395698412698263,1.814090720390706,1.0396268049155082,4.026521949474613,1.5783603174603051,1.7706826053639728,2.094876891841995,1.775989203548073,2.1951979365079257,1.3654451629072597
CI,1.9677931055900544,1.40987397452788,1.9486956521739056,1.262494426877461,3.981416595017086,1.4750999456521607,2.114118102766783,1.4462394685990212,0.0,1.570542241847825,3.264750956521737,2.0351853140096448,2.0585938033126223,3.785545802585188,2.4913697667019923,1.885496739130424,1.6235284057970911,1.883339122383244,1.9221495410627896,1.3295947342995058,2.441782296544014,2.300523143812692,2.2047966013472045,2.249202111801222,1.979104750402564,2.0670756100981618,4.149098217391319,2.636044845108698,1.9224615942028933,1.3604281521739083,1.6326250483091718,4.276411391304356,1.912090098814214,1.826930956521739,2.6824957246376697,1.4664152173912943,1.4893359695652149,3.7161617210144855,1.916864489795908,4.089899868247685,2.266377324981564,1.5171947690217384,2.1333652536231837,2.390109782608689,2.406487616191883,2.122872898550705,2.1219239464882738,1.4516601963534268,3.954511475811381,1.8242099999999892,1.7988796701649097,2.4971225075834016,2.046786202046027,2.150340241545883,1.7250742105263062
CM,2.074186651785712,1.84022271780303,1.9581209375000004,1.6948703124999998,3.903463304073021,1.7197057291666646,2.351934687499996,1.6659468501984058,1.570542241847825,0.0,3.1211009374999987,2.174605868055547,2.271135985119043,3.771353717905393,2.6648907850609778,1.93865635416667,1.7179654829545383,2.0513396412037004,2.008346284722219,1.6695212847222167,2.665825168269231,2.4508429086538444,2.3747767209506985,2.439884419642856,1.9968970949074023,1.9818369052419325,4.2730935625000015,2.8561720000000017,1.9765485863095176,1.7060471875,1.884162048611112,4.251931729166659,2.0529093465909067,1.798884062500001,2.559690937499993,1.8297363179347823,1.7123575374999995,3.823827604166656,2.0544509375000004,4.099021979166661,2.1883003230932103,2.078821875000004,2.129879270833329,2.2488903125000013,2.650360053879307,2.1562985763888847,2.409727668269229,1.8193150907258089,3.941216967429564,1.9303975446428563,1.8116860668103365,2.647224556686044,2.1076257683823454,2.240185104166661,1.7827537006578922
