ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,5.565998681318659,4.827744285714269,5.9476698511904695,4.841080590207901,5.20659845238094,5.709082985553757,4.682490664160394,5.8966528417818616,5.052756246498581,5.14245531547618,4.9236796616541225,5.166311869225297,4.603585398809517,5.326565845648583,5.888123015873005,5.087158806722679,4.965261277584179,9.509999999999994,5.353733324675308,5.973776065162894,5.364951228070163,6.085399404761895,6.595098214285719,5.43873479853479,4.948563580645154,9.585742857142838,5.806080386904755,4.806880519480513,5.1420891625615575,8.723678571428566,5.399377880184322,5.367442424242426,6.090472770562751,6.0465535714285705,4.874190779220759,5.14405095238094,5.153125895833322,5.445848379416265,5.307059115646238,5.408401558441538,5.6667438452380905,4.945929918154759,5.121517748917743,5.330703161904765,15.540767507002762,5.200830493506483
AL,5.565998681318659,0.0,2.6325791093117346,2.8010457211538444,2.3001698158179757,2.371886773504264,2.7555398789973964,2.3716343522267107,3.542601124896596,2.547972337858212,2.4066379711538346,2.5049154048582905,2.19694773823191,2.497093708333329,2.415918938992037,4.889789658119638,2.615579552036192,2.534710900562842,9.526556923076926,2.7530411328671263,3.592560688259096,2.722435114709842,4.532916181318671,6.536058910256394,3.3593892307692137,2.96243760049627,8.579172820512804,3.5232032211538478,2.9998400932400884,2.1670519009725817,8.210295384615364,2.45346438378824,2.5043616783216684,3.2098778321678307,4.357484829059824,2.4944738539238456,2.376465170940162,2.3752434182692226,3.769225397022324,2.420460439560432,2.4159703496503444,2.7241004166666523,2.2217834014422944,3.1369046620046617,2.670722030769224,14.29528144796382,2.209548573426562
AT,4.827744285714269,2.6325791093117346,0.0,3.38292884868421,2.03514371386212,2.478325716374265,2.9132132702542783,1.2825402631578913,3.637600577249564,2.019080454076362,1.825166299342092,2.0461465789473667,2.416496779261578,2.204970072368415,2.242314537205073,4.901650818713437,2.403888356037142,2.228521876765077,9.404552837528607,2.766026354066983,3.6401294736842025,2.493073508771926,4.326504492481202,6.162413464912271,2.958716680161926,2.3663056213921863,8.428261929824554,3.458073782894735,2.16410218500797,2.1671693163944266,7.948771052631579,2.680267396717588,2.741272328548636,3.581839617224875,4.093646637426897,1.8883415629984048,2.111731081871341,2.2093178519736782,3.3687581748726623,2.697774650912992,2.673889872408296,2.8981621008771827,2.0013853700657798,2.8424219085592752,2.133904821052636,14.32334578947369,2.555206995215305
BA,5.9476698511904695,2.8010457211538444,3.38292884868421,0.0,3.548748441901415,2.8862992361111126,4.151524122191021,3.3477370065789502,3.735863541666657,3.3553414583333407,3.8176799374999977,3.4815049671052654,3.66119605410448,3.556622000000001,3.584442133620698,5.632621041666661,3.862783477941184,3.409481240853653,9.538370788043476,2.903681306818184,3.143728388157893,3.1768293530701763,4.9202272321428575,6.807481458333329,4.418320048076913,3.478927842741935,8.970338958333329,3.7238862500000014,3.647511306818176,3.2776631393678106,8.303648125,3.5771250336021514,2.6889686553030283,3.1097133522727245,4.79118715277777,3.604363768939403,3.597219375000009,3.1020576875000008,4.057226955645165,3.365177997448981,2.1530889962121305,4.160441458333341,3.628728593750001,3.1755656628787863,3.124715375000004,14.765716654411762,3.139609738636367
BE,4.841080590207901,2.3001698158179757,2.03514371386212,3.548748441901415,0.0,2.695671850547726,2.261556556417148,1.5106906708673096,4.27061780099954,2.139892438552879,1.713023389964781,2.1417573795403952,1.9861777044355624,1.950567306924877,1.9783204079650245,4.912283834115794,1.4286013024026447,2.3685583002404664,9.986223233312908,3.28982983098592,3.963894907338763,3.0330621892760066,4.692777902414489,6.458739589201873,2.8405702275189437,2.732667057246702,9.021346291079787,3.79894965669015,2.3334892957746463,2.17001266310506,8.18957521126761,2.5310294260184683,2.81612170721297,3.9928292061459656,4.601768317683879,1.4344280708493358,1.786548771517993,2.226158400528167,3.573058530213535,2.723273601609651,2.655759308578744,2.289378026995293,1.571104306778166,3.0633907497510307,2.579126084507052,14.853704407622166,2.4152867477592737
BG,5.20659845238094,2.371886773504264,2.478325716374265,2.8862992361111126,2.695671850547726,0.0,3.4212650343320767,2.285151418128652,3.2149882168458723,2.3310259967320217,2.8990472847222115,2.553957587719299,2.753244125207292,2.6909150694444395,2.840174683908042,5.091263055555547,2.988577375816988,2.3960523888888834,9.365650978260849,2.2596776212121186,2.8891355701754318,2.25869337719298,4.261857539682536,6.125333888888886,3.3944655341880243,2.52815833512544,8.731013611111093,3.075405486111114,2.6812164393939373,2.4105183812260456,8.190756388888884,2.770172553763435,2.578032348484842,3.044068661616158,3.759397499999998,2.6445277020201985,2.846628055555551,2.152086840277771,3.3324179838709607,2.323124767573693,2.1271209848484856,3.3672790277777698,2.6861896701388788,2.578982196969697,2.5250959222222207,14.288156748365974,2.427777469696962
BY,5.709082985553757,2.7555398789973964,2.9132132702542783,4.151524122191021,2.261556556417148,3.4212650343320767,0.0,2.3148809373151877,5.084777733478306,2.856070447235067,1.8105343096910105,2.9516947752808904,1.7727691933590444,2.6340866549625432,2.274382967841915,5.07590580524344,1.8960344210178404,3.3004753806522227,11.160928724963345,4.1512636874361615,4.853372554701354,3.906773313621121,5.696037885232745,7.581532256554309,3.179001210025916,3.635280140268205,9.493485018726576,4.401885077247202,3.4054210078311185,2.218358543200301,8.885712359550553,2.3856117554669494,3.2184503575076597,4.689642134831458,5.557542540574278,2.4358150209964777,2.186240767790253,2.8009168560393323,4.754131861181578,3.1475510341664688,3.2150326864147063,0.8212321376404463,2.2626090993679777,4.148002054250372,3.56653091235956,15.565331460674123,2.309273250255361
CH,4.682490664160394,2.3716343522267107,1.2825402631578913,3.3477370065789502,1.5106906708673096,2.285151418128652,2.3148809373151877,0.0,3.778065996038468,1.922133163054691,1.449339756578938,1.7155721052631536,1.9173836567164109,1.691988024122798,1.870413602540832,4.714392309941503,1.7356382198142353,2.061267264441587,9.681590423340966,2.822781555023921,3.66074552631578,2.680470789473681,4.3787424248120335,6.285430482456134,2.548119048582982,2.306485826825121,8.49371710526315,3.4435649671052637,2.0590836443381155,1.840795744101625,7.958493421052635,2.281340897000553,2.4594176156299787,3.544139066985642,4.093615789473682,1.4653288011695904,1.6657691228070135,1.921155266447366,3.286731222410862,2.326474892588611,2.317540933014353,2.332692258771918,1.5907090049342012,2.8396193646996264,2.32823803157895,14.484617631578953,2.204350693779895
CY,5.8966528417818616,3.542601124896596,3.637600577249564,3.735863541666657,4.27061780099954,3.2149882168458723,5.084777733478306,3.778065996038468,0.0,3.739374497153696,4.553134192204284,3.6729438737973856,4.122046605681268,3.736988598118267,4.096872480533917,6.070386200716837,4.577507596457933,3.2994886892210764,8.557093969144452,2.3175486744867966,3.629151063950188,3.4017815506508096,3.8120127380952296,5.936570026881721,4.511925310173685,3.314950462365586,8.867636559139775,3.570741149193536,3.660199608993152,3.8145284019280616,8.669918010752692,3.9261978494623553,3.458213489736063,3.437295845552292,3.4673957885304647,4.081778980123809,4.2300749103942525,3.387996109542992,3.0977018817204227,3.470903105113007,3.4994318670576656,5.028655583333318,4.101227982190841,3.326740241120879,3.552084653763427,13.210798734977878,3.767453630498525
CZ,5.052756246498581,2.547972337858212,2.019080454076362,3.3553414583333407,2.139892438552879,2.3310259967320217,2.856070447235067,1.922133163054691,3.739374497153696,0.0,2.2816220833333243,2.2477383126934964,2.376388352355863,2.458882492647051,2.2700443542934368,4.9442994117646935,2.47866986274509,2.3274631640363403,9.659638056265972,2.8741764812834245,3.1931410423116584,2.463219772961813,4.382144026610644,6.231484264705874,3.1438214781297007,2.773233810879184,8.863001960784288,3.3296796200980507,2.727637718360066,2.2326046112237914,8.146176274509783,2.664367514231492,2.763300356506235,3.5388948484848446,4.330652843137249,2.0811620261437893,2.214092777777769,2.2199602757352865,3.583079769133452,2.608608495398154,2.501039928698753,2.8329177107843044,2.1970719577205804,2.6236431966726097,1.7243754666666748,14.631734509803902,2.271113907308368
