ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,6.453390732323215,5.101900357142829,4.847053603896074,7.473766119582639,4.607119583333322,6.444230162337638,5.027713611111065,5.697028586956498,5.98462325892857,8.714855214285734,6.300444087301551,6.90522692857139,17.170562411196908,6.251251280487765,4.739434702380926,5.816078755411208,5.899833478835952,5.234012182539661,4.803550992063435,6.146030888278343,5.64780788461535,6.32047980382294,5.749253214285683,5.453477552910023,4.806220218893975,15.483836500000033,7.640022991071393,5.507408690476176,4.785910624999991,4.843288571428563,17.646274690476098,4.907147629870085,5.359919642857147,7.1407822619047225,5.438566102484443,5.8945200499999855,15.682788333333267,5.003835867346916,14.093669837662327,5.020203141646457,5.802969732142835,5.560200357142845,5.4919832142857,6.50923594827582,5.585514087301554,5.554651730769194,5.056950841013801,15.240651423541104,5.677607023809514,6.269235751231458,7.045456702657776,6.023133315126018,4.596973293650736,4.437266522556363
BF,6.453390732323215,0.0,6.115050404040381,4.630093636363644,8.328670480081717,5.410089078282838,7.2807292929293075,4.97649913419911,5.019414527887542,5.448343835227253,9.574557090909083,7.266889393939408,7.479160398268346,16.54560889462185,7.522335131805865,5.945297537878732,5.606069696969642,6.300050252525214,6.185522222222231,5.294717424242399,7.336351903651904,6.896782905982913,6.91763977521696,6.970890548340556,5.800483670033673,6.145797165200374,15.02721539393938,7.762135764520141,5.739779624819618,4.824568554292941,5.562552146464655,17.564764888888792,6.264459343434333,7.399668242424255,8.192737474747435,5.314441919191927,6.465792564141382,15.47496388888879,6.144295052566485,14.680404040403925,5.807396062318062,5.30849087121212,6.292603939393938,6.440977373737373,7.902522048066877,6.818201515151524,6.662717171717175,5.324219485174329,14.541918540332736,6.544534574314567,7.000877192615728,8.075746370683573,7.637197216874585,6.26651853535349,5.920269824561393
BI,5.101900357142829,6.115050404040381,0.0,3.733244090909068,8.637818707865124,2.699907916666655,4.197062727272677,3.7400961111110624,5.990861521739109,5.798524062500003,9.602561999999976,4.397219444444388,7.695746857142799,18.618871189189157,3.736120853658512,2.202201250000008,5.770255454545378,6.258646111111054,2.5311838888888727,3.300038333333291,3.773141794871767,3.6864411538461166,7.128310985915483,3.181059999999963,3.98999074074072,3.2130937096773877,16.82809199999998,8.569707437499956,5.733215714285692,3.285141875000009,2.9018386111111094,19.43929133333324,2.5102709090908992,7.165101999999987,7.729953333333252,3.363301956521708,5.993528149999984,17.102144999999883,2.609801020408164,15.16780939393943,3.7073957627118506,5.130789999999998,4.076426666666617,3.346279999999974,5.584488448275796,3.967559444444398,2.981191538461516,2.9826025806451337,16.752793661971634,5.305599285714266,6.781580517241273,6.012868720930155,7.317492058823488,5.078404444444371,3.68243026315788
BJ,4.847053603896074,4.630093636363644,3.733244090909068,0.0,7.838874943820204,3.21786450757574,5.210082727272698,3.433657503607475,4.469919525691634,4.298964744318171,8.942004181818175,5.403856363636323,6.583430935064899,17.019124528255485,4.955206186252728,3.590305568181805,4.59607606060602,5.047225437710399,3.8599253535353415,3.180021363636325,4.939974149184103,4.62157979020976,6.120718937259911,4.531095324675283,4.385754141414117,3.920572932551288,15.241546181818196,7.270639903409041,4.916863593073593,3.077834829545446,3.525670631313128,17.980650121212083,3.7345022727272457,6.393027181818187,7.313558787878716,3.595140632411048,5.044413504545443,15.66001393939388,3.945432189239316,14.218566969696944,4.042695546995359,4.256493863636344,4.341598333333288,4.433889999999981,5.797208808777379,4.7476363636363175,4.251444125874089,2.9104205571847315,15.065197938540177,5.012844069264039,6.090139529780469,5.944451226215602,6.686958631015994,4.695467121212073,3.7966127751196033
BW,7.473766119582639,8.328670480081717,8.637818707865124,7.838874943820204,0.0,8.169051427902621,9.74798712972416,8.036990672373777,7.911777381533957,7.835990804073012,10.244738876404451,9.177470349563016,7.978948433386773,15.67321935955049,9.793468320087603,8.550199962546735,8.113229349676473,7.732244163545501,8.630148813982494,8.308397858926334,9.907463641601748,9.462557303370716,7.30494304795063,9.43271597110747,7.978730982105699,7.306983363537486,14.441617724719066,7.995309972612291,7.250538566078106,7.939300919943783,8.256143461298352,15.289494456928711,8.394343028600579,7.853639067415715,6.941961385767772,8.64327276502196,8.15919134887637,14.501632958801396,8.440300321027264,13.433529860401665,7.453482193867808,8.284960744381983,8.29141913857679,8.416261910112313,10.12309484695845,8.201370973782751,9.368954710458002,8.327024791591159,13.804698414305888,8.143587897271265,7.235581774505936,9.984244133786174,6.375238341044267,6.482255137328312,6.886297019515067
CD,4.607119583333322,5.410089078282838,2.699907916666655,3.21786450757574,8.169051427902621,0.0,4.3952830681817865,2.962449742063457,4.993853315217354,4.926481770833338,9.660538750000008,4.86452680555552,7.225017821428528,18.083008822072003,4.0412409654471375,2.173362083333307,5.279106856060566,5.611044953703679,2.97840930555554,2.779289305555516,3.782336698717924,3.909638044871776,6.463852435446004,3.578881249999973,4.128787268518505,3.632021572580615,16.264080749999952,8.067673229166626,5.370230892857136,2.6906081249999967,3.026603472222213,19.159684916666546,2.8917248863636,6.471315250000023,7.585893749999983,3.324032663043453,5.413802966666653,16.982310416666582,2.6405232908163034,14.870526931818072,3.6009106426553545,4.499765416666664,4.033537083333315,3.7759437499999935,5.735600761494221,4.348536527777743,3.1529124038461283,2.8945794489247083,16.100814818074973,4.932041726190453,6.10750173850568,6.088788905038725,6.973509740196048,4.421164583333304,3.5075431798245447
CF,6.444230162337638,7.2807292929293075,4.197062727272677,5.210082727272698,9.74798712972416,4.3952830681817865,0.0,5.189701154401105,6.96308083003949,6.840873437499998,10.804365818181822,5.604556060606069,8.679802865800777,18.76573392874691,5.58186097560975,4.161832765151489,7.096809090909021,7.283001734006662,4.557004545454552,4.8653458080807415,5.4000757575757525,4.812965034965012,8.11650317541612,4.566800649350625,5.639714646464656,5.094057771260971,17.279357227272673,9.50581916477269,6.934798874458852,4.764065511363638,4.784896085858577,19.81195333333328,4.455993181818152,8.45371181818185,8.960465454545407,5.0271069169960265,7.132579886363605,17.629823106060503,4.6642784786641815,15.06165454545454,5.357938058551582,6.385681306818177,5.649035606060605,4.801969090909077,6.727860815047014,5.383330808080806,4.3482741258741004,4.658273607038098,17.272413162611812,6.751530995670977,7.991259749216174,6.845800634249455,8.305718770053415,6.300998535353446,5.26177253588514
CG,5.027713611111065,4.97649913419911,3.7400961111110624,3.433657503607475,8.036990672373777,2.962449742063457,5.189701154401105,0.0,4.721898619737671,4.750126860119017,9.294773142857103,5.157442063492005,6.935233365079304,17.446770848991825,5.183526364692152,3.490349325396783,4.823127272727204,5.652222407407345,4.054465873015843,3.401827380952318,5.005508180708117,4.998783760683703,6.343901377151763,4.6866785714285095,4.49898121693117,4.070024987199128,15.717234587301594,7.778484812499943,5.26988539682536,3.226225902777745,3.643240277777748,18.284725206349165,3.9795643939393455,6.544039999999972,7.452461428571349,3.935333850931632,5.509949246825369,16.095509722222122,3.652602721088397,14.472337806637718,3.829641834812985,4.595571200396793,4.482781904761844,4.392309841269806,6.3977298850573945,4.806362698412635,4.334961294261238,3.471266871479731,15.542553167896113,5.256981111111057,6.089920831964872,6.467486747877371,6.974532401493888,4.735421984126914,4.078110342522934
CI,5.697028586956498,5.019414527887542,5.990861521739109,4.469919525691634,7.911777381533957,4.993853315217354,6.96308083003949,4.721898619737671,0.0,4.747361616847807,9.326745391304332,6.928300821255998,6.598093432712157,16.11362972855458,7.135592078472906,5.727501249999947,5.169587865612587,5.817505322061154,6.055333478260841,4.84285939613521,7.086859821627592,6.865298662207309,6.3121391855480535,6.785633291925412,5.765982045088522,5.824839705469799,14.501297391304346,6.73478652445648,5.2763788405797,4.634527635869524,5.369560664251184,17.27293278260869,5.97574136363632,6.621275826086964,7.567773043478225,5.452498695652133,5.930526345652139,15.020439166666591,5.730496699201384,14.213939354413691,5.667413559321985,4.460890597826058,6.062596594202887,6.250977391304318,7.812490224887506,6.514462463768066,6.411532474916335,5.196707349228574,13.881263031230738,6.100982815734959,6.339724242878501,7.640440910010074,6.571019964194357,5.615726062801886,5.399074988558317
CM,5.98462325892857,5.448343835227253,5.798524062500003,4.298964744318171,7.835990804073012,4.926481770833338,6.840873437499998,4.750126860119017,4.747361616847807,0.0,9.337105562500003,6.946574687499992,7.091969104166619,16.51670060641882,7.084388650914639,5.49643552083332,5.25773133522724,5.180180613425904,5.898072604166669,4.781797256944414,7.018055953525643,6.516960552884615,6.436144793133815,6.609568705357141,5.614550706018491,5.608637328629021,14.97260881250003,7.590246124999957,5.504779181547594,4.627992812500001,5.442061770833336,17.42079502083327,5.889593607954531,6.995092312500004,7.701562812499975,5.286839633152156,5.195701662499998,15.19531052083326,5.650243705357146,14.369816467803096,5.441036054025397,5.03291468750001,5.884824687499994,5.8892603125,7.419721282327582,6.325464479166657,6.3273364663461535,5.005052832661288,14.46181502200686,5.746552723214291,6.634224946120628,7.703209484011616,7.040546996323494,5.639059687499955,5.348480016447341
