ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,0.0,37.42244428152505,25.06054387096773,31.21336405529977,20.072542137096814,34.83024896608806,22.820555100806484,55.44355846774168,23.56118357022324,20.598790883590404,22.06055391705085,21.890480762973272,25.05773512406952,20.856532096774217,33.233542649071616,25.93188252688152,24.990979689367027,20.72489872140747,22.768837434017595,19.625458269329204,23.24470674486801,36.20034243176217,23.81765612903241,23.397110061864865,19.539413316790775,22.345498755760484,22.969484870967804,18.963671231671608,42.38823539668727,27.70360105332473,19.63794623655917,24.913632258064705,69.79315207373263,22.498851129809594,22.11448079493076,20.99326404074704,21.33752585974745,82.13528013582379,40.672229558573854,28.958072609107763,28.15764193548389,23.412828037634213,28.6903068875329,28.999685782557005,30.080600220945616,22.133301835337186,27.421220709677364,17.880117767537133,22.105976193548383,44.14572177419343,35.26740823136825
AI,37.42244428152505,0.0,39.52299365982387,45.12555194805218,38.80061079545438,43.87163752913775,38.09375855113653,52.4064715909088,39.10501151328664,38.17139367588901,38.65064805194828,37.933181288537554,39.278412552447584,38.49928109384149,45.16137606060612,41.39830833333298,35.06498821548822,37.12736254545442,38.34251990909105,38.658925685425565,39.65409999999975,45.33287762237786,37.90178272727281,38.822395628891705,37.964102564102525,38.23392735064948,41.42103309090879,37.94608272727267,50.23350245700253,41.380206864564094,39.37613440860202,38.46108080808058,86.27807142857014,38.16883229682367,38.28795581168804,37.873331866028686,38.18335547035549,94.52019377990317,50.05265287081321,41.514989331550304,42.864709090908896,38.73999532828257,35.532785012285046,35.898153198653176,42.40272478206722,37.86879048636364,40.36983370909078,37.724892496392336,40.41072419580426,44.573818181818126,40.2070423197492
AR,25.06054387096773,39.52299365982387,0.0,33.12064259907828,21.63780397580642,37.68682726881713,12.459789411290302,53.0312869193546,13.488851189081858,21.351236967741865,21.3154873241167,17.19226501542775,12.672553253101706,14.4233397096774,21.122824340175864,25.077225924731163,28.21804726403813,15.565645624633364,12.707332231671526,25.705734479262624,20.9660364516128,35.81552490653425,20.13309329032254,14.7821343084401,18.64583199007437,15.71549266359446,22.19888432258051,19.796967249266824,44.64627487532677,32.45259881105982,23.871142451612855,20.19735681003585,68.54904340092126,11.767814897395992,15.64395361520734,16.572049938879427,13.127442221598848,77.1975683056019,33.60494679456717,15.53998880645156,24.17770690322576,14.796928069892449,32.70947692066244,32.165811206690414,26.464181090587672,18.360405521554224,11.440411883871008,24.29874183922164,18.36532505707196,45.54356322580641,38.13998082981082
AW,31.21336405529977,45.12555194805218,33.12064259907828,0.0,32.84410089285702,35.43904761904794,33.59542919642862,55.367223214286405,33.6341838197801,33.12707763975131,32.952885714285976,31.919804546583777,33.081999241758346,36.33092572811051,34.0780947186149,28.0211226190474,38.98436772486817,34.02584753246738,33.39988822077923,31.593702380952323,35.528603246753306,39.07785622710665,33.587437142857425,33.8274772407046,34.533889926740066,34.84417628571448,42.03064671428562,36.06702623376631,43.847698841699184,31.35048469387764,33.3831935483871,34.30955000000007,82.08225000000078,32.162335354561066,34.38683464285688,35.70751368421059,34.80623239751539,90.71452067669266,37.18707030075192,33.53296869747856,34.8305322510824,33.09355527777759,34.07937741312758,39.78881746031787,33.1743694716243,31.069104238311628,32.92028125714278,33.37425000000009,39.38909890109895,51.77101785714355,39.10175862068993
BB,20.072542137096814,38.80061079545438,21.63780397580642,32.84410089285702,0.0,34.826594070512826,19.39244343750005,53.98990624999955,20.834841842307608,15.94204320652192,18.52045505952385,17.686765010869493,21.794472134615503,18.114319379032263,29.83012829545472,21.82812708333312,26.06012986111095,17.69674897727272,19.49147034090909,20.13632926587292,20.05373011363624,36.720329326923,19.83419125000005,19.859489160958987,15.87903573717967,19.18183375000005,20.389212750000084,14.751964659090987,43.539514695945854,27.979606505102065,18.44892909946237,20.48995347222225,68.56420803571397,19.509697250000052,19.45750053571425,17.236744407894843,18.23172961956524,79.63676282894714,38.28719401315784,25.27752419117613,24.645696401515,20.43820791666657,30.40345388513493,29.526332638888665,25.186198030821902,18.37086617272721,23.70497694999989,19.787116170634885,19.52174278846159,44.68676874999967,36.96793211206859
BM,34.83024896608806,43.87163752913775,37.68682726881713,35.43904761904794,34.826594070512826,0.0,37.440364535256485,59.483559294872194,36.8042933589743,36.16018584169432,37.14705274725322,33.578328824971955,36.97833012820516,38.83430826219994,41.24891881118899,36.076366025640816,39.92305128205183,37.10453008857807,37.85717936829842,35.1964835164836,38.199252214452194,38.50315384615436,35.95716000000011,38.12554369160541,37.7925615384618,38.62551124542149,43.13318138461526,38.35423442890447,46.04605128205167,31.72902354788098,37.18059387923928,36.88892564102567,86.40412454212523,36.877828550200704,38.163732774725126,38.20218110661268,37.98809398439224,95.50158029689662,45.23727310391352,40.13022450226212,40.88280116550113,37.69533267093996,34.74158419958451,39.63005128205181,38.450343273621534,33.316981082633994,37.391733589743424,37.10137606837631,41.61593107692314,52.152070512821,36.82943324491618
BO,22.820555100806484,38.09375855113653,12.459789411290302,33.59542919642862,19.39244343750005,37.440364535256485,0.0,52.74462125000015,13.666436752884564,19.03701591032603,18.63097656249995,16.3270405788043,12.90152517788453,10.557116750000048,22.994261145833303,23.806641249999974,25.30252253472228,11.800096914772723,9.06942885795453,23.204501056547628,18.61639025568179,35.12272491987188,19.28947906250003,11.01583227739727,15.375728830128129,10.871590401785696,17.769681687499993,16.262403778409034,44.26012910472978,31.249111670918417,21.11645981518812,19.466562083333315,65.78324642857133,9.907819673945712,11.377248035714253,12.606587828947344,9.16745060054352,76.68243924342103,35.22060365131571,16.406582922794016,22.9568449999999,11.059891493055565,30.733905751689274,29.39003375000005,26.55155605736301,17.472596723863568,15.284714199999954,21.14319173611112,13.697068990384606,44.54115656250001,37.46707285560338
BQ,55.44355846774168,52.4064715909088,53.0312869193546,55.367223214286405,53.98990624999955,59.483559294872194,52.74462125000015,0.0,53.843526530769125,54.39415706521685,53.38987797619093,53.243100586956245,52.80164173076937,54.772806983870616,54.67096401515161,52.36068749999926,53.548844907407336,52.76045813636379,52.86792886363654,55.74604861111124,56.97204659090857,61.03911698717988,54.71039749999986,53.18364160958931,54.87196121794853,53.01435864285744,59.60829449999956,55.1252752272725,60.812721283784015,56.52120280612255,56.92812567204241,55.73569861111057,98.07465178571508,52.91942748795197,53.030840714285226,54.5643222368418,53.30378971739099,102.99266776315888,56.501015131578654,52.70852102941123,53.86329659090893,52.86632444444435,54.45312331081115,54.89935416666656,53.1232892123288,53.52537844090911,53.00386129999985,56.21051091269843,57.61456826923102,50.99531249999969,55.90423922413738
BR,23.56118357022324,39.10501151328664,13.488851189081858,33.6341838197801,20.834841842307608,36.8042933589743,13.666436752884564,53.843526530769125,0.0,20.622951263545097,20.851690813919312,16.698187540468155,15.4863965538461,14.45880202729528,24.20006156783218,24.61097041538454,27.16833971794864,15.426481513286706,14.244919942657354,25.143138418803375,20.32223505594397,36.07612913333328,19.593330492307626,16.285095329188593,17.29015667179483,16.382804892307725,20.32345229230759,17.7160975678321,44.81883849022869,31.18760121318673,22.11102720860204,19.53936143760676,66.91783666813171,13.42650357238181,15.534023060439525,16.42731746315786,14.114514548494949,77.04628641295537,35.42613129716601,17.880506651583648,23.746172733799494,15.884307298290553,31.728790358835703,31.207561715669467,26.54324535890408,17.334196722027926,16.264561584615354,22.724737871550595,17.18566510769226,44.93151463076918,37.136386344297016
BS,20.598790883590404,38.17139367588901,21.351236967741865,33.12707763975131,15.94204320652192,36.16018584169432,19.03701591032603,54.39415706521685,20.622951263545097,0.0,17.82929378881985,17.96959617391298,21.770133956521835,17.40427586956519,30.041263649539093,23.20913876811577,24.920122222221888,17.16332085375486,18.60866193280627,21.49758888888869,20.843715019762644,36.75453857302093,19.719052173913003,19.51944735556882,15.409518394648916,18.2018878385093,20.058832260869504,14.943827628458498,43.0502929494709,29.07126823425008,19.32616442262734,20.5305367149758,67.66656086956463,19.31678169565222,18.921775357142707,17.117729748283782,17.299672347826082,78.45842356979331,37.573763409611054,25.45774216112496,24.31441133069808,19.77636092995152,30.450373325499022,28.34459339774514,26.165155687909404,18.0044693760869,23.66012864347815,19.9827024844719,18.76770273578589,43.24680434782549,36.3121170914538
