ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,33.30972655677663,31.38230725563887,34.697771994047656,30.13294898054992,35.19462603174577,36.69612744783297,30.526783959899618,35.68585099846345,32.3098369187672,32.5297445148808,32.60133499999977,33.15545813788216,29.130600214285792,32.921193415435,37.17339285714256,31.6687133711484,31.800540026713023,49.67210869565224,33.12978562770539,35.37334666666657,32.956818471178,35.13604916666654,44.67100892857129,35.70948186813165,32.63025236866349,59.95314761904701,48.699847857142565,31.032736796536582,33.08407044334954,53.471267857142514,34.03647619047592,33.730967099566925,35.74099597402601,40.36455317460292,32.92933512265519,32.78241698412665,32.05958344940459,34.23452707373251,33.40407013605457,32.6725044588747,36.26472761904748,32.31451104166672,32.91599797979798,32.75436354285709,98.21613585434224,33.93420150649347
AL,33.30972655677663,0.0,17.65820265182188,17.497429278846244,17.79875135427946,19.36334316239311,20.310783828867876,16.464759838056683,22.786917758478072,18.484819170437344,17.55819054807681,20.87760070850205,17.727624580941534,17.059188282051277,18.769244297082192,32.44925213675229,18.046694798642488,19.828545390243853,48.65007080267578,17.966718727272756,19.8792831983807,20.57620504723353,24.39022793956041,47.297208269231,23.109729230769197,18.97973686352354,57.01764846153875,39.93252211538464,21.133912097902176,16.778879690539483,49.04040846153866,17.286351952026525,17.070967902097976,17.506733986014062,31.862849401709468,18.91247511266513,19.60066726495729,18.00723744711538,22.64264894540937,17.668740235478857,15.728951328671272,20.123040846153746,18.36552966346154,18.41956589743598,18.055869199999947,90.61094819004556,18.41292123076917
AT,31.38230725563887,17.65820265182188,0.0,18.08406759868428,11.646366971830936,18.051420935672468,19.547914751626227,9.914778684210532,21.596891332767264,13.103863689370495,11.256712325657846,15.200046315789503,14.744026626080167,13.719314307017497,14.402531696914709,30.923493888888714,14.074620010835917,13.805179992297845,45.88616033180783,17.188879191387603,19.03530078947365,16.57415342105263,19.4019069360902,44.21334539473689,20.25122807692306,16.44444109507641,53.353527456140455,39.01147815789482,15.550601251993635,15.164106046582056,47.116321052631776,16.483284230333883,17.827252256778227,19.737171124401865,29.63506026315776,13.753658737373714,15.069531549707529,14.223010904605246,19.897705432937165,16.0534776745435,15.258009577352457,19.279225535087647,13.84764156249992,14.440785404040437,13.497155842105297,91.16988769349788,16.975842732057362
BA,34.697771994047656,17.497429278846244,18.08406759868428,0.0,18.693045396126724,18.286471597222143,23.04131111657321,18.12705628289473,23.49243518145153,17.778844056372527,19.212934937499966,21.37597845394737,18.76002730410458,18.6671827916667,19.566720668103542,34.50229423611131,20.01802696323529,20.9160761493902,48.00499529891288,18.508981488636252,16.22430555921052,19.29334025219299,24.97094294642847,47.44271729166655,26.021466105769267,21.012743375000053,56.61836729166635,38.86265187499987,22.13039960227268,18.167624518678217,49.61528812499989,18.352872224462427,15.604045170454617,17.40194892045458,32.998301736111216,19.908375574494983,20.62338868055554,18.53434793749995,23.288028004032213,16.7667930994898,12.379849488636332,23.078121291666747,19.689483750000004,17.850058869949507,17.384940024999928,90.54854246323544,18.36353744318182
BE,30.13294898054992,17.79875135427946,11.646366971830936,18.693045396126724,0.0,17.92876356807503,16.384568651685296,8.743506426982968,22.188180056035023,12.68464759734874,10.768848319542188,13.585260752409171,13.08806589657338,11.757529973004692,12.693353045167548,28.8741458841942,9.318046729494611,12.172615925455167,46.718307477035815,16.960758435339287,19.86796350630092,17.068540677044687,19.488786141851023,44.95133970657254,17.02183980498367,16.105999883689247,54.70692051643151,40.3982146830985,13.750943094323446,14.010204320867656,45.18147774647868,15.578833728608132,17.252607703798507,20.493865736235534,29.93313704225343,9.01509794707636,12.581164906103243,12.851986756161924,19.864244159472943,15.79693862891635,14.28462608621424,16.035436610328528,11.053387794894292,15.105319432351616,14.438971149295748,91.78498501242704,16.190989480153565
BG,35.19462603174577,19.36334316239311,18.051420935672468,18.286471597222143,17.92876356807503,0.0,24.01890795880135,17.795165058479476,22.599806648745364,17.632711503267974,19.327212833333306,21.401132076023345,18.92954480099495,18.96469183333333,19.82537695402285,33.87473388888869,19.756062042483677,19.99209690514901,46.93590685990325,16.76060863636369,19.11365511695904,17.58207099415203,24.083689166666574,47.27959194444456,24.814792905982845,19.484977354838733,56.19964722222224,39.07616805555556,21.948725606060574,18.069170708812187,48.196984444444325,19.19768578853036,19.50701267676761,18.313943585858546,31.401219999999807,19.614912272727302,20.53572611111101,17.338231201388865,22.31019182795693,15.0549328344671,16.579410404040345,23.72701949999995,19.59141930555552,18.12541722222219,17.19528277777771,89.88311879085006,19.04503917171714
BY,36.69612744783297,20.310783828867876,19.547914751626227,23.04131111657321,16.384568651685296,24.01890795880135,0.0,13.988865263157932,30.560248133381474,17.09873755452741,12.549969849719128,20.669545413956183,13.661103370786412,16.058430710674063,14.513286582719898,30.001351872659125,12.084620054527395,18.728028768155617,54.15022789447993,23.52554002042887,26.902277279716262,24.77853852355613,28.57841270866756,54.297495646067325,18.31483383751069,24.16971440884369,60.38535393258423,48.68014872191002,23.480175689478955,15.10827122562317,50.448650280899145,14.256472586685986,21.719924821246096,27.372439315628316,40.30155730337086,14.633464237884416,15.365970730336995,15.875739233848378,29.080938131569297,21.55158923182765,17.773743850868193,4.544508108614215,14.153282103230335,22.451209011463007,20.728135910112307,98.50501421017889,15.578242239019312
CH,30.526783959899618,16.464759838056683,9.914778684210532,18.12705628289473,8.743506426982968,17.795165058479476,13.988865263157932,0.0,22.76132469722692,11.653344262125923,7.812286348684187,13.972428157894765,12.071436535742365,10.94497268859646,12.01856459165156,28.31988888888877,8.648273552631563,12.184195025673924,46.97385018306641,16.552037607655496,19.75126473684211,16.889909122807016,20.56850832706761,46.04431092105273,15.742546639676071,16.055240706281822,53.82167280701761,41.37714230263161,14.81604149920255,12.998704942528786,45.68829947368429,14.546120622524075,16.524345805422648,20.42805760765549,31.525545555555425,10.211472418926087,11.772392017543808,11.991626720394711,20.599318123938843,16.09073147153593,13.46003759170652,13.562972824561388,10.519553042763148,14.764808548644371,14.190646189473718,92.95921417956625,15.239659760765557
CY,35.68585099846345,22.786917758478072,21.596891332767264,23.49243518145153,22.188180056035023,22.599806648745364,30.560248133381474,22.76132469722692,0.0,23.296217229601357,25.055421099462208,24.460384032257917,24.022503161611272,21.65527901344085,24.79093726733394,37.48548727598508,25.0371784297912,22.42115935719894,46.18703080878824,18.04841646138803,22.35846483305036,21.672781205432905,22.3993422081412,44.54520819892394,29.005685732009887,20.168871311827925,57.897790322579375,37.71085733870967,22.743062952101543,22.85330808305514,50.61410080645049,23.74347526881708,22.93195972629508,21.769980146627592,26.303842293906637,24.78314507005543,25.205377795698748,23.76287651680097,21.89577231182784,22.04121768268607,22.13453367546431,30.583063080644973,23.90578358534929,20.716394656239736,21.87819627526869,88.08077375078952,24.231390434017584
CZ,32.3098369187672,18.484819170437344,13.103863689370495,17.778844056372527,12.68464759734874,17.632711503267974,17.09873755452741,11.653344262125923,23.296217229601357,0.0,13.069821551470536,16.009427776057816,13.950921012584171,13.758051475490142,13.939592596348865,30.510391176470343,13.255849147058774,15.175432834528916,47.57161614663222,17.493384741532996,18.65975642930855,16.101488679050625,22.066193844537786,46.890644362744766,20.071312081447854,18.22072389500312,54.68703019607784,40.27418671568624,18.27947547237076,13.98298139283298,47.304123627450615,15.842866274509763,18.238897789661305,21.31182875222817,32.665696274509564,13.86164032085563,14.370574673202643,12.38112146936274,21.97565811195436,16.267525998399332,14.41452130124778,17.00992921568618,13.37908517156854,15.195867938205703,10.24125574901965,91.59437725490076,14.993051893048058
