ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,28.200865274169946,28.052478214285525,25.604948181817832,38.53681764044947,25.44191702380904,35.23574188311602,26.116976904761703,25.5962209937884,25.41036044642819,24.99459914285691,34.67639761904719,28.8672717142854,34.677587092664275,35.25047508710729,27.631686279762132,26.79224077922051,26.861865238094577,28.56400261904695,26.48887960317431,35.53716902930337,31.44090912087873,26.613028390341352,31.572768571427904,26.366241402116067,28.63757062211936,34.90580571428536,30.50291308928512,25.869708809523384,26.118420267856983,28.83261603174565,45.63509233333284,27.37121499999954,19.61549571428588,28.618768333333037,28.35645338509276,26.479327971427963,39.82802517857111,27.200507959183348,57.33916861471784,28.64990826876479,25.355357321428222,28.77460988095177,32.98504714285675,32.9244634482751,30.60029968253916,32.65302318681272,25.917776013824547,36.67299383299701,27.92538880952341,26.463283374383906,39.22761338870359,24.783962630252137,25.813991507936198,27.257182894736584
BF,28.200865274169946,0.0,17.2849600252524,10.5773617171716,41.863158994438905,11.838146919191452,22.479113131313,13.449283694083304,10.516405566534988,11.814371786616244,33.574208808080705,23.10217929292926,20.93756664213531,29.57546218400285,23.146384528209012,17.23942811237332,13.95824444444405,20.72024393939348,18.17840404040351,12.960521919191995,23.514316550116664,22.20367070707068,18.684475070421897,17.887814141413745,17.617737205386792,20.632272336265725,28.324099338382947,24.13071736111064,20.1133187301586,11.524657114899004,14.77964722222154,45.84194456565613,18.88782777777729,19.65791628282869,25.20798045454568,11.882632037768625,17.655381719191713,37.9409202651511,16.390256565656244,56.050962626261054,23.31775124122593,11.943758952020428,18.28179729797958,24.489159090909503,28.915086172065735,22.6165323232323,18.452085703185457,12.185621049201426,35.56251663536672,17.72707585858559,22.87736424242408,29.95470082217538,20.12811408853248,21.61691929292917,18.503246198830144
BI,28.052478214285525,17.2849600252524,0.0,15.085877500000151,39.79848710674234,15.489822499999576,24.25661795454521,16.409993611111283,16.265800326087284,15.524900000000434,30.939493499999728,23.45289083333337,23.11505678571388,31.28968787837921,26.67451298780484,18.10502145833314,17.527147348484974,19.587174351851317,18.233700277777743,15.343161944444878,26.560388397435823,24.409301346153917,19.66241771126701,21.211220357142807,16.348833055555865,20.272934596774277,30.01244349999892,25.661269749999505,20.038767261904685,16.461053125000312,17.818544166666744,44.921211833333246,18.470357954545356,19.51707250000044,24.482324166666555,15.607477934782638,18.50396979999975,38.278462083332805,16.28022954081668,54.772930075757856,21.05291368644085,16.49113937500046,19.303584999999952,22.892662500000192,31.129917327585773,22.329586388888963,22.36859403846169,15.011427822580773,36.98950742957632,18.685929880952504,21.484976465517217,32.13435645348788,20.297679205882503,20.96389305555567,19.85360934210516
BJ,25.604948181817832,10.5773617171716,15.085877500000151,0.0,40.539546363636646,9.538547878787636,20.336900909090765,11.9501786291484,9.26613092885374,10.121027159090971,31.39927727272733,20.741408888888994,19.91695362337615,28.71965452579905,19.928251330376845,14.273758617423653,12.779035454545191,18.415023872053226,15.444407979797983,12.740819494949546,20.7002174125873,19.17817209790205,16.67178768245786,15.044312857142655,15.144062626262514,17.706403137829874,27.909956272726497,23.05261998863577,17.809651818181884,11.13184494318179,12.973046363636184,45.16720321212099,15.668705454545206,16.972805363637086,23.225540757575967,10.980164664031422,15.058540827272529,36.7628041287875,12.892279721706798,54.45531606060517,21.4635348073963,10.144239545454734,16.895654318181883,22.728479090909435,25.680232507836998,19.18151808080811,16.437326643356524,8.629153460410501,35.22668719590174,14.819180259740168,20.847771630093987,27.82488395348821,17.343657235294113,19.497520707070823,15.652741196171997
BW,38.53681764044947,41.863158994438905,39.79848710674234,40.539546363636646,0.0,40.5155256647942,47.98280296220688,40.236116336722255,40.554664872984894,38.35589334971903,43.04532211235954,46.73789744069929,39.45325253237003,41.00716886182848,49.68102650041168,40.492636266386974,39.75821358529102,33.48486671244258,39.93660717852728,39.36312257178513,50.86594177470538,48.24018522039825,35.62292908213239,46.78126613162176,36.52319348730768,35.75701424429174,42.27498669101151,40.73442658848211,35.65197761369724,39.638367801966,43.12708670412066,39.96195267415766,37.23065107252303,37.384045033707245,31.2366824531836,42.0429592330239,35.595577557303265,45.96469253277164,39.77436764503589,57.88643173306156,32.2194814130644,40.646055421348265,38.44473686329565,38.79779674157334,51.76810000000076,38.56604981273429,47.84476940363085,40.32123573758621,40.79125827979014,38.62015438202213,31.16560244866288,52.33695011758629,31.903009575017037,30.036494119849777,35.23987437019558
CD,25.44191702380904,11.838146919191452,15.489822499999576,9.538547878787636,40.5155256647942,0.0,20.664276439393017,10.27878507936473,10.2539460507246,10.067094374999902,32.73620349999932,21.736311666665884,20.395629428570995,29.33651789639671,20.71340638211282,13.8826881249994,13.310591969696482,18.608479259258573,16.092536666666003,12.483475833333031,21.044200576922048,20.343840448717117,16.428828744130833,15.612778690475396,15.920625740740029,17.558909516128313,28.04153199999902,23.3567949583328,17.495214166666667,10.15558437499988,13.884961666666229,46.2111576666662,15.836821818181097,17.05522500000005,23.767689166666155,11.956742318840195,15.241170033333074,38.33489458333285,13.842294982992817,55.33312015151581,21.211999901129317,9.94552562500001,17.07713166666605,23.056850833332717,26.736980114941424,19.102954999999145,16.342784358973596,10.066877607526717,35.13133213614939,14.787936428570967,20.54081474137904,28.867338294572665,18.063591990195928,19.1641033333329,15.766979254385316
CF,35.23574188311602,22.479113131313,24.25661795454521,20.336900909090765,47.98280296220688,20.664276439393017,0.0,22.49370043290069,21.573942430829508,21.989351136363272,37.80457745454476,25.64371363636337,28.342939761904265,36.15258337592219,28.68794323724998,23.362648200757764,23.86719393939346,28.520400606059777,23.697728787878045,24.01290333333308,28.935087179486672,24.41249370629369,26.55712308578669,22.038110389610026,24.443124074073808,26.16825806451561,35.95241113636306,31.281629068181,27.55572216450189,22.66106755681845,21.87346060606054,51.58763466666585,25.29946363636301,26.89560518181785,31.845694696969723,21.21162470355663,25.30780312727219,44.67286723484789,22.840021521335466,54.70996666666522,30.002461325115675,22.09489880681777,25.404549015150597,28.138430909091287,32.0870921630085,25.81685656565618,22.703610489510407,20.116941348973505,42.138605749037815,25.29738588744585,30.340851410657848,32.49511839323363,26.846684433155264,29.23111202020144,25.81584622009565
CG,26.116976904761703,13.449283694083304,16.409993611111283,11.9501786291484,40.236116336722255,10.27878507936473,22.49370043290069,0.0,12.408810569358094,12.140947619047454,31.89846057142952,22.478699206349564,21.663919444443916,30.2881864530253,24.24499132791373,17.6312640376981,11.719454545454186,20.509905343914763,17.59397142857136,13.380574444444584,24.003128693529117,23.05291990232038,19.18631843728981,18.393726984126918,16.615364285714122,19.228170302099432,29.62567147618937,24.34690819642796,18.114431746031663,11.153393025793516,15.78749325396777,44.60344330158726,17.836999350649084,18.541903063492526,23.68433912698444,13.103884368529586,17.991948617459993,36.25451537698422,16.5231555555554,55.2126743145732,21.47753833736907,12.26285772817457,19.392792738094915,24.656111904762607,28.98657963875273,21.283950793651005,18.84950708180713,10.84487537122342,35.29290848423763,18.878515714285605,22.243013508483788,28.844606127723026,19.379701022408984,21.10871111111124,18.570791461988176
CI,25.5962209937884,10.516405566534988,16.265800326087284,9.26613092885374,40.554664872984894,10.2539460507246,21.573942430829508,12.408810569358094,0.0,9.1457848097827,31.678318739129868,22.12447171497534,19.171709498964507,27.97119440305536,21.349513494167024,15.63109948369536,12.772490678524289,17.91495987922656,17.172355193236566,12.01584799516912,22.18371788740184,20.66791255852802,16.560046690140254,16.761184254658197,16.438765322061176,19.303551297334888,26.73926299999943,22.475147048912767,17.721276801242297,11.103871929348106,14.443039057971005,44.74731181159466,17.647497213438424,17.383403347826572,24.13721507246338,12.340458043478256,15.710034382608631,36.733097300724566,15.06268220496899,54.56468145586398,22.385790114222253,10.024658614130637,17.71347619565211,23.55221760869529,27.081654445276424,21.145129154588854,18.410345903009823,11.350771858344975,34.052410707286306,15.608210155279302,20.82977994752607,28.43757995449865,18.190430240409352,20.280182439613423,17.356135961098115
CM,25.41036044642819,11.814371786616244,15.524900000000434,10.121027159090971,38.35589334971903,10.067094374999902,21.989351136363272,12.140947619047454,9.1457848097827,0.0,30.99854674999934,22.97245055555506,19.542296458333,27.921110391892057,21.691422682926525,14.693346249999806,13.04105583333323,16.934598449073714,16.40274006944448,12.428456388889025,22.27731134615343,21.23386913461505,15.657179330985468,16.996174821428664,15.001392314814916,17.79702935483879,26.52365299999916,22.31335899999952,16.95283145833332,11.571306250000212,14.924819722222326,44.56243933333313,16.635406761363537,15.8396743750007,22.73369354166628,13.079935353260996,13.558458349999984,37.30578229166629,14.449549553571604,53.599407935606415,19.86503643008461,10.573537500000258,16.683547916666647,22.14030249999976,27.297303879309556,19.696604791666537,19.407698076923037,11.311319576612872,34.38373048415401,14.823538869047702,18.866636379310368,29.352275901161853,17.343026654411855,17.987762777777828,16.1377658881578
