ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,68.85212923077002,64.6041268295751,67.98661821428414,61.76047001341114,65.67479174603218,70.3326215088292,60.74468449874804,69.52060814131613,63.47579563024934,64.13547779761947,64.81568676691859,65.78330959488333,57.13496676785804,64.11909297208312,88.37875396825582,63.010274490195776,67.18350136701382,126.67858592132748,65.6980747532473,68.4863695488714,65.47427002506001,75.0525984523794,86.65091369047435,72.23510054944956,67.54295650691049,125.98134285714586,68.54387101190326,67.90876926406764,64.92305862069085,111.01501488095576,66.48025837173317,70.14096796536683,70.29038666666389,81.05867896825262,62.90326520923598,64.74597138888882,64.59876333035588,67.40777195852242,66.28553666666488,66.32368242424285,68.48748342857496,64.08842553571505,66.41225339105209,64.30619043809449,202.6986106442533,66.35785315151557
AL,68.85212923077002,0.0,31.23846989878463,27.14786634615451,29.146861245936694,27.449978034187765,34.280782489196845,27.098069898784814,30.932703953680537,30.04438265459929,30.54985067788417,31.09774659918956,29.45517168771592,32.223326862179746,30.938639946949145,82.84785863247949,32.18885359728505,35.53914287241997,124.4288581270914,29.217370377621453,31.600284493927624,31.603042267206785,43.515040961537615,82.6427389102571,42.737833076923785,35.052878595533244,108.62677384615436,31.267270288462253,38.039955710955184,28.046084686119134,93.50008903846212,28.866013333333683,32.264981025641056,25.668573006993533,49.09987525641144,29.179255858586416,31.059624038461383,30.596689697114243,37.550379764267376,28.30398723704928,27.22827221445252,33.354547256409695,30.47630697115429,30.24575462315537,28.626125353846117,181.77046751131024,31.496223468532044
AT,64.6041268295751,31.23846989878463,0.0,26.77504789473646,20.329647097849872,25.41713573099382,32.509424367237465,15.379506315789564,29.47027071024253,22.37800639318856,13.87807739802611,22.86488342105255,25.555739524744396,25.339438875000184,22.86590378402876,79.17748652046643,25.436887250773843,26.67473987163008,120.79919271166555,25.4589406267938,26.802587105262667,23.370692368420777,35.51623663533786,77.18939364034996,37.41947135627506,30.02398346519524,98.87792780701406,28.45841894736785,29.74071244816516,24.66484734724697,90.7366461842078,27.774790970570677,31.55601196969597,31.073452511961104,46.23716450292448,21.29860875863928,23.185674400584464,25.311533384867868,32.41308210526305,27.18983010204109,25.068935733652,31.0137646491218,21.99157957236804,25.424959736841835,22.14803373684193,181.47482066563228,28.14538315310976
BA,67.98661821428414,27.14786634615451,26.77504789473646,0.0,26.72672984154904,24.27615902777769,30.35940068820333,25.00827434210501,30.542696008064347,24.51911232843081,26.916944624999697,27.80206947368386,26.220122611940965,29.601516541667017,26.241628491379117,81.8730858333335,29.761159397058904,33.03046751829232,125.80064842391548,27.230614409090126,21.744241250000517,26.595096140351384,42.03416732142742,82.4343420833335,41.21155846153743,35.134684459677004,108.21772875000192,27.686720000000747,37.53630462121141,24.92927472701164,93.3811000000012,26.16619462365642,21.52459628787905,23.764810681818624,50.560895694443424,25.41572935606128,27.182803194444585,27.01730518749968,36.88734145161213,25.931172321429045,15.78847840909054,29.849995083333464,26.61367375000012,25.34920578282889,23.87484709999992,183.79767705882855,27.70391288636409
BE,61.76047001341114,29.146861245936694,20.329647097849872,26.72672984154904,0.0,23.883800516431595,29.894007838264944,15.090904733135442,28.659539674389706,20.81251533001892,19.295951364436355,20.38307693105972,22.584801675425037,23.53411565786379,21.000890203982088,76.45907935836998,16.79604516735705,24.817445146341115,119.9809112737283,24.34586310115191,26.80970342475874,23.029939127748587,35.20700527665919,75.96529099765074,34.21226153846081,28.046197552021656,103.90964896713518,27.621770387323625,26.25024469056705,22.17350207382171,86.06350566901178,25.776055591396982,30.69353938967077,30.370602727272573,45.22676285602402,16.381799775216724,20.75672045774611,22.430399175175687,30.118611288050783,24.85282263868875,24.74997350832232,28.45320392488193,19.546520444541777,24.93968206999533,21.673920219718024,181.12791417564412,26.475941669653757
BG,65.67479174603218,27.449978034187765,25.41713573099382,24.27615902777769,23.883800516431595,0.0,31.902645049936627,22.94881678362541,27.03533394265144,22.27508333333323,25.33408288888871,25.798288011695472,25.153668416251403,28.2502477638892,24.889234865899653,78.64101111111334,28.11216303921565,30.14985337940363,120.22460596618764,22.59524715151512,25.6712890350878,23.054010292397365,39.2448217857136,77.36716250000157,38.27597641025584,31.671787587813704,106.01187444444864,26.66628583333344,34.425034545453926,24.429216858236583,90.57179416666958,26.27389107526756,29.517704444443712,26.31529742424237,46.43686166666648,24.16408141414156,26.368111944443903,24.54696193749973,32.84083675627208,21.845578140589502,21.834418383837782,30.51555094444365,25.175956145832824,25.32272797979796,21.81981008888838,180.7286323202609,27.420411414140908
BY,70.3326215088292,34.280782489196845,32.509424367237465,30.35940068820333,29.894007838264944,31.902645049936627,0.0,26.968187152571936,39.48945056179547,25.117301273407183,27.19704383637628,28.882844009461007,21.626183263457907,28.095209435861868,22.10227253002698,83.49750886392178,27.20399921943145,37.63831153768114,133.15913649242987,35.174728371807,38.16055479006487,31.737430494776785,50.5302843699828,87.91902326778965,43.717958210889385,40.085593014859775,110.29463220974009,33.96363671348388,42.92047289751346,18.63354881828763,92.5999389044966,16.93910407152345,36.66395171944137,39.897555832482006,61.75915889513313,23.837104606741946,25.701042063045133,26.587542504915195,45.2538929847754,31.371837936253925,31.38987609125052,6.915646013108481,23.588895414326007,36.04331067983185,30.605095011235584,188.9539012557846,14.569218931562094
CH,60.74468449874804,27.098069898784814,15.379506315789564,25.00827434210501,15.090904733135442,22.94881678362541,26.968187152571936,0.0,28.398777614600256,19.938350139318725,14.629803450657803,19.553933947368375,20.66333376669252,20.99743460307027,18.60816529038112,76.68561318713387,18.5091116625385,25.71124420025652,121.64292378718068,24.098976492822665,26.593567105262657,22.16383008771908,36.20596261278164,77.35413285087631,33.742527388663405,26.94473621222414,99.88186798245331,26.61287157894696,25.694045095693223,19.57476006352075,86.51856486841933,22.95749316638313,29.12611077352404,29.179925382774627,45.772043333333656,16.716837599681124,18.94074475146158,21.85992795723638,30.61411103565344,24.30812672932344,23.347866467304367,25.493326850876407,17.8011191282891,23.698070964912105,20.86514590526295,180.913627848296,23.89830433014313
CY,69.52060814131613,30.932703953680537,29.47027071024253,30.542696008064347,28.659539674389706,27.03533394265144,39.48945056179547,28.398777614600256,0.0,30.7748669323201,31.487482006047777,30.50141433503024,30.551492745947044,33.723448092742046,32.201304886910485,83.96691290322175,34.04116110942415,31.64758865906061,119.97465642823477,22.208641736069517,29.48721159592521,29.78993795132961,36.99121971198026,77.97716787633846,40.13840169561414,34.33439109677375,108.76573440859764,29.50638630376342,35.15265845552217,29.3062286985529,94.90824502687695,32.382943010751234,33.267217497554974,27.85762322580655,40.81175922939023,30.471363580971342,32.28505895161162,32.35322503830519,34.62742639784867,30.11670803598913,29.492848641251204,39.50537410752658,31.80290626680056,27.75797416096407,28.41336833548276,182.86309481341348,34.87074717888534
CZ,63.47579563024934,30.04438265459929,22.37800639318856,24.51911232843081,20.81251533001892,22.27508333333323,25.117301273407183,19.938350139318725,30.7748669323201,0.0,20.269433852940995,20.96175633642896,21.003462042727,23.32637923774528,18.790945895875204,76.47425673202292,22.71636550980374,27.03689842132902,122.10110105711476,24.31030710160389,26.133990330237115,19.830726212590186,38.44286793417247,77.069020049016,36.02721455505108,30.74250567488919,104.02982745097562,26.09808083333276,34.42684285204895,20.271100594995985,89.5727605392115,22.63723191650753,30.431731265596117,31.069839821747028,49.82653611111076,19.96775778371964,21.154052369280997,20.46876388357815,34.01525913029684,24.832535386154174,23.15125393939352,24.23705418627369,19.504313333332902,25.41773904931617,14.992824878431628,182.0314243137313,21.703491885917572
DE,64.13547779761947,30.54985067788417,13.87807739802611,26.916944624999697,19.295951364436355,25.33408288888871,27.19704383637628,14.629803450657803,31.487482006047777,20.269433852940995,0.0,21.998820506578888,22.01798420149221,23.54037477083324,19.581994202585964,77.14604114583418,20.8838685772059,27.08892789634099,122.53730332337037,25.931664517045068,28.83624835526288,23.11027087499981,38.73383015178541,77.8999509791668,35.9493689326918,29.51776022379001,98.81197433333377,29.794664562499747,29.896147450757017,22.356929217672032,90.18894100000048,24.89917167405873,31.66782920075713,32.25780802272699,49.14502719444463,18.471644623737287,21.563301361110835,21.64800031249968,34.26187456854803,26.13532117346925,25.538790587120847,25.509633854166605,19.919430687499872,27.41731345265127,23.40199293749977,182.3893912536784,25.771233096590883
DK,64.81568676691859,31.09774659918956,22.86488342105255,27.80206947368386,20.38307693105972,25.798288011695472,28.882844009461007,19.553933947368375,30.50141433503024,20.96175633642896,21.998820506578888,0.0,21.691794658287247,24.795137506579294,18.036960980036348,72.95477415204606,24.540100133126774,25.945798070602983,120.8827040503372,26.51971743540616,27.85240894736772,23.32642017543828,35.03080088345798,76.08930223684087,33.536064615384134,31.24137187775884,104.536547894732,26.654410789473367,33.41912020733593,21.49606597701124,90.18154855262794,25.44734926428901,32.30828917065308,32.76823875598029,47.770743011696304,18.705478745348408,16.266639225145678,24.28359410197321,34.150964966043894,26.938012298603965,26.21746111642705,27.264815140350063,15.974394884867944,26.676153189792387,23.236017010526066,182.73162727554003,25.57978796172218
EE,65.78330959488333,29.45517168771592,25.555739524744396,26.220122611940965,22.584801675425037,25.153668416251403,21.626183263457907,20.66333376669252,30.551492745947044,21.003462042727,22.01798420149221,21.691794658287247,0.0,25.44780757027397,17.5662504374679,77.24372023217086,24.13980770588219,29.88698665052741,125.53901064243446,27.53198413025672,29.50769023566449,24.650858387012786,40.89859066631024,79.73256498756058,33.87094690011479,33.26839943572445,106.81830149253264,25.83942714552325,32.64349710538144,15.464994561674672,90.77125391790776,19.58168066121001,29.689926368159004,31.803461546812382,49.21554846600409,18.932241919192204,20.196976985903177,22.680724456156295,36.89002870245466,25.940133170880788,25.893845644505063,21.03226432835768,19.395097224813085,26.249309271822963,24.34924610149191,185.48275206321583,22.280671427408517
ES,57.13496676785804,32.223326862179746,25.339438875000184,29.601516541667017,23.53411565786379,28.2502477638892,28.095209435861868,20.99743460307027,33.723448092742046,23.32637923774528,23.54037477083324,24.795137506579294,25.44780757027397,0.0,23.027331564655416,80.21736965277753,23.40551073284293,31.595221685975257,120.81981580615724,28.010546268939688,31.784750094298545,26.14492006798261,41.288136648809406,81.19901029166628,40.28307458012871,29.69529272177379,106.35008754166448,30.846148958333565,35.52426682197014,23.1680368606324,90.21462937499916,25.0233888830648,34.324555178030685,34.796677412879184,52.63172256944508,22.03963204671704,24.77711779166686,25.570301187500288,33.70321093145142,28.02293697363924,28.08930156439409,26.163540625000447,22.76238087499989,30.31177107702072,25.645711741667125,182.32855733577765,24.36651945833338
FI,64.11909297208312,30.938639946949145,22.86590378402876,26.241628491379117,21.000890203982088,24.889234865899653,22.10227253002698,18.60816529038112,32.201304886910485,18.790945895875204,19.581994202585964,18.036960980036348,17.5662504374679,23.027331564655416,0.0,75.11284122605265,22.38133742393497,28.259111346509336,124.22216704647904,26.349498746080872,28.540024337567772,23.083584404113488,39.07343161329951,78.59124675287292,34.36374368700185,31.737381939933037,104.97054597701285,27.291287758620584,34.15677937304044,17.709971954023114,89.02352146551742,21.033768683722304,31.374962570532556,33.24072068965447,51.19616335249017,17.031217809125764,15.573607078543557,21.83961046336168,35.885640628475564,26.266711238564643,25.27995471264381,20.49326556896494,14.644571702585756,27.48282634622076,22.846617710344734,183.15555030425665,20.922966194357144
FO,88.37875396825582,82.84785863247949,79.17748652046643,81.8730858333335,76.45907935836998,78.64101111111334,83.49750886392178,76.68561318713387,83.96691290322175,76.47425673202292,77.14604114583418,72.95477415204606,77.24372023217086,80.21736965277753,75.11284122605265,0.0,78.82604504575097,75.9919550650387,121.05718840579956,78.42053442424401,80.3381897660827,78.05850654970503,83.12380313491978,87.66700694444205,78.32986111111143,83.29137105376044,129.51244444444796,81.99321736111142,84.45659292928981,78.70458160919503,119.61343750000398,81.66625734766772,84.45196969696805,83.67088747474274,90.12273611110857,75.95194131312999,74.27936472222382,77.22835220138947,83.84124761648614,80.43377637187986,79.44488101009865,81.94697533333725,74.7354690277784,79.3373707070721,78.05823484444251,206.87215032680209,81.47533585858731
FR,63.010274490195776,32.18885359728505,25.436887250773843,29.761159397058904,16.79604516735705,28.11216303921565,27.20399921943145,18.5091116625385,34.04116110942415,22.71636550980374,20.8838685772059,24.540100133126774,24.13980770588219,23.40551073284293,22.38133742393497,78.82604504575097,0.0,29.94853217216612,123.46756958311876,28.61858624064163,32.08026086687298,26.77769903921568,41.47300955042025,80.08171467647018,38.16764152036173,30.563699762807985,106.04389829411612,31.75129607352943,31.796602827094137,23.18536926774831,83.07123355882247,25.44193686147995,34.43493124598917,35.211335080213914,52.152144712418135,21.054918945929654,24.04255717320259,24.052294422793967,35.60843343263706,28.43962330852324,28.103919438502444,25.25007558823509,22.557813069852845,30.951323491384343,25.844637270588237,183.7581546470562,25.472176443850003
