ISO_CODE,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GI,GR,HR,HU,IE,IM,IS,IT,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,SM,UA
AD,0.0,309.77397765567565,283.9583841604007,316.64401505953083,271.3317485513184,302.52139908730425,308.700325949712,268.9468987594021,321.5713525346187,284.17758156866364,285.55983239137134,287.1942128446097,288.65764036961565,249.726073744022,285.526603103448,360.6044841270055,276.9712221176428,290.6068416538764,500.3239513457996,298.33090038096304,317.61072408519715,293.91117894736817,324.1938238095338,380.9227142857427,315.804359890133,300.624981276504,541.9808809524154,347.267640565478,288.7273567099492,286.4665533662149,492.20380952386944,294.122629493128,312.62040519480297,324.1985109957064,362.9031686507634,283.91556770564614,288.6276538095258,287.5741526369197,301.63316325651834,300.2848041837014,300.97157199133704,303.61363910710594,283.92534910709986,295.48941875900266,290.13144687620326,877.7691806722004,292.08393135496755
AL,309.77397765567565,0.0,163.93439275303498,153.98420240384618,159.61162206934213,159.314424551286,180.1075244598098,150.837747712545,182.0833488172204,162.5144111010635,160.19008691106134,172.32377054655956,162.015448220436,171.17120874678545,166.76347647214843,339.6549304273444,168.4550792352961,180.54906774859413,494.5465434113808,160.68017524475954,178.17602085019422,170.26150483130488,217.01594016482764,373.8365041025689,209.8892176923149,181.52227291563457,486.7937820512795,221.17110120192345,190.77544722610827,154.9276383908014,447.3365534615469,153.94978287841235,163.09971617715564,144.57421958041238,253.7234906410431,165.7540798601355,169.3929547863286,165.11444925000995,206.66143870968253,161.15513489010388,148.3725214219089,178.27904782692107,164.4026418749877,163.4884938772285,160.2565241538467,810.8195161084585,164.10178906993193
AT,283.9583841604007,163.93439275303498,0.0,158.2817275657819,106.82778171237416,145.43588630116838,158.26730270844996,85.7685755263106,176.05973111489112,115.32176059854376,84.15560291611891,121.17312184209337,130.70253726628408,134.33857719078318,121.68465012702762,316.9535380701669,127.33120808359322,131.53759248523488,477.3544323798304,147.76332058374038,160.97143157894283,130.19909684209526,175.86415763157262,345.9314350877024,177.91623129554063,157.60140144142534,442.68934701751033,203.2216708881621,145.76771468898997,126.89617265576108,428.2507128947084,140.88559945669746,166.5624823763924,178.07722593301918,243.38614500000597,115.69173035618874,125.14660397660496,128.5296725723788,181.6362028862539,146.1929297475882,139.78666956937147,153.7361927324581,115.99011231907228,131.8462779425677,118.89235305262788,809.7901136223375,140.23223966027996
BA,316.64401505953083,153.98420240384618,158.2817275657819,0.0,161.2391923063493,149.32179847222795,185.058943174174,156.412153157885,184.70689581990555,150.26005213235936,162.86108153125596,168.22416302631325,163.6570309701616,173.7012580416556,163.84344155173028,344.3730674999995,174.4581892500032,179.04203311585357,496.1958647825979,159.59942720455356,133.57939197369268,156.10489596490595,213.02816642856365,373.280591250005,218.5897962500189,192.9891727419407,487.7942220833174,210.4891593750145,197.7909871969701,154.52483297415193,455.05815624999,155.58178841398868,127.58115946969816,141.90603625000966,261.8523363889267,165.00828587120716,168.19946652778347,159.3190125000128,207.99082524194017,155.25237915815683,102.4817229924171,182.85341516666008,161.18120312498854,143.27739441919363,145.37294910000787,818.6956330881139,157.25404272728375
BE,271.3317485513184,159.61162206934213,106.82778171237416,161.2391923063493,0.0,140.4536834937414,137.5902689175523,80.94983422905565,176.1250785658132,110.16282636564412,98.18515992649849,109.22928058931986,113.30286045196394,118.42155499119649,107.21191418164103,303.3593932863859,83.36147216238582,119.07034410168158,476.022778450685,143.52858576441022,166.3993902001558,131.88764875957153,174.04368318914348,342.3815554929584,159.76935759480793,151.10649680190733,464.5656997652434,202.81911426938416,128.31569075117463,114.56568981544233,408.940901197168,128.79154333938914,164.95033215963193,181.3765871062813,242.81750906887223,82.22178149523066,109.40771151016874,115.1350186267582,173.10219393912735,137.7640437525148,137.11760351685766,132.6829685551646,99.41251336707704,136.72228807369868,120.27271882816852,813.3061164291714,131.27550219334236
BG,302.52139908730425,159.314424551286,145.43588630116838,149.32179847222795,140.4536834937414,0.0,175.54093708801693,138.8616766520417,169.71758486559796,131.12619024509746,147.57893485069513,151.29051092105385,146.72893511194852,159.472823819433,148.60817742337352,331.4277963889031,155.98561876143904,158.7915992994607,480.63811467395067,128.42529640909663,152.64698738303974,130.97343150584763,195.5589141666652,356.15700638890223,202.05249638888756,170.26307038889124,478.4182013889187,195.1530197916701,181.559799065652,138.8113180747262,434.6798875000263,145.00160612008435,166.45076280302908,155.54946184343942,244.33372694442951,145.7662815909024,154.88864916667382,134.69854400001194,187.8001189336926,118.4496981349208,131.18950073232915,171.09246052777985,147.0406368402768,143.22312542929944,127.44356058890544,802.3387480881876,144.07858398485666
BY,308.700325949712,180.1075244598098,158.26730270844996,185.058943174174,137.5902689175523,175.54093708801693,0.0,125.4486950472909,225.2794776972556,131.73662430050092,119.33877629038288,150.0943862063754,103.85519979874884,145.76172303884596,108.63937009299428,318.0438757802771,118.0303870310609,164.52656944970943,530.9833051783246,187.84896595710717,212.6516799704079,173.8746966646895,234.6073024638644,393.1607385768045,178.71660920485797,203.91701518702524,496.7544483146068,237.18322975423345,199.0767500851164,104.19085003228072,441.7765665730452,102.90929822399087,190.1512325502206,222.8160928702832,309.9214683832726,120.69025125182851,127.57421333959454,134.86894207445584,235.946600137726,170.46770432126445,160.1379242253819,39.56907685487153,117.9764989922719,181.99197233003773,156.32767771235785,851.3787678122758,98.78812822165996
CH,268.9468987594021,150.837747712545,85.7685755263106,156.412153157885,80.94983422905565,138.8616766520417,125.4486950472909,0.0,178.39840003679242,105.47718504126956,76.72642677138124,108.90127263157036,107.4149892340805,113.43399184429504,100.47231216877287,300.5636158187088,89.5383243993826,120.39916932605752,482.11909850111584,143.08853462679923,165.64910868420787,131.1916635964817,177.6792503759355,348.17456719296734,153.51844572873182,149.0459935823406,447.4062234210239,205.5205696381583,130.41064476075397,107.87562258619354,411.73106894734536,122.74680008770542,158.76368386761692,176.52083796651158,247.5860183040988,93.22027813662812,103.69152722221662,114.48493881579394,177.04791080645714,138.1018933082705,131.4050245693683,120.73200144298328,95.2504317763116,132.07689962518117,117.97156525262729,814.9574053096408,126.0932003157778
CY,321.5713525346187,182.0833488172204,176.05973111489112,184.70689581990555,176.1250785658132,169.71758486559796,225.2794776972556,178.39840003679242,0.0,180.12260781784306,191.28066057090243,181.17577946520467,186.6781635532143,191.91816117336555,191.4978788246276,359.6234724014705,198.8548826255512,180.5073368481443,473.680348293694,138.76532817986447,180.8480412959776,172.63210930389806,192.78921629030765,353.16861370974414,226.9881145988764,187.62689583870173,490.0783440860697,210.3050634744856,192.25116451612183,177.16773670746576,456.76127419362,183.0960010752776,190.29420029325675,172.6986024242484,214.4643357527129,187.23966965135895,192.30221007168848,184.38731964383396,195.21374913977908,175.49296744679646,177.54254200389062,224.98206177687396,186.2996743279413,166.64094183772875,171.61526864947447,804.2795687537607,190.03916606941468
CZ,284.17758156866364,162.5144111010635,115.32176059854376,150.26005213235936,110.16282636564412,131.12619024509746,131.73662430050092,105.47718504126956,180.12260781784306,0.0,109.52894084742982,116.7501318111316,111.36283187590064,127.67205003185305,104.82664495605792,309.3464150327057,117.25259723529268,130.9717354634072,482.48766502985694,140.8838993155079,154.8702259958852,114.32313242517664,183.50041700281008,347.3613400000268,173.85606529413678,160.66255624477466,463.195797254896,191.7567286642303,166.4228281639951,106.77297043947388,422.7786010784362,121.12438705880612,163.19236563280694,179.67149672015054,254.76551428107427,110.39392329173256,115.88832777777591,105.83719112500432,185.1702053636932,132.10147470387278,128.7095626202998,127.89094440685896,105.46173164215637,129.9961668092745,77.35606203136794,811.7202274510454,112.06384926737076
DE,285.55983239137134,160.19008691106134,84.15560291611891,162.86108153125596,98.18515992649849,147.57893485069513,119.33877629038288,76.72642677138124,191.28066057090243,109.52894084742982,0.0,118.02982272532972,107.66088175606654,123.2205176562518,101.42472840625165,302.5197324826352,95.46166329228188,126.78869491997256,494.2296139007894,153.06942636648057,176.6022836003274,137.15835729660108,193.1155504419685,360.1617978437355,163.12732155048565,161.82778993044602,453.6107736354023,216.98717515626092,150.98051413731432,112.6231992819697,428.2174508437306,125.98617281015096,168.9623051164802,189.6662085710261,264.8335947395824,93.57104933301828,110.5641486979183,112.0646190312558,195.31996825303048,143.45078570982326,138.80101091951082,112.872619864585,100.61863546875368,146.86563990688236,126.86861060625482,826.1299122774861,128.99642829830026
DK,287.1942128446097,172.32377054655956,121.17312184209337,168.22416302631325,109.22928058931986,151.29051092105385,150.0943862063754,108.90127263157036,181.17577946520467,116.7501318111316,118.02982272532972,0.0,119.9715999175014,139.34451965130816,103.57223942829889,295.7996845906423,128.1302357244594,126.56801103594267,476.2629109038596,154.97753222489,169.6746692105243,134.09903587718242,172.80089304510628,336.73222324559725,165.70675819837172,169.4343291307317,466.4950897368108,195.3862873355268,160.1593975837293,121.21168667572628,429.91141631576056,139.02430592245858,177.12998047049047,190.355287488044,245.7039780117016,108.07603613237134,93.00472868420884,129.152666309221,188.88687759762996,150.22993277121876,148.1776327990388,144.6083027938611,87.73992527960323,142.68763646197712,126.50454622104871,814.4180627090308,137.64142105262425
