ISO_CODE,AS,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NR,NU,NZ,PF,PG,PW,SB,TK,TL,TO,TV,VU,WF,WS
AS,0.0,304.7809900192437,531.7953916083621,283.1694887692228,262.41745868945765,304.6889846153846,274.4705418060254,281.9909899665571,322.89143724700625,342.49986298076374,572.4926239316131,292.876769230777,290.4663274125636,340.9066579185274,262.1936761133322,560.5430271493117,267.07414751133484,298.6460000000067,291.82890271489146,265.10463427802017,417.7254493927051,267.98115384613646,462.1246020066798,257.3276684615573
AU,304.7809900192437,0.0,490.8892463068348,174.14096225000927,266.8868843611207,206.5492031666794,251.70038764131252,287.6691256304452,319.8415349408026,215.73550187500857,508.4728354027963,254.475433125008,87.51274276515309,219.0219005367739,200.19757786842928,509.5301102647237,222.08152025736143,260.72543312500875,201.30374657598725,245.25157482456825,364.4153821052782,221.8508804166748,399.9763467337098,206.6153290000084
CK,531.7953916083621,490.8892463068348,0.0,484.5052201818781,510.0176936026543,528.6128075757478,497.3860632410819,507.3540434782527,575.9321770335179,534.2574505681426,668.3391279460939,529.3779090908673,482.8252642424936,530.4479090908646,495.9835715311478,640.8402727272463,511.4685540106668,535.1415454545033,506.3045991087549,529.2850095693766,608.5269186602496,510.0027599067184,641.4713754940373,495.9766827272787
FJ,283.1694887692228,174.14096225000927,484.5052201818781,0.0,234.2378953333012,212.08997466665204,213.38837886953652,259.8039626956192,318.4200744210645,221.33344324999052,475.3596516296844,220.70220599997123,159.9737587272483,221.67729941174025,153.37266778946886,488.136067411824,184.11960811762776,226.5822059999707,167.32770717645283,215.55452656138456,325.4006752631662,186.3233279486929,371.70844408698457,168.9842599999875
FM,262.41745868945765,266.8868843611207,510.0176936026543,234.2378953333012,0.0,272.0494833333291,169.35690338163514,204.5449919484542,321.34805068230133,293.1013710648317,502.4362962962836,163.42777777777198,247.78561851846135,294.2427838779713,166.5601475633348,497.5808061001952,176.6277459695075,167.29044444443838,222.0191209149721,208.72163352827312,308.2507504873138,192.5942250712036,365.9573123993397,202.6351737037113
GU,304.6889846153846,206.5492031666794,528.6128075757478,212.08997466665204,272.0494833333291,0.0,267.47276304347645,297.4984862318788,297.6796763157958,239.80230208336437,542.3416907407608,265.4783166666677,195.85180878784385,242.02701470587945,218.80388508770065,526.7726950980424,222.49306372549023,271.52831666666776,233.4759117646707,245.51417192983357,381.22372543859206,222.63365897434804,425.07709855071806,205.1234533333376
KI,274.4705418060254,251.70038764131252,497.3860632410819,213.38837886953652,169.35690338163514,267.47276304347645,0.0,195.17534782607623,343.77300915337264,274.9886573369854,466.9903655394497,104.36073913043548,231.6593182344611,278.5443028132788,132.2194905034317,478.55824552428777,148.3810393861929,108.95204347826154,199.0620468030164,199.7030991609549,258.4496750572005,170.41663768114165,322.8500869565212,184.708750869572
MH,281.9909899665571,287.6691256304452,507.3540434782527,259.8039626956192,204.5449919484542,297.4984862318788,195.17534782607623,0.0,340.8461716247651,318.6864714673974,524.0176682769742,204.28078260868404,270.38302687742384,320.47315089511875,202.72815846678935,514.8664424552445,209.93053248083055,209.1938260869443,249.76590596753235,240.3272097635516,340.5907528604116,221.5191939799056,399.1911739130514,232.63416130435544
MP,322.89143724700625,319.8415349408026,575.9321770335179,318.4200744210645,321.34805068230133,297.6796763157958,343.77300915337264,340.8461716247651,0.0,359.9420779605341,625.9400097466493,365.5367368421665,310.3535701116402,359.9374222910316,322.3993710526454,602.1522291022343,318.8072148607181,371.4841052632193,329.66447688338235,299.1133859649614,480.6345789474368,312.3704156545469,526.0657597254705,307.8370078947857
NC,342.49986298076374,215.73550187500857,534.2574505681426,221.33344324999052,293.1013710648317,239.80230208336437,274.9886573369854,318.6864714673974,359.9420779605341,0.0,537.3828710647903,270.9169687500341,208.11040503784272,168.92033051471776,230.45263782893733,538.5852812499684,242.4019290441593,276.91696875003106,234.4820393382026,273.02757796055346,380.6374878289355,236.0216985577177,384.1148415760739,231.80689375002785
NR,572.4926239316131,508.4728354027963,668.3391279460939,475.3596516296844,502.4362962962836,542.3416907407608,466.9903655394497,524.0176682769742,625.9400097466493,537.3828710647903,0.0,460.2729629629587,496.4970304377837,538.4328352940778,458.3852455166093,621.8924945533728,482.51439782134406,465.9766666666624,489.8475592592784,527.1387875243875,527.5844931773898,497.06113675211446,545.724500805159,489.0647070370635
NU,292.876769230777,254.475433125008,529.3779090908673,220.70220599997123,163.42777777777198,265.4783166666677,104.36073913043548,204.28078260868404,365.5367368421665,270.9169687500341,460.2729629629587,0.0,231.5960703029712,276.2025999999806,107.07587105263178,483.5973529411587,126.28337647058387,7.0,198.24197450975103,197.53901754386848,200.2544736842092,158.40589743588183,275.8997826086941,178.10131000000615
NZ,290.4663274125636,87.51274276515309,482.8252642424936,159.9737587272483,247.78561851846135,195.85180878784385,231.6593182344611,270.38302687742384,310.3535701116402,208.11040503784272,496.4970304377837,231.5960703029712,0.0,211.25055368979423,179.06532275913744,498.23097450987535,202.7142931906812,236.11168848478908,188.66561868088695,226.8102676873528,345.29030685805884,204.2771814917941,383.3193777865857,188.98272212117172
PF,340.9066579185274,219.0219005367739,530.4479090908646,221.67729941174025,294.2427838779713,242.02701470587945,278.5443028132788,320.47315089511875,359.9374222910316,168.92033051471776,538.4328352940778,276.2025999999806,211.25055368979423,0.0,233.7865698142182,540.7723411764264,244.64667058823235,282.26142352939127,235.95318627446213,275.2985093911116,386.29082043340514,240.1339909502116,400.2073365728584,233.5491711764619
PG,262.1936761133322,200.19757786842928,495.9835715311478,153.37266778946886,166.5601475633348,218.80388508770065,132.2194905034317,202.72815846678935,322.3993710526454,230.45263782893733,458.3852455166093,107.07587105263178,179.06532275913744,233.7865698142182,0.0,474.4432981424587,103.68045448916354,111.97060789473748,139.59047100102822,167.12893070174064,252.242194736802,127.13254480432028,310.6310471395813,135.24522947368297
PW,560.5430271493117,509.5301102647237,640.8402727272463,488.136067411824,497.5808061001952,526.7726950980424,478.55824552428777,514.8664424552445,602.1522291022343,538.5852812499684,621.8924945533728,483.5973529411587,498.23097450987535,540.7723411764264,474.4432981424587,0.0,496.0835764705688,489.4208823529232,495.2360215686453,532.0097874097297,550.1067182662443,505.38242986421824,586.4101278772381,497.2995147059127
SB,267.07414751133484,222.08152025736143,511.4685540106668,184.11960811762776,176.6277459695075,222.49306372549023,148.3810393861929,209.93053248083055,318.8072148607181,242.4019290441593,482.51439782134406,126.28337647058387,202.7142931906812,244.64667058823235,103.68045448916354,496.0835764705688,0.0,129.95229411764365,165.95286862742242,158.03815128999295,273.5479145511039,120.84646757163355,333.7656511508999,135.8405570588225
TK,298.6460000000067,260.72543312500875,535.1415454545033,226.5822059999707,167.29044444443838,271.52831666666776,108.95204347826154,209.1938260869443,371.4841052632193,276.91696875003106,465.9766666666624,7.0,236.11168848478908,282.26142352939127,111.97060789473748,489.4208823529232,129.95229411764365,0.0,203.67334705876905,201.40108771930835,205.20184210526173,163.43153846152242,280.9432608695639,183.7013100000073
TL,291.82890271489146,201.30374657598725,506.3045991087549,167.32770717645283,222.0191209149721,233.4759117646707,199.0620468030164,249.76590596753235,329.66447688338235,234.4820393382026,489.8475592592784,198.24197450975103,188.66561868088695,235.95318627446213,139.59047100102822,495.2360215686453,165.95286862742242,203.67334705876905,0.0,210.6069953559988,317.71870598551453,178.4423102563754,361.8259886615335,171.10001078428587
TO,265.10463427802017,245.25157482456825,529.2850095693766,215.55452656138456,208.72163352827312,245.51417192983357,199.7030991609549,240.3272097635516,299.1133859649614,273.02757796055346,527.1387875243875,197.53901754386848,226.8102676873528,275.2985093911116,167.12893070174064,532.0097874097297,158.03815128999295,201.40108771930835,210.6069953559988,0.0,337.02047368423393,162.08928879891047,391.3462524790518,167.44140298246003
TV,417.7254493927051,364.4153821052782,608.5269186602496,325.4006752631662,308.2507504873138,381.22372543859206,258.4496750572005,340.5907528604116,480.6345789474368,380.6374878289355,527.5844931773898,200.2544736842092,345.29030685805884,386.29082043340514,252.242194736802,550.1067182662443,273.5479145511039,205.20184210526173,317.71870598551453,337.02047368423393,0.0,299.57339676110945,370.49851258581975,306.3312394737046
VU,267.98115384613646,221.8508804166748,510.0027599067184,186.3233279486929,192.5942250712036,222.63365897434804,170.41663768114165,221.5191939799056,312.3704156545469,236.0216985577177,497.06113675211446,158.40589743588183,204.2771814917941,240.1339909502116,127.13254480432028,505.38242986421824,120.84646757163355,163.43153846152242,178.4423102563754,162.08928879891047,299.57339676110945,0.0,353.52795875137144,145.71721307691695
WF,462.1246020066798,399.9763467337098,641.4713754940373,371.70844408698457,365.9573123993397,425.07709855071806,322.8500869565212,399.1911739130514,526.0657597254705,384.1148415760739,545.724500805159,275.8997826086941,383.3193777865857,400.2073365728584,310.6310471395813,586.4101278772381,333.7656511508999,280.9432608695639,361.8259886615335,391.3462524790518,370.49851258581975,353.52795875137144,0.0,357.2487256522009
WS,257.3276684615573,206.6153290000084,495.9766827272787,168.9842599999875,202.6351737037113,205.1234533333376,184.708750869572,232.63416130435544,307.8370078947857,231.80689375002785,489.0647070370635,178.10131000000615,188.98272212117172,233.5491711764619,135.24522947368297,497.2995147059127,135.8405570588225,183.7013100000073,171.10001078428587,167.44140298246003,306.3312394737046,145.71721307691695,357.2487256522009,0.0
