ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,0.0,53.14810703812311,33.668458967741934,41.1377908986185,25.686701814516127,42.57782051282144,32.54163004032296,70.64828427419323,35.02811710744371,26.809236886394874,29.656516589862537,28.808855934080874,32.15508210421892,31.44759151612916,37.09826716520122,32.35066290322523,33.84721027479141,31.864563689148405,32.81419791788898,26.81406144393225,33.512495601172745,48.63553101737058,31.317458709678384,31.7427628236862,26.4113188585611,31.39354467281172,28.81145020967742,24.064394310850687,41.76350043592031,40.03092890059308,26.93115053763428,30.2688286738358,88.1160391705078,34.30061502720552,31.94368388248756,29.856311952462327,32.005771380083715,81.49681663837087,39.23907105263135,35.59993333965667,31.79981270772245,32.51454414874456,43.04792240627787,45.81018399044195,26.10563769332741,28.227036522433774,33.74887169032229,23.60142447516647,30.620086037221277,64.09841532257997,54.51676640711818
AI,53.14810703812311,0.0,54.30521696187587,64.58454058441644,51.85707329545408,63.05623659673731,53.65987613636439,75.60324431818098,56.213936564335135,51.674617391303286,53.63372034632129,50.97965268379408,53.18066683916171,52.750960624632505,57.28051303030381,57.22076363636276,50.206954545454565,52.23597872727336,53.86853436363669,56.59311327561341,56.15593636363549,68.67103146853209,51.7021799999996,53.1068648194279,50.903350582750456,52.72195784415683,50.12422022727177,47.958370909090384,60.59090786240813,64.12193599257928,56.1964824046914,50.938273737372846,107.56466233766,55.97715206462246,53.116337370128896,51.63470851674568,53.18919768379386,96.7800263157875,59.510702822965314,55.73263058823306,55.230881818181125,53.40024553030268,60.308721130221485,55.92503198653212,50.41937260273982,51.50239243181799,54.256220436363215,52.33425324675327,51.820308300699686,70.06457954545395,65.23902037617486
AR,33.668458967741934,54.30521696187587,0.0,43.91607129493045,25.162614653226008,48.24795578825391,10.605929580645164,67.85380949999846,16.386844577915557,23.58525917812057,21.354787972350195,17.446208744740453,10.588201856079346,9.877593774193478,18.224094852394806,27.574708193548403,36.4514260310631,13.608686375366572,11.827078785923677,36.83381885407032,26.316251043988284,49.66935069975089,21.928644580645248,10.82913777728668,20.973992066170243,11.474113972350176,13.440543274193544,19.059737835777103,50.72784600348647,45.01160131797164,32.42712956989246,20.95633787096768,81.73024058985928,13.971460110765586,11.84885132949305,10.70842803735138,10.222510799439029,66.50857289643305,25.10238468930396,12.821616053130835,23.101935503421327,12.386404564515985,53.49259200523019,48.88943752449134,23.07803705965521,20.234145041202165,9.027848864516166,30.624735816692287,10.021819744416796,68.52471670967589,62.78077586651708
AW,41.1377908986185,64.58454058441644,43.91607129493045,0.0,41.53328660714305,50.57226053113675,41.260019285714726,76.09175892857307,47.35415190879067,42.58617655279473,41.06412261904864,41.698574099378455,41.82289438461623,41.06979095852484,42.3498734848495,37.89325833333288,50.59872685185294,41.53598912987006,40.82519331168867,42.36275198412743,43.49069058441595,53.9730572344336,43.73110642857215,41.27338237769175,41.76649587912141,40.97297471428644,43.282974071428,42.01082811688301,53.9342939189198,45.01450765306184,42.40037653609846,42.97622738095246,106.94073214285854,42.44946400344247,40.650788928570506,41.28349206766905,41.58774887577592,94.15373590225722,44.01769003759338,43.14387449579669,44.180099891775285,41.25863424603138,52.48070994208573,57.251659391535725,41.27796139921757,41.081011086363375,42.972874028570935,41.16518055555597,40.47557800000052,77.86901785714461,63.32761145320267
BB,25.686701814516127,51.85707329545408,25.162614653226008,41.53328660714305,0.0,42.05994983974367,24.241409375000256,68.55005624999902,26.031292088461225,16.57246603260911,19.72647053571437,19.033281945651925,23.745246673077244,22.911221814516377,29.25423587121285,24.44310208333276,32.63744328703653,24.39594520454489,24.75154834090933,26.56812073412653,26.21210738636295,48.00559567307713,20.60886625000025,23.58064806506892,16.110331570513083,23.406915821428907,19.988196250000243,15.656709431818305,44.24493327702685,39.19881186224512,21.645677889784764,20.158049305555718,81.85412767857066,26.15432829819278,24.185666607142377,21.512477039473875,23.469689163043288,72.97597006578884,31.98165901315819,27.84348492646944,21.793655871211964,24.748417916666074,46.62076030405399,45.47967615740703,16.877170633561626,19.216343572727087,25.25395594999976,22.70006041666649,22.500399288461853,63.406381249998944,56.01133383620545
BM,42.57782051282144,63.05623659673731,48.24795578825391,50.57226053113675,42.05994983974367,0.0,47.771484895834064,81.5414407051297,49.17311639230716,42.80590735785893,45.46289194139312,41.40751382497172,46.47156517948786,46.53315083126471,51.399914428905234,46.72180128205105,47.24043019943103,47.3651448531472,47.93910661072306,43.83114529914561,48.35592354312355,53.44882051282186,46.25884692307689,47.03673863365047,42.47272051282089,46.95361231501932,44.14489478205066,41.70354344988319,53.20466112266225,45.00976033490433,44.4070620347397,45.08826324786303,105.08640476190595,49.35910942570291,47.32110151098818,45.07699789473632,46.88041505908522,93.98975708502152,52.6471845748978,50.38854328808269,47.11366433566394,47.93077297008512,52.825063756064864,55.14924786324894,42.4093321742186,41.09027891340298,47.7654789333328,42.33742857142903,46.24195141025691,75.85768269230896,57.48998850574728
BO,32.54163004032296,53.65987613636439,10.605929580645164,41.260019285714726,24.241409375000256,47.771484895834064,0.0,66.07567093750099,16.52996059423062,22.7957538858696,19.321809702380765,16.80887859782605,9.84260739903834,8.278781274193621,14.847934602272328,25.92501604166684,35.955286620370664,11.169433982954484,7.008828880681822,35.8183601488098,25.1483965625001,48.30623511218013,21.532984062500173,7.142041875000051,19.875991017627957,7.805411633928567,12.564267562499923,18.16777411931796,48.9787837753385,43.37853511479637,31.19231726478507,20.581225694444363,81.53954861607212,11.376688248493895,7.769497098214334,8.943017121710456,7.611198869565239,66.56091725329044,22.776765888157804,10.25887068014691,21.505921164772488,7.925146041666771,51.39256701013582,47.4259350810191,21.98509551797928,19.355510322727103,10.940777312499936,29.841325372024105,7.693873677884704,67.19003562500092,61.56941837284559
BQ,70.64828427419323,75.60324431818098,67.85380949999846,76.09175892857307,68.55005624999902,81.5414407051297,66.07567093750099,0.0,69.41581470769178,68.33997663043301,69.0274315476204,67.56905154347805,66.29241903846199,65.16313885483734,67.21733659090938,69.71899583333204,68.17361805555548,64.08621604545576,65.58491968181868,73.64341765873007,73.89024431818055,83.79593750000141,70.78402249999968,65.45479523972689,67.130434294871,64.85135078571582,66.20553799999868,64.24316386363546,77.4795962837834,81.36109056122288,72.97959072580534,69.62074583333231,120.67200892857264,68.47587093373542,64.88680071428436,65.23462434210434,65.6016404999993,112.85271381579074,69.07174565789373,66.59410044117428,70.2674374999987,65.15924888888892,78.68022804054023,74.02100231481543,66.68135907534239,67.5823791954545,67.28526569999933,69.62833630952385,64.51655434615431,78.41381250000009,84.66580818965569
BR,35.02811710744371,56.213936564335135,16.386844577915557,47.35415190879067,26.031292088461225,49.17311639230716,16.52996059423062,69.41581470769178,0.0,24.47497998628725,24.23794394542089,17.915335940133552,16.866327930769074,15.173308121339796,24.305081531235004,30.815831889743137,37.67797927777726,18.18204038951022,17.657055755943915,37.36667735811912,25.066653872027636,50.62894721794819,23.320258315384404,16.128333444573084,21.586335064102336,16.53114406483501,14.538976230769162,19.76857458111852,53.1125343407479,46.73372865541571,32.97395272580604,22.45422940256373,82.6914235285709,19.601294536885888,17.261227158241617,14.75423706842095,15.966005441137076,67.74416783117347,30.566400221457208,19.08218301945681,24.2049206850813,17.60044329401697,55.63265322224485,50.68471029885988,23.9635911040039,21.16409318356628,17.085322269230694,31.703160636019145,15.222144499999851,69.96603588461484,64.54869692440249
BS,26.809236886394874,51.674617391303286,23.58525917812057,42.58617655279473,16.57246603260911,42.80590735785893,22.7957538858696,68.33997663043301,24.47497998628725,0.0,17.533595445134377,17.898039086956285,22.209152561872987,21.33987736746144,28.04454889328121,24.909115217390525,32.473114814813634,22.41832993675822,23.33195290118584,28.920263561075675,25.80881383399127,49.35718383500511,19.868304347826,22.19047478856484,15.433818060200824,21.73598736645981,18.28660571739133,15.07662727272726,45.01718343125639,39.59652555456933,23.708896353435644,20.003099516908044,80.96020621117829,24.75628055264527,22.549512344719883,19.580646178489804,21.87986286956495,72.80084370709214,30.59837910755175,26.379587212274917,20.38323649538824,23.109581871979888,47.86082972972898,44.43044235104568,16.851978320428774,17.01650824999979,23.635906713043028,24.963242857142127,20.766879260869608,63.50102934782446,55.75304152923362
BZ,29.656516589862537,53.63372034632129,21.354787972350195,41.06412261904864,19.72647053571437,45.46289194139312,19.321809702380765,69.0274315476204,24.23794394542089,17.533595445134377,0.0,18.95798374948217,19.651168065933973,18.777029777265785,23.867980562770924,23.67405952380957,35.630977248678064,19.7907229696966,19.765959532467523,32.183404761905244,25.18185238095264,48.434639926741184,20.6712914285714,18.47942168949796,17.01344102564079,18.39720657142845,18.754526547619097,18.1462175757576,47.246121879022944,41.19606734693951,26.21844654377904,20.6138047619048,84.91143809523952,20.748499195065897,18.642471547618825,17.618253934837227,19.16453909316756,73.5851977443623,27.623533709273698,22.57921602240795,19.48994761904736,19.23198599206298,49.26316949807048,46.93456560846669,19.24369654272664,18.40543132489152,21.233155199999608,27.556007936508447,17.908412509157362,66.95277857143,59.29379622331768
CA,28.808855934080874,50.97965268379408,17.446208744740453,41.698574099378455,19.033281945651925,41.40751382497172,16.80887859782605,67.56905154347805,17.915335940133552,17.898039086956285,18.95798374948217,0.0,15.276133488294215,15.435671453015384,21.53218024901173,25.58088989855037,32.92690943800271,17.22538933992079,17.245638415019634,30.07877929951645,24.709842620552887,44.22903007023361,19.709877608695493,15.999100984514527,15.34277925641017,15.817161968944,12.676354630434703,14.586802486165915,46.103476696826775,38.74221163354004,26.33571077840058,19.162712845410265,79.42183173291971,18.16762082242005,16.492681437888074,13.53068719221958,15.809881956521576,65.78953114187584,24.325377375285928,20.38363907672615,19.23143018313554,16.861079118357384,48.8678683137481,45.49649057165812,15.96512927159016,8.954456938142226,17.421863713043443,25.56945425189743,15.019789076922974,63.80907843478216,56.46501942278813
CL,32.15508210421892,53.18066683916171,10.588201856079346,41.82289438461623,23.745246673077244,46.47156517948786,9.84260739903834,66.29241903846199,16.866327930769074,22.209152561872987,19.651168065933973,15.276133488294215,0.0,9.38040051861033,15.655825258741014,26.296371692308,35.40890324216595,12.495626237762089,9.726018587412357,35.003666234432984,25.59883637762261,47.81824953846238,21.486347230769365,9.847202421496132,19.478451641025565,9.871089164834952,13.303343269230524,17.987047132866998,48.80535379625856,43.2974498430148,30.738308138958335,20.573154170940164,81.48544019780148,12.507406523632984,10.382220972527367,9.401441093117205,8.990027578595239,66.93572523886697,22.386608178137585,12.569568271493,21.914199995338144,10.314571260683527,51.22252807900279,47.549036826211605,21.346725414120147,18.142494856992894,10.288639938461396,29.384927741148203,9.310050230769114,66.67810261538511,60.74467224403257
CO,31.44759151612916,52.750960624632505,9.877593774193478,41.06979095852484,22.911221814516377,46.53315083126471,8.278781274193621,65.16313885483734,15.173308121339796,21.33987736746144,18.777029777265785,15.435671453015384,9.38040051861033,0.0,16.69031976441829,25.16520416129039,34.1642288327358,10.266606272727174,8.45005728152491,34.6385962124934,24.286430026392967,47.94237941356412,20.194670741935614,7.706704921343192,18.59056667245656,7.677796520737183,10.438773596774116,16.302174554252215,48.32643296338196,42.80237200855757,30.14840708602159,19.135236146953407,78.96737546082758,12.117359875631529,8.381777066820185,7.156150022071163,7.451975098176649,64.31231705772342,24.085516358234376,12.614339265654523,20.76732242326498,9.320008496415635,50.91512874367825,46.28004649103848,21.00526782722054,18.119805459677245,11.065673477419407,28.31474836815162,5.874071548387028,66.48715148386945,60.78679788765155
CR,37.09826716520122,57.28051303030381,18.224094852394806,42.3498734848495,29.25423587121285,51.399914428905234,14.847934602272328,67.21733659090938,24.305081531235004,28.04454889328121,23.867980562770924,21.53218024901173,15.655825258741014,16.69031976441829,0.0,29.398327575758252,41.25004144781231,18.35399878787836,14.275358909090688,40.01436365079433,30.270518484849127,50.74903666666744,26.940802121212744,14.699360963055302,25.288277785547987,14.365563376622982,20.70683874242429,24.42672575757604,52.19127979525056,47.01020429808371,35.716745620723955,26.14242777777818,89.44889900432652,15.57049110149691,14.034190746753032,16.0039434290266,16.09283685112001,73.63259995215222,22.163256299840505,15.200457896612924,26.376984545455105,13.609341843434096,54.03516226863293,51.219020101010805,25.45175896637613,23.748225762121127,16.492917199999454,34.94852520923589,16.384010440559123,71.09570772727227,64.02062130616585
CW,32.35066290322523,57.22076363636276,27.574708193548403,37.89325833333288,24.44310208333276,46.72180128205105,25.92501604166684,69.71899583333204,30.815831889743137,24.909115217390525,23.67405952380957,25.58088989855037,26.296371692308,25.16520416129039,29.398327575758252,0.0,40.36999259259161,26.107636060605238,26.045315272727493,34.04603333333211,27.48982272727169,50.64249999999982,26.01631666666666,25.447487808219662,24.75002948717918,25.263360666667,25.965755166666163,25.22661121212135,49.40257477477433,42.955543537414925,28.29802741935396,25.71497222222161,91.4381714285696,27.56350128112434,25.40290273809449,24.44308105263176,25.755419942028688,79.66402631578785,32.16561508771964,28.50976392156714,26.37151666666605,26.331116944443497,49.717455405405104,50.44255925925871,25.70986666666633,25.473624992423986,27.252589466666237,30.767874603173414,24.25070135897457,70.53714166666543,60.908056321837215
