ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,3.663658726551218,3.924486071428563,3.6080571103896015,8.442292355537717,3.2924872023809395,4.712374577922057,3.626192499999973,4.299067034161477,4.115670178571416,6.27569921428572,4.396833531745997,4.486967166666656,8.013983866795336,5.955120426829246,3.783094315476184,3.956797673160154,4.310816362433851,3.723789325396808,3.567901626984099,5.822152353479823,4.784958928571403,5.207526896378264,4.445942499999975,3.97562025132273,3.608892569124405,9.190955464285738,5.013020660714277,5.05562773809523,3.418761696428566,3.749063333333322,10.272172547619055,3.907666655844132,2.7371210714285654,4.2916484523809375,3.8724859472049538,3.901594085714277,8.468737916666644,3.9617934183673302,8.761960032467542,3.9493872215496166,4.013116696428558,3.577738928571409,4.195248214285703,5.522444593596038,4.022372023809495,4.975552774725246,3.7560924769585102,10.323036202213242,3.5772727380952247,3.6683040270935887,5.777524094684364,4.05732050840334,3.755017896825368,3.4501631766917167
BF,3.663658726551218,0.0,3.204785606060604,2.4804092929292896,9.289725524912026,2.66360380050504,4.2910343434343385,2.736264502164483,3.371152086078148,3.5998065340909053,7.082996929292943,4.103385353535334,4.451785743145734,8.112695755391742,5.041883665927567,3.260674198232319,3.2427030303030056,3.93468912457912,3.225932070707064,2.867841969696959,5.127071328671325,4.29525027195026,5.38575111680182,3.9250072871572783,3.5605240740740647,3.5467099706744745,9.516192881313149,5.01862725757575,5.027551601731603,2.105003137626255,2.6860051767676723,10.8790214141414,3.385714141414128,3.448491141414139,4.7970693939393785,2.4938348045673986,3.486831569696968,8.954426452020154,3.2622340548340523,9.163689898989906,3.666554528334181,3.4902962563131235,3.2888974242424096,3.614306212121219,5.533571055381398,3.959770707070694,3.926387956487946,2.595439719778416,10.647095713472687,2.774252972582954,3.7117646534308446,5.079245971341313,4.474413647058809,4.140265404040383,2.9048969271663974
BI,3.924486071428563,3.204785606060604,0.0,2.335880909090916,9.621418876404476,2.512609583333335,3.148902272727247,3.006828174603158,4.793069999999977,4.112388749999994,6.78352599999998,3.4150255555555176,5.275920857142856,9.141842216216205,3.923283292682912,2.028491458333341,3.6393015151514874,4.522068888888883,2.103294444444438,3.2571838888888776,4.162626666666648,2.9278384615384434,5.670746267605626,2.412774285714274,2.759358333333331,3.0441966129032063,10.529194250000032,5.7950489999999855,5.716809999999995,2.848850625,2.2729058333333407,11.555217333333282,2.395036818181812,3.3978259999999945,4.994448333333317,2.090136304347828,3.9068979,9.665452916666617,2.017710918367357,9.55871045454544,3.309941864406773,4.47989625,2.807719999999992,2.585679999999994,4.396226379310311,3.103789444444415,3.0301846153846017,2.1139541935483885,11.809804859154887,2.517889047619043,3.935130172413776,5.094996162790653,4.500973941176455,4.446873888888855,2.676907894736843
BJ,3.6080571103896015,2.4804092929292896,2.335880909090916,0.0,9.707125188968329,2.1497974621211946,3.644629090909077,2.7074000865800696,3.873815256916965,3.506890681818182,7.041447272727275,3.838298888888868,4.861797419913408,8.775015739557727,4.030409933481133,2.328586382575751,3.299528484848468,4.143163670033664,2.5878474242424176,2.99603318181817,4.141283170163148,3.296041818181801,5.350891190781049,2.99852194805193,2.96773478114477,3.500316011730191,10.312615977272756,5.351591340909085,5.509633593073586,2.138569943181817,2.041764368686866,11.421943393939378,2.495870909090892,3.4133216363636354,4.952633333333323,1.752260750988132,3.4568808727272686,9.552520265151498,2.2563951391465578,9.650209090909094,3.6416597226502208,3.619334999999992,2.915503030303017,3.072483181818183,4.755046269592453,3.489034141414121,2.905411328671308,1.5565300293255018,11.513104212547963,2.227488484848461,3.784476238244496,4.986826765327677,4.424055048128332,4.1981956060605805,2.583362583732056
BW,8.442292355537717,9.289725524912026,9.621418876404476,9.707125188968329,0.0,9.311720678838933,10.071516649642458,9.098894899233072,8.886450825598434,8.752383637640424,8.92217833707864,9.564910799001227,8.068921894060978,8.565136697236547,12.002177966566128,10.05882339653553,8.734565406877728,7.609474719101113,9.43830046816478,8.51539857053682,11.512540478248273,10.817475280898815,6.972141171071368,10.453436195826596,9.072914253017046,8.255807285248267,9.47106707022472,8.446642882022452,7.534494531835184,9.3140852176966,9.80692975967538,8.718417977528095,9.865358069458606,8.106653314606733,6.816815617977513,9.892270908646768,8.224482255056147,8.69394651217226,10.231786241687653,9.5845002042901,8.370086650161854,8.628079676966262,8.822601910112343,9.502273651685362,10.670683184812033,9.084245692883869,11.33421218668966,9.76031163465024,9.714290943187182,9.508242380952383,7.729180162727587,10.018791716749387,7.402575574355566,7.058711054931329,8.825350325251298
CD,3.2924872023809395,2.66360380050504,2.512609583333335,2.1497974621211946,9.311720678838933,0.0,3.597811249999984,2.186769503968221,3.7156412862318566,3.0699452083333307,6.759192250000018,3.438428749999979,4.606972702380944,8.395930263513476,4.280822977642266,2.3535647916666558,3.0602568560605863,3.7815135648148015,2.537303194444427,2.5528195833333105,4.481614134615368,3.491639070512806,5.087184865023465,3.021674464285695,2.737868564814799,3.12284791666665,9.879329000000004,5.159940416666663,5.134802321428576,2.0650668749999883,2.326493194444432,11.19303725,2.558687310606032,2.956585583333332,4.6071629166666535,2.156005742753605,3.204091249999983,9.255264166666654,2.4778716241496483,9.212644734848478,3.3728574081920706,3.363552499999994,2.6940062499999926,3.2186937500000026,4.555086997126421,3.469300972222205,3.2105105448717763,2.060222405913959,11.177475780516383,2.483108869047598,3.32178222701148,4.888026017441851,4.144321181372528,3.726398194444423,2.373103442982439
CF,4.712374577922057,4.2910343434343385,3.148902272727247,3.644629090909077,10.071516649642458,3.597811249999984,0.0,3.9237554112553914,5.443417905138306,4.95671119318181,7.233738181818177,3.898189393939368,6.031195619047592,9.648627307125276,5.236417294900216,3.3768969128787734,4.480042424242387,5.3611977441077165,3.2231053030302976,4.266121262626229,5.264494638694631,3.5510356643356475,6.335946017925724,3.304830519480495,4.041143939393934,4.031583870967723,10.96720247727274,6.372358909090888,6.235584588744572,3.8824377840909,3.7523511363636266,11.92020848484844,3.766645454545439,4.248409545454528,5.798243030303001,3.361458300395237,4.659147272727257,9.909956249999947,3.5601628942485943,9.04832424242426,4.300376887519247,5.184935681818176,4.105401818181787,3.4774986363636207,4.597217868338538,3.7806060606060377,4.084541958041937,3.44323929618766,12.075376581305962,3.837360779220752,4.8529830094043405,4.865841649048599,5.365077978609593,5.330433585858544,3.7719085167464033
CG,3.626192499999973,2.736264502164483,3.006828174603158,2.7074000865800696,9.098894899233072,2.186769503968221,3.9237554112553914,0.0,3.4887775500344675,2.993843045634897,6.376102793650787,3.6680452380952047,4.636112761904738,8.32948529300727,5.195454394115328,3.2173940376983934,2.5848291486291224,3.756506613756591,2.960250396825384,2.652492619047591,5.341125152625112,4.156524542124511,5.145666483344496,3.6638722222221887,3.0306283068782816,3.361396825396798,9.73554582142858,4.986545970238078,4.902084761904748,2.560882886904736,3.0341569444444287,10.651233587301569,3.485929220779191,3.113044999999976,4.603485238095216,2.7857724982746515,3.4175557317460123,8.611158234126952,3.25767959183672,9.04420923520923,3.2241357277374045,3.379227212301566,3.264522063492032,3.712484365079355,5.00139365079361,3.730701587301558,4.1945274725274375,2.6065060419866697,10.85627068857585,3.3116860317459937,3.728180197044307,4.828573569582844,4.384510332399596,3.939496746031707,3.015145948203822
CI,4.299067034161477,3.371152086078148,4.793069999999977,3.873815256916965,8.886450825598434,3.7156412862318566,5.443417905138306,3.4887775500344675,0.0,3.636237119565199,6.863964260869572,5.023771787439588,4.407469697722554,7.884671757931821,6.806192089077385,4.827408650362288,3.607016534914321,3.9689903220611673,4.703464227053119,3.3393300724637403,6.796610992196174,5.758222341137093,4.81770412124923,5.48751739130431,4.629753478260848,4.598762538569391,8.997633923913058,4.866735646739117,4.61123695652174,3.476156277173885,4.408229335748773,9.952682405797104,4.880798577075056,4.148678565217375,5.212694202898535,4.232041739130398,3.833101799999977,8.290195235507243,4.96863020408161,8.76610653491436,4.596044900515814,3.202549347826069,4.541932246376791,4.871708043478242,6.505865352323799,5.000854106280165,5.697106254180562,4.166719607293103,9.831833306797268,4.33050648033124,4.002750074962502,5.565745601617761,4.83688866496161,4.247167463768084,4.259234393592658
CM,4.115670178571416,3.5998065340909053,4.112388749999994,3.506890681818182,8.752383637640424,3.0699452083333307,4.95671119318181,2.993843045634897,3.636237119565199,0.0,6.41776887500001,4.594382152777754,4.502157339285706,8.056216097972957,6.062576844512209,4.054981458333344,3.0959941856060365,3.723942569444438,4.04313791666666,2.8809765277777566,6.150636346153848,5.196127067307686,5.003394260563374,4.790326696428566,3.80257930555554,4.142763911290307,9.246600125000024,4.858829499999992,4.862679315476172,3.289166875000004,4.015304444444444,10.279407374999987,4.364912386363629,3.7431452499999938,4.878612083333325,3.74014228260869,3.647067000000003,8.421908124999979,4.216720625000003,8.953205833333358,3.849973209745744,3.486282500000002,3.815342916666656,4.345773124999997,5.84243066810344,4.335961666666657,5.137408028846162,3.5921419556451606,10.275474119718265,3.95829886904763,3.6763191379310127,5.391753982558134,4.6324382794117485,3.831963124999972,3.771779111842105
