ISO_CODE,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,YT,ZA,ZM,ZW
AO,0.0,7.220714657287169,4.299483214285705,4.000496915584403,7.188880036115568,3.30683744047618,4.725304448051933,3.0426701190475858,5.31307041925465,5.143536026785717,4.883050357142864,3.8638401984126673,5.258752166666646,6.5942244150579015,5.141909695121934,3.729240803571417,3.797751893939371,6.470916865079356,3.517510436507918,4.147728055555538,4.758121712454184,4.138658324175799,6.558435105633795,4.070687499999972,3.810463320105798,4.3312378456221,7.718599821428592,5.789014446428587,5.934352261904762,4.009557142857143,3.249753809523793,7.707798452380963,3.704708474025952,3.6251547142857135,5.379137023809515,4.543560698757748,5.837719592857128,6.850082738095231,4.072899132653051,8.70594646103896,5.376576604116208,4.842140624999994,4.896714880952374,6.249433214285714,4.586220086206869,4.326832976190453,4.585017060439534,3.464566347926248,7.761382027162982,6.253515357142849,6.412352918719175,4.890434460132873,3.698011592436955,5.770666785714266,5.052280921052616
BF,7.220714657287169,0.0,6.496662575757555,4.862976161616166,7.914466314833742,6.080647108585867,7.161991919191933,6.308896103896091,4.88742660298637,4.500549643308072,7.596856848484863,7.103692424242431,6.554972376623355,7.359785615888588,8.777657033752151,6.707049488636335,5.929534848484834,6.446789814814811,6.696233838383847,5.191122121212109,8.481869386169382,8.067926728826725,6.0517869042538015,7.718428860028868,6.280376262626261,7.274174291300087,7.495518709595987,6.34095140656564,6.714160620490629,5.200865328282825,6.270001388888896,8.014112444444462,6.341636616161615,6.777820823232336,6.270722979797967,5.02747476943347,5.998425656060599,8.08172146464644,5.951394867037728,8.535975757575768,7.072037990070182,4.981314381313116,6.415283131313132,7.007212575757586,8.203156913967268,7.184887373737389,7.988172649572659,5.78430848810688,7.944338106416276,6.579556991341988,5.871180682688928,8.174158186516335,6.819946304218658,5.68325005050503,6.397553790536954
BI,4.299483214285705,6.496662575757555,0.0,3.3804954545454566,6.775318146067409,3.5517345833333422,4.139093181818155,3.468011666666656,4.487775869565202,4.455443437499999,4.784764999999988,3.587652222222188,4.839051238095236,6.674229999999979,5.579090609756065,3.614275625000003,4.003045909090883,5.869259259259242,3.31329277777777,3.2223938888888704,5.0657669230768905,4.443418076923046,6.1494861971830925,4.056999999999977,2.959899814814811,4.149201935483853,7.439150750000019,5.478782624999994,5.219279523809526,3.4354362500000017,3.4046452777777803,7.673373666666643,3.547420909090902,3.891662499999991,5.05814666666664,3.301532391304327,4.84178825,7.1936291666666206,3.24072663265306,8.588840606060577,4.465623050847444,4.528449374999997,4.094439999999984,4.723139999999972,5.014155689655133,4.625038888888857,4.464911923076897,3.3905632258064413,7.538795774647878,5.121186190476186,5.596821379310304,5.0155870930232185,3.464944588235287,5.006116666666635,4.6452539473684125
BJ,4.000496915584403,4.862976161616166,3.3804954545454566,0.0,6.700733810010189,3.022802689393932,4.113098181818167,2.9635901298701146,3.660637924901154,3.0026614488636287,5.149171272727272,3.8011748484848256,4.676072307359302,6.378485668304649,5.227886651884669,3.6826494886363537,3.33591363636362,5.417395471380449,3.3502774747474686,3.071874646464634,5.102936317016282,4.546453566433539,5.564363469910365,4.122300259740237,3.3196415824915717,4.207789560117284,7.010475522727309,5.01797768181818,5.259728701298688,2.7340353409090894,2.9583763383838337,7.331814060606079,3.2981331818181667,3.623394227272727,4.6044822727272665,2.721012450592874,4.478690786363623,6.4923327272727045,2.702432022263443,7.526271515151498,4.755813158705685,3.0974217045454435,4.300035454545442,5.07874772727272,4.798009905956082,3.8318310101009896,4.379334685314662,2.2067819648093754,7.263103546734941,4.79422543290042,5.3799070846394486,5.103079154334016,3.384756673796776,4.495725101010078,4.074372248803823
BW,7.188880036115568,7.914466314833742,6.775318146067409,6.700733810010189,0.0,6.90063633426966,7.658533503575076,7.121217674335625,5.994017359550557,6.090382714185374,7.290411955056189,7.416412796504369,5.978615386302805,6.2001257743698615,9.678285612496534,6.716588438670376,6.820334269662897,5.7885668893050175,6.91821541822721,5.986767602996249,9.135784845865716,8.729042523768344,5.881272513055857,8.533361797752786,6.5305184977111805,6.05923428778542,7.168315103932586,5.8592126264044575,6.126547581594437,6.182702724719077,6.88192691947565,6.385898786516875,6.750193232890693,6.219936297752791,5.230824363295869,6.373518588177821,5.561750947752787,8.544291947565531,6.782281586792013,8.989602417432758,4.684270919824781,6.927225154494358,5.407116685393249,5.779743764044934,9.05135335141416,7.143785705368281,8.987840017286064,7.063242316056543,6.655110202563686,6.17223363563402,5.195498194498228,8.464378442644353,6.375740352941168,5.309830730337058,6.001168574807799
CD,3.30683744047618,6.080647108585867,3.5517345833333422,3.022802689393932,6.90063633426966,0.0,3.9402651893939167,2.165046646825364,4.503993134057945,4.223758437499998,5.4220084166666895,3.497632361111095,4.9904838452380735,6.626013704954933,4.5176644410568985,3.1254814583333244,3.378224886363617,6.074340416666641,2.88029763888888,3.3490512499999827,4.253432852564084,3.9146667628204974,6.089844735915494,3.4735341071428385,3.19324347222221,3.696941653225797,7.572215833333354,5.493864041666655,5.201129226190465,3.245915000000009,2.6300181944444354,7.896465416666689,3.03167920454544,3.514988749999995,5.038701249999988,3.6486882789855,5.146868599999992,6.812631249999992,3.1228508588435324,8.517837689393932,4.727315798022582,3.994082083333331,4.470507916666668,5.712542083333344,4.51884653735631,3.648265972222201,3.980685480769218,2.569040389784932,7.40493752934272,5.290172678571427,6.031734956896513,4.596453866279057,3.2963974754901724,5.348451805555536,4.456130548245599
CF,4.725304448051933,7.161991919191933,4.139093181818155,4.113098181818167,7.658533503575076,3.9402651893939167,0.0,3.5712363636363342,5.442434486165984,5.043861448863627,5.296180727272719,3.592846969696946,5.354975632034604,7.030152105651067,5.866878270509977,4.134220587121192,4.351631818181795,6.98883617845116,3.582334848484844,4.293224747474704,5.30925757575757,4.285143356643338,7.014661037131882,4.148810389610374,3.700900505050493,4.8129973607038,7.970171750000031,6.037305409090885,6.18067952380951,4.249757613636353,3.610664267676757,8.096551393939398,4.422938636363624,4.365428863636355,5.889724393939365,4.350900988142279,6.066194340909068,7.3301348484848114,3.836597217068635,8.023315151515172,5.532990909090889,5.197944772727269,4.94711499999999,5.893023181818175,5.004378996865189,4.529257070707062,4.676190209790198,3.5978394428152267,8.009392099871931,6.247601363636351,6.828663949843191,4.959915010570805,4.387272716577515,6.14155661616157,5.788604210526303
CG,3.0426701190475858,6.308896103896091,3.468011666666656,2.9635901298701146,7.121217674335625,2.165046646825364,3.5712363636363342,0.0,4.605482425810871,4.208300699404745,5.084101015873017,3.0407547619047297,4.689636682539659,6.7230427365937,4.366811962833873,3.107914434523788,2.677991991341964,6.142124735449709,2.3223349206349035,3.4150274603174284,3.919333211233173,3.454113675213647,6.184313192488246,3.0536222222221903,2.844088095238073,3.44025309779823,7.491096718253998,5.360613718253953,5.435331269841255,3.313987559523799,2.2415716269841126,7.567960063492065,2.997740728715704,3.3230725317460177,4.916929126984104,3.499395893719781,5.248901440476178,6.312587499999963,2.974785260770956,8.52932323232322,4.714400242130735,4.201954761904747,4.31431753968252,5.594982619047607,4.093550136836309,3.427686507936473,3.791452258852232,2.0690974142344936,7.611579774200737,5.5505461111110845,6.197297515051942,4.31258073089698,3.145974384687177,5.513213412698367,4.597318429406831
CI,5.31307041925465,4.88742660298637,4.487775869565202,3.660637924901154,5.994017359550557,4.503993134057945,5.442434486165984,4.605482425810871,0.0,3.644971888586935,5.592774652173913,5.214646111111082,4.845149449275339,5.636104289071666,7.2930485843053825,5.121116023550699,4.4370199670618895,5.059693961352641,4.980010314009642,3.5395486714975632,6.820166148271993,6.350338444816033,4.953632146356382,6.079113944099356,4.399042987117516,5.35282808555397,5.9934832065217645,4.798758706521727,5.224471252587984,3.395946086956513,4.552782330917852,6.430673000000015,4.738700909090878,4.827063499999985,4.823013478260851,3.755195869565188,4.658114732608682,6.889501956521729,4.7663541126885445,7.692316251646892,5.139875537951347,3.700239782608677,4.651566231884051,5.699224347826084,6.926541056971488,5.804082053140071,6.3407044983277325,4.6444413113604295,6.612975838946712,5.03869043478259,4.924702286356801,6.033828276036376,4.512659276214819,4.670021207729445,5.007256075514854
CM,5.143536026785717,4.500549643308072,4.455443437499999,3.0026614488636287,6.090382714185374,4.223758437499998,5.043861448863627,4.208300699404745,3.644971888586935,0.0,5.754291562500009,5.052471354166661,4.777669163690451,5.999937576013493,6.427839702743904,4.347107187500004,4.267411884469676,4.685769502314811,4.348726423611099,3.366543923611095,6.117349639423072,5.971226274038458,4.876745180457743,5.528641383928571,4.257025706018503,4.933811804435475,6.543731187500021,4.8577968125000055,5.6325698660714085,3.473964062500003,4.26415649305555,7.115288895833316,4.36949713068181,4.559839687499998,4.726492395833328,3.4101012907608608,4.066996262499999,6.972833020833319,3.74507987882653,7.425942869318186,4.9482224735169416,3.511080937499999,4.754147187499985,5.184715312500005,6.187122920258618,4.804072673611109,5.8744533413461495,3.826738356854838,7.165005532570405,4.615463794642849,4.410492381465488,6.328576882267432,4.617725606617642,3.831039131944415,4.300454786184201
