ISO_CODE,AG,AI,AR,AW,BB,BM,BO,BQ,BR,BS,BZ,CA,CL,CO,CR,CW,DM,DO,EC,GD,GF,GL,GP,GT,GY,HN,HT,JM,KN,KY,LC,MQ,MS,MX,NI,PA,PE,PM,PR,PY,SR,SV,SX,TC,TT,US,UY,VC,VE,VG,VI
AG,0.0,43.1474794721408,37.55415499999978,42.17147926267345,21.44270604838714,41.95073655914057,34.23322852318582,61.51460282258013,35.489536074193246,25.52178892005581,28.541878955453708,25.95762367040628,35.95055983374748,30.43788109677428,46.34327494623772,35.94842956989198,26.346333930705192,29.41779277419245,34.577400888563446,23.63340885816685,31.5270217008797,40.97850661703946,28.955408548387528,32.60994793636833,23.39256956162142,31.64877569585319,25.415764048387125,22.271845894428296,34.220273321709094,31.7627337063861,21.501876344086018,29.308591756272666,49.93283640552987,36.40962699572493,33.13397626728038,28.874205449915568,33.43748045722258,60.58318421052619,46.99086483870902,41.08303649904952,30.30801163245351,35.58243870967678,34.80220706190094,34.37143070489863,26.97805536897929,25.91309298841608,36.904077354838286,21.190556323604756,27.786438089330343,46.660868951612784,40.681077308119946
AI,43.1474794721408,0.0,52.955865609969706,57.52796103896164,42.25430568181795,54.73561072261122,50.14999816761453,66.50200568181768,51.711971943356296,44.80307035573052,47.66942380952455,44.214228454545065,52.09642235664424,47.24336936656818,60.56723242424358,52.88933030302962,39.60349494949494,45.70039563636383,50.69060972727299,45.5230288600289,46.99866363636312,54.937433566433874,42.70732863636368,49.20261013698704,42.784522843822906,48.02977010389706,42.830383409090274,40.98063363636341,49.636773955774046,50.070849721707134,43.01785923753641,43.996818181817616,68.75557142857093,52.2028399671421,49.00116435064831,45.82440588516685,49.92640407905076,74.53781818181776,60.72828081339586,55.986920508019296,48.04417575757538,51.13086520201947,43.44442506142518,44.02165656565663,46.210896388543055,43.73257981363611,52.88833341818122,43.20073593073588,44.72600299300754,54.68249431818152,51.572611285266085
AR,37.55415499999978,52.955865609969706,0.0,46.143583221197545,31.121838661290397,51.163783420181154,20.631513265120887,63.79410666128906,29.56295195260515,31.104473224403986,30.355986379416287,27.13334313884982,22.259599260545844,21.75424893548391,33.18460518181819,38.4954545913976,37.43519378614074,23.528737920821104,22.318229073313752,38.80636781925215,34.235137645161146,44.79957545326632,33.4940092903225,22.959710359257546,30.2463750463192,23.115734400921767,27.332299725806493,28.5621239032258,49.74357796251001,43.59600933706336,34.25985291397829,33.211451874552004,58.32715753456117,25.10643391566253,23.89304249769584,22.073154134125616,22.059659305750515,60.68813444651839,38.66155764516115,23.777578895635628,33.28163360997075,25.383154473118417,46.83432280993824,43.74707257228136,33.80020268095445,27.617701218621587,19.552114212903387,34.9409404705579,20.86072168982625,54.72807417741835,52.08637121134487
AW,42.17147926267345,57.52796103896164,46.143583221197545,0.0,40.89114464285735,51.29787362637459,43.325195825893445,60.46391964285795,48.36906522967004,42.33203229813631,42.38328571428657,43.279241807452905,44.973277593407424,41.36865635944661,49.176507878789096,33.968521428571115,45.75846560846633,40.76001981818137,42.60952014285768,42.51580158730189,45.7873603896105,51.873346153847024,44.538273571429066,42.44760534246669,42.93355860805908,41.8002742857152,43.31847464285673,42.213936883116936,49.91532722007792,42.63622959183725,41.62024155145948,44.29868571428567,70.51732142857247,45.093217056799055,42.177012142856285,40.0872110526317,43.46859055900576,75.86903195488838,49.28832992481115,47.33852978991412,41.98456060606074,44.477366031745554,43.853704633205126,49.90647751322828,42.920006849315534,41.92362712402567,44.66832657142811,42.53911507936546,39.71008035164896,61.58488392857223,53.205098522168
BB,21.44270604838714,42.25430568181795,31.121838661290397,40.89114464285735,0.0,39.43609006410283,28.0128076562502,59.34399999999935,28.721616276922852,17.13772880434792,21.260873809523936,18.477103173912862,29.8144440769236,23.783235548387207,41.28642878787971,30.586899999999325,24.413741666666454,23.879410318181137,28.149788136363863,21.644398214285527,25.65310681818141,37.32541250000003,23.10201500000011,26.18142356164428,16.047234615384827,25.25208300000039,18.43437350000024,14.435044318181896,36.00818918918905,30.70325765306127,17.181967741935534,22.742580555555527,46.6359946428569,30.201977012047927,26.81360642857084,22.104781842105474,26.83883378260835,54.14923223684186,42.17323894736788,35.510986617645464,23.803914772727055,29.53453166666604,34.58579290540521,32.17583101851808,19.946438869863016,18.641788786363357,30.97577889999985,19.15192083333332,21.338332846153968,44.90163749999965,40.66014698275814
BM,41.95073655914057,54.73561072261122,51.163783420181154,51.29787362637459,39.43609006410283,0.0,48.53928455528936,72.97940224359063,48.873028366666446,41.14086644370083,44.61565750915848,39.63699769565169,49.61927300000094,45.510404522745375,58.31069871794994,50.04323974358965,43.86105128205202,45.37156630303031,48.87777288345025,41.64520146520182,47.3770575757577,46.94074358974448,46.05835551282067,47.165156262733625,41.2297051282056,46.26241215384726,42.21406419230739,39.98451522144522,47.65040332640406,40.10898063840993,41.17637138130727,45.52757606837589,70.33914652014748,50.39158200185423,47.2911216666659,43.80315310391342,47.93064532664385,75.76456815114815,58.28449391362904,54.057764834085845,46.07169930069918,49.43351405982867,45.52250589050666,45.90491168091248,43.3783757639625,38.59735821363591,50.4627542666662,40.78769352869396,43.69647625641082,60.46308173076992,50.47720247568559
BO,34.23322852318582,50.14999816761453,20.631513265120887,43.325195825893445,28.0128076562502,48.53928455528936,0.0,61.42985453125096,27.872807236057497,28.27231344429364,27.25895430803597,24.79659839809753,20.502355694711493,18.464014714717788,31.39324110322024,35.99029328125027,34.03397801504665,19.50663063920449,17.33015311647705,35.53935697668689,31.65881188920486,42.18512257612243,31.56142765625032,18.655796782962558,26.77753733573724,18.50731711160716,23.498134218750053,25.05300103693184,46.06506341638583,40.83708203762815,31.149541244959916,31.06192727430564,54.98174140625091,22.07713938290652,19.09940859374996,18.561930682565745,17.466723490489244,58.10076925164566,37.06893668585544,22.464198795955653,29.800293574810592,21.487544531249743,43.488131980575005,40.475176059028286,30.462214205907674,24.897657825568047,21.532255893750023,31.71366818700426,16.444168829326728,51.86404734375096,49.6179091433198
BQ,61.51460282258013,66.50200568181768,63.79410666128906,60.46391964285795,59.34399999999935,72.97940224359063,61.42985453125096,0.0,65.04341536923056,60.93370163043358,60.991944642858,60.27772197826033,63.65435626923175,57.57037695161187,67.42293128787948,55.180587499998936,58.20403009259245,57.1710475000009,60.897782500000325,64.14257837301598,64.59800340908994,71.20307211538503,61.80596749999955,60.62077133561729,59.57400480769204,59.58537150000121,58.98817499999876,58.17619022727197,66.94373817567586,66.02670280612229,61.25008266128955,61.60472916666555,82.79183035714298,62.482887343374585,60.30539749999866,57.665992236841085,60.45329049999928,89.81720065789499,67.83725802631452,64.8495257352919,58.97592765151464,61.99004027777725,61.21434966216254,62.76517824074075,60.63003886986307,59.2875048318179,63.39094969999925,60.9260148809524,57.485389730769946,67.30999999999946,68.21085560344753
BR,35.489536074193246,51.711971943356296,29.56295195260515,48.36906522967004,28.721616276922852,48.873028366666446,27.872807236057497,65.04341536923056,0.0,28.99256531605329,31.2003134142854,24.54559652474893,30.32253962307656,24.68091661315102,42.20165093776175,38.83765135640988,35.39368437464359,27.164560886013717,28.66028788321652,36.49123801013395,29.92461868041931,43.287012638461206,31.87514320769208,27.325554506322177,27.920734371794644,27.32707104945029,24.73529770769209,25.619881656643173,48.25023631704744,42.63880922244879,31.68649599561597,31.381234599145,56.3342846340656,30.757961139480656,28.665146486812983,24.854869410930963,27.254960420401208,58.37349036801586,46.20930887084968,32.554028865610505,31.41056084825153,31.08295353076893,45.503723695010194,42.99810655413079,32.45240237081113,25.42179767027967,29.682973899999787,32.84150789975552,23.994671761538235,55.66135858461504,51.48429027400498
BS,25.52178892005581,44.80307035573052,31.104473224403986,42.33203229813631,17.13772880434792,41.14086644370083,28.27231344429364,60.93370163043358,28.99256531605329,0.0,22.191884679088886,18.886082826086792,29.94556048495032,24.04920699579251,41.40190604743168,31.871139130433985,27.22460772946813,23.83263277470292,28.562074723320283,26.29018329882628,26.928439920948065,39.08940535117004,24.64749717391284,26.61752128648055,18.378507580825023,25.670358819876107,18.931800760869727,16.32139300395258,39.56490035252583,32.441097959183345,21.38579280037382,24.628456521738894,49.054322981365445,30.33800649554726,27.2673509627322,22.56231562929078,26.99250321739091,55.38410114416374,42.386533798626544,35.635488554985606,24.878932542819,30.00931710144848,37.37375863689709,32.47924702093321,22.68360202501487,18.33621248201545,31.25709890434744,22.95200772946825,21.74671363879607,47.6195755434772,41.71714302848482
