,user_loc,fr_loc,scaled_sci,region
0,ALB,ARE,2101,Europe
1,ALB,ATG,641,Europe
2,ALB,ALB,14884656,Europe
3,ALB,ARM,896,Europe
4,ALB,AGO,689,Europe
5,ALB,ARG,574,Europe
6,ALB,AUT,19997,Europe
7,ALB,AUS,2268,Europe
8,ALB,ABW,910,Europe
9,ALB,AZE,1300,Europe
10,ALB,BIH,15027,Europe
11,ALB,BRB,704,Europe
12,ALB,BGD,430,Europe
13,ALB,BEL,20975,Europe
14,ALB,BFA,572,Europe
15,ALB,BGR,7200,Europe
16,ALB,BHR,1609,Europe
17,ALB,BDI,481,Europe
18,ALB,BEN,2996,Europe
19,ALB,BRN,401,Europe
20,ALB,BOL,353,Europe
21,ALB,BRA,551,Europe
22,ALB,BHS,568,Europe
23,ALB,BTN,239,Europe
24,ALB,BWA,534,Europe
25,ALB,BLR,2763,Europe
26,ALB,BLZ,757,Europe
27,ALB,CAN,5606,Europe
28,ALB,COD,446,Europe
29,ALB,CAF,695,Europe
30,ALB,COG,767,Europe
31,ALB,CHE,36294,Europe
32,ALB,CIV,1289,Europe
33,ALB,CHL,365,Europe
34,ALB,CMR,809,Europe
35,ALB,COL,467,Europe
36,ALB,CRI,607,Europe
37,ALB,CPV,733,Europe
38,ALB,CUW,613,Europe
39,ALB,CYP,14261,Europe
40,ALB,CZE,2997,Europe
41,ALB,DEU,36557,Europe
42,ALB,DJI,518,Europe
43,ALB,DNK,3446,Europe
44,ALB,DOM,1091,Europe
45,ALB,DZA,822,Europe
46,ALB,ECU,440,Europe
47,ALB,EST,2051,Europe
48,ALB,EGY,779,Europe
49,ALB,ESP,3427,Europe
50,ALB,ETH,404,Europe
51,ALB,FIN,5104,Europe
52,ALB,FJI,663,Europe
53,ALB,FSM,113,Europe
54,ALB,FRA,9331,Europe
55,ALB,GAB,573,Europe
56,ALB,GBR,24637,Europe
57,ALB,GRD,709,Europe
58,ALB,GEO,2358,Europe
59,ALB,GUF,432,Europe
60,ALB,GHA,1471,Europe
61,ALB,GMB,2748,Europe
62,ALB,GIN,722,Europe
63,ALB,GLP,506,Europe
64,ALB,GNQ,1607,Europe
65,ALB,GRC,435108,Europe
66,ALB,GTM,309,Europe
67,ALB,GUM,310,Europe
68,ALB,GNB,524,Europe
69,ALB,GUY,638,Europe
70,ALB,HKG,433,Europe
71,ALB,HND,468,Europe
72,ALB,HRV,22880,Europe
73,ALB,HTI,472,Europe
74,ALB,HUN,4449,Europe
75,ALB,IDN,282,Europe
76,ALB,IRL,7175,Europe
77,ALB,IMN,1184,Europe
78,ALB,IND,182,Europe
79,ALB,ISL,14835,Europe
80,ALB,ITA,92964,Europe
81,ALB,JEY,1196,Europe
82,ALB,JAM,998,Europe
83,ALB,JOR,770,Europe
84,ALB,JPN,239,Europe
85,ALB,KEN,1184,Europe
86,ALB,KGZ,589,Europe
87,ALB,KHM,187,Europe
88,ALB,KIR,172,Europe
89,ALB,COM,231,Europe
90,ALB,KOR,312,Europe
91,ALB,KWT,1194,Europe
92,ALB,CYM,2084,Europe
93,ALB,KAZ,1713,Europe
94,ALB,LAO,243,Europe
95,ALB,LBN,1100,Europe
96,ALB,LCA,1196,Europe
97,ALB,LKA,407,Europe
98,ALB,LBR,1236,Europe
99,ALB,LSO,282,Europe
100,ALB,LTU,1763,Europe
101,ALB,LUX,33111,Europe
102,ALB,LVA,2110,Europe
103,ALB,LBY,688,Europe
104,ALB,MAR,1248,Europe
105,ALB,MDA,7923,Europe
106,ALB,MNE,211907,Europe
107,ALB,MDG,861,Europe
108,ALB,MKD,301734,Europe
109,ALB,MLI,982,Europe
110,ALB,MMR,110,Europe
111,ALB,MNG,782,Europe
112,ALB,MAC,499,Europe
113,ALB,MTQ,357,Europe
114,ALB,MRT,507,Europe
115,ALB,MLT,94354,Europe
116,ALB,MUS,837,Europe
117,ALB,MDV,898,Europe
118,ALB,MWI,299,Europe
119,ALB,MEX,349,Europe
120,ALB,MYS,377,Europe
121,ALB,MOZ,490,Europe
122,ALB,NULL,774,Europe
123,ALB,NCL,277,Europe
124,ALB,NER,511,Europe
125,ALB,NGA,967,Europe
126,ALB,NIC,442,Europe
127,ALB,NLD,4516,Europe
128,ALB,NOR,8590,Europe
129,ALB,NPL,206,Europe
130,ALB,NZL,946,Europe
131,ALB,OMN,1010,Europe
132,ALB,PAN,524,Europe
133,ALB,PER,357,Europe
134,ALB,PYF,255,Europe
135,ALB,PNG,264,Europe
136,ALB,PHL,676,Europe
137,ALB,PAK,734,Europe
138,ALB,POL,1602,Europe
139,ALB,PRI,415,Europe
140,ALB,PRT,1746,Europe
141,ALB,PRY,841,Europe
142,ALB,QAT,2867,Europe
143,ALB,REU,288,Europe
144,ALB,ROU,6503,Europe
145,ALB,SRB,26551,Europe
146,ALB,RWA,592,Europe
147,ALB,SAU,944,Europe
148,ALB,SLB,223,Europe
149,ALB,SYC,1023,Europe
150,ALB,SWE,15332,Europe
151,ALB,SGP,622,Europe
152,ALB,SVN,16437,Europe
153,ALB,SVK,4095,Europe
154,ALB,SLE,1373,Europe
155,ALB,SEN,775,Europe
156,ALB,SUR,524,Europe
157,ALB,STP,545,Europe
158,ALB,SLV,425,Europe
159,ALB,SWZ,460,Europe
160,ALB,TCD,648,Europe
161,ALB,TGO,1454,Europe
162,ALB,THA,224,Europe
163,ALB,TJK,672,Europe
164,ALB,TLS,385,Europe
165,ALB,TUN,1647,Europe
166,ALB,TON,379,Europe
167,ALB,TUR,3216,Europe
168,ALB,TTO,726,Europe
169,ALB,TWN,146,Europe
170,ALB,TZA,624,Europe
171,ALB,UKR,1489,Europe
172,ALB,UGA,1491,Europe
173,ALB,USA,4589,Europe
174,ALB,URY,593,Europe
175,ALB,UZB,555,Europe
176,ALB,VCT,549,Europe
177,ALB,VNM,158,Europe
178,ALB,VUT,167,Europe
179,ALB,WSM,216,Europe
180,ALB,XKX,1010020,Europe
181,ALB,MYT,215,Europe
182,ALB,ZAF,331,Europe
183,ALB,ZMB,724,Europe
184,ALB,ZWE,369,Europe
185,AUT,ARE,4558,Europe
186,AUT,ATG,3522,Europe
187,AUT,ALB,19997,Europe
188,AUT,ARM,6442,Europe
189,AUT,AGO,639,Europe
190,AUT,ARG,1270,Europe
191,AUT,AUT,8174253,Europe
192,AUT,AUS,5680,Europe
193,AUT,ABW,3662,Europe
194,AUT,AZE,2578,Europe
195,AUT,BIH,312840,Europe
196,AUT,BRB,2120,Europe
197,AUT,BGD,542,Europe
198,AUT,BEL,13983,Europe
199,AUT,BFA,955,Europe
200,AUT,BGR,40713,Europe
201,AUT,BHR,2178,Europe
202,AUT,BDI,679,Europe
203,AUT,BEN,2766,Europe
204,AUT,BRN,867,Europe
205,AUT,BOL,670,Europe
206,AUT,BRA,959,Europe
207,AUT,BHS,2219,Europe
208,AUT,BTN,1157,Europe
209,AUT,BWA,579,Europe
210,AUT,BLR,4669,Europe
211,AUT,BLZ,1212,Europe
212,AUT,CAN,4474,Europe
213,AUT,COD,911,Europe
214,AUT,CAF,776,Europe
215,AUT,COG,1282,Europe
216,AUT,CHE,103987,Europe
217,AUT,CIV,898,Europe
218,AUT,CHL,1390,Europe
219,AUT,CMR,1447,Europe
220,AUT,COL,932,Europe
221,AUT,CRI,2275,Europe
222,AUT,CPV,3928,Europe
223,AUT,CUW,3786,Europe
224,AUT,CYP,15231,Europe
225,AUT,CZE,20745,Europe
226,AUT,DEU,94662,Europe
227,AUT,DJI,6750,Europe
228,AUT,DNK,13630,Europe
229,AUT,DOM,4096,Europe
230,AUT,DZA,776,Europe
231,AUT,ECU,830,Europe
232,AUT,EST,8845,Europe
233,AUT,EGY,2370,Europe
234,AUT,ESP,8224,Europe
235,AUT,ETH,1988,Europe
236,AUT,FIN,10308,Europe
237,AUT,FJI,713,Europe
238,AUT,FSM,469,Europe
239,AUT,FRA,6431,Europe
240,AUT,GAB,938,Europe
241,AUT,GBR,9074,Europe
242,AUT,GRD,2729,Europe
243,AUT,GEO,7893,Europe
244,AUT,GUF,1075,Europe
245,AUT,GHA,2239,Europe
246,AUT,GMB,16002,Europe
247,AUT,GIN,1525,Europe
248,AUT,GLP,1563,Europe
249,AUT,GNQ,1963,Europe
250,AUT,GRC,17363,Europe
251,AUT,GTM,578,Europe
252,AUT,GUM,1275,Europe
253,AUT,GNB,3802,Europe
254,AUT,GUY,347,Europe
255,AUT,HKG,2169,Europe
256,AUT,HND,411,Europe
257,AUT,HRV,120554,Europe
258,AUT,HTI,335,Europe
259,AUT,HUN,138438,Europe
260,AUT,IDN,344,Europe
261,AUT,IRL,11662,Europe
262,AUT,IMN,6688,Europe
263,AUT,IND,312,Europe
264,AUT,ISL,25700,Europe
265,AUT,ITA,17629,Europe
266,AUT,JEY,8251,Europe
267,AUT,JAM,2005,Europe
268,AUT,JOR,3331,Europe
269,AUT,JPN,1518,Europe
270,AUT,KEN,2119,Europe
271,AUT,KGZ,1776,Europe
272,AUT,KHM,488,Europe
273,AUT,KIR,214,Europe
274,AUT,COM,147,Europe
275,AUT,KOR,1145,Europe
276,AUT,KWT,2352,Europe
277,AUT,CYM,11591,Europe
278,AUT,KAZ,1336,Europe
279,AUT,LAO,373,Europe
280,AUT,LBN,8423,Europe
281,AUT,LCA,2326,Europe
282,AUT,LKA,1216,Europe
283,AUT,LBR,1204,Europe
284,AUT,LSO,307,Europe
285,AUT,LTU,6246,Europe
286,AUT,LUX,53894,Europe
287,AUT,LVA,10714,Europe
288,AUT,LBY,1107,Europe
289,AUT,MAR,1330,Europe
290,AUT,MDA,14191,Europe
291,AUT,MNE,65760,Europe
292,AUT,MDG,723,Europe
293,AUT,MKD,126223,Europe
294,AUT,MLI,815,Europe
295,AUT,MMR,150,Europe
296,AUT,MNG,6279,Europe
297,AUT,MAC,1839,Europe
298,AUT,MTQ,1278,Europe
299,AUT,MRT,496,Europe
300,AUT,MLT,24663,Europe
301,AUT,MUS,2342,Europe
302,AUT,MDV,3329,Europe
303,AUT,MWI,405,Europe
304,AUT,MEX,692,Europe
305,AUT,MYS,634,Europe
306,AUT,MOZ,448,Europe
307,AUT,NULL,3420,Europe
308,AUT,NCL,1151,Europe
309,AUT,NER,637,Europe
310,AUT,NGA,1853,Europe
311,AUT,NIC,765,Europe
312,AUT,NLD,17798,Europe
313,AUT,NOR,12104,Europe
314,AUT,NPL,842,Europe
315,AUT,NZL,5253,Europe
316,AUT,OMN,1658,Europe
317,AUT,PAN,1172,Europe
318,AUT,PER,812,Europe
319,AUT,PYF,1462,Europe
320,AUT,PNG,329,Europe
321,AUT,PHL,1365,Europe
322,AUT,PAK,1124,Europe
323,AUT,POL,15110,Europe
324,AUT,PRI,839,Europe
325,AUT,PRT,9027,Europe
326,AUT,PRY,1114,Europe
327,AUT,QAT,3203,Europe
328,AUT,REU,1217,Europe
329,AUT,ROU,91149,Europe
330,AUT,SRB,221432,Europe
331,AUT,RWA,836,Europe
332,AUT,SAU,1817,Europe
333,AUT,SLB,240,Europe
334,AUT,SYC,7151,Europe
335,AUT,SWE,16537,Europe
336,AUT,SGP,2811,Europe
337,AUT,SVN,176074,Europe
338,AUT,SVK,72087,Europe
339,AUT,SLE,1715,Europe
340,AUT,SEN,1362,Europe
341,AUT,SUR,616,Europe
342,AUT,STP,1055,Europe
343,AUT,SLV,461,Europe
344,AUT,SWZ,380,Europe
345,AUT,TCD,445,Europe
346,AUT,TGO,1344,Europe
347,AUT,THA,1083,Europe
348,AUT,TJK,2371,Europe
349,AUT,TLS,284,Europe
350,AUT,TUN,4520,Europe
351,AUT,TON,789,Europe
352,AUT,TUR,14259,Europe
353,AUT,TTO,1131,Europe
354,AUT,TWN,904,Europe
355,AUT,TZA,914,Europe
356,AUT,UKR,4890,Europe
357,AUT,UGA,2269,Europe
358,AUT,USA,2710,Europe
359,AUT,URY,1522,Europe
360,AUT,UZB,1228,Europe
361,AUT,VCT,1851,Europe
362,AUT,VNM,315,Europe
363,AUT,VUT,651,Europe
364,AUT,WSM,381,Europe
365,AUT,XKX,113697,Europe
366,AUT,MYT,508,Europe
367,AUT,ZAF,885,Europe
368,AUT,ZMB,620,Europe
369,AUT,ZWE,994,Europe
370,BIH,ARE,4792,Europe
371,BIH,ATG,508,Europe
372,BIH,ALB,15027,Europe
373,BIH,ARM,701,Europe
374,BIH,AGO,393,Europe
375,BIH,ARG,442,Europe
376,BIH,AUT,312840,Europe
377,BIH,AUS,7830,Europe
378,BIH,ABW,604,Europe
379,BIH,AZE,3537,Europe
380,BIH,BIH,24705334,Europe
381,BIH,BRB,625,Europe
382,BIH,BGD,496,Europe
383,BIH,BEL,10782,Europe
384,BIH,BFA,398,Europe
385,BIH,BGR,7109,Europe
386,BIH,BHR,1924,Europe
387,BIH,BDI,258,Europe
388,BIH,BEN,3427,Europe
389,BIH,BRN,587,Europe
390,BIH,BOL,215,Europe
391,BIH,BRA,286,Europe
392,BIH,BHS,744,Europe
393,BIH,BTN,148,Europe
394,BIH,BWA,278,Europe
395,BIH,BLR,2231,Europe
396,BIH,BLZ,293,Europe
397,BIH,CAN,5297,Europe
398,BIH,COD,243,Europe
399,BIH,CAF,1871,Europe
400,BIH,COG,425,Europe
401,BIH,CHE,96293,Europe
402,BIH,CIV,798,Europe
403,BIH,CHL,399,Europe
404,BIH,CMR,539,Europe
405,BIH,COL,277,Europe
406,BIH,CRI,437,Europe
407,BIH,CPV,401,Europe
408,BIH,CUW,644,Europe
409,BIH,CYP,5151,Europe
410,BIH,CZE,6978,Europe
411,BIH,DEU,98577,Europe
412,BIH,DJI,647,Europe
413,BIH,DNK,19088,Europe
414,BIH,DOM,949,Europe
415,BIH,DZA,866,Europe
416,BIH,ECU,237,Europe
417,BIH,EST,1582,Europe
418,BIH,EGY,621,Europe
419,BIH,ESP,1930,Europe
420,BIH,ETH,319,Europe
421,BIH,FIN,6753,Europe
422,BIH,FJI,231,Europe
423,BIH,FSM,1224,Europe
424,BIH,FRA,4417,Europe
425,BIH,GAB,422,Europe
426,BIH,GBR,2130,Europe
427,BIH,GRD,708,Europe
428,BIH,GEO,1167,Europe
429,BIH,GUF,297,Europe
430,BIH,GHA,1078,Europe
431,BIH,GMB,2320,Europe
432,BIH,GIN,387,Europe
433,BIH,GLP,326,Europe
434,BIH,GNQ,870,Europe
435,BIH,GRC,8065,Europe
436,BIH,GTM,148,Europe
437,BIH,GUM,435,Europe
438,BIH,GNB,369,Europe
439,BIH,GUY,383,Europe
440,BIH,HKG,343,Europe
441,BIH,HND,228,Europe
442,BIH,HRV,819998,Europe
443,BIH,HTI,296,Europe
444,BIH,HUN,4095,Europe
445,BIH,IDN,226,Europe
446,BIH,IRL,9693,Europe
447,BIH,IMN,621,Europe
448,BIH,IND,121,Europe
449,BIH,ISL,18703,Europe
450,BIH,ITA,10320,Europe
451,BIH,JEY,820,Europe
452,BIH,JAM,704,Europe
453,BIH,JOR,1639,Europe
454,BIH,JPN,235,Europe
455,BIH,KEN,591,Europe
456,BIH,KGZ,650,Europe
457,BIH,KHM,101,Europe
458,BIH,KIR,167,Europe
459,BIH,COM,203,Europe
460,BIH,KOR,162,Europe
461,BIH,KWT,2154,Europe
462,BIH,CYM,2538,Europe
463,BIH,KAZ,592,Europe
464,BIH,LAO,106,Europe
465,BIH,LBN,1165,Europe
466,BIH,LCA,1268,Europe
467,BIH,LKA,316,Europe
468,BIH,LBR,643,Europe
469,BIH,LSO,117,Europe
470,BIH,LTU,1564,Europe
471,BIH,LUX,98590,Europe
472,BIH,LVA,1976,Europe
473,BIH,LBY,1381,Europe
474,BIH,MAR,1644,Europe
475,BIH,MDA,1381,Europe
476,BIH,MNE,1102079,Europe
477,BIH,MDG,619,Europe
478,BIH,MKD,161234,Europe
479,BIH,MLI,486,Europe
480,BIH,MMR,54,Europe
481,BIH,MNG,333,Europe
482,BIH,MAC,320,Europe
483,BIH,MTQ,400,Europe
484,BIH,MRT,391,Europe
485,BIH,MLT,36736,Europe
486,BIH,MUS,959,Europe
487,BIH,MDV,1093,Europe
488,BIH,MWI,183,Europe
489,BIH,MEX,223,Europe
490,BIH,MYS,460,Europe
491,BIH,MOZ,297,Europe
492,BIH,NULL,1460,Europe
493,BIH,NCL,472,Europe
494,BIH,NER,359,Europe
495,BIH,NGA,577,Europe
496,BIH,NIC,244,Europe
497,BIH,NLD,13621,Europe
498,BIH,NOR,23508,Europe
499,BIH,NPL,176,Europe
500,BIH,NZL,1185,Europe
501,BIH,OMN,2050,Europe
502,BIH,PAN,313,Europe
503,BIH,PER,247,Europe
504,BIH,PYF,295,Europe
505,BIH,PNG,162,Europe
506,BIH,PHL,335,Europe
507,BIH,PAK,2912,Europe
508,BIH,POL,1449,Europe
509,BIH,PRI,329,Europe
510,BIH,PRT,1628,Europe
511,BIH,PRY,362,Europe
512,BIH,QAT,5504,Europe
513,BIH,REU,340,Europe
514,BIH,ROU,3263,Europe
515,BIH,SRB,796560,Europe
516,BIH,RWA,509,Europe
517,BIH,SAU,1840,Europe
518,BIH,SLB,399,Europe
519,BIH,SYC,579,Europe
520,BIH,SWE,50771,Europe
521,BIH,SGP,506,Europe
522,BIH,SVN,1157591,Europe
523,BIH,SVK,10450,Europe
524,BIH,SLE,877,Europe
525,BIH,SEN,512,Europe
526,BIH,SUR,357,Europe
527,BIH,STP,209,Europe
528,BIH,SLV,179,Europe
529,BIH,SWZ,284,Europe
530,BIH,TCD,406,Europe
531,BIH,TGO,1015,Europe
532,BIH,THA,135,Europe
533,BIH,TJK,889,Europe
534,BIH,TLS,278,Europe
535,BIH,TUN,1300,Europe
536,BIH,TON,225,Europe
537,BIH,TUR,3446,Europe
538,BIH,TTO,621,Europe
539,BIH,TWN,122,Europe
540,BIH,TZA,403,Europe
541,BIH,UKR,1331,Europe
542,BIH,UGA,1099,Europe
543,BIH,USA,3339,Europe
544,BIH,URY,501,Europe
545,BIH,UZB,487,Europe
546,BIH,VCT,595,Europe
547,BIH,VNM,79,Europe
548,BIH,VUT,99,Europe
549,BIH,WSM,188,Europe
550,BIH,XKX,70177,Europe
551,BIH,MYT,143,Europe
552,BIH,ZAF,260,Europe
553,BIH,ZMB,430,Europe
554,BIH,ZWE,287,Europe
555,BEL,ARE,4375,Europe
556,BEL,ATG,2166,Europe
557,BEL,ALB,20975,Europe
558,BEL,ARM,9893,Europe
559,BEL,AGO,5111,Europe
560,BEL,ARG,1192,Europe
561,BEL,AUT,13983,Europe
562,BEL,AUS,4143,Europe
563,BEL,ABW,16663,Europe
564,BEL,AZE,1411,Europe
565,BEL,BIH,10782,Europe
566,BEL,BRB,2071,Europe
567,BEL,BGD,314,Europe
568,BEL,BEL,4718282,Europe
569,BEL,BFA,5252,Europe
570,BEL,BGR,29813,Europe
571,BEL,BHR,2037,Europe
572,BEL,BDI,22465,Europe
573,BEL,BEN,6022,Europe
574,BEL,BRN,795,Europe
575,BEL,BOL,844,Europe
576,BEL,BRA,1808,Europe
577,BEL,BHS,1365,Europe
578,BEL,BTN,1314,Europe
579,BEL,BWA,773,Europe
580,BEL,BLR,3426,Europe
581,BEL,BLZ,964,Europe
582,BEL,CAN,5968,Europe
