user_loc,fr_loc,scaled_sci,region
AO,AE,2326,Africa
AO,AG,4539,Africa
AO,AL,689,Africa
AO,AM,298,Africa
AO,AO,16815996,Africa
AO,AR,1235,Africa
AO,AT,639,Africa
AO,AU,291,Africa
AO,AW,1214,Africa
AO,AZ,910,Africa
AO,BA,393,Africa
AO,BB,2033,Africa
AO,BD,1479,Africa
AO,BE,5111,Africa
AO,BF,19899,Africa
AO,BG,664,Africa
AO,BH,1510,Africa
AO,BI,18830,Africa
AO,BJ,27847,Africa
AO,BN,555,Africa
AO,BO,1488,Africa
AO,BR,12386,Africa
AO,BS,2724,Africa
AO,BT,380,Africa
AO,BW,25727,Africa
AO,BY,1052,Africa
AO,BZ,1967,Africa
AO,CA,1403,Africa
AO,CD,221090,Africa
AO,CF,19593,Africa
AO,CG,141128,Africa
AO,CH,4437,Africa
AO,CI,32817,Africa
AO,CL,867,Africa
AO,CM,19607,Africa
AO,CO,1878,Africa
AO,CR,1302,Africa
AO,CV,317664,Africa
AO,CW,1826,Africa
AO,CY,3385,Africa
AO,CZ,339,Africa
AO,DE,1434,Africa
AO,DJ,4317,Africa
AO,DK,449,Africa
AO,DO,6804,Africa
AO,DZ,1715,Africa
AO,EC,1414,Africa
AO,EE,204,Africa
AO,EG,1258,Africa
AO,ES,1464,Africa
AO,ET,3278,Africa
AO,FI,798,Africa
AO,FJ,1493,Africa
AO,FM,386,Africa
AO,FR,6062,Africa
AO,GA,37827,Africa
AO,GB,3015,Africa
AO,GD,5182,Africa
AO,GE,497,Africa
AO,GF,8289,Africa
AO,GH,14043,Africa
AO,GM,35052,Africa
AO,GN,86428,Africa
AO,GP,3178,Africa
AO,GQ,40187,Africa
AO,GR,3534,Africa
AO,GT,1044,Africa
AO,GU,397,Africa
AO,GW,343468,Africa
AO,GY,4893,Africa
AO,HK,236,Africa
AO,HN,1887,Africa
AO,HR,368,Africa
AO,HT,15809,Africa
AO,HU,526,Africa
AO,ID,755,Africa
AO,IE,1661,Africa
AO,IM,223,Africa
AO,IN,807,Africa
AO,IS,1037,Africa
AO,IT,1095,Africa
AO,JE,2432,Africa
AO,JM,8265,Africa
AO,JO,896,Africa
AO,JP,208,Africa
AO,KE,18738,Africa
AO,KG,304,Africa
AO,KH,340,Africa
AO,KI,2649,Africa
AO,KM,5918,Africa
AO,KR,242,Africa
AO,KW,1190,Africa
AO,KY,2307,Africa
AO,KZ,506,Africa
AO,LA,258,Africa
AO,LB,5069,Africa
AO,LC,4044,Africa
AO,LK,1176,Africa
AO,LR,31446,Africa
AO,LS,13237,Africa
AO,LT,238,Africa
AO,LU,11373,Africa
AO,LV,315,Africa
AO,LY,1579,Africa
AO,MA,2476,Africa
AO,MD,341,Africa
AO,ME,631,Africa
AO,MG,14281,Africa
AO,MK,611,Africa
AO,ML,30127,Africa
AO,MM,189,Africa
AO,MN,262,Africa
AO,MO,1201,Africa
AO,MQ,2223,Africa
AO,MR,55699,Africa
AO,MT,1131,Africa
AO,MU,1931,Africa
AO,MV,1310,Africa
AO,MW,13172,Africa
AO,MX,1020,Africa
AO,MY,429,Africa
AO,MZ,779423,Africa
AO,,567348,Africa
AO,NC,537,Africa
AO,NE,12845,Africa
AO,NG,6228,Africa
AO,NI,2399,Africa
