user_loc,fr_loc,scaled_sci,region
AG,AE,5488,Americas
AG,AG,856956149,Americas
AG,AL,641,Americas
AG,AM,360,Americas
AG,AO,4539,Americas
AG,AR,836,Americas
AG,AT,3522,Americas
AG,AU,3514,Americas
AG,AW,174684,Americas
AG,AZ,505,Americas
AG,BA,508,Americas
AG,BB,2551859,Americas
AG,BD,470,Americas
AG,BE,2166,Americas
AG,BF,1904,Americas
AG,BG,1707,Americas
AG,BH,3419,Americas
AG,BI,1678,Americas
AG,BJ,4947,Americas
AG,BN,1085,Americas
AG,BO,599,Americas
AG,BR,712,Americas
AG,BS,828698,Americas
AG,BT,644,Americas
AG,BW,8081,Americas
AG,BY,425,Americas
AG,BZ,222970,Americas
AG,CA,66793,Americas
AG,CD,2546,Americas
AG,CF,2028,Americas
AG,CG,5698,Americas
AG,CH,6927,Americas
AG,CI,3159,Americas
AG,CL,1742,Americas
AG,CM,4742,Americas
AG,CO,1440,Americas
AG,CR,3634,Americas
AG,CV,7695,Americas
AG,CW,264541,Americas
AG,CY,7144,Americas
AG,CZ,616,Americas
AG,DE,2335,Americas
AG,DJ,2830,Americas
AG,DK,2359,Americas
AG,DO,196877,Americas
AG,DZ,532,Americas
AG,EC,1233,Americas
AG,EE,5921,Americas
AG,EG,751,Americas
AG,ES,4581,Americas
AG,ET,1186,Americas
AG,FI,1271,Americas
AG,FJ,9244,Americas
AG,FM,3267,Americas
AG,FR,3535,Americas
AG,GA,6912,Americas
AG,GB,40165,Americas
AG,GD,3622283,Americas
AG,GE,1379,Americas
AG,GF,235943,Americas
AG,GH,12654,Americas
AG,GM,11691,Americas
AG,GN,2668,Americas
AG,GP,802310,Americas
AG,GQ,10555,Americas
AG,GR,1299,Americas
AG,GT,890,Americas
AG,GU,3868,Americas
AG,GW,3483,Americas
AG,GY,3777881,Americas
AG,HK,1106,Americas
AG,HN,1999,Americas
AG,HR,1530,Americas
AG,HT,52380,Americas
AG,HU,1022,Americas
AG,ID,328,Americas
AG,IE,4592,Americas
AG,IM,18997,Americas
AG,IN,522,Americas
AG,IS,3581,Americas
AG,IT,4331,Americas
AG,JE,24891,Americas
AG,JM,2598041,Americas
AG,JO,777,Americas
AG,JP,824,Americas
AG,KE,6758,Americas
AG,KG,241,Americas
AG,KH,248,Americas
AG,KI,1833,Americas
AG,KM,9804,Americas
AG,KR,357,Americas
AG,KW,2392,Americas
AG,KY,1092215,Americas
AG,KZ,371,Americas
AG,LA,202,Americas
AG,LB,9573,Americas
AG,LC,6556735,Americas
AG,LK,1594,Americas
AG,LR,24225,Americas
AG,LS,3871,Americas
AG,LT,747,Americas
AG,LU,4408,Americas
AG,LV,1374,Americas
AG,LY,369,Americas
AG,MA,1151,Americas
AG,MD,303,Americas
AG,ME,1914,Americas
AG,MG,2280,Americas
AG,MK,2532,Americas
AG,ML,2999,Americas
AG,MM,101,Americas
AG,MN,328,Americas
AG,MO,1353,Americas
AG,MQ,234608,Americas
AG,MR,1803,Americas
AG,MT,18980,Americas
AG,MU,8436,Americas
AG,MV,6264,Americas
AG,MW,2623,Americas
AG,MX,852,Americas
AG,MY,416,Americas
AG,MZ,2812,Americas
AG,,15247,Americas
AG,NC,921,Americas
AG,NE,6591,Americas
AG,NG,7632,Americas
AG,NI,1418,Americas
AG,NL,5929,Americas
AG,NO,2062,Americas
AG,NP,491,Americas
AG,NZ,4324,Americas
AG,OM,1720,Americas
AG,PA,5837,Americas
AG,PE,750,Americas
AG,PF,7917,Americas
AG,PG,1367,Americas
AG,PH,1822,Americas
AG,PK,841,Americas
AG,PL,502,Americas
AG,PR,16901,Americas
AG,PT,1516,Americas
AG,PY,1033,Americas
AG,QA,3430,Americas
AG,RE,2423,Americas
AG,RO,816,Americas
AG,RS,2630,Americas
AG,RW,3038,Americas
AG,SA,1041,Americas
AG,SB,2786,Americas
AG,SC,35024,Americas
AG,SE,2763,Americas
AG,SG,1251,Americas
AG,SI,1933,Americas
AG,SK,554,Americas
AG,SL,19845,Americas
AG,SN,5537,Americas
AG,SR,575311,Americas
AG,ST,10786,Americas
AG,SV,1009,Americas
AG,SZ,3938,Americas
AG,TD,1008,Americas
AG,TG,5482,Americas
AG,TH,196,Americas
AG,TJ,359,Americas
AG,TL,766,Americas
AG,TN,683,Americas
AG,TO,5288,Americas
AG,TR,703,Americas
AG,TT,770187,Americas
AG,TW,418,Americas
AG,TZ,3294,Americas
AG,UA,490,Americas
AG,UG,6566,Americas
AG,US,56333,Americas
AG,UY,1580,Americas
AG,UZ,205,Americas
AG,VC,11065040,Americas
AG,VN,190,Americas
AG,VU,3942,Americas
AG,WS,3001,Americas
AG,XK,556,Americas
AG,YT,12445,Americas
AG,ZA,2955,Americas
AG,ZM,7549,Americas
AG,ZW,4962,Americas
AR,AE,737,Americas
AR,AG,836,Americas
AR,AL,574,Americas
AR,AM,631,Americas
AR,AO,1235,Americas
AR,AR,1863542,Americas
AR,AT,1270,Americas
AR,AU,1624,Americas
AR,AW,6051,Americas
AR,AZ,234,Americas
AR,BA,442,Americas
AR,BB,598,Americas
AR,BD,213,Americas
AR,BE,1192,Americas
AR,BF,472,Americas
AR,BG,616,Americas
AR,BH,495,Americas
AR,BI,312,Americas
AR,BJ,1953,Americas
AR,BN,304,Americas
AR,BO,35162,Americas
AR,BR,3259,Americas
AR,BS,826,Americas
AR,BT,185,Americas
AR,BW,256,Americas
AR,BY,705,Americas
AR,BZ,1858,Americas
AR,CA,961,Americas
AR,CD,430,Americas
AR,CF,422,Americas
AR,CG,617,Americas
AR,CH,3379,Americas
AR,CI,906,Americas
AR,CL,18643,Americas
AR,CM,673,Americas
AR,CO,8548,Americas
AR,CR,7421,Americas
AR,CV,1027,Americas
AR,CW,3060,Americas
AR,CY,1130,Americas
AR,CZ,514,Americas
AR,DE,1442,Americas
AR,DJ,257,Americas
AR,DK,2096,Americas
AR,DO,8529,Americas
AR,DZ,1013,Americas
AR,EC,7662,Americas
AR,EE,532,Americas
AR,EG,590,Americas
AR,ES,15275,Americas
AR,ET,200,Americas
AR,FI,625,Americas
AR,FJ,211,Americas
AR,FM,97,Americas
AR,FR,1320,Americas
AR,GA,529,Americas
AR,GB,889,Americas
AR,GD,867,Americas
AR,GE,372,Americas
AR,GF,1519,Americas
AR,GH,1051,Americas
AR,GM,2655,Americas
AR,GN,470,Americas
AR,GP,956,Americas
AR,GQ,2884,Americas
AR,GR,1098,Americas
AR,GT,4826,Americas
AR,GU,283,Americas
AR,GW,776,Americas
AR,GY,1143,Americas
AR,HK,346,Americas
AR,HN,5543,Americas
AR,HR,1135,Americas
AR,HT,2543,Americas
