user_loc,fr_loc,scaled_sci,region
AE,AE,1117179,Asia
AE,AG,5488,Asia
AE,AL,2101,Asia
AE,AM,3580,Asia
AE,AO,2326,Asia
AE,AR,737,Asia
AE,AT,4558,Asia
AE,AU,11931,Asia
AE,AW,3359,Asia
AE,AZ,2948,Asia
AE,BA,4792,Asia
AE,BB,3349,Asia
AE,BD,88757,Asia
AE,BE,4375,Asia
AE,BF,3603,Asia
AE,BG,2492,Asia
AE,BH,255056,Asia
AE,BI,14203,Asia
AE,BJ,5494,Asia
AE,BN,33017,Asia
AE,BO,591,Asia
AE,BR,1050,Asia
AE,BS,4183,Asia
AE,BT,16748,Asia
AE,BW,3898,Asia
AE,BY,3559,Asia
AE,BZ,1892,Asia
AE,CA,13566,Asia
AE,CD,3815,Asia
AE,CF,7176,Asia
AE,CG,5201,Asia
AE,CH,6828,Asia
AE,CI,4175,Asia
AE,CL,522,Asia
AE,CM,47317,Asia
AE,CO,1321,Asia
AE,CR,1198,Asia
AE,CV,1508,Asia
AE,CW,2947,Asia
AE,CY,27722,Asia
AE,CZ,1689,Asia
AE,DE,5178,Asia
AE,DJ,21054,Asia
AE,DK,4301,Asia
AE,DO,1376,Asia
AE,DZ,3296,Asia
AE,EC,691,Asia
AE,EE,2793,Asia
AE,EG,40485,Asia
AE,ES,3543,Asia
AE,ET,138056,Asia
AE,FI,3102,Asia
AE,FJ,4257,Asia
AE,FM,3269,Asia
AE,FR,4320,Asia
AE,GA,6234,Asia
AE,GB,13775,Asia
AE,GD,3309,Asia
AE,GE,2998,Asia
AE,GF,1926,Asia
AE,GH,36041,Asia
AE,GM,20084,Asia
AE,GN,8402,Asia
AE,GP,1567,Asia
AE,GQ,16645,Asia
AE,GR,11261,Asia
AE,GT,463,Asia
AE,GU,19749,Asia
AE,GW,5271,Asia
AE,GY,3050,Asia
AE,HK,11489,Asia
AE,HN,982,Asia
AE,HR,3023,Asia
AE,HT,1636,Asia
AE,HU,2121,Asia
AE,ID,4581,Asia
AE,IE,19662,Asia
AE,IM,12160,Asia
AE,IN,36329,Asia
AE,IS,4447,Asia
AE,IT,6228,Asia
AE,JE,11772,Asia
AE,JM,3718,Asia
AE,JO,59018,Asia
AE,JP,3520,Asia
AE,KE,22943,Asia
AE,KG,5344,Asia
AE,KH,1207,Asia
AE,KI,1935,Asia
AE,KM,10251,Asia
AE,KR,3160,Asia
AE,KW,139864,Asia
AE,KY,38058,Asia
AE,KZ,2306,Asia
AE,LA,1084,Asia
AE,LB,85463,Asia
AE,LC,3846,Asia
AE,LK,66289,Asia
AE,LR,34308,Asia
AE,LS,1471,Asia
AE,LT,2181,Asia
AE,LU,7886,Asia
AE,LV,2783,Asia
AE,LY,8465,Asia
AE,MA,12031,Asia
AE,MD,2778,Asia
AE,ME,6573,Asia
AE,MG,2933,Asia
AE,MK,5852,Asia
AE,ML,4466,Asia
AE,MM,1562,Asia
AE,MN,720,Asia
AE,MO,21533,Asia
AE,MQ,1210,Asia
AE,MR,29444,Asia
AE,MT,30733,Asia
AE,MU,14615,Asia
AE,MV,78830,Asia
AE,MW,4583,Asia
AE,MX,557,Asia
AE,MY,13943,Asia
AE,MZ,2621,Asia
AE,,5605,Asia
AE,NC,909,Asia
AE,NE,5671,Asia
AE,NG,22605,Asia
AE,NI,973,Asia
