user_loc,fr_loc,scaled_sci,region
AL,AE,2101,Europe
AL,AG,641,Europe
AL,AL,14884656,Europe
AL,AM,896,Europe
AL,AO,689,Europe
AL,AR,574,Europe
AL,AT,19997,Europe
AL,AU,2268,Europe
AL,AW,910,Europe
AL,AZ,1300,Europe
AL,BA,15027,Europe
AL,BB,704,Europe
AL,BD,430,Europe
AL,BE,20975,Europe
AL,BF,572,Europe
AL,BG,7200,Europe
AL,BH,1609,Europe
AL,BI,481,Europe
AL,BJ,2996,Europe
AL,BN,401,Europe
AL,BO,353,Europe
AL,BR,551,Europe
AL,BS,568,Europe
AL,BT,239,Europe
AL,BW,534,Europe
AL,BY,2763,Europe
AL,BZ,757,Europe
AL,CA,5606,Europe
AL,CD,446,Europe
AL,CF,695,Europe
AL,CG,767,Europe
AL,CH,36294,Europe
AL,CI,1289,Europe
AL,CL,365,Europe
AL,CM,809,Europe
AL,CO,467,Europe
AL,CR,607,Europe
AL,CV,733,Europe
AL,CW,613,Europe
AL,CY,14261,Europe
AL,CZ,2997,Europe
AL,DE,36557,Europe
AL,DJ,518,Europe
AL,DK,3446,Europe
AL,DO,1091,Europe
AL,DZ,822,Europe
AL,EC,440,Europe
AL,EE,2051,Europe
AL,EG,779,Europe
AL,ES,3427,Europe
AL,ET,404,Europe
AL,FI,5104,Europe
AL,FJ,663,Europe
AL,FM,113,Europe
AL,FR,9331,Europe
AL,GA,573,Europe
AL,GB,24637,Europe
AL,GD,709,Europe
AL,GE,2358,Europe
AL,GF,432,Europe
AL,GH,1471,Europe
AL,GM,2748,Europe
AL,GN,722,Europe
AL,GP,506,Europe
AL,GQ,1607,Europe
AL,GR,435108,Europe
AL,GT,309,Europe
AL,GU,310,Europe
AL,GW,524,Europe
AL,GY,638,Europe
AL,HK,433,Europe
AL,HN,468,Europe
AL,HR,22880,Europe
AL,HT,472,Europe
AL,HU,4449,Europe
AL,ID,282,Europe
AL,IE,7175,Europe
AL,IM,1184,Europe
AL,IN,182,Europe
AL,IS,14835,Europe
AL,IT,92964,Europe
AL,JE,1196,Europe
AL,JM,998,Europe
AL,JO,770,Europe
AL,JP,239,Europe
AL,KE,1184,Europe
AL,KG,589,Europe
AL,KH,187,Europe
AL,KI,172,Europe
AL,KM,231,Europe
AL,KR,312,Europe
AL,KW,1194,Europe
AL,KY,2084,Europe
AL,KZ,1713,Europe
AL,LA,243,Europe
AL,LB,1100,Europe
AL,LC,1196,Europe
AL,LK,407,Europe
AL,LR,1236,Europe
AL,LS,282,Europe
AL,LT,1763,Europe
AL,LU,33111,Europe
AL,LV,2110,Europe
AL,LY,688,Europe
AL,MA,1248,Europe
AL,MD,7923,Europe
AL,ME,211907,Europe
AL,MG,861,Europe
AL,MK,301734,Europe
AL,ML,982,Europe
AL,MM,110,Europe
AL,MN,782,Europe
AL,MO,499,Europe
AL,MQ,357,Europe
AL,MR,507,Europe
AL,MT,94354,Europe
AL,MU,837,Europe
AL,MV,898,Europe
AL,MW,299,Europe
AL,MX,349,Europe
AL,MY,377,Europe
AL,MZ,490,Europe
AL,,774,Europe
AL,NC,277,Europe
AL,NE,511,Europe
AL,NG,967,Europe
AL,NI,442,Europe
AL,NL,4516,Europe
AL,NO,8590,Europe
AL,NP,206,Europe
AL,NZ,946,Europe
AL,OM,1010,Europe
AL,PA,524,Europe
AL,PE,357,Europe
AL,PF,255,Europe
AL,PG,264,Europe
AL,PH,676,Europe
AL,PK,734,Europe
AL,PL,1602,Europe
AL,PR,415,Europe
AL,PT,1746,Europe
AL,PY,841,Europe
AL,QA,2867,Europe
AL,RE,288,Europe
AL,RO,6503,Europe
AL,RS,26551,Europe
AL,RW,592,Europe
AL,SA,944,Europe
AL,SB,223,Europe
AL,SC,1023,Europe
AL,SE,15332,Europe
AL,SG,622,Europe
AL,SI,16437,Europe
AL,SK,4095,Europe
AL,SL,1373,Europe
AL,SN,775,Europe
AL,SR,524,Europe
AL,ST,545,Europe
AL,SV,425,Europe
AL,SZ,460,Europe
AL,TD,648,Europe
AL,TG,1454,Europe
AL,TH,224,Europe
AL,TJ,672,Europe
AL,TL,385,Europe
AL,TN,1647,Europe
AL,TO,379,Europe
AL,TR,3216,Europe
AL,TT,726,Europe
AL,TW,146,Europe
AL,TZ,624,Europe
AL,UA,1489,Europe
AL,UG,1491,Europe
AL,US,4589,Europe
AL,UY,593,Europe
AL,UZ,555,Europe
AL,VC,549,Europe
AL,VN,158,Europe
AL,VU,167,Europe
AL,WS,216,Europe
AL,XK,1010020,Europe
AL,YT,215,Europe
AL,ZA,331,Europe
