user_loc,fr_loc,scaled_sci,region
AU,AE,11931,Oceania
AU,AG,3514,Oceania
AU,AL,2268,Oceania
AU,AM,1277,Oceania
AU,AO,291,Oceania
AU,AR,1624,Oceania
AU,AT,5680,Oceania
AU,AU,1780129,Oceania
AU,AW,2719,Oceania
AU,AZ,443,Oceania
AU,BA,7830,Oceania
AU,BB,4314,Oceania
AU,BD,1765,Oceania
AU,BE,4143,Oceania
AU,BF,210,Oceania
AU,BG,1578,Oceania
AU,BH,6822,Oceania
AU,BI,4547,Oceania
AU,BJ,380,Oceania
AU,BN,11472,Oceania
AU,BO,337,Oceania
AU,BR,1749,Oceania
AU,BS,3131,Oceania
AU,BT,47252,Oceania
AU,BW,3484,Oceania
AU,BY,1051,Oceania
AU,BZ,1245,Oceania
AU,CA,15832,Oceania
AU,CD,868,Oceania
AU,CF,1119,Oceania
AU,CG,465,Oceania
AU,CH,10447,Oceania
AU,CI,298,Oceania
AU,CL,2907,Oceania
AU,CM,556,Oceania
AU,CO,2728,Oceania
AU,CR,1216,Oceania
AU,CV,714,Oceania
AU,CW,2561,Oceania
AU,CY,15743,Oceania
AU,CZ,2560,Oceania
AU,DE,5747,Oceania
AU,DJ,1577,Oceania
AU,DK,7728,Oceania
AU,DO,466,Oceania
AU,DZ,234,Oceania
AU,EC,531,Oceania
AU,EE,11743,Oceania
AU,EG,1061,Oceania
AU,ES,3120,Oceania
AU,ET,3032,Oceania
AU,FI,6137,Oceania
AU,FJ,116638,Oceania
AU,FM,3687,Oceania
AU,FR,3684,Oceania
AU,GA,364,Oceania
AU,GB,27247,Oceania
AU,GD,2718,Oceania
AU,GE,605,Oceania
AU,GF,897,Oceania
AU,GH,2045,Oceania
AU,GM,2967,Oceania
AU,GN,1253,Oceania
AU,GP,1541,Oceania
AU,GQ,582,Oceania
AU,GR,10798,Oceania
AU,GT,301,Oceania
AU,GU,7620,Oceania
AU,GW,242,Oceania
AU,GY,989,Oceania
AU,HK,21965,Oceania
AU,HN,285,Oceania
AU,HR,7071,Oceania
AU,HT,316,Oceania
AU,HU,2571,Oceania
AU,ID,1580,Oceania
AU,IE,50323,Oceania
AU,IM,28000,Oceania
AU,IN,2661,Oceania
AU,IS,8133,Oceania
AU,IT,5875,Oceania
AU,JE,41540,Oceania
AU,JM,1718,Oceania
AU,JO,2469,Oceania
AU,JP,4713,Oceania
AU,KE,4726,Oceania
AU,KG,379,Oceania
AU,KH,4751,Oceania
AU,KI,42671,Oceania
AU,KM,199,Oceania
AU,KR,4343,Oceania
AU,KW,5002,Oceania
AU,KY,31267,Oceania
AU,KZ,429,Oceania
AU,LA,3265,Oceania
AU,LB,25219,Oceania
AU,LC,2274,Oceania
AU,LK,24725,Oceania
AU,LR,9270,Oceania
AU,LS,265,Oceania
AU,LT,2191,Oceania
AU,LU,6495,Oceania
AU,LV,2382,Oceania
AU,LY,348,Oceania
AU,MA,479,Oceania
AU,MD,465,Oceania
AU,ME,6157,Oceania
AU,MG,330,Oceania
AU,MK,25484,Oceania
AU,ML,277,Oceania
AU,MM,1933,Oceania
AU,MN,6609,Oceania
AU,MO,15510,Oceania
AU,MQ,1208,Oceania
AU,MR,245,Oceania
AU,MT,42147,Oceania
AU,MU,24360,Oceania
AU,MV,9402,Oceania
AU,MW,1608,Oceania
AU,MX,483,Oceania
AU,MY,13754,Oceania
AU,MZ,521,Oceania
AU,,2742,Oceania
AU,NC,13699,Oceania
AU,NE,287,Oceania
AU,NG,1399,Oceania
AU,NI,342,Oceania
AU,NL,8011,Oceania
AU,NO,8424,Oceania
AU,NP,25772,Oceania
AU,NZ,209359,Oceania
AU,OM,4356,Oceania
AU,PA,925,Oceania
AU,PE,880,Oceania
AU,PF,7249,Oceania
AU,PG,25860,Oceania
AU,PH,7257,Oceania
AU,PK,2435,Oceania
AU,PL,1523,Oceania
AU,PR,1085,Oceania
AU,PT,4518,Oceania
AU,PY,563,Oceania
AU,QA,9406,Oceania
AU,RE,2275,Oceania
AU,RO,1473,Oceania
AU,RS,6394,Oceania
AU,RW,2330,Oceania
AU,SA,2493,Oceania
AU,SB,55722,Oceania
AU,SC,25956,Oceania
AU,SE,9471,Oceania
AU,SG,35503,Oceania
AU,SI,5203,Oceania
AU,SK,2187,Oceania
AU,SL,7835,Oceania
AU,SN,393,Oceania
AU,SR,950,Oceania
AU,ST,396,Oceania
AU,SV,842,Oceania
AU,SZ,1104,Oceania
AU,TD,537,Oceania
AU,TG,567,Oceania
AU,TH,3810,Oceania
AU,TJ,456,Oceania
AU,TL,29900,Oceania
AU,TN,586,Oceania
AU,TO,381475,Oceania
AU,TR,1218,Oceania
AU,TT,2489,Oceania
AU,TW,5936,Oceania
AU,TZ,1211,Oceania
AU,UA,628,Oceania
AU,UG,4002,Oceania
AU,US,6142,Oceania
AU,UY,2541,Oceania
AU,UZ,412,Oceania
AU,VC,2251,Oceania
AU,VN,3032,Oceania
AU,VU,104880,Oceania
AU,WS,190020,Oceania
AU,XK,1865,Oceania
AU,YT,477,Oceania
AU,ZA,4001,Oceania
AU,ZM,2290,Oceania
AU,ZW,13012,Oceania
FJ,AE,4257,Oceania
FJ,AG,9244,Oceania
FJ,AL,663,Oceania
FJ,AM,148,Oceania
FJ,AO,1493,Oceania
FJ,AR,211,Oceania
FJ,AT,713,Oceania
FJ,AU,116638,Oceania
FJ,AW,4963,Oceania
FJ,AZ,183,Oceania
FJ,BA,231,Oceania
FJ,BB,7650,Oceania
FJ,BD,2043,Oceania
FJ,BE,546,Oceania
FJ,BF,637,Oceania
FJ,BG,239,Oceania
FJ,BH,3258,Oceania
FJ,BI,1094,Oceania
FJ,BJ,20756,Oceania
FJ,BN,1681,Oceania
FJ,BO,205,Oceania
FJ,BR,328,Oceania
FJ,BS,6651,Oceania
FJ,BT,1095,Oceania
FJ,BW,1406,Oceania
FJ,BY,334,Oceania
FJ,BZ,13136,Oceania
FJ,CA,10501,Oceania
FJ,CD,996,Oceania
FJ,CF,3916,Oceania
FJ,CG,1128,Oceania
FJ,CH,2354,Oceania
FJ,CI,861,Oceania
FJ,CL,218,Oceania
FJ,CM,1017,Oceania
FJ,CO,283,Oceania
FJ,CR,452,Oceania
FJ,CV,1289,Oceania
FJ,CW,5555,Oceania
FJ,CY,6718,Oceania
FJ,CZ,169,Oceania
FJ,DE,699,Oceania
FJ,DJ,1805,Oceania
FJ,DK,889,Oceania
FJ,DO,888,Oceania
FJ,DZ,330,Oceania
FJ,EC,263,Oceania
FJ,EE,312,Oceania
FJ,EG,549,Oceania
FJ,ES,356,Oceania
FJ,ET,633,Oceania
FJ,FI,661,Oceania
FJ,FJ,105177413,Oceania
FJ,FM,242695,Oceania
FJ,FR,1478,Oceania
FJ,GA,1044,Oceania
FJ,GB,13387,Oceania
FJ,GD,8630,Oceania
FJ,GE,321,Oceania
FJ,GF,5236,Oceania
FJ,GH,2272,Oceania
FJ,GM,2040,Oceania
FJ,GN,635,Oceania
FJ,GP,2888,Oceania
FJ,GQ,799,Oceania
FJ,GR,406,Oceania
FJ,GT,238,Oceania
FJ,GU,27294,Oceania
FJ,GW,1450,Oceania
FJ,GY,205391,Oceania
FJ,HK,1386,Oceania
FJ,HN,400,Oceania
FJ,HR,255,Oceania
FJ,HT,1358,Oceania
FJ,HU,224,Oceania
FJ,ID,1160,Oceania
FJ,IE,1578,Oceania
FJ,IM,1549,Oceania
FJ,IN,1444,Oceania
FJ,IS,520,Oceania
FJ,IT,453,Oceania
FJ,JE,1125,Oceania
FJ,JM,5863,Oceania
FJ,JO,467,Oceania
FJ,JP,2613,Oceania
FJ,KE,1768,Oceania
FJ,KG,185,Oceania
FJ,KH,570,Oceania
FJ,KI,4071395,Oceania
FJ,KM,43050,Oceania
FJ,KR,1743,Oceania
FJ,KW,3033,Oceania
FJ,KY,4475,Oceania
FJ,KZ,272,Oceania
FJ,LA,242,Oceania
FJ,LB,911,Oceania
FJ,LC,6983,Oceania
FJ,LK,8585,Oceania
FJ,LR,3618,Oceania
FJ,LS,636,Oceania
FJ,LT,163,Oceania
FJ,LU,1390,Oceania
FJ,LV,558,Oceania
FJ,LY,206,Oceania
FJ,MA,538,Oceania
FJ,MD,225,Oceania
FJ,ME,341,Oceania
FJ,MG,3408,Oceania
FJ,MK,335,Oceania
FJ,ML,1109,Oceania
FJ,MM,277,Oceania
FJ,MN,961,Oceania
FJ,MO,902,Oceania
FJ,MQ,1118,Oceania
FJ,MR,423,Oceania
FJ,MT,1108,Oceania
FJ,MU,92096,Oceania
FJ,MV,3589,Oceania
FJ,MW,2211,Oceania
FJ,MX,203,Oceania
FJ,MY,1095,Oceania
FJ,MZ,1821,Oceania
FJ,,1712,Oceania
FJ,NC,66598,Oceania
FJ,NE,966,Oceania
FJ,NG,2499,Oceania
FJ,NI,505,Oceania
FJ,NL,1194,Oceania
FJ,NO,792,Oceania
FJ,NP,785,Oceania
FJ,NZ,550191,Oceania
FJ,OM,2723,Oceania
FJ,PA,679,Oceania
FJ,PE,235,Oceania
FJ,PF,44247,Oceania
FJ,PG,504324,Oceania
FJ,PH,1669,Oceania
FJ,PK,1517,Oceania
FJ,PL,111,Oceania
FJ,PR,364,Oceania
FJ,PT,411,Oceania
FJ,PY,507,Oceania
FJ,QA,4100,Oceania
FJ,RE,10028,Oceania
FJ,RO,456,Oceania
FJ,RS,306,Oceania
FJ,RW,1374,Oceania
FJ,SA,1751,Oceania
FJ,SB,1166231,Oceania
FJ,SC,22368,Oceania
FJ,SE,805,Oceania
FJ,SG,2247,Oceania
FJ,SI,349,Oceania
FJ,SK,162,Oceania
FJ,SL,3473,Oceania
FJ,SN,1003,Oceania
FJ,SR,159563,Oceania
FJ,ST,966,Oceania
FJ,SV,243,Oceania
FJ,SZ,1027,Oceania
FJ,TD,546,Oceania
FJ,TG,1555,Oceania
