user_loc,fr_loc,scaled_sci
AU,AU,1780129
AU,FJ,116638
AU,FM,3687
AU,GU,7620
AU,KI,42671
AU,NC,13699
AU,NZ,209359
AU,PF,7249
AU,PG,25860
AU,SB,55722
AU,TL,29900
AU,TO,381475
AU,VU,104880
AU,WS,190020
FJ,AU,116638
FJ,FJ,105177413
FJ,FM,242695
FJ,GU,27294
FJ,KI,4071395
FJ,NC,66598
FJ,NZ,550191
FJ,PF,44247
FJ,PG,504324
FJ,SB,1166231
FJ,TL,8933
FJ,TO,2413502
FJ,VU,1171658
FJ,WS,906168
FM,AU,3687
FM,FJ,242695
FM,FM,584673303
FM,GU,31805085
FM,KI,536651
FM,NC,4633
FM,NZ,11364
FM,PF,7964
FM,PG,29548
FM,SB,106184
FM,TL,2355
FM,TO,359872
FM,VU,79608
FM,WS,354052
GU,AU,7620
GU,FJ,27294
GU,FM,31805085
GU,GU,135887011
GU,KI,37103
GU,NC,5216
GU,NZ,16747
GU,PF,16735
GU,PG,6179
GU,SB,9813
GU,TL,1144
GU,TO,148541
GU,VU,8458
GU,WS,114305
KI,AU,42671
KI,FJ,4071395
KI,FM,536651
KI,GU,37103
KI,KI,771672520
KI,NC,44268
KI,NZ,462920
KI,PF,106099
KI,PG,376073
KI,SB,3450377
KI,TL,8610
KI,TO,651376
KI,VU,490963
KI,WS,540652
NC,AU,13699
NC,FJ,66598
NC,FM,4633
NC,GU,5216
NC,KI,44268
NC,NC,135845627
NC,NZ,26219
NC,PF,2167547
NC,PG,15293
NC,SB,45283
NC,TL,515
NC,TO,139634
NC,VU,1795368
NC,WS,46940
NZ,AU,209359
NZ,FJ,550191
NZ,FM,11364
NZ,GU,16747
NZ,KI,462920
NZ,NC,26219
NZ,NZ,7606278
NZ,PF,37160
NZ,PG,16554
NZ,SB,59600
NZ,TL,4283
NZ,TO,2632762
NZ,VU,210889
NZ,WS,1892480
PF,AU,7249
PF,FJ,44247
PF,FM,7964
PF,GU,16735
PF,KI,106099
PF,NC,2167547
PF,NZ,37160
PF,PF,155790081
PF,PG,6788
PF,SB,15560
PF,TL,1047
PF,TO,73191
PF,VU,92410
PF,WS,59801
PG,AU,25860
PG,FJ,504324
PG,FM,29548
PG,GU,6179
PG,KI,376073
PG,NC,15293
PG,NZ,16554
PG,PF,6788
PG,PG,59749399
PG,SB,1426468
PG,TL,10927
PG,TO,436029
PG,VU,404475
PG,WS,266346
SB,AU,55722
SB,FJ,1166231
SB,FM,106184
SB,GU,9813
SB,KI,3450377
SB,NC,45283
SB,NZ,59600
SB,PF,15560
SB,PG,1426468
SB,SB,290995332
SB,TL,8802
SB,TO,270926
SB,VU,4670251
SB,WS,231210
TL,AU,29900
TL,FJ,8933
TL,FM,2355
TL,GU,1144
TL,KI,8610
TL,NC,515
TL,NZ,4283
TL,PF,1047
TL,PG,10927
TL,SB,8802
TL,TL,226109449
TL,TO,45243
TL,VU,6819
TL,WS,12235
TO,AU,381475
TO,FJ,2413502
TO,FM,359872
TO,GU,148541
TO,KI,651376
TO,NC,139634
TO,NZ,2632762
TO,PF,73191
TO,PG,436029
TO,SB,270926
TO,TL,45243
TO,TO,694741188
TO,VU,616523
TO,WS,16309441
VU,AU,104880
VU,FJ,1171658
VU,FM,79608
VU,GU,8458
VU,KI,490963
VU,NC,1795368
VU,NZ,210889
VU,PF,92410
VU,PG,404475
VU,SB,4670251
VU,TL,6819
VU,TO,616523
VU,VU,299322870
VU,WS,476664
WS,AU,190020
WS,FJ,906168
WS,FM,354052
WS,GU,114305
WS,KI,540652
WS,NC,46940
WS,NZ,1892480
WS,PF,59801
WS,PG,266346
WS,SB,231210
WS,TL,12235
WS,TO,16309441
WS,VU,476664
WS,WS,243247667
