params,mean_test_score,dataset,model_file_name,pipeline,region,with_distance,model_name
{'PCA__n_components': 0},,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 2},0.1822327297954442,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 4},0.3291016760553479,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 6},0.4671693268160467,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 8},0.5021553815008926,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 10},0.5201161502323581,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 12},0.5217437484200175,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 14},0.5311939488728652,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 16},0.5418215140397112,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 18},0.5433179747163942,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 20},0.550437132318691,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 22},0.5519238387244819,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 24},0.5580539904155504,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 26},0.5655321330338833,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 28},0.5640280619267604,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 30},0.5639698821177028,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
{'PCA__n_components': 32},0.5697570600709289,all_distance_metrics,martin_models/test_4.pkl,"Pipeline(steps=[('StandardScaler', StandardScaler()), ('PCA', PCA()),
                ('rf', RandomForestRegressor())])",world,False,RandomForestRegressor()
