params,mean_test_score,dataset,model_file_name,pipeline,model_name,model
{'rf__n_estimators': 200},0.3246156242564398,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 400},0.3284183307472232,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 600},0.3276195323023082,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 800},0.3296281009221083,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1000},0.3286147369872647,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1200},0.3288868272561493,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1400},0.3295732973140027,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1600},0.3287699142307427,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1800},0.3292085515954103,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2000},0.3291497706286708,EucDist,models/test_19.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 200},0.336765417238877,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 400},0.3408371413201104,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 600},0.3407635633735905,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 800},0.3406310056882377,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1000},0.3404961536145083,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1200},0.3415169051715332,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1400},0.3410333059725821,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1600},0.3408470089890656,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 1800},0.3409573178407278,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2000},0.3409769684730048,CosDist,models/test_18.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 200},0.3376051544244608,CosDist,models/test_17.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 400},0.3390670422885427,CosDist,models/test_17.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 600},0.3388569550463791,CosDist,models/test_17.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 800},0.3399073216381777,CosDist,models/test_17.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
